month,tipo_redespacho,up_mwh,dn_mwh,code_str,channel,up_gwh,dn_gwh
2024-12-01,66,2954.4749999999995,3347.333000000005,66,Uncategorised (project doc silent),2.9544749999999995,3.347333000000005
2025-10-01,92,51452.624999999985,38996.349999999984,92,mFRR activation (92),51.45262499999998,38.996349999999985
2025-10-01,19,621.325,0.0,19,Uncategorised (project doc silent),0.621325,0.0
2025-10-01,38,0.0,0.1,38,Uncategorised (project doc silent),0.0,0.0001
2024-06-01,94,131605.0,67275.0,94,System balancing / residual imbalance (94),131.605,67.275
2026-02-01,92,70242.92499999999,17458.550000000003,92,mFRR activation (92),70.24292499999999,17.458550000000002
2026-02-01,19,403.75,0.0,19,Uncategorised (project doc silent),0.40375,0.0
2025-02-01,96,28098.800000000003,33505.375,96,Uncategorised (project doc silent),28.098800000000004,33.505375
2025-12-01,80,14035.989000000001,4418.339000000001,80,Uncategorised (project doc silent),14.035989,4.4183390000000005
2024-07-01,34,0.0,568.6099999999999,34,RT inter-zonal / network (34),0.0,0.56861
2026-01-01,66,13752.075000000008,16984.249999999993,66,Uncategorised (project doc silent),13.752075000000008,16.984249999999992
2024-03-01,92,143283.0500000002,5377.8,92,mFRR activation (92),143.2830500000002,5.377800000000001
2024-03-01,19,423.79999999999995,0.0,19,Uncategorised (project doc silent),0.42379999999999995,0.0
2025-07-01,92,64850.875,98906.72500000002,92,mFRR activation (92),64.850875,98.90672500000002
2025-07-01,19,2865.3999999999987,0.0,19,Uncategorised (project doc silent),2.865399999999999,0.0
2025-07-01,38,0.0,17.925000000000004,38,Uncategorised (project doc silent),0.0,0.017925000000000003
2024-09-01,69,6689.184999999995,21814.640999999963,69,Voltage control / black-start (69),6.689184999999995,21.814640999999963
2024-02-01,94,74057.79999999999,89634.19999999998,94,System balancing / residual imbalance (94),74.05779999999999,89.63419999999998
2024-11-01,61,264495.95,262451.25000000006,61,"RT system-security RZ, PO 3.2 (61)",264.49595,262.4512500000001
2024-11-01,66,2134.5499999999997,3426.878,66,Uncategorised (project doc silent),2.13455,3.4268780000000003
2025-09-01,33,0.0,68475.22399999997,33,RT general (33),0.0,68.47522399999997
2024-08-01,94,166657.0,84799.5,94,System balancing / residual imbalance (94),166.657,84.7995
2025-05-01,68,316.775,260.5,68,Reserve management (68),0.316775,0.2605
2024-04-01,68,30.0,392.325,68,Reserve management (68),0.03,0.392325
