month,channel,up_gwh,dn_gwh
2025-05-01,"RT system-security RZ, PO 3.2 (61)",96.50245000000001,223.65704999999997
2025-05-01,Reserve management (68),0.316775,0.2605
2025-05-01,System balancing / residual imbalance (94),45.78519999999999,41.318850000000005
2025-05-01,Uncategorised (project doc silent),45.370853000000004,35.242952
2025-05-01,Voltage control / black-start (69),7.476045999999999,27.79936
2025-05-01,mFRR activation (92),52.708934,5.9144000000000005
2025-06-01,Catch-all 'other' bucket (81),335.80925,156.9675
2025-06-01,RT general (33),0.0,198.19388700000042
2025-06-01,RT inter-zonal / network (34),0.0,1.845776000000001
2025-06-01,"RT system-security RZ, PO 3.2 (61)",227.11242500000003,132.55547499999997
2025-06-01,Reserve management (68),0.0,0.5167999999999999
2025-06-01,System balancing / residual imbalance (94),63.4028,59.41725
2025-06-01,Uncategorised (project doc silent),48.100675,53.962392
2025-06-01,Voltage control / black-start (69),6.288940999999999,36.140544000000084
2025-06-01,mFRR activation (92),9.732,60.103124999999984
2025-07-01,Catch-all 'other' bucket (81),352.75977500000005,236.265775
2025-07-01,RT general (33),0.0,442.0566990000004
2025-07-01,RT inter-zonal / network (34),0.0,3.3706190000000005
2025-07-01,"RT system-security RZ, PO 3.2 (61)",173.24147499999998,238.34294999999995
2025-07-01,Reserve management (68),0.0,1.0092999999999999
2025-07-01,System balancing / residual imbalance (94),89.750875,74.96414999999998
2025-07-01,Uncategorised (project doc silent),44.809843,43.359970000000004
2025-07-01,Voltage control / black-start (69),11.447040999999999,29.611059000000026
2025-07-01,mFRR activation (92),64.850875,98.90672500000002
2025-08-01,Catch-all 'other' bucket (81),299.8055,183.308
2025-08-01,RT general (33),0.0,165.47411400000016
2025-08-01,RT inter-zonal / network (34),0.0,3.500538000000003
2025-08-01,"RT system-security RZ, PO 3.2 (61)",241.45734999999996,278.312125
2025-08-01,Reserve management (68),0.0070750000000000006,0.7613
2025-08-01,System balancing / residual imbalance (94),154.87852500000002,58.145975
2025-08-01,Uncategorised (project doc silent),56.143151,45.112508999999996
2025-08-01,Voltage control / black-start (69),16.946678999999996,24.52307599999998
2025-08-01,mFRR activation (92),43.910300000000014,145.99600000000004
2025-09-01,Catch-all 'other' bucket (81),192.7455,244.630275
2025-09-01,RT general (33),0.0,68.47522399999997
2025-09-01,RT inter-zonal / network (34),0.0,1.0952209999999993
2025-09-01,"RT system-security RZ, PO 3.2 (61)",110.23515,383.41142499999984
2025-09-01,Reserve management (68),0.096375,0.4153
2025-09-01,System balancing / residual imbalance (94),169.79770000000002,55.755424999999995
2025-09-01,Uncategorised (project doc silent),44.015006,58.905055999999995
2025-09-01,Voltage control / black-start (69),6.998454,34.41784000000011
2025-09-01,mFRR activation (92),24.159800000000004,32.60465
2025-10-01,Catch-all 'other' bucket (81),327.3985,213.12275
2025-10-01,RT general (33),0.0,182.35753900000037
2025-10-01,RT inter-zonal / network (34),0.0,1.3737649999999986
2025-10-01,"RT system-security RZ, PO 3.2 (61)",146.18815000000004,225.69027499999996
2025-10-01,Reserve management (68),0.0,1.3149749999999998
2025-10-01,System balancing / residual imbalance (94),88.406025,52.5124
2025-10-01,Uncategorised (project doc silent),37.162442999999996,37.57324199999999
2025-10-01,Voltage control / black-start (69),10.830926000000002,28.095848000000075
2025-10-01,mFRR activation (92),51.45262499999998,38.996349999999985
2025-11-01,Catch-all 'other' bucket (81),319.09275,146.429375
2025-11-01,RT general (33),0.0,51.748551999999954
2025-11-01,RT inter-zonal / network (34),0.0,0.16917000000000001
2025-11-01,"RT system-security RZ, PO 3.2 (61)",272.916975,144.194225
2025-11-01,Reserve management (68),0.19544199999999998,1.699042
2025-11-01,System balancing / residual imbalance (94),79.879925,50.433175
2025-11-01,Uncategorised (project doc silent),35.287273999999975,23.074016999999976
2025-11-01,Voltage control / black-start (69),10.081428,28.266565000000046
2025-11-01,mFRR activation (92),91.947283,18.578900000000004
2025-12-01,Catch-all 'other' bucket (81),404.67625,108.738175
2025-12-01,RT general (33),0.0,79.51636799999993
2025-12-01,RT inter-zonal / network (34),0.0,0.05440499999999997
2025-12-01,"RT system-security RZ, PO 3.2 (61)",358.01222499999994,95.64045
2025-12-01,Reserve management (68),0.203617,1.426659
2025-12-01,System balancing / residual imbalance (94),68.56852499999998,75.38605
2025-12-01,Uncategorised (project doc silent),71.14913899999998,48.674172
2025-12-01,Voltage control / black-start (69),7.186834,40.575357000000146
2025-12-01,mFRR activation (92),43.939075000000024,49.19357499999997
2026-01-01,Catch-all 'other' bucket (81),468.19325,381.728
2026-01-01,RT general (33),0.0,49.18262400000007
2026-01-01,RT inter-zonal / network (34),0.0,1.0798120000000013
2026-01-01,Reserve management (68),0.09835,0.9547749999999999
2026-01-01,Uncategorised (project doc silent),72.764848,59.48031699999999
2026-01-01,Voltage control / black-start (69),8.109218,32.45429500000001
2026-01-01,mFRR activation (92),136.6200499999999,49.79959999999999
2026-02-01,Catch-all 'other' bucket (81),179.82075,575.890625
2026-02-01,RT general (33),0.0,12.14319
2026-02-01,RT inter-zonal / network (34),0.0,0.12298399999999995
2026-02-01,Reserve management (68),0.0,2.25685
2026-02-01,Uncategorised (project doc silent),44.294624,29.950798000000017
2026-02-01,Voltage control / black-start (69),16.016619999999996,30.69791400000007
2026-02-01,mFRR activation (92),70.24292499999999,17.458550000000002
