firm_class,hour,n_obs,n_unique_units,mean_n_tranches,mean_p_min,mean_p_med,mean_p_max,mean_qty_mw,mech_strict_rate
GN,16,1358,17,2.151141384388807,425.0858910162003,689.1932142857142,1000.0,281.74834444764855,0.3438880706921944
GN,17,1358,17,5.783689248895435,202.2477245949926,410.17678387334314,1000.0,174.08770538678309,0.19072164948453607
GN,18,1358,17,10.04896907216495,67.37971097201768,241.413095544919,1000.0,95.86101025294047,0.6273932253313697
GN,19,1358,17,12.008652430044183,25.1370324005891,161.922617820324,1000.0,61.08783061103109,0.8181148748159057
GN,20,1358,17,12.999815905743741,24.585301914580263,139.24750552282768,1000.0,49.24433877609871,0.9786450662739322
GN,21,1358,17,11.75681148748159,69.64329160530191,198.5060622238586,1000.0,74.62886115561741,0.8652430044182622
GN,22,1358,17,8.50717967599411,235.64237113402064,370.20384296759937,1000.0,148.4345190964636,0.5441826215022091
GN,23,1358,17,4.721649484536083,565.7014653902798,667.3307023195877,1000.0,270.4748136444639,0.7260677466863034
HC,0,183,2,3.6557377049180326,324.42349726775956,382.37704918032784,698.9945355191256,232.53672131147542,0.994535519125683
HC,1,183,2,3.6557377049180326,324.44535519125685,382.37704918032784,698.9945355191256,232.53672131147542,0.994535519125683
HC,2,183,2,3.6666666666666665,322.2158469945355,381.8868852459017,698.9945355191256,232.3483606557377,0.994535519125683
HC,3,183,2,3.721311475409836,286.54371584699453,363.45792349726776,698.9945355191256,222.80127504553732,0.994535519125683
HC,4,183,2,3.8360655737704916,253.05464480874318,342.5863387978142,698.9945355191256,210.91174863387977,1.0
HC,5,183,2,4.404371584699454,-1.278688524590164,205.11639344262298,698.9945355191256,127.62131147540984,1.0
HC,6,183,2,5.065573770491803,-4.644808743169399,163.91120218579235,698.9945355191256,102.6639344262295,0.994535519125683
HC,7,183,2,5.912568306010929,-4.644808743169399,111.33306010928962,698.9945355191256,74.27978142076503,1.0
HC,8,183,2,6.0,-4.644808743169399,106.40459016393443,698.9945355191256,71.175956284153,1.0
HC,9,183,2,6.0,-4.644808743169399,106.3972131147541,698.9945355191256,71.175956284153,1.0
HC,10,183,2,6.0,-4.644808743169399,106.3972131147541,698.9945355191256,71.175956284153,1.0
HC,11,183,2,6.0,-4.644808743169399,106.3972131147541,698.9945355191256,71.175956284153,1.0
HC,12,183,2,6.0,-4.644808743169399,106.3972131147541,698.9945355191256,71.175956284153,1.0
HC,13,183,2,6.0,-4.644808743169399,106.3972131147541,698.9945355191256,71.175956284153,1.0
HC,14,183,2,6.0,-4.644808743169399,106.40459016393443,698.9945355191256,71.175956284153,1.0
HC,15,183,2,6.0,-4.644808743169399,106.40459016393443,698.9945355191256,71.175956284153,1.0
HC,16,183,2,6.0,-4.644808743169399,106.40459016393443,698.9945355191256,71.175956284153,1.0
HC,17,183,2,6.0,-4.644808743169399,106.40459016393443,698.9945355191256,71.175956284153,1.0
HC,18,183,2,6.0,-4.644808743169399,106.40459016393443,698.9945355191256,71.175956284153,1.0
HC,19,183,2,6.0,-4.644808743169399,106.3972131147541,698.9945355191256,71.175956284153,1.0
