firm_class,unit_code,hour,n_obs,mean_n_tranches,mean_p_max,mean_p_med,mech_strict_rate
EDP-PT,LARES2,13,85,6.788235294117647,650.0,134.42191176470587,0.03529411764705882
EDP-PT,LARES2,14,85,6.788235294117647,650.0,134.42661764705883,0.03529411764705882
EDP-PT,LARES2,15,85,6.788235294117647,650.0,134.42529411764704,0.03529411764705882
EDP-PT,LARES2,16,85,6.788235294117647,650.0,134.42541176470587,0.03529411764705882
EDP-PT,LARES2,17,85,6.788235294117647,650.0,134.42338235294116,0.03529411764705882
EDP-PT,LARES2,18,85,6.788235294117647,650.0,134.4215588235294,0.03529411764705882
EDP-PT,LARES2,19,85,6.788235294117647,650.0,134.42535294117647,0.03529411764705882
EDP-PT,LARES2,20,85,6.788235294117647,650.0,134.42323529411766,0.03529411764705882
EDP-PT,LARES2,21,85,6.788235294117647,650.0,134.42626470588235,0.03529411764705882
EDP-PT,LARES2,22,85,6.788235294117647,650.0,134.42270588235294,0.03529411764705882
EDP-PT,LARES2,23,85,6.788235294117647,650.0,134.42735294117648,0.03529411764705882
EDP-PT,RIBATE1,0,92,3.989130434782609,634.1758423913043,344.50190217391304,0.33695652173913043
EDP-PT,RIBATE1,1,92,3.989130434782609,634.1757065217391,344.50282608695653,0.42391304347826086
EDP-PT,RIBATE1,2,92,4.586956521739131,634.1755706521739,317.72285326086956,0.34782608695652173
EDP-PT,RIBATE1,3,92,5.934782608695652,634.1752445652173,220.4023097826087,0.1956521739130435
EDP-PT,RIBATE1,4,92,5.934782608695652,634.1757880434783,220.40092391304347,0.1956521739130435
EDP-PT,RIBATE1,5,92,5.934782608695652,634.1759510869565,220.40285326086956,0.20652173913043478
EDP-PT,RIBATE1,6,92,6.076086956521739,634.1756521739131,174.47752717391305,0.043478260869565216
EDP-PT,RIBATE1,7,92,6.076086956521739,634.1754076086957,174.47714673913043,0.05434782608695652
EDP-PT,RIBATE1,8,92,6.630434782608695,557.4893478260869,146.07513586956523,0.043478260869565216
EDP-PT,RIBATE1,9,92,6.630434782608695,557.4900543478261,146.07847826086956,0.06521739130434782
EDP-PT,RIBATE1,10,92,6.630434782608695,557.4894836956522,146.07625,0.043478260869565216
EDP-PT,RIBATE1,11,92,6.630434782608695,557.4900815217392,146.0786956521739,0.043478260869565216
EDP-PT,RIBATE1,12,92,6.630434782608695,557.4889673913043,146.07190217391303,0.043478260869565216
EDP-PT,RIBATE1,13,92,6.630434782608695,557.4891032608696,146.07459239130435,0.05434782608695652
EDP-PT,RIBATE1,14,92,6.630434782608695,557.4896195652174,146.07483695652175,0.06521739130434782
EDP-PT,RIBATE1,15,92,6.630434782608695,557.4888315217391,146.0768206521739,0.043478260869565216
EDP-PT,RIBATE1,16,92,6.630434782608695,557.4898369565218,146.0764945652174,0.043478260869565216
EDP-PT,RIBATE1,17,92,6.630434782608695,557.4889402173912,146.0760597826087,0.043478260869565216
EDP-PT,RIBATE1,18,92,6.630434782608695,557.4897282608696,146.07611413043477,0.05434782608695652
EDP-PT,RIBATE1,19,92,6.630434782608695,557.4893206521739,146.07625,0.05434782608695652
EDP-PT,RIBATE1,20,92,6.630434782608695,557.4908423913043,146.0786956521739,0.05434782608695652
EDP-PT,RIBATE1,21,92,6.630434782608695,557.4908967391304,146.07654891304347,0.043478260869565216
EDP-PT,RIBATE1,22,92,6.630434782608695,557.4902989130435,146.0761956521739,0.06521739130434782
EDP-PT,RIBATE1,23,92,6.630434782608695,557.4900815217392,146.07804347826087,0.043478260869565216
EDP-PT,RIBATE2,0,78,4.756410256410256,650.0,267.83304487179487,0.19230769230769232
EDP-PT,RIBATE2,1,77,4.753246753246753,650.0,261.2308441558442,0.2727272727272727
EDP-PT,RIBATE2,2,77,5.337662337662338,650.0,238.08058441558444,0.2727272727272727
EDP-PT,RIBATE2,3,77,5.467532467532467,650.0,232.86970779220778,0.16883116883116883
EDP-PT,RIBATE2,4,77,5.987012987012987,650.0,212.06636363636363,0.16883116883116883
EDP-PT,RIBATE2,5,77,5.987012987012987,650.0,212.06357142857144,0.16883116883116883
EDP-PT,RIBATE2,6,77,6.0519480519480515,650.0,190.96314935064936,0.1038961038961039
EDP-PT,RIBATE2,7,77,6.103896103896104,650.0,174.07818181818183,0.05194805194805195
EDP-PT,RIBATE2,8,77,6.688311688311688,650.0,150.66275974025973,0.05194805194805195
EDP-PT,RIBATE2,9,77,6.688311688311688,650.0,150.66451298701298,0.05194805194805195
EDP-PT,RIBATE2,10,77,6.688311688311688,650.0,150.66415584415583,0.05194805194805195
EDP-PT,RIBATE2,11,77,6.688311688311688,650.0,150.66422077922078,0.05194805194805195
EDP-PT,RIBATE2,12,77,6.688311688311688,650.0,150.6648051948052,0.05194805194805195
EDP-PT,RIBATE2,13,77,6.688311688311688,650.0,150.66467532467533,0.05194805194805195
EDP-PT,RIBATE2,14,77,6.688311688311688,650.0,150.66152597402598,0.05194805194805195
EDP-PT,RIBATE2,15,77,6.688311688311688,650.0,150.66262987012985,0.05194805194805195
EDP-PT,RIBATE2,16,77,6.688311688311688,650.0,150.66357142857143,0.05194805194805195
EDP-PT,RIBATE2,17,77,6.688311688311688,650.0,150.6636038961039,0.05194805194805195
EDP-PT,RIBATE2,18,77,6.688311688311688,650.0,150.6649025974026,0.05194805194805195
EDP-PT,RIBATE2,19,77,6.688311688311688,650.0,150.66116883116882,0.05194805194805195
EDP-PT,RIBATE2,20,77,6.688311688311688,650.0,150.66587662337662,0.05194805194805195
EDP-PT,RIBATE2,21,77,6.688311688311688,650.0,150.66305194805196,0.05194805194805195
EDP-PT,RIBATE2,22,77,6.688311688311688,650.0,150.6608116883117,0.05194805194805195
EDP-PT,RIBATE2,23,78,6.615384615384615,650.0,157.06445512820514,0.0641025641025641
EDP-PT,RIBATE3,0,90,5.733333333333333,644.9998888888889,213.90019444444445,0.15555555555555556
EDP-PT,RIBATE3,1,89,5.775280898876405,644.9437078651686,202.45716292134833,0.1797752808988764
EDP-PT,RIBATE3,2,89,5.775280898876405,644.9437078651686,202.45584269662922,0.0898876404494382
EDP-PT,RIBATE3,3,89,6.797752808988764,644.9437078651686,147.45275280898878,0.0449438202247191
EDP-PT,RIBATE3,4,89,6.797752808988764,644.9437078651686,147.45219101123595,0.0449438202247191
EDP-PT,RIBATE3,5,89,6.797752808988764,644.9437078651686,147.45323033707865,0.056179775280898875
EDP-PT,RIBATE3,6,89,6.797752808988764,644.9437078651686,147.4540168539326,0.0449438202247191
EDP-PT,RIBATE3,7,89,6.797752808988764,644.9437078651686,147.4500561797753,0.06741573033707865
EDP-PT,RIBATE3,8,89,6.651685393258427,571.3801123595506,147.08789325842696,0.0449438202247191
EDP-PT,RIBATE3,9,89,6.651685393258427,571.381011235955,147.09047752808988,0.0449438202247191
EDP-PT,RIBATE3,10,89,6.651685393258427,571.378988764045,147.08570224719102,0.06741573033707865
EDP-PT,RIBATE3,11,89,6.651685393258427,571.3786235955056,147.0853651685393,0.056179775280898875
EDP-PT,RIBATE3,12,89,6.651685393258427,571.3800280898877,147.08705056179775,0.0449438202247191
EDP-PT,RIBATE3,13,89,6.651685393258427,571.379691011236,147.086797752809,0.0449438202247191
EDP-PT,RIBATE3,14,89,6.651685393258427,571.3793539325842,147.08780898876404,0.07865168539325842
EDP-PT,RIBATE3,15,89,6.651685393258427,571.3794382022471,147.08988764044943,0.056179775280898875
EDP-PT,RIBATE3,16,89,6.651685393258427,571.3794382022471,147.08671348314607,0.0449438202247191
EDP-PT,RIBATE3,17,89,6.651685393258427,571.3792415730337,147.08873595505617,0.056179775280898875
EDP-PT,RIBATE3,18,89,6.651685393258427,571.380702247191,147.09202247191013,0.0449438202247191
EDP-PT,RIBATE3,19,89,6.651685393258427,571.3798876404494,147.0907584269663,0.0449438202247191
EDP-PT,RIBATE3,20,89,6.651685393258427,571.3797752808989,147.08797752808988,0.056179775280898875
EDP-PT,RIBATE3,21,89,6.651685393258427,571.379213483146,147.09176966292134,0.056179775280898875
EDP-PT,RIBATE3,22,89,6.651685393258427,571.3794662921348,147.08578651685394,0.056179775280898875
EDP-PT,RIBATE3,23,90,6.588888888888889,572.2532777777777,152.6775,0.06666666666666667
Engie,CTNU,0,92,1.0,500.0,500.0,1.0
Engie,CTNU,1,92,1.0,500.0,500.0,1.0
Engie,CTNU,2,92,1.0,500.0,500.0,1.0
Engie,CTNU,3,92,1.2255434782608696,500.0,458.0786956521739,0.14130434782608695
Engie,CTNU,4,92,3.1739130434782608,500.0,269.5480163043478,0.14130434782608695
Engie,CTNU,5,92,4.470108695652174,500.0,200.29911684782607,0.13043478260869565
Engie,CTNU,6,92,4.608695652173913,500.0,176.6074456521739,0.010869565217391304
Engie,CTNU,7,92,5.057065217391305,500.0,153.95017663043478,0.021739130434782608
Engie,CTNU,8,92,5.945652173913044,500.0,154.34369565217392,0.0
Engie,CTNU,9,92,5.953804347826087,500.0,154.31683423913043,0.14130434782608695
Engie,CTNU,10,92,5.956521739130435,500.0,154.30788043478262,0.0
Engie,CTNU,11,92,5.486413043478261,500.0,153.5470108695652,0.0
Engie,CTNU,12,92,5.010869565217392,500.0,152.76885869565217,0.0
Engie,CTNU,13,92,5.005434782608695,500.0,152.82192934782609,0.010869565217391304
Engie,CTNU,14,92,5.0,500.0,152.875,0.11956521739130435
Engie,CTNU,15,92,5.0,500.0,152.875,0.20652173913043478
Engie,CTNU,16,92,5.076086956521739,500.0,153.0770652173913,0.10869565217391304
Engie,CTNU,17,92,6.008152173913044,500.0,154.48726902173914,0.043478260869565216
Engie,CTNU,18,92,6.021739130434782,500.0,154.37217391304347,0.5869565217391305
Engie,CTNU,19,92,6.021739130434782,500.0,154.37217391304347,0.043478260869565216
Engie,CTNU,20,92,6.021739130434782,500.0,154.37217391304347,0.0
Engie,CTNU,21,92,6.021739130434782,500.0,154.37217391304347,0.15217391304347827
Engie,CTNU,22,92,6.021739130434782,500.0,154.37217391304347,0.18478260869565216
Engie,CTNU,23,92,6.021739130434782,500.0,154.37217391304347,0.1956521739130435
Engie,ESCCC1,0,92,1.0108695652173914,500.0,497.9576630434783,1.0
Engie,ESCCC1,1,92,1.0108695652173914,500.0,497.9576630434783,1.0
Engie,ESCCC1,2,92,1.0108695652173914,500.0,497.9576630434783,1.0
Engie,ESCCC1,3,92,1.0108695652173914,500.0,497.9576630434783,1.0
Engie,ESCCC1,4,92,1.0108695652173914,500.0,497.9576630434783,1.0
Engie,ESCCC1,5,92,1.9619565217391304,500.0,407.2020108695652,0.43478260869565216
Engie,ESCCC1,6,92,3.7690217391304346,500.0,282.7698777173913,0.2608695652173913
Engie,ESCCC1,7,92,5.505434782608695,500.0,143.6168206521739,0.03260869565217391
Engie,ESCCC1,8,92,5.934782608695652,500.0,138.9213043478261,0.0
Engie,ESCCC1,9,92,5.929347826086956,500.0,138.9338586956522,0.9891304347826086
Engie,ESCCC1,10,92,5.923913043478261,500.0,138.94641304347826,0.05434782608695652
Engie,ESCCC1,11,92,5.2146739130434785,500.0,142.80797554347825,0.05434782608695652
Engie,ESCCC1,12,92,4.978260869565218,500.0,144.09516304347827,1.0
Engie,ESCCC1,13,92,4.978260869565218,500.0,144.09516304347827,1.0
Engie,ESCCC1,14,92,4.978260869565218,500.0,144.09516304347827,1.0
Engie,ESCCC1,15,92,5.345108695652174,500.0,142.69903532608697,0.44565217391304346
Engie,ESCCC1,16,92,5.592391304347826,500.0,141.46921195652175,0.2826086956521739
Engie,ESCCC1,17,92,5.9728260869565215,500.0,139.35434782608695,0.03260869565217391
Engie,ESCCC1,18,92,5.989130434782608,500.0,139.2466847826087,1.0
Engie,ESCCC1,19,92,5.989130434782608,500.0,139.2466847826087,1.0
Engie,ESCCC1,20,92,5.989130434782608,500.0,139.2466847826087,1.0
Engie,ESCCC1,21,92,5.989130434782608,500.0,139.2466847826087,1.0
Engie,ESCCC1,22,92,5.989130434782608,500.0,139.2466847826087,1.0
Engie,ESCCC1,23,92,5.989130434782608,500.0,139.2466847826087,1.0
GE,BES3,0,91,1.8461538461538463,2553.6267032967035,1329.1676923076923,1.0
GE,BES3,1,91,1.8461538461538463,2553.6267032967035,1329.1676923076923,1.0
GE,BES3,2,91,1.8461538461538463,2553.6267032967035,1329.1676923076923,1.0
GE,BES3,3,91,1.8461538461538463,2553.6267032967035,1329.1676923076923,1.0
GE,BES3,4,91,1.8461538461538463,2553.6267032967035,1329.1676923076923,1.0
GE,BES3,5,91,1.8461538461538463,2553.6267032967035,1329.1794505494506,1.0
GE,BES3,6,91,1.8461538461538463,2553.6185714285716,1329.2832967032966,0.989010989010989
GE,BES3,7,91,1.8461538461538463,2553.6185714285716,1329.5214697802198,0.978021978021978
GE,BES3,8,91,1.8461538461538463,2554.0552747252746,1330.049065934066,0.978021978021978
GE,BES3,9,91,1.8461538461538463,2554.09989010989,1330.9626923076924,0.8681318681318682
GE,BES3,10,91,1.8461538461538463,2554.230769230769,1332.0166895604395,0.9120879120879121
GE,BES3,11,91,1.8461538461538463,2554.230769230769,1332.0370604395605,0.989010989010989
GE,BES3,12,91,1.8461538461538463,2554.230769230769,1332.061923076923,1.0
GE,BES3,13,91,1.8461538461538463,2554.230769230769,1332.061923076923,1.0
GE,BES3,14,91,1.8461538461538463,2554.230769230769,1332.061923076923,1.0
GE,BES3,15,91,1.8461538461538463,2554.230769230769,1332.061923076923,1.0
GE,BES3,16,91,1.8461538461538463,2554.230769230769,1332.0621428571428,0.978021978021978
GE,BES3,17,91,1.8324175824175823,2554.2575274725273,1352.2961538461539,0.8571428571428571
GE,BES3,18,91,1.8461538461538463,2554.637912087912,1333.562664835165,0.8791208791208791
GE,BES3,19,91,1.8461538461538463,2554.6958241758243,1334.2602747252747,1.0
GE,BES3,20,91,1.8461538461538463,2554.6958241758243,1334.3159890109891,1.0
GE,BES3,21,91,1.8461538461538463,2554.6958241758243,1334.3159890109891,1.0
GE,BES3,22,91,1.8379120879120878,2554.6958241758243,1346.152239010989,0.978021978021978
GE,BES3,23,91,1.7912087912087913,2554.6958241758243,1415.3086813186812,0.9120879120879121
GE,BES5,0,37,1.7297297297297298,1829.255135135135,969.4447297297298,1.0
GE,BES5,1,37,1.7297297297297298,1829.255135135135,969.4441891891892,1.0
GE,BES5,2,37,1.7297297297297298,1829.255135135135,969.4449999999999,1.0
GE,BES5,3,37,1.7297297297297298,1829.255135135135,969.4449999999999,1.0
GE,BES5,4,37,1.7297297297297298,1829.255135135135,969.4449999999999,1.0
GE,BES5,5,37,1.7297297297297298,1829.255135135135,969.4449999999999,1.0
GE,BES5,6,37,1.7297297297297298,1829.2281081081082,969.7316216216216,0.972972972972973
GE,BES5,7,37,1.7297297297297298,1829.2281081081082,970.2904391891891,0.9459459459459459
GE,BES5,8,37,1.7297297297297298,1829.7837837837837,971.1063513513512,1.0
GE,BES5,9,37,1.7297297297297298,1829.876216216216,971.3941554054054,0.972972972972973
GE,BES5,10,37,1.7297297297297298,1830.2181081081083,971.6803378378379,0.9459459459459459
GE,BES5,11,38,1.9210526315789473,1860.9755263157897,871.7088157894736,1.0
GE,BES5,12,38,1.9210526315789473,1860.9755263157897,871.7072368421053,1.0
GE,BES5,13,38,1.9210526315789473,1860.9755263157897,871.7043421052631,1.0
GE,BES5,14,38,1.9210526315789473,1860.9755263157897,871.7027631578948,1.0
GE,BES5,15,38,1.9210526315789473,1860.9755263157897,871.7043421052631,1.0
GE,BES5,16,38,1.9013157894736843,1860.9755263157897,900.3573355263158,0.9736842105263158
GE,BES5,17,38,1.9144736842105263,1861.2165131578945,881.7500657894738,0.8947368421052632
GE,BES5,18,38,1.9210526315789473,1861.9899999999998,873.3147368421053,1.0
GE,BES5,19,38,1.9210526315789473,1862.3544736842105,873.6802631578947,1.0
GE,BES5,20,38,1.9210526315789473,1862.3544736842105,873.6802631578947,1.0
GE,BES5,21,38,1.9210526315789473,1862.3544736842105,873.6810526315788,1.0
GE,BES5,22,38,1.9210526315789473,1862.3544736842105,873.6810526315788,1.0
GE,BES5,23,38,1.855263157894737,1862.3544736842105,968.0795394736842,0.9736842105263158
GE,COL4,0,28,1.1428571428571428,516.6810714285714,309.9789285714286,1.0
GE,COL4,1,28,1.1428571428571428,516.6810714285714,309.9789285714286,1.0
GE,COL4,2,28,1.1428571428571428,516.6810714285714,309.9789285714286,1.0
GE,COL4,3,28,1.1428571428571428,516.6810714285714,309.9789285714286,1.0
GE,COL4,4,28,1.1428571428571428,516.6810714285714,309.9789285714286,1.0
GE,COL4,5,28,1.1785714285714286,621.2175,362.2476785714286,1.0
GE,COL4,6,28,1.1785714285714286,621.4399999999999,362.4701785714286,0.9642857142857143
GE,COL4,7,28,1.1785714285714286,614.7114285714287,353.6919642857143,0.9642857142857143
GE,COL4,8,28,1.1785714285714286,615.1046428571428,354.0864285714286,1.0
GE,COL4,9,28,1.1785714285714286,614.9375,353.9192857142857,0.9642857142857143
GE,COL4,10,28,1.1785714285714286,614.4539285714285,353.5703571428571,0.9642857142857143
GE,COL4,11,29,1.2413793103448276,797.6972413793104,445.2862068965517,1.0
GE,COL4,12,29,1.3448275862068966,1097.6258620689655,595.2543103448276,1.0
GE,COL4,13,29,1.3448275862068966,1097.6258620689655,595.2608620689655,1.0
GE,COL4,14,29,1.3448275862068966,1097.6258620689655,595.2608620689655,1.0
GE,COL4,15,29,1.3448275862068966,1105.8158620689655,603.4512068965516,1.0
GE,COL4,16,29,1.3448275862068966,1105.8158620689655,603.5944827586208,1.0
GE,COL4,17,29,1.3448275862068966,1106.431896551724,604.2875,0.896551724137931
GE,COL4,18,29,1.3448275862068966,1107.9468965517242,605.9624137931035,1.0
GE,COL4,19,29,1.3103448275862069,1007.6151724137931,557.6893103448276,1.0
GE,COL4,20,29,1.3103448275862069,1007.6151724137931,557.6870689655173,1.0
GE,COL4,21,29,1.206896551724138,708.0065517241379,407.8815517241379,1.0
GE,COL4,22,29,1.1724137931034482,607.1127586206896,357.43310344827586,1.0
GE,COL4,23,29,1.1379310344827587,656.7131034482759,456.77603448275863,0.9655172413793104
GE,PEGO3,0,86,2.104651162790698,2592.186046511628,992.7588953488372,1.0
GE,PEGO3,1,86,2.104651162790698,2592.186046511628,992.758546511628,1.0
GE,PEGO3,2,86,2.104651162790698,2592.186046511628,992.7587209302326,1.0
GE,PEGO3,3,86,2.104651162790698,2592.186046511628,992.7593023255814,1.0
GE,PEGO3,4,86,2.104651162790698,2592.186046511628,992.76,1.0
GE,PEGO3,5,86,2.104651162790698,2592.186046511628,992.7606976744186,1.0
GE,PEGO3,6,86,2.104651162790698,2592.186046511628,992.7613953488371,1.0
GE,PEGO3,7,86,2.104651162790698,2592.186046511628,992.7616279069767,1.0
GE,PEGO3,8,86,2.104651162790698,2592.186046511628,992.7533139534884,1.0
GE,PEGO3,9,86,2.104651162790698,2592.186046511628,992.768023255814,1.0
GE,PEGO3,10,86,2.104651162790698,2592.186046511628,992.7509302325582,1.0
GE,PEGO3,11,86,2.104651162790698,2592.186046511628,992.732034883721,1.0
GE,PEGO3,12,86,2.104651162790698,2592.186046511628,992.7138953488372,1.0
GE,PEGO3,13,86,2.104651162790698,2592.186046511628,992.6993023255814,1.0
GE,PEGO3,14,86,2.104651162790698,2592.186046511628,992.6938953488373,1.0
GE,PEGO3,15,86,2.104651162790698,2592.186046511628,992.6963953488372,1.0
GE,PEGO3,16,86,2.395348837209302,2541.258604651163,699.4316569767442,0.9883720930232558
GE,PEGO3,17,86,2.4593023255813953,2527.4597674418605,641.690261627907,0.9883720930232558
GE,PEGO3,18,86,2.4767441860465116,2527.4637209302327,616.3998255813954,1.0
GE,PEGO3,19,86,2.686046511627907,2527.4647674418607,314.38098837209304,1.0
GE,PEGO3,20,86,2.686046511627907,2527.466395348837,314.39366279069765,1.0
GE,PEGO3,21,86,2.686046511627907,2527.466627906977,314.40005813953485,1.0
GE,PEGO3,22,86,2.686046511627907,2527.466511627907,314.40453488372094,1.0
GE,PEGO3,23,86,2.604651162790698,2506.396046511628,362.27639534883724,1.0
GE,PEGO4,0,92,1.8043478260869565,2557.9458695652174,1440.4108152173915,1.0
GE,PEGO4,1,92,1.8043478260869565,2557.9442391304347,1440.4081521739129,1.0
GE,PEGO4,2,92,1.8043478260869565,2557.943695652174,1440.408097826087,1.0
GE,PEGO4,3,92,1.8043478260869565,2557.943260869565,1440.4065217391303,1.0
GE,PEGO4,4,92,1.8043478260869565,2557.943152173913,1440.4061413043478,1.0
GE,PEGO4,5,92,1.8043478260869565,2557.9427173913045,1440.4040760869564,1.0
GE,PEGO4,6,92,1.8043478260869565,2557.941630434783,1440.4022282608696,1.0
GE,PEGO4,7,92,1.8043478260869565,2557.9410869565218,1440.4008152173913,1.0
GE,PEGO4,8,92,1.8043478260869565,2557.9404347826085,1440.4107065217393,1.0
GE,PEGO4,9,92,1.8043478260869565,2557.943043478261,1440.4664130434783,1.0
GE,PEGO4,10,92,1.8043478260869565,2557.9491304347825,1440.5727717391305,1.0
GE,PEGO4,11,92,1.8043478260869565,2557.9543478260866,1440.5985869565218,1.0
GE,PEGO4,12,92,1.8043478260869565,2557.959347826087,1440.6232065217391,1.0
GE,PEGO4,13,92,1.8043478260869565,2557.963913043478,1440.6410326086957,1.0
GE,PEGO4,14,92,1.8043478260869565,2557.9655434782608,1440.650543478261,1.0
GE,PEGO4,15,92,1.8043478260869565,2557.966195652174,1440.6495108695653,1.0
GE,PEGO4,16,92,2.032608695652174,2557.963260869565,1221.4673913043478,0.9891304347826086
GE,PEGO4,17,92,2.032608695652174,2557.9545652173915,1221.5422826086956,1.0
GE,PEGO4,18,92,2.032608695652174,2557.9503260869565,1221.5423913043478,1.0
GE,PEGO4,19,92,2.130434782608696,2557.9486956521737,1127.4079891304348,1.0
GE,PEGO4,20,92,2.130434782608696,2557.946847826087,1127.3997826086957,1.0
GE,PEGO4,21,92,2.130434782608696,2557.946304347826,1127.3953804347825,1.0
GE,PEGO4,22,92,2.130434782608696,2557.945543478261,1127.3925,1.0
GE,PEGO4,23,92,2.130434782608696,2557.9458695652174,1127.3903804347826,1.0
GE,PGR5,0,71,1.8028169014084507,2429.8684507042253,1268.2459859154928,1.0
GE,PGR5,1,71,1.8028169014084507,2429.8684507042253,1268.2459859154928,1.0
GE,PGR5,2,71,1.8028169014084507,2429.8684507042253,1268.2459859154928,1.0
GE,PGR5,3,71,1.8028169014084507,2429.8684507042253,1268.2459859154928,1.0
GE,PGR5,4,71,1.8028169014084507,2429.8684507042253,1268.2459859154928,1.0
GE,PGR5,5,71,1.8028169014084507,2429.8684507042253,1268.2459859154928,1.0
GE,PGR5,6,71,1.8028169014084507,2429.798732394366,1268.280633802817,1.0
GE,PGR5,7,71,1.8028169014084507,2429.798732394366,1268.2495070422535,1.0
GE,PGR5,8,71,1.8028169014084507,2430.0312676056337,1268.4984154929577,0.971830985915493
GE,PGR5,9,71,1.8028169014084507,2429.9407042253524,1268.4165669014085,0.8450704225352113
GE,PGR5,10,71,1.8028169014084507,2430.076056338028,1269.054102112676,0.9295774647887324
GE,PGR5,11,71,1.8028169014084507,2430.076056338028,1269.0866197183097,0.9859154929577465
GE,PGR5,12,71,1.8028169014084507,2430.076056338028,1269.10338028169,1.0
GE,PGR5,13,71,1.8028169014084507,2430.076056338028,1269.10338028169,1.0
GE,PGR5,14,71,1.8028169014084507,2430.076056338028,1269.10338028169,1.0
GE,PGR5,15,71,1.8028169014084507,2430.076056338028,1269.10338028169,1.0
GE,PGR5,16,71,1.8028169014084507,2430.076056338028,1269.2430281690142,0.971830985915493
GE,PGR5,17,71,1.7887323943661972,2430.3791549295775,1289.8922887323943,0.8591549295774648
GE,PGR5,18,71,1.8028169014084507,2430.5163380281692,1270.1068485915491,0.8450704225352113
GE,PGR5,19,71,1.8028169014084507,2430.602253521127,1271.216056338028,1.0
GE,PGR5,20,71,1.8028169014084507,2430.602253521127,1271.3144366197182,1.0
GE,PGR5,21,71,1.8028169014084507,2430.602253521127,1271.331267605634,1.0
GE,PGR5,22,71,1.7922535211267605,2430.602253521127,1286.5193485915493,0.971830985915493
GE,PGR5,23,71,1.7535211267605635,2430.602253521127,1345.204647887324,0.9295774647887324
GE,SROQ2,0,66,1.7878787878787878,2384.7516666666666,1243.3490909090908,1.0
