firm,tech,hour_class,n,share_price_only,share_qty_only,share_both,share_neither,mean_cv_p,mean_cv_q
HC,wind,critical,4944,0.10012135922330097,0.41282362459546923,0.23381877022653721,0.2532362459546926,0.01933507638968632,0.04496055590000885
HC,wind,flat,1329,0.13243039879608728,0.38148984198645597,0.23325808878856283,0.2528216704288939,0.02066272429825196,0.042833684910639006
HC,wind,midday,1805,0.09750692520775624,0.3922437673130194,0.27202216066481993,0.23822714681440443,0.025929120718615927,0.03819731943056998
IB,CCGT,critical,7831,0.05580385646788405,0.0005107904482186183,0.0010215808964372365,0.9426637721874601,0.0028173201301693322,0.00048124638448574316
IB,CCGT,flat,2139,0.029920523609163162,0.0,0.0,0.9700794763908368,0.000369947719875207,0.0
IB,CCGT,midday,2852,0.0003506311360448808,0.0,0.0,0.9996493688639552,3.575238626266391e-06,0.0
IB,hydro,critical,7073,0.003393185352749894,0.0012724445072812103,0.004665629860031105,0.9906687402799378,0.0005790925341793252,0.0005252308931819169
IB,hydro,flat,1934,0.0,0.000517063081695967,0.0031023784901758012,0.9963805584281282,0.00016189439553389003,0.00018352103163972802
IB,hydro,midday,2572,0.005443234836702955,0.00038880248833592535,0.003499222395023328,0.9906687402799378,0.0005756865317350407,0.00025957920856758406
IB,nuclear,critical,2907,0.0,0.2999656002751978,0.0,0.7000343997248022,6.2131962164544805e-18,0.13818711404075085
IB,nuclear,flat,800,0.0,0.29125,0.0,0.70875,6.1928976328600246e-18,0.09149522131132155
IB,nuclear,midday,1002,0.0,0.1277445109780439,0.0,0.872255489021956,2.65995681110639e-18,0.030357055973808063
IB,other,critical,764,0.0,0.8363874345549738,0.051047120418848166,0.112565445026178,0.0076454803777773325,0.22987010729764693
IB,other,flat,142,0.0,0.6690140845070423,0.0,0.33098591549295775,4.8898240864280815e-17,0.14378615151127674
IB,other,midday,1058,0.003780718336483932,0.7429111531190926,0.022684310018903593,0.23062381852551986,0.00395632695784263,0.05187130246447885
IB,solar,critical,960,0.0,0.9572916666666667,0.023958333333333335,0.01875,0.0031332538704637804,0.36863258434419527
IB,solar,midday,2275,0.0,0.8967032967032967,0.005274725274725275,0.09802197802197803,0.0004465191483849075,0.05789646442741242
IB,wind,critical,4539,0.0,0.7931262392597488,0.04670632297862965,0.1601674377616215,0.0016294956039622729,0.08558851116990386
IB,wind,flat,1283,0.0,0.7552611067809821,0.041309431021044424,0.2034294621979735,0.001523289661992275,0.0751882909747007
IB,wind,midday,1776,0.0005630630630630631,0.776463963963964,0.023085585585585586,0.1998873873873874,0.001096825918000216,0.07312547234742253
Moeve,CCGT,critical,2024,0.0,0.0,0.0,1.0,0.0,0.0
Moeve,CCGT,flat,552,0.0,0.0,0.0,1.0,0.0,0.0
Moeve,CCGT,midday,736,0.0,0.0,0.0,1.0,0.0,0.0
Moeve,hydro,critical,10048,0.0,0.0016918789808917198,0.0,0.9983081210191083,0.0,0.0004511963204422889
Moeve,hydro,flat,3027,0.0,0.0,0.0,1.0,0.0,0.0
Moeve,hydro,midday,3683,0.0,0.001629106706489275,0.0,0.9983708932935107,0.0,0.0001968550345912527
Moeve,other,critical,3858,0.0,0.002073613271124935,0.0,0.997926386728875,0.0,0.0002501287113672092
Moeve,other,flat,1058,0.0,0.0,0.0,1.0,0.0,0.0
Moeve,other,midday,1395,0.0,0.002150537634408602,0.0,0.9978494623655914,0.0,0.0002481852956236258
Moeve,solar,critical,481,0.0,0.1288981288981289,0.0,0.8711018711018711,0.0,0.0422563376407942
Moeve,solar,midday,1071,0.0,0.14472455648926238,0.0,0.8552754435107376,0.0,0.016949352662648517
Moeve,thermal_nonRE,critical,28791,0.0,0.0008683269077142163,0.0,0.9991316730922858,0.0,0.00020676567496118683
Moeve,thermal_nonRE,flat,7586,0.0,0.0,0.0,1.0,0.0,0.0
Moeve,thermal_nonRE,midday,9729,0.0,0.0016445677870284717,0.0,0.9983554322129715,9.938597909191668e-21,0.00025245287054313813
Repsol,thermal_nonRE,critical,6469,0.0,0.0,0.0,1.0,0.0,0.0
Repsol,thermal_nonRE,flat,1761,0.0,0.0,0.0,1.0,0.0,0.0
Repsol,thermal_nonRE,midday,2345,0.0,0.0,0.0,1.0,0.0,0.0
TotalEnergies,CCGT,critical,1887,0.022257551669316374,0.0,0.0,0.9777424483306836,0.013697408825092659,2.5746455321948165e-05
TotalEnergies,CCGT,flat,507,0.0019723865877712033,0.0,0.0,0.9980276134122288,0.0002111224260756629,9.381586027314566e-06
TotalEnergies,CCGT,midday,688,0.0029069767441860465,0.0,0.0,0.997093023255814,0.0020886987679664235,3.8119619822276956e-06
TotalEnergies,solar,critical,1802,0.0,0.9450610432852387,0.0,0.05493895671476138,2.3372072465367528e-17,0.39944031969598004
TotalEnergies,solar,midday,3234,0.0,0.6818181818181818,0.0,0.3181818181818182,1.5785648036576967e-17,0.03889716966274584
TotalEnergies,wind,critical,869,0.0,0.5350978135788262,0.0,0.46490218642117376,0.0,0.052224229247337176
TotalEnergies,wind,flat,249,0.0,0.5783132530120482,0.0,0.42168674698795183,0.0,0.03780761251917175
TotalEnergies,wind,midday,235,0.0,0.6,0.0,0.4,0.0,0.052731685479625284
