unit_code,firm,pre_mwh,post_mwh,pre_active_obs,post_active_obs,post_share,mwh_drop_pct,exited,firm_group
RIBATE2,,5668.8,26052.1,19.0,96.0,5.052631578947368,-359.56992661586224,False,Fringe
PEGO3,GE,89425.19999999997,412846.80000000075,254.0,1059.0,4.169291338582677,-361.66718106305706,False,GE
PEGO4,GE,172374.10000000015,811196.9000000001,470.0,2101.0,4.470212765957447,-370.6025441177065,False,GE
LARES2,,142378.09999999998,92297.3,470.0,312.0,0.6638297872340425,35.17451068668565,False,Fringe
BES3,GE,431434.79999999993,576189.8,1306.0,1600.0,1.225114854517611,-33.551999050609766,False,GE
ARCOS3,IB,102416.50000000001,23658.0,351.0,86.0,0.245014245014245,76.90020650969326,False,IB
RTG02,,203381.19999999998,0.0,773.0,0.0,0.0,100.00000000000001,True,Fringe
CTGN2,GN,2.0,11416.399999999998,2.0,35.0,17.5,-570719.9999999999,False,GN
LMEJUCA,,1206.300000000004,9.600000000000003,2879.0,24.0,0.008336227856894755,99.20417806515792,True,Fringe
SAGU1,GN,10768.5,142258.40000000014,48.0,423.0,8.8125,-1221.0605005339662,False,GN
GNLOTZ,,564.3999999999851,777.5999999999731,5639.0,7776.0,1.3789679021103032,-37.77462792345741,False,Fringe
PALOS1,GN,301067.0999999998,161232.0,979.0,510.0,0.5209397344228804,46.44648983565454,False,GN
CTJON1,,98495.4,0.0,289.0,0.0,0.0,100.0,True,Fringe
CTJON3,,99924.30000000005,0.0,269.0,0.0,0.0,99.99999999999999,True,Fringe
GNEBRO,,327991.10000001144,554718.1000000174,9278.0,13982.0,1.507005820219875,-69.12596103979592,False,Fringe
UPPTDIS,,421.5000000000028,0.0,1648.0,0.0,0.0,100.0,False,Fringe
EMORPC2,,31962.99999999987,616.6000000000003,9606.0,311.0,0.0323755985842182,98.07089447173294,True,Fringe
WMCHVNR,,1982.1999999999898,1406.3999999999544,8867.0,7032.0,0.793052892748393,29.048531934216445,False,Fringe
ASIAGU,,17750.800000000396,538.5999999999999,5935.0,524.0,0.08828980623420388,96.96577055682006,True,Fringe
ASIDUE,,69380.69999999962,139214.50000000052,5509.0,15349.0,2.7861680885823197,-100.65306346001307,False,Fringe
GNURT1,,6372.799999999999,47297.2,1822.0,13532.0,7.427003293084523,-642.1729851870449,False,Fringe
GNURT2,,6372.799999999999,47297.2,1822.0,13532.0,7.427003293084523,-642.1729851870449,False,Fringe
ALZ1,GN,104438.39999999868,146422.89999999793,9252.0,14817.0,1.6014915693904022,-40.20025201458446,False,GN
ALZ2,GN,83367.59999999954,165260.80000000165,9640.0,11522.0,1.1952282157676348,-98.23144722890254,False,GN
ASC2,GE,5073331.099999904,10866516.39999963,7903.0,13761.0,1.7412375047450335,-114.18898522116635,False,GE
BERR1,,1218.999999999965,273.69999999999703,6095.0,2737.0,0.4490566037735849,77.54716981132034,False,Fringe
COF1,IB,407314.20000000496,2735368.3999999985,2684.0,4604.0,1.7153502235469449,-571.562248504954,False,IB
ECHO,,6156.8000000000075,8610.400000000021,7402.0,9743.0,1.3162658740880844,-39.85187110187128,False,Fringe
LBAT,,3451.9000000000683,943.8000000000154,5401.0,4576.0,0.8472505091649695,72.65853587879148,False,Fringe
PVENT2,,58039.0,37504.0,153.0,94.0,0.6143790849673203,35.381381484863624,False,Fringe
SBEU,GE,1177501.5999999945,2165193.500000004,7355.0,14386.0,1.9559483344663495,-83.88030215840168,False,GE
GDLQ,GE,365760.7000000003,1248086.1999999976,5111.0,12961.0,2.5359029544120526,-241.23026339352384,False,GE
EBRA,IB,65706.70000000011,1579.8999999999933,2193.0,336.0,0.15321477428180574,97.59552678798359,False,IB
GUIG,GE,292610.29999999993,213959.60000000353,4613.0,3487.0,0.755907218729677,26.87899229794591,False,GE
MUEL,IB,2127440.699999996,4120082.300000017,3044.0,4532.0,1.4888304862023654,-93.66379048779244,False,IB
TJEG,GE,234904.6,461127.39999999997,1892.0,3992.0,2.109936575052854,-96.30411664990807,False,GE
CTNJUC2,,261.0000000000021,10302.10000000015,2610.0,12878.0,4.934099616858237,-3847.16475095788,False,Fringe
ARRU2R,DET,31256.600000000002,8720.0,368.0,111.0,0.3016304347826087,72.10189208039262,False,Fringe
MALA1,GN,36696.79999999999,11501.400000000001,110.0,38.0,0.34545454545454546,68.65830263129209,False,GN
RIBATE3,,21980.0,0.0,68.0,0.0,0.0,100.0,True,Fringe
SAGU3,GN,84385.0,453458.70000000065,250.0,1288.0,5.152,-437.3688451739061,False,GN
CTN4,IB,107414.69999999998,158411.49999999977,325.0,542.0,1.6676923076923076,-47.476555815916996,False,IB
CTNU,,18611.79999999999,16000.6,303.0,72.0,0.2376237623762376,14.029809045874067,False,Fringe
