parent,year_month,critical_h18_22,flat_h3_5,other,crit_minus_flat
GE,2024-05-01,15.354913294797688,12.212903225806452,9.562809917355372,3.1420100689912367
GE,2024-06-01,42.17724137931035,56.87357142857144,45.063754646840145,-14.696330049261086
GE,2024-07-01,31.75175438596491,85.2040650406504,40.55059523809524,-53.45231065468549
GE,2024-08-01,39.69432624113475,24.7,18.34679487179487,14.994326241134754
GE,2024-09-01,33.23968253968254,40.56707317073171,24.61790322580645,-7.32739063104917
GE,2024-10-01,42.91396648044693,54.57948717948718,39.89341085271318,-11.66552069904025
GE,2024-11-01,68.06785714285714,60.019503546099294,65.83016421780466,8.048353596757842
GE,2024-12-01,44.04329896907216,65.24495114006515,50.373137876386686,-21.201652170992993
GE,2025-01-01,38.722051282051275,60.07070707070707,53.08323765786452,-21.348655788655797
GE,2025-02-01,49.536875,31.7020979020979,46.70440917107583,17.8347770979021
GE,2025-03-01,14.722008547008546,10.514843749999999,8.905668016194332,4.207164797008547
GE,2025-04-01,4.827839116719243,2.164402173913044,-0.3409048067860509,2.6634369428061992
GE,2025-05-01,4.423246402877697,0.7223514211886305,0.9237173507462687,3.700894981689067
GE,2025-06-01,5.217393509127789,13.810944363103953,6.767467590523022,-8.593550853976165
GE,2025-07-01,7.540608740894902,10.369086021505376,4.358430097538319,-2.8284772806104748
GE,2025-08-01,14.853799460431654,7.773813420621932,9.065884935304991,7.0799860398097225
GE,2025-09-01,19.666081204379562,10.007277960526316,13.731576116191501,9.658803243853246
GE,2025-10-01,2.964188422247446,6.982448377581122,6.450078864353312,-4.018259955333676
GE,2025-11-01,14.82922459893048,7.62108,8.009391096394408,7.20814459893048
GE,2025-12-01,22.869599723947548,12.889779161947905,14.168431221020093,9.979820561999643
GN,2024-01-01,44.41520146520147,16.78343195266272,40.116297183942486,27.63176951253875
GN,2024-02-01,51.05324675324676,21.057241379310344,37.620792880258904,29.996005373936416
GN,2024-03-01,38.07211328976035,21.3589905362776,26.4415640839971,16.713122753482754
GN,2024-04-01,38.64249291784702,13.702020202020202,17.920260223048327,24.94047271582682
