parent,year_month,critical,flat,diff
GN,2025-05-01,1.1787689121037461,-2.1641714520098443,3.3429403641135904
GN,2025-06-01,8.126463821009205,9.933847669074192,-1.8073838480649869
GN,2025-07-01,4.718908214927326,1.8288946587537087,2.890013556173617
GN,2025-08-01,8.17286222295733,7.252060055865921,0.9208021670914084
GN,2025-09-01,8.518046672428696,8.109726502311247,0.4083201701174488
GN,2025-10-01,6.091261471582676,7.397523271276597,-1.306261799693921
GN,2025-11-01,9.278070565232845,2.698278388278388,6.579792176954458
GN,2025-12-01,8.040128976784178,2.784519104084321,5.255609872699857
GN,2026-01-01,8.935101744186047,4.177806122448979,4.757295621737068
HC,2024-01-01,9.669874476987442,9.63260188087774,0.037272596109701794
HC,2024-02-01,1.7548115299334797,0.8558139534883723,0.8989975764451074
HC,2024-03-01,0.9475950349107848,0.28381410256410294,0.6637809323466819
HC,2024-04-01,7.675337533753375,3.9283950617283945,3.74694247202498
HC,2024-05-01,2.3724207145724607,1.1883540372670809,1.1840666773053798
HC,2024-06-01,3.829173622704509,2.5778491171749582,1.2513245055295505
HC,2024-07-01,5.482938204430626,7.38090523338048,-1.8979670289498536
HC,2024-08-01,6.871624955939367,8.003960396039604,-1.1323354401002366
HC,2024-09-01,5.37800944138474,6.606546644844518,-1.2285372034597781
HC,2024-10-01,10.08378288378288,9.036351165980799,1.0474317178020804
HC,2024-11-01,6.202701024526542,9.377454545454547,-3.1747535209280056
HC,2024-12-01,5.914933090024333,11.007175925925932,-5.092242835901598
HC,2025-01-01,3.047760308513798,8.693340611353715,-5.645580302839917
HC,2025-02-01,8.260045146726858,11.263752913752917,-3.003707767026059
HC,2025-03-01,6.458364561027833,5.944337606837608,0.5140269541902249
HC,2025-04-01,9.218231020166066,10.430209481808163,-1.2119784616420972
HC,2025-05-01,10.299041859200873,7.081587473002163,3.2174543861987104
HC,2025-06-01,9.3133667281835,9.858525708289612,-0.5451589801061125
HC,2025-07-01,5.225722763237979,9.155721393034824,-3.929998629796845
HC,2025-08-01,6.709089662736501,10.30503791982665,-3.59594825709015
HC,2025-09-01,5.624766143633074,6.78677639046538,-1.1620102468323061
HC,2025-10-01,9.02327706473215,14.093921139101862,-5.070644074369712
HC,2025-11-01,2.7409592931524145,8.683558282208592,-5.942598989056178
HC,2025-12-01,6.400830903790089,9.93037938844847,-3.529548484658381
HC,2026-01-01,11.773872180451123,12.012987012987013,-0.23911483253588983
IB,2024-01-01,8.564459316660798,39.679824561403514,-31.115365244742716
IB,2024-02-01,23.503286384976537,47.859485530546635,-24.3561991455701
IB,2024-03-01,58.98982843137253,102.16274509803922,-43.172916666666694
IB,2024-04-01,72.52413905133206,91.28970358814354,-18.765564536811482
IB,2024-05-01,55.91288147622425,56.57124735729387,-0.6583658810696207
IB,2024-06-01,28.94294187425861,34.00454545454546,-5.061603580286846
IB,2024-07-01,18.645125140082193,43.302808988764056,-24.657683848681863
IB,2024-08-01,22.5124874455976,39.86699186991871,-17.354504424321107
IB,2024-09-01,20.32233502538072,27.06482412060302,-6.7424890952223
