parent,year_month,critical_h18_22,flat_h3_5,other,crit_minus_flat
GE,2025-12-01,184.40964285714284,93.75,326.5609374999998,90.65964285714284
GN,2024-01-01,1116.6888888888889,885.1666666666666,441.05694444444447,231.52222222222224
GN,2024-02-01,724.35,,90.925,
GN,2024-03-01,825.44,,7.479166666666667,
GN,2024-05-01,,72.76666666666667,,
GN,2024-06-01,939.2,,19.583333333333332,
GN,2024-07-01,331.0888888888889,609.0466666666667,201.05625000000006,-277.95777777777784
GN,2024-08-01,436.1316666666666,947.6121212121212,242.3546052631579,-511.4804545454546
GN,2024-09-01,856.1574999999999,864.6066666666668,192.41477272727263,-8.449166666666883
GN,2024-10-01,1036.0233333333335,580.8333333333334,26.176442307692312,455.19000000000017
GN,2024-11-01,1695.5338461538458,561.1166666666666,236.91630434782596,1134.4171794871793
GN,2024-12-01,1844.294285714288,1004.3074074074076,842.1795454545463,839.9868783068804
GN,2025-01-01,995.5644444444443,422.3333333333333,153.05583333333337,573.231111111111
GN,2025-02-01,1419.503999999999,200.89999999999998,131.31964285714284,1218.603999999999
GN,2025-03-01,235.44,,0.41776315789473684,
GN,2025-04-01,769.1800000000001,,23.4375,
GN,2025-06-01,836.7771428571426,881.647222222222,299.78666666666646,-44.87007936507939
GN,2025-07-01,660.0511111111111,1423.8117647058832,488.98472222222233,-763.7606535947721
GN,2025-08-01,420.4125000000001,878.9307692307693,284.6695312499999,-458.51826923076925
GN,2025-09-01,1015.317142857143,1535.1999999999998,398.4743055555555,-519.8828571428568
GN,2025-10-01,718.6932142857144,520.5642857142859,1805.9370404411775,198.12892857142845
GN,2025-11-01,241.69099999999997,77.01666666666667,286.40833333333336,164.67433333333332
GN,2025-12-01,364.3908333333333,65.15833333333333,676.4028645833334,299.23249999999996
HC,2024-01-01,371.0,321.55833333333334,145.5078125,49.44166666666666
HC,2024-02-01,,,9.375,
HC,2024-03-01,,,9.375,
HC,2024-06-01,,,9.375,
HC,2024-07-01,366.3,371.0,64.215,-4.699999999999989
HC,2024-08-01,371.0,371.0,36.12596153846154,0.0
HC,2024-09-01,,,9.375,
HC,2024-10-01,203.0,130.66666666666666,11.725961538461538,72.33333333333334
HC,2024-11-01,474.85714285714283,315.5,127.65338541666667,159.35714285714283
HC,2024-12-01,443.8,330.91777777777776,255.41666666666666,112.88222222222225
HC,2025-01-01,369.8,223.46666666666667,122.46875,146.33333333333334
HC,2025-02-01,,,11.25,
HC,2025-03-01,,,8.125,
HC,2025-07-01,262.0,426.0,249.0,-164.0
HC,2025-09-01,376.32,20.0,256.25,356.32
HC,2025-10-01,87.94666666666667,52.266666666666666,347.58541666666696,35.68000000000001
