tech_group,year_month,critical,flat,diff
Direct_consumer,2025-06-01,-0.1309036445331999,-0.2830184108527133,0.1521147663195134
Direct_consumer,2025-07-01,-1.035542483660131,-1.1218451749734892,0.08630269131335822
Direct_consumer,2025-08-01,-0.5497723725286164,-0.34466351209253404,-0.2051088604360824
Direct_consumer,2025-09-01,-0.4119850187265918,-0.34176610978520283,-0.07021890894138899
Direct_consumer,2025-10-01,-3.7441064952192535,-5.289002403846155,1.5448959086269012
Direct_consumer,2025-11-01,-0.4212025316455701,-0.5741525423728813,0.15295001072731118
Direct_consumer,2025-12-01,-0.40937695190505885,-0.3303921568627452,-0.07898479504231365
Direct_consumer,2026-01-01,-0.17606951871657753,-0.19285714285714287,0.016787624140565338
Generic,2024-02-01,409.76666666666665,239.34444444444443,170.42222222222222
Generic,2024-03-01,-16.2,,
Generic,2024-04-01,-50.98571428571428,,
Generic,2024-08-01,-80.05714285714285,-157.5666666666667,77.50952380952384
Generic,2025-02-01,-41.511428571428574,-119.40000000000002,77.88857142857145
Generic,2025-12-01,-145.70454545454547,-166.725,21.020454545454527
Hybrid_RES,2024-03-01,-0.08808777429467084,-0.1378048780487805,0.04971710375410966
Hybrid_RES,2024-04-01,2.5007407407407407,2.124,0.3767407407407406
Hybrid_RES,2024-05-01,0.5586750788643532,-0.16162790697674412,0.7203029858410973
Hybrid_RES,2024-06-01,0.7797909407665504,1.395061728395062,-0.6152707876285115
Hybrid_RES,2024-07-01,-0.17138364779874213,-0.39285714285714285,0.22147349505840072
Hybrid_RES,2024-08-01,-1.0083333333333333,-1.1336206896551724,0.12528735632183907
Hybrid_RES,2024-09-01,-0.4792792792792793,-0.49499999999999994,0.015720720720720616
Hybrid_RES,2024-10-01,0.06562500000000009,0.13370786516853933,-0.06808286516853924
Hybrid_RES,2024-11-01,-0.6289757412398921,-0.8476190476190478,0.21864330637915574
Hybrid_RES,2024-12-01,-0.3429729729729731,-0.3912371134020619,0.04826414042908883
Hybrid_RES,2025-01-01,-0.8864386792452829,0.0742574257425743,-0.9606961049878572
Hybrid_RES,2025-02-01,-0.7748502994011977,-0.3097560975609756,-0.46509420184022204
Hybrid_RES,2025-03-01,-0.33994755244755254,-0.7145927601809955,0.37464520773344295
Hybrid_RES,2025-04-01,1.2738081725312138,-0.940266393442623,2.214074565973837
Hybrid_RES,2025-05-01,4.138577586206898,2.1888157894736837,1.9497617967332141
Hybrid_RES,2025-06-01,1.5858135942327494,0.12685185185185185,1.4589617423808976
Hybrid_RES,2025-07-01,-0.20426167209554819,-0.15029182879377428,-0.0539698433017739
Hybrid_RES,2025-08-01,0.06825955734406422,-0.5852355072463767,0.6534950645904409
