market,reform,tech,firm,unit_code,outcome,theta,se,t,n
IDA,DA15,CCGT,GN,CTGN1,slope,0.5125555721870025,0.41235219787120764,1.24300434151461,15212
IDA,DA15,CCGT,GN,CTGN3,slope,-1.5601443911575137,1.966316570390441,-0.7934350015916939,10968
IDA,DA15,CCGT,IB,CTJON2,slope,0.1987371656732535,0.06364844618891351,3.12241975371066,223
IDA,DA15,CCGT,IB,CTN3,slope,0.08357392703895894,0.033935914851527665,2.462698512905915,1485
IDA,DA15,CCGT,IB,CTN4,slope,0.08386619138180829,0.03992254514365477,2.100722563654934,507
IDA,DA15,CCGT,IB,ESC6,slope,0.3154909973585891,0.21849216354874554,1.4439465115562515,3135
IDA,DA15,CCGT,HC,LARES2,slope,-0.02441417618652242,0.14014259020090106,-0.17420954009429637,472
IDA,DA15,CCGT,GN,MALA1,slope,-0.10690860783553102,0.08326555507691775,-1.2839475787649846,5545
IDA,DA15,CCGT,GN,PALOS1,slope,0.08200346072032438,0.23426100676332814,0.35005168744609627,7460
IDA,DA15,CCGT,GN,PALOS2,slope,-0.5856683308061221,0.3812660520189665,-1.5361145523047706,16145
IDA,DA15,CCGT,GN,PALOS3,slope,0.5021058518221562,1.0581452861981129,0.4745150390701156,4498
IDA,DA15,CCGT,GN,PBCN1,slope,8.11009124478528,1.267341267815807,6.399295478448814,2966
IDA,DA15,CCGT,GN,PBCN2,slope,0.4071148792097734,1.1736989159401647,0.34686483363040627,5045
IDA,DA15,CCGT,GE,PEGO3,slope,-0.4121815875994148,0.4364294296590552,-0.9444404056834959,2628
IDA,DA15,CCGT,GE,PEGO4,slope,0.02669672147543878,0.2784335991292168,0.09588182445987503,4777
IDA,DA15,CCGT,GE,PGR5,slope,-4.644960791284197,5.624925995100769,-0.8257816716753059,4242
IDA,DA15,CCGT,GN,SAGU1,slope,11.964840738542065,9.130464481397276,1.3104306755608814,5781
IDA,DA15,CCGT,GN,SAGU2,slope,1.1254110785828866,2.3322636334796574,0.48254025077937346,11040
IDA,DA15,CCGT,GN,SAGU3,slope,0.29558754287302236,1.2221574199489884,0.2418571765373399,7805
IDA,DA15,CCGT,GN,SBO3,slope,0.41742662529153796,0.3562802515018345,1.1716243702308844,9054
