"reform","outcome_family","outcome","side","eff","lo","hi","p","n_pre","n_post","n_cov"
"ID15","cleared_gwh","q_nuclear_gwh_da","real",56.8069116536865,-66.4175410774857,183.116885541298,0.190352020860495,870,40,9
"ID15","cleared_gwh","q_nuclear_gwh_da","placebo",-21.6141110861646,-41.4726077423545,-1.17748184653196,0.0175879396984925,505,40,7
"DA15","cleared_gwh","q_nuclear_gwh_da","real",-42.7491928916875,-175.741400886978,91.2107539421569,0.265193370165746,1066,40,9
"DA15","cleared_gwh","q_nuclear_gwh_da","placebo",-9.91289825784901,-141.233731060894,123.167653963523,0.43859649122807,701,40,7
"ID15","cleared_gwh","q_ccgt_gwh_ida","real",-6.68483646340925,-14.3922907981342,1.4636059269189,0.0615020697811946,870,40,9
"ID15","cleared_gwh","q_ccgt_gwh_ida","placebo",-8.64100445672932,-11.3114558335823,-6.03885713308975,0.000534188034188034,505,40,7
"DA15","cleared_gwh","q_ccgt_gwh_ida","real",0.865391518546943,-7.85244718820167,9.93484905806469,0.436666666666667,1065,40,9
"DA15","cleared_gwh","q_ccgt_gwh_ida","placebo",1.52095492474442,-5.36218174347283,8.72302642325932,0.351397121083827,701,40,7
"ID15","cleared_gwh","q_hydro_gwh_ida","real",-1.22944503174101,-2.74367101652641,0.417819095861466,0.0664,870,40,9
"ID15","cleared_gwh","q_hydro_gwh_ida","placebo",4.43003284833284,3.20665042015176,5.89275709057678,0.000512820512820513,505,40,7
"DA15","cleared_gwh","q_hydro_gwh_ida","real",0.319031571614675,-1.12406803529574,2.10751079614272,0.333333333333333,1065,40,9
"DA15","cleared_gwh","q_hydro_gwh_ida","placebo",-0.87768857721556,-2.26748711119977,0.5279544013831,0.11317907444668,701,40,7
"ID15","cleared_gwh","q_hydro_pump_gwh_ida","real",-0.293819614531442,-0.914506420534654,0.341266399455493,0.170818505338078,869,40,9
"ID15","cleared_gwh","q_hydro_pump_gwh_ida","placebo",0.414798569514315,-0.247433756878003,1.04581135523763,0.104208416833667,505,40,7
"DA15","cleared_gwh","q_hydro_pump_gwh_ida","real",-0.504516349529488,-1.08365245553179,0.0571598601334654,0.0442477876106195,1064,40,9
"DA15","cleared_gwh","q_hydro_pump_gwh_ida","placebo",-0.917119801054235,-1.51478571784591,-0.313076402647743,0.00253292806484296,701,40,7
"ID15","cleared_gwh","q_wind_gwh_ida","real",5.74315507115874,2.91945991831984,8.83570964883558,0.000600600600600601,870,40,9
"ID15","cleared_gwh","q_wind_gwh_ida","placebo",7.8258012240316,5.72225651965008,9.59107015004699,5e-04,505,40,7
"DA15","cleared_gwh","q_wind_gwh_ida","real",-0.229668334666751,-3.36561671923005,2.94560226112716,0.440281030444965,1065,40,9
"DA15","cleared_gwh","q_wind_gwh_ida","placebo",-0.0061859365791932,-3.07825831970073,2.89939362520611,0.475675675675676,701,40,7
"ID15","cleared_gwh","q_solar_gwh_ida","real",6.14537776296778,4.14954064822921,8.20350649070811,0.000669792364367046,870,40,9
"ID15","cleared_gwh","q_solar_gwh_ida","placebo",2.47438428492185,1.86366955926726,3.12762613272673,0.000506072874493927,505,40,7
"DA15","cleared_gwh","q_solar_gwh_ida","real",-3.69896417100868,-6.48955804676015,-0.834551831087956,0.00471204188481675,1065,40,9
"DA15","cleared_gwh","q_solar_gwh_ida","placebo",-1.27294932007428,-3.16940550349292,0.580384818141912,0.0937972768532526,701,40,7
"ID15","cleared_gwh","q_nuclear_gwh_ida","real",9.53343545697527,0.603488610165701,18.3695612617455,0.0200300450676014,308,32,9
"ID15","cleared_gwh","q_nuclear_gwh_ida","placebo",23.5454922105367,15.419155735262,31.405852262881,0.000500751126690035,165,38,7
"DA15","cleared_gwh","q_nuclear_gwh_ida","real",-2.73575194423741,-11.5189202623178,5.16701347781683,0.257,486,32,9
"DA15","cleared_gwh","q_nuclear_gwh_ida","placebo",-23.1348959577353,-38.5541872969662,-7.5303627513996,0.00304568527918782,275,8,7
"ID15","wedge_sd","wedge_sd","real",1.15265735406129,0.00800855146647612,2.2304799704137,0.0248190279214064,870,40,9
"ID15","wedge_sd","wedge_sd","placebo",-0.960347014728085,-2.06994330590174,0.121319293366866,0.0400616332819723,505,40,7
"DA15","wedge_sd","wedge_sd","real",1.11787932659364,-0.454291251349996,2.37574983741472,0.0809451985922574,1064,40,9
"DA15","wedge_sd","wedge_sd","placebo",0.090748083545904,-0.980941710699118,1.15033136558683,0.423464249748238,701,40,7
"ID15","wedge_sd","wedge_sd_critical","real",2.11997812822743,0.970600394368426,3.29819134125312,0.000500751126690035,870,40,9
"ID15","wedge_sd","wedge_sd_critical","placebo",-0.676474803728366,-1.90468372019604,0.477027542558093,0.118421052631579,505,40,7
"DA15","wedge_sd","wedge_sd_critical","real",1.15313689477633,-0.785442245953926,2.5735488628208,0.107756376887038,1064,40,9
"DA15","wedge_sd","wedge_sd_critical","placebo",-0.0536436255250425,-1.43338415168132,1.20803631099377,0.491696024157021,701,40,7
"ID15","sell_share","SS_CCGT","real",-0.0145277773342147,-0.147289151067092,0.116964735453001,0.400190114068441,751,38,7
"ID15","sell_share","SS_CCGT","placebo",NA,NA,NA,NA,0,0,0
"DA15","sell_share","SS_CCGT","real",-0.0392737589213306,-0.159249454395708,0.07986230634153,0.261477045908184,940,40,7
"DA15","sell_share","SS_CCGT","placebo",0.129107377136184,0.0568504431711373,0.20537518179988,0.000580720092915215,593,37,5
"ID15","sell_share","SS_Hydro","real",0.0628440873247033,-0.00331558417743952,0.130007829325723,0.0309892729439809,751,38,7
"ID15","sell_share","SS_Hydro","placebo",NA,NA,NA,NA,0,0,0
"DA15","sell_share","SS_Hydro","real",-0.0234556815020844,-0.0917786599107121,0.0447802423829863,0.255237045203969,940,40,7
"DA15","sell_share","SS_Hydro","placebo",0.00823886612666613,-0.0739102296700015,0.0915218641368848,0.422853828306265,593,37,5
"ID15","sell_share","SS_Hydro_pump","real",0.130241956947218,0.0684391726957372,0.192379239490728,0.000731528895391368,751,38,7
