"reform","outcome","tech","market","hour_class","eff","lo","hi","rel","p","n_pre","n_post"
"DA15","q","hydro","da","flat",80272.6550580113,78124.3671973026,82504.1816207665,3.57692134281356,0.000710227272727273,156,40
"DA15","q","hydro","ida","critical",-36090.019569495,-75950.6690276986,12060.3194246091,-0.116916609973318,0.0746934225195095,151,40
"DA15","q","hydro","ida","midday",6615.982487645,-9813.61554666217,22809.5391175062,0.076835263854542,0.223631508678238,151,40
"DA15","q","hydro","ida","flat",-2059.79217792717,-15076.8105432729,9812.5493950521,-0.020329233671207,0.377333333333333,150,40
"DA15","q","hydro_pump","da","critical",66741.7932549085,64825.6313717036,68322.7589860516,3.67101101595472,0.000815660685154976,156,40
"DA15","q","hydro_pump","da","midday",20735.8476941156,20493.2758285795,20981.6081180745,3.87148886085952,0.000688231245698555,156,40
"DA15","q","hydro_pump","da","flat",16881.6993590058,16523.1880625302,17200.876203804,3.90061043999466,0.000668002672010688,156,40
"DA15","q","hydro_pump","ida","critical",-10168.3884190081,-15628.0770745861,-5002.57883436353,-0.391084885528126,0.000695410292072323,151,40
"DA15","q","hydro_pump","ida","midday",-521.8561012878,-3189.88997620239,1910.89988684135,-0.059864219816456,0.358238825883923,105,16
"DA15","q","hydro_pump","ida","flat",-3178.35457483242,-6715.79181663174,109.871839367767,-0.289556638735285,0.0300802139037433,150,36
"PLB_ID15","p","ccgt","da","critical",-4.31779447878726,-9.01812142073138,0.8469385470348,-0.0750941626578945,0.0538336052202284,279,40
"PLB_ID15","p","ccgt","da","midday",-2.38980665608002,-7.89734421136797,3.47312710213651,-0.0414239606025332,0.198913781398506,279,40
"PLB_ID15","p","ccgt","da","flat",9.09639302618906,-0.897755106654362,18.0079389867337,0.105250061277284,0.036,279,40
"PLB_ID15","p","ccgt","ida","critical",18.264675799863,10.3549485458827,25.5643392076623,0.322694235874618,0.000892857142857143,271,27
"PLB_ID15","p","ccgt","ida","midday",13.8220921663631,7.47442234401104,20.1895134328656,0.210366714394272,0.000892857142857143,271,27
"PLB_ID15","p","ccgt","ida","flat",14.2028488033148,4.14937500129333,22.974291450504,0.209848690327303,0.00111731843575419,271,27
"PLB_ID15","p","hydro","da","critical",-3.49393266779591,-29.5153724377655,22.1774000075706,0.494057537112716,0.395035460992908,279,40
"PLB_ID15","p","hydro","da","midday",-5.69503177990008,-32.7867447828345,21.0575694338199,-0.420517910713814,0.336619718309859,279,40
"PLB_ID15","p","hydro","da","flat",-5.88318351075935,-33.380927482208,20.766886677848,0.896641154082385,0.333333333333333,279,40
"PLB_ID15","p","hydro","ida","critical",1.35463445643194,-21.6917785736524,23.396861265453,0.6392741043306,0.454735376044568,271,27
"PLB_ID15","p","hydro","ida","midday",-3.45359656909515,-28.3694552054903,21.281664623603,2.11309790674538,0.385756676557863,271,27
"PLB_ID15","p","hydro","ida","flat",-3.50570235124201,-29.4334030897965,21.161160774627,-0.306271098113962,0.384272997032641,271,27
"PLB_ID15","p","hydro_pump","da","critical",-11.5974213633126,-54.0662617010743,30.9070077952945,-0.908925657665642,0.280295047418335,279,40
"PLB_ID15","p","hydro_pump","da","midday",-14.1818529705417,-58.621331735058,31.2007755595389,-0.227801834391654,0.243744207599629,279,40
"PLB_ID15","p","hydro_pump","da","flat",-13.09025385545,-58.4461650032707,32.8013288234407,0.0111065990765929,0.282240235814296,279,40
"PLB_ID15","p","hydro_pump","ida","critical",-4.58481136870859,-33.2961510277809,22.1550472560136,0.204616558587848,0.356824925816024,271,27
"PLB_ID15","p","hydro_pump","ida","midday",-24.7345228948043,-41.1779469761683,-6.52993661989564,-0.404165638024113,0.00649819494584838,267,27
"PLB_ID15","p","hydro_pump","ida","flat",-18.0808351317716,-38.9063140382111,3.93212054387631,-0.370789894002501,0.0539568345323741,270,27
"PLB_ID15","q","ccgt","da","critical",-12881.9824358813,-31506.961926672,6175.55486708135,-0.0956797570649583,0.0775716694772344,279,40
"PLB_ID15","q","ccgt","da","midday",-441.547130352978,-6042.5903752077,5683.7006923853,-0.00520685557336343,0.418212478920742,279,40
"PLB_ID15","q","ccgt","da","flat",-2166.94216805908,-6775.19544122736,2570.84660471203,-0.160410545531232,0.186340640809444,279,40
"PLB_ID15","q","ccgt","ida","critical",-24561.586589702,-36299.3650329402,-13232.067735473,-0.371208036765054,0.00148588410104012,271,27
"PLB_ID15","q","ccgt","ida","midday",-8500.25548721302,-13237.8947838426,-3526.53823681947,-0.420631700106125,0.00202156334231806,271,27
