market,tech,outcome,regime,beta_crit,se_crit,beta_mid,se_mid,n_curves
IDA,Hydro,n_eff,3sess,-0.20375166311756676,0.03580196048675278,0.21927210131594355,0.0378445348689855,71743
IDA,Hydro,n_eff,ISP15_win,-0.40372669168990866,0.05258271377122294,0.06183067151395222,0.044771752993545084,48399
IDA,Hydro,n_eff,ID15_pre,-0.14513198595992305,0.04615449928763441,0.0021255299458622368,0.0650832880863796,70919
IDA,Hydro,n_eff,ID15_post,-0.1565828680723318,0.030228412576989133,-0.09408834777711023,0.052443655764737696,291311
IDA,Hydro,n_eff,DA15_ID15,-0.33748996884228866,0.03604584568798043,-0.07955062518463163,0.03791304621343553,227100
DA,Hydro_pump,sigma_p,pre_IDA,0.9150337257987129,0.13350926332592986,-1.1731298753175219,0.15975597745854264,75652
DA,Hydro_pump,sigma_p,3sess,1.8365802445012287,0.23377359797594316,-2.284998994516277,0.29787590884006604,14692
DA,Hydro_pump,sigma_p,ISP15_win,1.6542034004881847,0.36114636016540497,-0.5147201588235513,0.4195528343824328,8986
DA,Hydro_pump,sigma_p,ID15_pre,1.1454033662200533,0.5917918227045172,-4.716158751231523,0.9265435962407355,3270
DA,Hydro_pump,sigma_p,ID15_post,0.7084104785093146,0.26601860102009994,-6.538869921932474,0.3772532417159196,13372
DA,Hydro_pump,sigma_p,DA15_ID15,2.369869202395149,0.3811434830000246,-3.286323636713628,0.46589194467034656,41230
DA,Hydro_pump,n_eff,pre_IDA,-0.05473858877971946,0.01409183127138427,-0.0003714846105193348,0.016642823432336425,75652
DA,Hydro_pump,n_eff,3sess,0.16264155514044645,0.02512323489347955,-0.33502194438052085,0.04187098187459765,14692
DA,Hydro_pump,n_eff,ISP15_win,0.23198285410323663,0.035375782128673046,-0.03792954400040455,0.037674329022142336,8986
DA,Hydro_pump,n_eff,ID15_pre,0.19546099232565975,0.048890995808309634,-0.3313202690571228,0.06344204513967247,3270
DA,Hydro_pump,n_eff,ID15_post,0.04727871084238636,0.02483147190985117,-0.48423958933572203,0.0448236386354132,13372
DA,Hydro_pump,n_eff,DA15_ID15,0.25826898173353197,0.028662041028933324,-0.10516597710434394,0.03266760837723391,41230
IDA,Hydro_pump,sigma_p,pre_IDA,1.615699576606041,0.10837545843539133,-0.3399320587068382,0.1092547180783136,124314
IDA,Hydro_pump,sigma_p,3sess,-0.5171717412220542,0.2702625850954176,-0.8901412137480835,0.31510763894432237,19299
IDA,Hydro_pump,sigma_p,ISP15_win,-0.07984631859961766,0.2675149484099808,0.17704841366005653,0.3221759869056569,11419
IDA,Hydro_pump,sigma_p,ID15_pre,0.01157004690955743,0.2552390804117479,0.6848383526338333,0.36235405751458405,17431
IDA,Hydro_pump,sigma_p,ID15_post,-0.044040799577903744,0.2070175732308478,0.11616197159019892,0.24024406057723832,59464
IDA,Hydro_pump,sigma_p,DA15_ID15,0.40759878809960437,0.22170403984356718,-0.05998255545921127,0.23921684055565598,35447
IDA,Hydro_pump,n_eff,pre_IDA,0.043542432957731414,0.019212195345061467,0.05325594896396402,0.024341650118404397,124314
IDA,Hydro_pump,n_eff,3sess,-0.0934979479329876,0.04210299437556909,0.021972090179365966,0.05115667036574976,19299
IDA,Hydro_pump,n_eff,ISP15_win,-0.2056631958791042,0.05080980810997443,0.09065444372852907,0.05110501700181981,11419
IDA,Hydro_pump,n_eff,ID15_pre,0.014541468888431108,0.0699118451733273,0.20274322011128743,0.09506737017546743,17431
IDA,Hydro_pump,n_eff,ID15_post,-0.08502679979348396,0.045926399777347825,0.1033876286058987,0.055404442458812965,59464
IDA,Hydro_pump,n_eff,DA15_ID15,-0.07077560722098908,0.0560969991300122,-0.08444660540526272,0.06403945511710693,35447
DA,Wind,sigma_p,pre_IDA,0.020860162185579956,0.006632545965700591,0.004078729333428122,0.010645882711476418,2482362
DA,Wind,sigma_p,3sess,-0.010685028016868436,0.016189502525076498,-0.09965232402923219,0.024203439320227078,745255
DA,Wind,sigma_p,ISP15_win,0.02826375432450945,0.03479014754309068,-0.15342771637919128,0.035991472424755394,413716
DA,Wind,sigma_p,ID15_pre,0.03407697842039914,0.021407520905069127,-0.04151350303679102,0.024418075981090425,203632
DA,Wind,sigma_p,ID15_post,-0.13899361638845198,0.021542409990963057,-0.46189421774187656,0.03647905458345983,781295
DA,Wind,sigma_p,DA15_ID15,0.011820660444031628,0.027828020455655324,-0.33363992431090406,0.03699057689714692,2908778
DA,Wind,n_eff,pre_IDA,-0.001451652455575686,0.0006076504131425391,-0.007747576726843536,0.0008779873128934541,2482362
DA,Wind,n_eff,3sess,-5.150396538922131e-06,0.0015845102179785373,-0.011957985007028576,0.00204888339644888,745255
DA,Wind,n_eff,ISP15_win,-0.0019150405731378356,0.0030141946129237027,-0.026348353865017493,0.0027687387178039905,413716
DA,Wind,n_eff,ID15_pre,-0.015212475423961508,0.0024383184357747913,-0.024219888028229247,0.003646379127268709,203632
DA,Wind,n_eff,ID15_post,-0.014348478435475293,0.001519833446111856,-0.04107218143700128,0.00288227953739369,781295
DA,Wind,n_eff,DA15_ID15,-0.010014352288100575,0.002118277380743296,-0.023379708105160685,0.0028137847797352704,2908778
IDA,Wind,sigma_p,pre_IDA,0.0896315245753928,0.08762593645705823,-0.1698858338416679,0.08199726789372412,410988
IDA,Wind,sigma_p,3sess,0.02386750659579795,0.12312867994133235,0.10954488726294909,0.11737414718316398,23386
IDA,Wind,sigma_p,ISP15_win,-0.007858886864961945,0.12238071839444889,0.047512059458564626,0.11680304806557502,16758
IDA,Wind,sigma_p,ID15_pre,0.0628139380076112,0.12502714854021044,0.17867133658063272,0.117984184495483,49127
IDA,Wind,sigma_p,ID15_post,0.022422400069212922,0.12362480758529268,0.06593381379990493,0.11603211241813176,208050
IDA,Wind,sigma_p,DA15_ID15,-0.004172972091058158,0.12364462475519375,0.010508739179476256,0.11596817558885565,193349
IDA,Wind,n_eff,pre_IDA,0.017767434383407374,0.0016758331927702143,0.0051819487786759,0.0019232455107074063,410988
IDA,Wind,n_eff,3sess,0.004965868024615724,0.006748534555055134,0.04816770808372801,0.010372460204257597,23386
IDA,Wind,n_eff,ISP15_win,-0.0021007144605405537,0.007220983625565287,0.029056330890107458,0.008918930911209084,16758
IDA,Wind,n_eff,ID15_pre,0.03667692859837492,0.007215106576798819,0.12030416104155714,0.014325029890413439,49127
IDA,Wind,n_eff,ID15_post,0.020145162140745534,0.003499006630751124,0.07024419239925095,0.005728250566209827,208050
IDA,Wind,n_eff,DA15_ID15,-0.018613619010917022,0.006026800439452471,0.005092811125478228,0.006427981729738397,193349
