reform,market,tech,outcome,comparison,theta,se,t,n,n_units
DA15,ida,Hydro_pump,beta,morning_vs_flat,-0.17581869684867268,0.281388766636771,-0.6248248604594341,15354,24
DA15,ida,Hydro_pump,gamma,crit_vs_flat,-0.0021358564060939634,0.0012390040633158822,-1.7238493959235952,16950,22
DA15,ida,Hydro_pump,gamma,morning_vs_flat,-0.002802087607469436,0.0021978750167858134,-1.2749076203465048,8784,18
DA15,ida,Hydro_pump,hhi,crit_vs_flat,0.009902558559837127,0.012804023621729606,0.7733942745178612,67892,29
DA15,ida,Hydro_pump,hhi,morning_vs_flat,-0.002024050030119455,0.011651515545675442,-0.17371560138978642,30692,29
DA15,ida,Wind,sigma_p,crit_vs_flat,0.2288053674964038,0.06598222908453283,3.4676816874930196,2124469,415
DA15,ida,Wind,sigma_p,morning_vs_flat,0.19564781972505,0.05312831213955343,3.6825528959236857,800693,412
DA15,ida,Wind,beta,crit_vs_flat,1.2208686153889081,1.054138925969265,1.158166713430431,410757,206
DA15,ida,Wind,beta,morning_vs_flat,-1.0326895226708213,0.8304508825493897,-1.2435287196042009,149760,186
DA15,ida,Wind,gamma,crit_vs_flat,-10.724162119571847,4.314936921057505,-2.4853577968281324,268472,126
DA15,ida,Wind,gamma,morning_vs_flat,-4.188067759468309,4.188914456852407,-0.9997978718847521,101310,117
DA15,ida,Wind,hhi,crit_vs_flat,-0.015620508587337711,0.00295261822628395,-5.290392251963124,2124469,415
DA15,ida,Wind,hhi,morning_vs_flat,-0.01423939895344355,0.002364873918315724,-6.021208506365078,800693,412
DA15,ida,Cogen,sigma_p,crit_vs_flat,-0.23340862075117336,0.0889395097739028,-2.6243524542077203,173651,247
DA15,ida,Cogen,sigma_p,morning_vs_flat,0.05432062012587401,0.0844706336348172,0.6430710625507144,73952,213
DA15,ida,Cogen,beta,crit_vs_flat,-0.4669405385313663,2.0640069606385048,-0.22623011813241042,18489,34
DA15,ida,Cogen,beta,morning_vs_flat,0.450900844417887,1.2560665236540798,0.3589784744092622,8083,23
DA15,ida,Cogen,gamma,crit_vs_flat,2.4316430974268908,7.358376869676261,0.33045916789715524,9507,14
DA15,ida,Cogen,gamma,morning_vs_flat,-2.2560391198260508,5.596467067560103,-0.4031184482265913,4374,7
DA15,ida,Cogen,hhi,crit_vs_flat,0.017762680841668155,0.003720888360506937,4.773774196022412,173651,247
DA15,ida,Cogen,hhi,morning_vs_flat,0.0002787610978284222,0.0032050704899578395,0.0869750286933905,73952,213
DA15,ida,Hybrid,sigma_p,crit_vs_flat,-0.1358230308056168,0.06739037636805036,-2.01546627464764,80156,16
DA15,ida,Hybrid,sigma_p,morning_vs_flat,-0.04698080857593853,0.05853884218232366,-0.802557871397819,26538,15
DA15,ida,Hybrid,beta,crit_vs_flat,71.07044763693469,30.407913354871056,2.3372352718687908,1175,6
DA15,ida,Hybrid,hhi,crit_vs_flat,0.0015893085056688377,0.0020073877170954713,0.791729715258216,80156,16
DA15,ida,Hybrid,hhi,morning_vs_flat,-1.862440738598873e-05,0.0014754892127065123,-0.012622530361862623,26538,15
DA15,ida,Biomass,sigma_p,crit_vs_flat,-0.06483096884144585,0.11034876121704773,-0.5875097112683322,95831,82
DA15,ida,Biomass,sigma_p,morning_vs_flat,0.08831901657259428,0.09784594060305335,0.902633425855566,37918,71
DA15,ida,Biomass,beta,crit_vs_flat,-7.681068143561218,4.174143640176697,-1.8401542461619906,15684,14
DA15,ida,Biomass,beta,morning_vs_flat,-11.815219754463389,4.302831413506906,-2.745917424832063,7001,10
DA15,ida,Biomass,gamma,crit_vs_flat,5.868611291442534,38.82952353490732,0.15113786513931124,11024,8
DA15,ida,Biomass,gamma,morning_vs_flat,-14.460953670942391,44.10223764834654,-0.32789614409700035,4747,6
DA15,ida,Biomass,hhi,crit_vs_flat,-0.007409679156013177,0.005818996908018455,-1.2733602153668093,95831,82
DA15,ida,Biomass,hhi,morning_vs_flat,-0.011334878559054623,0.005330077591556535,-2.1265879087783626,37918,71
