spec,market,tech,outcome,regime,beta_crit,se_crit,t_crit,star_crit,beta_mid,se_mid,t_mid,star_mid,block_beta,block_se,n_curves
v2_block,IDA,Hydro_pump,n_eff,3sess,-0.0934979479329876,0.04210299437556909,-2.220695922455369,**,0.021972090179365966,0.05115667036574976,0.4295058693670698,,,,19299
v2_block,IDA,Hydro_pump,n_eff,ISP15_win,-0.2056631958791042,0.05080980810997443,-4.04770660487361,***,0.09065444372852907,0.05110501700181981,1.7738854039575203,*,,,11419
v2_block,IDA,Hydro_pump,n_eff,ID15_pre,0.014541468888431108,0.0699118451733273,0.20799721209445285,,0.20274322011128743,0.09506737017546743,2.132626786005344,**,,,17431
v2_block,IDA,Hydro_pump,n_eff,ID15_post,-0.08502679979348396,0.045926399777347825,-1.8513708935535056,*,0.1033876286058987,0.055404442458812965,1.8660530458862734,*,,,59464
v2_block,IDA,Hydro_pump,n_eff,DA15_ID15,-0.07077560722098908,0.0560969991300122,-1.2616647649361292,,-0.08444660540526272,0.06403945511710693,-1.3186652705092177,,,,35447
v2_base,DA,Wind,sigma_p,pre_IDA,0.020860162185579956,0.006632545965700591,3.1451213898035175,***,0.004078729333428122,0.010645882711476418,0.38312739713271415,,,,2482362
v2_base,DA,Wind,sigma_p,3sess,-0.010685028016868436,0.016189502525076498,-0.6599973038280834,,-0.09965232402923219,0.024203439320227078,-4.117279478786788,***,,,745255
v2_base,DA,Wind,sigma_p,ISP15_win,0.02826375432450945,0.03479014754309068,0.8124068542538455,,-0.15342771637919128,0.035991472424755394,-4.262890791699362,***,,,413716
v2_base,DA,Wind,sigma_p,ID15_pre,0.03407697842039914,0.021407520905069127,1.591822732371126,,-0.04151350303679102,0.024418075981090425,-1.7001135989968843,*,,,203632
v2_base,DA,Wind,sigma_p,ID15_post,-0.13899361638845198,0.021542409990963057,-6.45209224254664,***,-0.46189421774187656,0.03647905458345983,-12.661902097410895,***,,,781295
v2_base,DA,Wind,sigma_p,DA15_ID15,0.011820660444031628,0.027828020455655324,0.424775469130769,,-0.33363992431090406,0.03699057689714692,-9.019592347494251,***,,,2908778
v2_base,DA,Wind,n_eff,pre_IDA,-0.001451652455575686,0.0006076504131425391,-2.3889598759067505,**,-0.007747576726843536,0.0008779873128934541,-8.82424678929697,***,,,2482362
v2_base,DA,Wind,n_eff,3sess,-5.150396538922131e-06,0.0015845102179785373,-0.003250465967643192,,-0.011957985007028576,0.00204888339644888,-5.836342384224563,***,,,745255
v2_base,DA,Wind,n_eff,ISP15_win,-0.0019150405731378356,0.0030141946129237027,-0.6353407191847803,,-0.026348353865017493,0.0027687387178039905,-9.516374259365124,***,,,413716
v2_base,DA,Wind,n_eff,ID15_pre,-0.015212475423961508,0.0024383184357747913,-6.2389207253513,***,-0.024219888028229247,0.003646379127268709,-6.642174931044804,***,,,203632
v2_base,DA,Wind,n_eff,ID15_post,-0.014348478435475293,0.001519833446111856,-9.440822921868559,***,-0.04107218143700128,0.00288227953739369,-14.24989523193192,***,,,781295
v2_base,DA,Wind,n_eff,DA15_ID15,-0.010014352288100575,0.002118277380743296,-4.727592514152502,***,-0.023379708105160685,0.0028137847797352704,-8.30898946982019,***,,,2908778
v2_base,IDA,Wind,sigma_p,pre_IDA,0.0896315245753928,0.08762593645705823,1.0228880648746896,,-0.1698858338416679,0.08199726789372412,-2.071847492063459,**,,,410988
v2_base,IDA,Wind,sigma_p,3sess,0.02386750659579795,0.12312867994133235,0.1938419757863903,,0.10954488726294909,0.11737414718316398,0.9332965554331378,,,,23386
v2_base,IDA,Wind,sigma_p,ISP15_win,-0.007858886864961945,0.12238071839444889,-0.0642167080571609,,0.047512059458564626,0.11680304806557502,0.40677071570846873,,,,16758
v2_base,IDA,Wind,sigma_p,ID15_pre,0.0628139380076112,0.12502714854021044,0.502402388129402,,0.17867133658063272,0.117984184495483,1.5143668394595136,,,,49127
v2_base,IDA,Wind,sigma_p,ID15_post,0.022422400069212922,0.12362480758529268,0.18137460035068606,,0.06593381379990493,0.11603211241813176,0.5682376406481916,,,,208050
v2_base,IDA,Wind,sigma_p,DA15_ID15,-0.004172972091058158,0.12364462475519375,-0.033749725063425134,,0.010508739179476256,0.11596817558885565,0.09061743988051606,,,,193349
v2_base,IDA,Wind,n_eff,pre_IDA,0.017767434383407374,0.0016758331927702143,10.602149700852474,***,0.0051819487786759,0.0019232455107074063,2.6943771608076603,***,,,410988
v2_base,IDA,Wind,n_eff,3sess,0.004965868024615724,0.006748534555055134,0.7358439056811134,,0.04816770808372801,0.010372460204257597,4.643807460833308,***,,,23386
v2_base,IDA,Wind,n_eff,ISP15_win,-0.0021007144605405537,0.007220983625565287,-0.29091804793783915,,0.029056330890107458,0.008918930911209084,3.257826658752363,***,,,16758
v2_base,IDA,Wind,n_eff,ID15_pre,0.03667692859837492,0.007215106576798819,5.083352298123314,***,0.12030416104155714,0.014325029890413439,8.398178709704947,***,,,49127
v2_base,IDA,Wind,n_eff,ID15_post,0.020145162140745534,0.003499006630751124,5.757394674162426,***,0.07024419239925095,0.005728250566209827,12.262765322036,***,,,208050
v2_base,IDA,Wind,n_eff,DA15_ID15,-0.018613619010917022,0.006026800439452471,-3.0884744231896373,***,0.005092811125478228,0.006427981729738397,0.7922877412542821,,,,193349
v2_block,IDA,Wind,sigma_p,pre_IDA,0.0896315245753928,0.08762593645705823,1.0228880648746896,,-0.1698858338416679,0.08199726789372412,-2.071847492063459,**,,,410988
v2_block,IDA,Wind,sigma_p,3sess,0.02386750659579795,0.12312867994133235,0.1938419757863903,,0.10954488726294909,0.11737414718316398,0.9332965554331378,,,,23386
v2_block,IDA,Wind,sigma_p,ISP15_win,-0.007858886864961945,0.12238071839444889,-0.0642167080571609,,0.047512059458564626,0.11680304806557502,0.40677071570846873,,,,16758
v2_block,IDA,Wind,sigma_p,ID15_pre,0.0628139380076112,0.12502714854021044,0.502402388129402,,0.17867133658063272,0.117984184495483,1.5143668394595136,,,,49127
v2_block,IDA,Wind,sigma_p,ID15_post,0.022422400069212922,0.12362480758529268,0.18137460035068606,,0.06593381379990493,0.11603211241813176,0.5682376406481916,,,,208050
v2_block,IDA,Wind,sigma_p,DA15_ID15,-0.004172972091058158,0.12364462475519375,-0.033749725063425134,,0.010508739179476256,0.11596817558885565,0.09061743988051606,,,,193349
v2_block,IDA,Wind,n_eff,pre_IDA,0.017767434383407374,0.0016758331927702143,10.602149700852474,***,0.0051819487786759,0.0019232455107074063,2.6943771608076603,***,,,410988
v2_block,IDA,Wind,n_eff,3sess,0.004965868024615724,0.006748534555055134,0.7358439056811134,,0.04816770808372801,0.010372460204257597,4.643807460833308,***,,,23386
v2_block,IDA,Wind,n_eff,ISP15_win,-0.0021007144605405537,0.007220983625565287,-0.29091804793783915,,0.029056330890107458,0.008918930911209084,3.257826658752363,***,,,16758
v2_block,IDA,Wind,n_eff,ID15_pre,0.03667692859837492,0.007215106576798819,5.083352298123314,***,0.12030416104155714,0.014325029890413439,8.398178709704947,***,,,49127
v2_block,IDA,Wind,n_eff,ID15_post,0.020145162140745534,0.003499006630751124,5.757394674162426,***,0.07024419239925095,0.005728250566209827,12.262765322036,***,,,208050
v2_block,IDA,Wind,n_eff,DA15_ID15,-0.018613619010917022,0.006026800439452471,-3.0884744231896373,***,0.005092811125478228,0.006427981729738397,0.7922877412542821,,,,193349
