reform,outcome,tech,market,hour_class,eff,se,lo,hi,surv
ID15,q,hydro,ida,critical,61914.6912730655,11415.708557839294,39539.90249970049,84289.48004643052,True
ID15,q,hydro,ida,midday,21862.8286104525,6340.288544204709,9435.86306381127,34289.794157093726,True
ID15,q,hydro,ida,flat,21002.70607959825,2458.2103650436216,16184.613764112753,25820.798395083748,True
ID15,q,hydro_pump,da,critical,-232.7469146268004,969.6938818480646,-2133.3469230490073,1667.8530937954063,False
ID15,q,hydro_pump,da,midday,603.9040621319948,587.131664289022,-546.8739998744882,1754.6821241384778,False
ID15,q,hydro_pump,da,flat,-329.52763151356896,337.5061224784585,-991.0396315713476,331.9843685442097,False
ID15,q,hydro_pump,ida,critical,22137.830692361298,3763.55799619323,14761.257019822568,29514.40436490003,True
ID15,q,hydro_pump,ida,midday,9916.27267628622,1841.8440829513052,6306.258273701662,13526.287078870779,True
ID15,q,hydro_pump,ida,flat,6629.8913049503835,906.1532828203979,4853.830870622403,8405.951739278364,True
DA15,p,ccgt,da,critical,7.177688480372511,11.290170277114624,-14.951045262772153,29.306422223517174,False
DA15,p,ccgt,da,midday,23.777102363122502,14.563421975603717,-4.767204709060781,52.32140943530578,False
DA15,p,ccgt,da,flat,26.469907055133703,12.846486398381511,1.2907937143059414,51.649020395961465,True
DA15,p,ccgt,ida,critical,12.3547030836499,5.0815061724375745,2.3949509856722546,22.314455181627544,True
DA15,p,ccgt,ida,midday,8.19373532841603,15.258254981625962,-21.712444435570852,38.09991509240292,False
DA15,p,ccgt,ida,flat,23.34243372204712,9.071806480037337,5.561693021173941,41.1231744229203,True
DA15,p,hydro,da,critical,21.886794947566052,15.006198620257003,-7.525354348137672,51.29894424326977,False
DA15,p,hydro,da,midday,37.7221802792056,12.133075722549686,13.941351863008219,61.50300869540298,True
DA15,p,hydro,da,flat,33.65191664399018,14.144692094194799,5.92832013936837,61.37551314861199,True
DA15,p,hydro,ida,critical,36.70853912221247,12.653756537460325,11.907176308790234,61.50990193563471,True
DA15,p,hydro,ida,midday,13.1749087643378,12.057419551904689,-10.45763355739539,36.80745108607099,False
DA15,p,hydro,ida,flat,40.056907763824746,13.159976708923445,14.263353414334794,65.8504621133147,True
DA15,p,hydro_pump,da,critical,6.6133454050147105,16.994014550864016,-26.69492311467876,39.92161392470818,False
DA15,p,hydro_pump,da,midday,28.00848310736417,16.511669070271573,-4.354388270368112,60.371354485096454,False
DA15,p,hydro_pump,da,flat,34.54437806957529,15.556955324593323,4.052745633372375,65.0360105057782,True
DA15,p,hydro_pump,ida,critical,34.9672591478083,8.807774661672044,17.704020810931095,52.2304974846855,True
DA15,p,hydro_pump,ida,midday,11.573674010774905,15.920644342923795,-19.630788901355732,42.778136922905546,False
DA15,p,hydro_pump,ida,flat,27.694719898957498,12.468397863192102,3.256660087100979,52.13277971081402,True
DA15,q,ccgt,da,critical,359434.50878651906,13522.573884309173,332930.2639732731,385938.753599765,True
DA15,q,ccgt,da,midday,33870.97079574446,1552.8718712387677,30827.34192811648,36914.59966337245,True
DA15,q,ccgt,da,flat,70444.48815396139,4434.304205164705,61753.25191183856,79135.7243960842,True
DA15,q,ccgt,ida,critical,-9987.97881041284,8426.048286106521,-26503.033451181618,6527.07583035594,False
DA15,q,ccgt,ida,midday,15642.810961885742,6467.408812964284,2966.6896884757443,28318.93223529574,True
DA15,q,ccgt,ida,flat,-9945.28958097877,3955.56293998934,-17698.192943357877,-2192.386218599663,True
DA15,q,hydro,da,critical,164142.98448923178,4254.923313218003,155803.33479532448,172482.63418313907,True
DA15,q,hydro,da,midday,30624.189065929677,2153.5982186572323,26403.1365573615,34845.24157449785,True
DA15,q,hydro,da,flat,39574.12312606451,1664.991763160697,36310.73927026954,42837.50698185947,True
DA15,q,hydro,ida,critical,-42058.8540531472,13305.272467274013,-68137.18808900427,-15980.520017290139,True
DA15,q,hydro,ida,midday,5518.9340417724,6459.835019541226,-7142.342596528402,18180.2106800732,False
DA15,q,hydro,ida,flat,-5937.3752444744005,4625.26546953066,-15002.895564754494,3128.1450758056926,False
DA15,q,hydro_pump,da,critical,49259.483279375774,1193.4819502484233,46920.258656888866,51598.70790186268,True
DA15,q,hydro_pump,da,midday,9711.824513924175,673.9830362264535,8390.817762920327,11032.831264928023,True
