market,reform,tech,firm,unit_code,theta,se,t,n
DA,DA15,Hydro,IB,SIL,0.059442719963101354,1.0534395561800496,0.05642727161171993,11195
DA,DA15,Hydro,IB,TAJO,1.206095428500113,0.7641414782427376,1.5783666543971901,11157
DA,DA15,Hydro,IB,TAMEGA,9.018023581739357,1.045543921028708,8.625198234490757,11757
DA,DA15,Hydro,GE,TEES,-1.4800415390603376,1.6497401413673054,-0.8971361622041145,6132
DA,DA15,Hydro,HC,TEMON,5.0403683365507845,0.9181384072258044,5.489769621750689,11779
DA,DA15,Hydro,GE,TERE,0.09796802606311772,1.3831820724314718,0.07082800450912541,5498
DA,DA15,Hydro,GN,UFGC,-0.6277277842024915,0.9722151952513728,-0.6456675304691039,10614
DA,DA15,Hydro,GN,UFMI,-0.5213017330374043,0.6576543734170318,-0.7926682374646606,11499
DA,DA15,Hydro,GN,UFTA,-2.394852023884617,0.6269400121812689,-3.8199061749981063,10347
IDA,ID15,CCGT,IB,ACE3,8.305530321520976,2.3589392616390072,3.520875020643913,2452
IDA,ID15,CCGT,GN,ACE4,8.800657306358119,1.5771719059590426,5.580024138844039,2464
IDA,ID15,CCGT,IB,ARCOS1,3.61729412533019,1.8448465298711383,1.9607561207722013,1699
IDA,ID15,CCGT,GE,BES3,1.5672469802845512,1.446179525737678,1.0837153703203746,2036
IDA,ID15,CCGT,GN,BES4,2.4894998634088097,1.3219783572033201,1.8831623451653263,2977
IDA,ID15,CCGT,GE,BES5,2.2437882396547764,0.9802766750242787,2.2889336213158433,2898
IDA,ID15,CCGT,GN,CAMGI10,0.7990599244116083,1.2130591827655102,0.6587147072164493,1608
IDA,ID15,CCGT,GN,CTGN1,0.6736262043811792,3.039389263422987,0.22163209316023424,584
IDA,ID15,CCGT,GN,CTGN3,3.244648562981837,0.8749482759496943,3.7083890010069465,7314
IDA,ID15,CCGT,IB,CTJON2,11.23126422403831,6.113906499823567,1.8370029414683424,189
IDA,ID15,CCGT,IB,CTN3,11.076065150662721,5.796378571384014,1.9108595158611363,495
IDA,ID15,CCGT,HC,LARES1,-2.2918533232605496,1.063367343294458,-2.1552790178416363,186
IDA,ID15,CCGT,HC,LARES2,-2.6411997835213623,1.4563032098525397,-1.813633153901241,353
IDA,ID15,CCGT,GN,MALA1,-2.3357515949945338,1.1422832529238731,-2.044809454236303,2399
IDA,ID15,CCGT,GN,PALOS1,2.640463752503358,1.6578419522084908,1.5927113854163657,873
IDA,ID15,CCGT,GN,PALOS2,2.233057183475637,1.521295161012234,1.4678658295276592,2648
IDA,ID15,CCGT,GN,PBCN2,-6.1739891364313735,1.8370848361505143,-3.360753414833332,512
IDA,ID15,CCGT,GE,PEGO3,-0.3773174611375549,0.41676406771854374,-0.90535026976551,63
IDA,ID15,CCGT,GE,PGR5,-2.5675176602617,2.003597173706631,-1.281454023770568,4093
IDA,ID15,CCGT,GN,SAGU1,1.9915280483706965,1.6594394619227053,1.200120940876757,2193
IDA,ID15,CCGT,GN,SAGU2,2.7107835582136772,1.5610654066486245,1.73649582308875,2319
IDA,ID15,CCGT,GN,SBO3,1.084781322277749,1.3376902233734786,0.8109361220732205,1920
IDA,ID15,CCGT,HC,SRI4R,0.056499086604674176,2.298466207389348,0.024581212646518382,1204
IDA,ID15,CCGT,HC,SRI5R,-1.2995337347320515,2.001110086588498,-0.6494064186880907,2616
IDA,ID15,CCGT,GE,SROQ2,6.4902900457672885,0.9716583951722055,6.679600647732812,3223
IDA,ID15,Hydro,HC,ACAVADO,3.5450723147578174,1.0968107077197191,3.232164210110658,7328
IDA,ID15,Hydro,GE,ACC1EBR,-7.72205924215589e-09,7.741063269288235e-09,-0.9975450365833153,1799
IDA,ID15,Hydro,GE,ACC2EBR,0.0,0.0,,1078
IDA,ID15,Hydro,HC,ADOURO,4.698010979521598,1.0591725289741807,4.43554836535618,4503
IDA,ID15,Hydro,HC,ALIMA,0.5927396791566935,1.1236285815646825,0.5275227854486291,6485
IDA,ID15,Hydro,HC,DOUSUP,-2.856906591086954,2.3524129635408273,-1.2144579354752272,7329
IDA,ID15,Hydro,IB,DUER,-0.8012014385863324,1.3549987404948567,-0.5912931242236632,5658
IDA,ID15,Hydro,IB,EBRA,-2.292486337515034e-09,2.4481509387290065e-09,-0.9364154396073356,327
IDA,ID15,Hydro,GE,EBRFEN,-4.846579357118394,2.914479249226813,-1.6629315025674487,1372
IDA,ID15,Hydro,GE,GDLQ,0.042137807063413746,0.532847645485889,0.07908040397736851,622
IDA,ID15,Hydro,HC,GUADIA,3.0271563154723253,1.1490285069205841,2.634535433402915,3867
IDA,ID15,Hydro,HC,HCHI,-0.9561920055835458,1.0109889017825848,-0.9457987163831169,3002
IDA,ID15,Hydro,HC,MONDEGO,0.5931403324287743,1.402280550228998,0.42298264233352745,3299
IDA,ID15,Hydro,GE,SBEU,-1.1105319500026667,1.4787877432704442,-0.7509745432070233,2645
IDA,ID15,Hydro,IB,SIL,0.22228684305439117,1.3665921827521146,0.1626577744698776,4898
IDA,ID15,Hydro,IB,TAJO,-0.26866204969473273,1.2310172275211166,-0.21824393979906684,3837
IDA,ID15,Hydro,IB,TAMEGA,0.506228758795797,1.3364326027847586,0.37879108736269623,1468
IDA,ID15,Hydro,GE,TEES,1.438915077032064,1.3469914770817824,1.0682436388903005,1911
IDA,ID15,Hydro,HC,TEMON,5.207065865143541,1.54966089781533,3.3601324473530445,3704
IDA,ID15,Hydro,GE,TERE,0.0,0.0,,102
IDA,ID15,Hydro,GN,UFGC,3.240264108383144,2.1139860336257645,1.5327746053391205,5323
IDA,ID15,Hydro,GN,UFMI,2.5467530282188875,1.7990698671601626,1.4155942883079606,7203
IDA,ID15,Hydro,GN,UFTA,3.287265420111808,2.3741352588591047,1.3846158966071334,3497
