"reform","side","tech","market","hour_class","eff","lo","hi","p"
"ID15","real","solar","da","flat",-109.050372462918,-119.294244926271,-98.9279786091153,0.000543478260869565
"ID15","real","solar","ida","critical",3294.0858269366,2783.95871436913,3774.7425754037,0.000521648408972353
"ID15","real","solar","ida","midday",2402.5283846708,1889.88554678404,2815.58469482842,0.000506842372022301
"ID15","real","solar","ida","flat",-5.23441333933958,-8.67961805266377,-1.91784690120366,0.00134589502018843
"ID15","placebo","ccgt","da","critical",-10080.4869636232,-19226.2591656196,-736.820813953325,0.0162189559047136
"ID15","placebo","ccgt","da","midday",-2808.19752598277,-6150.02367380673,461.694085297255,0.0428427419354839
"ID15","placebo","ccgt","da","flat",-6128.34860499677,-10162.8912159514,-2588.40769052938,0.001
"ID15","placebo","ccgt","ida","critical",-5583.32885525916,-6817.48889054121,-4247.7971108065,0.000505050505050505
"ID15","placebo","ccgt","ida","midday",-1259.88869829857,-1928.11043295596,-552.189321834442,0.000556792873051225
"ID15","placebo","ccgt","ida","flat",-1072.99023236985,-1465.1494890712,-658.336164567645,0.000505561172901921
"ID15","placebo","hydro","da","critical",10980.9458216684,6330.99975933385,15528.0432529318,0.000707213578500707
"ID15","placebo","hydro","da","midday",-503.33463206855,-2043.99403624211,901.192773141711,0.2578125
"ID15","placebo","hydro","da","flat",2269.75757439653,1027.08284011279,3406.33108045263,0.00115874855156431
"ID15","placebo","hydro","ida","critical",2029.89792730905,1415.45759616459,2647.23791369146,0.000707213578500707
"ID15","placebo","hydro","ida","midday",1257.50970677739,959.856014686804,1557.6639060857,0.000633312222925902
"ID15","placebo","hydro","ida","flat",504.500519995764,362.21065688078,649.744695091203,0.000500250125062531
"ID15","placebo","hydro_pump","da","critical",-2617.67423525249,-4308.24344066383,-956.102666895078,0.00122473974280465
"ID15","placebo","hydro_pump","da","midday",-85.7417246695383,-540.428629072334,378.164323796107,0.355923694779116
"ID15","placebo","hydro_pump","da","flat",862.686002570417,569.037717453232,1131.03519856188,0.000518941359626362
"ID15","placebo","hydro_pump","ida","critical",94.0525097901764,-330.769218561609,589.548300066422,0.35967983991996
"ID15","placebo","hydro_pump","ida","midday",-93.7897819352103,-302.542500945007,146.630649566812,0.195871097683786
"ID15","placebo","hydro_pump","ida","flat",203.536398530052,57.8880698138745,373.073706446604,0.00100300902708124
"ID15","placebo","wind","da","critical",6860.44603174778,764.46802402934,12883.4747841876,0.0136020151133501
"ID15","placebo","wind","da","midday",-578.370934211587,-3095.90033341027,1787.95590442905,0.320221886031266
"ID15","placebo","wind","da","flat",2218.346811595,17.3701691032983,4380.15616766362,0.0248352762290928
"ID15","placebo","wind","ida","critical",4016.37650457821,3045.2200141428,5007.86438055767,0.000501504513540622
"ID15","placebo","wind","ida","midday",1237.0078370517,774.041288368104,1706.09021271577,5e-04
"ID15","placebo","wind","ida","flat",633.035721293528,396.61028969584,888.053473368707,0.000501756146512795
"ID15","placebo","solar","da","critical",9445.07014698647,7459.26845151911,11470.4618179558,0.000541418516513265
"ID15","placebo","solar","da","midday",-1040.79385195721,-3359.53170813648,1162.32833252011,0.181762545899633
"ID15","placebo","solar","da","flat",-8.83174479148434,-46.856178363214,28.3499009139327,0.324449594438007
"ID15","placebo","solar","ida","critical",1079.37070092386,880.606279200609,1273.3702922343,0.000504795557799091
"ID15","placebo","solar","ida","midday",901.196427134577,489.131180028765,1303.03722304249,0.000504286434694907
"ID15","placebo","solar","ida","flat",-68.2262226436532,-141.874124429699,9.1269474957698,0.0444330949948928
"DA15","real","ccgt","da","critical",24891.5950332962,16484.9369228232,31485.659386488,0.000501002004008016
"DA15","real","ccgt","da","flat",5662.902546959,2567.12469914406,9531.6248093709,0.002
"DA15","real","ccgt","ida","critical",27.4125845554572,-1426.67466274103,1579.44953904511,0.475059382422803
"DA15","real","ccgt","ida","midday",365.451813285783,172.688760045083,569.15500773695,0.00100603621730382
"DA15","real","ccgt","ida","flat",-208.033615789451,-757.581838152992,420.029193411911,0.236785329018339
"DA15","real","hydro","da","critical",3402.1495783553,-136.390529284936,7164.24753673863,0.0353302611367127
"DA15","real","hydro","da","midday",806.186949359669,-64.7279027781876,1679.85502692191,0.0332821300563236
"DA15","real","hydro","da","flat",239.371912823514,-1189.26217533385,1666.54847620996,0.361590790162219
"DA15","real","hydro","ida","critical",89.837756922434,-260.958680472307,399.73153655549,0.27891837756635
"DA15","real","hydro","ida","midday",-117.826342084025,-294.876467155471,76.6634496220762,0.102486047691527
"DA15","real","hydro","ida","flat",-90.1071878589765,-228.624816882959,35.6127153687346,0.0838353413654618
"DA15","real","hydro_pump","da","critical",4120.13060776528,2303.37191777681,5549.42898898276,0.000512032770097286
"DA15","real","hydro_pump","da","flat",-834.299975177977,-1381.90604489737,-197.5323106557,0.00702458605117913
"DA15","real","hydro_pump","ida","critical",116.982570942645,-172.785696124775,377.5712262028,0.174154467440687
"DA15","real","hydro_pump","ida","flat",-18.1090851163134,-203.919460812702,137.397295622352,0.43687374749499
"DA15","real","wind","da","critical",2132.07561874676,-1942.2562870661,6094.51727814555,0.151727591387081
"DA15","real","wind","da","midday",5172.98000097286,3624.34789430522,6594.91664522729,0.000501002004008016
"DA15","real","wind","da","flat",2094.24724687187,-12.6346018883657,4635.45040759592,0.0263291139240506
"DA15","real","wind","ida","critical",-1499.75118417733,-2457.03518028679,-533.052043600358,0.00153609831029186
"DA15","real","wind","ida","midday",-698.284665327424,-1280.31376816692,-149.374794498484,0.00287150035893754
"DA15","real","wind","ida","flat",252.601416867685,-236.655760458605,620.908035069085,0.150451354062187
"DA15","real","solar","da","critical",-5316.24290770628,-8530.31570441799,-2076.68196145531,0.00104547830632514
"DA15","real","solar","da","midday",2209.16663727295,-1056.41742228744,5267.32297779858,0.0923317683881064
"DA15","real","solar","da","flat",9.32932234336962,4.40821612430038,14.6357431237936,5e-04
"DA15","real","solar","ida","critical",-3686.61533817028,-4201.8097193807,-3120.76400974468,0.000543773790103317
"DA15","real","solar","ida","midday",-1195.72818730346,-2116.57314135832,-387.702271049893,0.00171037628278221
"DA15","real","solar","ida","flat",1.04515118416924,-1.87174122159487,3.86151557484936,0.21971971971972
"DA15","placebo","ccgt","da","critical",-7456.24746225155,-13681.7297415689,-1831.40375184398,0.00608210846426761
"DA15","placebo","ccgt","da","midday",-2607.28835223801,-6262.65318121717,-12.1282201497142,0.0250752256770311
"DA15","placebo","ccgt","da","flat",-3322.7258540429,-5485.5553439902,-1181.77615846317,0.00150075037518759
"DA15","placebo","ccgt","ida","critical",-229.783718810033,-2040.39506099335,1236.1449783436,0.443943943943944
"DA15","placebo","ccgt","ida","midday",327.065077142264,-298.427048228401,954.029078776624,0.1775
"DA15","placebo","ccgt","ida","flat",-1057.28042076763,-1511.06074622816,-624.231212615781,0.000502260170768458
"DA15","placebo","hydro","da","critical",3443.28597123887,1577.59794536348,5259.72402987616,0.0005720823798627
"DA15","placebo","hydro","da","midday",1235.42162315449,570.468461908803,1895.97196339564,0.00248138957816377
"DA15","placebo","hydro","da","flat",1391.64784043107,675.126828434546,2059.51851861135,0.00100351229302559
"DA15","placebo","hydro","ida","critical",543.33846818224,-396.966819371969,1259.16627912823,0.101865859808371
"DA15","placebo","hydro","ida","midday",91.2971463075779,-205.260565816233,427.323780365577,0.28080229226361
"DA15","placebo","hydro","ida","flat",35.9871632729614,-193.060751587453,295.913630462469,0.419209604802401
"DA15","placebo","hydro_pump","da","critical",624.275122709921,-390.812992282078,1844.25825486784,0.117175763645468
"DA15","placebo","hydro_pump","da","midday",262.838401907421,194.343863119827,350.999838149018,0.000505561172901921
"DA15","placebo","hydro_pump","da","flat",173.672133474899,-313.924391277897,641.83938032582,0.238334169593578
"DA15","placebo","hydro_pump","ida","critical",-128.573974986766,-599.174460999679,326.600109698339,0.318273092369478
"DA15","placebo","hydro_pump","ida","midday",-92.5173892084412,-214.813356494524,68.0713339097445,0.119974874371859
"DA15","placebo","hydro_pump","ida","flat",-73.413692330609,-323.386410141105,236.677407741325,0.290452261306533
"DA15","placebo","wind","da","critical",-895.705538821428,-5033.27054680525,3556.09564988357,0.33734335839599
"DA15","placebo","wind","da","midday",2003.91110947475,-530.935715479055,5098.17165165335,0.0673028628829734
"DA15","placebo","wind","da","flat",-883.317717406877,-2688.13492874019,1447.68343601515,0.168168168168168
"DA15","placebo","wind","ida","critical",1021.38565405003,-452.316682583953,2303.49731193316,0.0851948051948052
"DA15","placebo","wind","ida","midday",364.482088182111,-302.289037413457,964.78414503731,0.118090452261307
"DA15","placebo","wind","ida","flat",169.909217692766,-147.880483831076,431.460544044363,0.125376128385155
"DA15","placebo","solar","da","critical",-2067.87435284027,-4113.81301867389,-45.5899439648527,0.0245687401986409
"DA15","placebo","solar","da","midday",200.610054814199,-2461.33679947033,2895.0770546488,0.448453608247423
"DA15","placebo","solar","da","flat",-1.23333628763979,-5.45279121383445,3.19576263210288,0.28392588883325
"DA15","placebo","solar","ida","critical",-286.367571693331,-805.76125150639,100.615469058179,0.0845
"DA15","placebo","solar","ida","midday",-560.042254472663,-1125.97674247445,167.987426526494,0.06
"DA15","placebo","solar","ida","flat",11.7081382854811,-88.2369249783476,124.958844116256,0.453313253012048
