"reform","side","response","eff","lo","hi","p"
"ID15","placebo","q_hydro_gwh_da",6.5999109201867,-0.154587158017418,13.3350400329614,0.0281167108753316
"ID15","placebo","q_hydro_gwh_ida",0.0916786352928822,-1.64054980774241,1.85802132870698,0.47136340598074
"ID15","placebo","q_hydro_pump_gwh_da",-3.28654656107978,-6.51360623059628,-0.324140768832519,0.0169590643274854
"ID15","placebo","q_hydro_pump_gwh_ida",-0.0759023600447764,-0.9266748712169,0.861541621393452,0.432216108054027
"ID15","placebo","q_wind_gwh_da",3.35299290643297,-10.8828401128816,17.1183483609366,0.316876574307305
"ID15","placebo","q_wind_gwh_ida",3.73437596746826,1.06647697664499,6.45093877380688,0.00750375187593797
"ID15","placebo","q_solar_gwh_da",6.9697046503008,2.35271035685958,11.8386401509658,0.0040506329113924
"ID15","placebo","q_solar_gwh_ida",-0.344055673139453,-1.30137333405203,0.600079773010197,0.238407258064516
"ID15","placebo","q_nuclear_gwh_da",-14.2632111718634,-84.3284741516022,60.2833126953458,0.335668103448276
"ID15","placebo","q_nuclear_gwh_ida",51.5235094470751,35.0386432947007,68.4169977964612,0.000503524672708963
"DA15","real","q_ccgt_gwh_da",31.5252381534168,17.762635612951,43.7933323036348,5e-04
"DA15","real","q_ccgt_gwh_ida",0.962621696723385,-2.04021341778826,4.31249096375273,0.277453580901857
"DA15","real","q_hydro_gwh_da",2.30032719724774,-3.71124534605756,7.97885899515401,0.214321734745335
"DA15","real","q_hydro_gwh_ida",0.247237251063622,-0.628425627368551,1.11902693897865,0.2905
"DA15","real","q_hydro_pump_gwh_da",0.67944055121629,-1.99392228530528,3.27519991055176,0.2925
"DA15","real","q_hydro_pump_gwh_ida",-0.0570353253593241,-0.607786929367066,0.506495988292812,0.421475163070748
"DA15","real","q_wind_gwh_da",12.3725517228716,2.43191218305486,22.1839835907703,0.0115172759138708
"DA15","real","q_wind_gwh_ida",-2.47783562549219,-4.78246130495966,-0.0983970427903602,0.020686175580222
"DA15","real","q_solar_gwh_da",-0.131210829361152,-6.35526707801779,6.56880453458691,0.486118122160525
"DA15","real","q_solar_gwh_ida",-4.87716331921854,-6.97164144382217,-2.83250355130596,5e-04
"DA15","real","q_nuclear_gwh_da",-3.41356669936206,-28.7565087744318,23.0361370609298,0.40695915279879
"DA15","real","q_nuclear_gwh_ida",2.77886002776664,-2.72172093776191,7.73044393652377,0.16179952644041
"DA15","placebo","q_ccgt_gwh_da",-15.5008101268878,-27.490048959925,-3.9535570836024,0.00502008032128514
"DA15","placebo","q_ccgt_gwh_ida",-1.54368286820899,-5.19405728356014,2.15218625286235,0.221158690176322
"DA15","placebo","q_hydro_gwh_da",6.72412914110012,2.55035650599497,10.9534034216847,0.00264690312334569
"DA15","placebo","q_hydro_gwh_ida",1.80876270828872,-0.254869172530955,3.72548094967094,0.0423469387755102
"DA15","placebo","q_hydro_pump_gwh_da",2.13404300405416,-0.479772839542314,4.6882894555541,0.0531594784353059
"DA15","placebo","q_hydro_pump_gwh_ida",0.0110520109572136,-1.01221477075258,0.984565544120881,0.485198193677873
"DA15","placebo","q_wind_gwh_da",1.66911615098726,-8.54897644829565,12.4038600185242,0.371659102370146
"DA15","placebo","q_wind_gwh_ida",2.75702284358182,-0.0797280587499425,5.28765505718355,0.029
"DA15","placebo","q_solar_gwh_da",3.93373394401841,-1.27028401230033,9.18612841429491,0.0682901005823187
"DA15","placebo","q_solar_gwh_ida",-0.137133432067903,-1.70488560407185,1.40390648482084,0.4435
"DA15","placebo","q_nuclear_gwh_da",-26.0660665783153,-41.8515250819698,-11.3316052957558,0.000504286434694907
"DA15","placebo","q_nuclear_gwh_ida",-6.21848267436815,-23.53645972694,8.85597346894461,0.233733733733734
