"reform","side","outcome","tech","market","hour_class","eff","lo","hi","p","n_pre","n_post"
"ID15","placebo","mwh","hydro","ida","morning_ramp",9061.96902329928,1981.15350618472,16100.8213929091,0.0066815144766147,271,27
"ID15","placebo","mwh","hydro","ida","midday",22765.7541426723,11328.8712664646,34695.1027731866,0.000746268656716418,271,27
"ID15","placebo","mwh","hydro","ida","evening_ramp",35161.5280995707,20678.1276115586,49608.820692882,0.000711743772241993,271,27
"ID15","placebo","mwh","hydro","ida","flat",4634.45033935595,283.122629556336,9115.38538832087,0.0171003717472119,271,27
"ID15","placebo","mwh","hydro_pump","da","morning_ramp",-948.822785531487,-1518.84501732853,-385.107696371533,0.000667556742323097,277,40
"ID15","placebo","mwh","hydro_pump","da","midday",-662.711169983959,-1616.1909031232,224.05160160895,0.078125,256,40
"ID15","placebo","mwh","hydro_pump","da","evening_ramp",-1884.19323599741,-2871.24064126577,-759.55986228007,0.000893655049151028,279,40
"ID15","placebo","mwh","hydro_pump","da","flat",-284.599435048029,-802.055504217456,215.759682062174,0.144878706199461,271,40
"ID15","placebo","mwh","hydro_pump","ida","morning_ramp",-2487.09604882004,-5357.86071312705,13.2611118052337,0.0373134328358209,265,27
"ID15","placebo","mwh","hydro_pump","ida","midday",-5375.2964916745,-8676.49112530106,-2008.0920864085,0.0027063599458728,222,27
"ID15","placebo","mwh","hydro_pump","ida","evening_ramp",-7848.55566803111,-13022.1563859885,-2359.15486681329,0.00334001336005344,271,27
"ID15","placebo","mwh","hydro_pump","ida","flat",-711.856925362694,-2357.56669860563,879.955416462853,0.186858316221766,250,27
"DA15","real","p","ccgt","da","morning_ramp",-20.6596734089778,-40.9758671688974,1.43030143180359,0.0317848410757946,156,40
"DA15","real","p","ccgt","da","midday",13.7057496601676,-0.563539709555785,28.175478002647,0.0302622730329523,156,40
"DA15","real","p","ccgt","da","evening_ramp",1.76995828096334,-15.63657295255,18.5374388772735,0.421209858103062,156,40
"DA15","real","p","ccgt","da","flat",-14.4094419660715,-35.1965095144502,6.4330544415755,0.0921985815602837,156,40
"DA15","real","p","ccgt","ida","morning_ramp",11.4510980106476,0.845627273460234,21.7008164150972,0.0173333333333333,150,40
"DA15","real","p","ccgt","ida","midday",5.7946069436342,-17.6533020883967,32.3172398087667,0.349422161794697,151,40
"DA15","real","p","ccgt","ida","evening_ramp",3.14004029447224,-1.60428704210271,7.95216755308997,0.113941018766756,151,40
"DA15","real","p","ccgt","ida","flat",-0.429439482720781,-13.6380150225254,13.259816061645,0.487109905020353,150,40
"DA15","real","p","hydro","da","morning_ramp",3.01356788268518,-19.2012585719381,25.5315030293779,0.405773857257418,156,40
"DA15","real","p","hydro","da","midday",13.1101767347458,0.594303491983737,24.6768458557055,0.0212765957446809,156,40
"DA15","real","p","hydro","da","evening_ramp",10.324792926216,-12.5231622390302,33.2742421639047,0.195278969957082,156,40
"DA15","real","p","hydro","da","flat",-1.79548862453292,-26.3214051823169,23.3289295555267,0.424626865671642,156,40
"DA15","real","p","hydro","ida","morning_ramp",9.52467037155098,-6.6321132423787,26.5942663050733,0.132252559726962,150,40
"DA15","real","p","hydro","ida","midday",10.801572673777,-5.42352365509018,29.2880097690365,0.0959183673469388,151,40
"DA15","real","p","hydro","ida","evening_ramp",8.12116198815411,-11.6208394455717,29.1201619029273,0.215139442231076,151,40
"DA15","real","p","hydro","ida","flat",6.34757123787536,-13.3329584608345,27.0931905106742,0.274593669803251,150,40
"DA15","real","p","hydro_pump","da","morning_ramp",6.98895208077587,-20.2924022184239,35.0580048071506,0.302985074626866,156,40
"DA15","real","p","hydro_pump","da","midday",0.91177879075417,-24.1994381366075,30.0208321929059,0.483085250338295,79,21
"DA15","real","p","hydro_pump","da","evening_ramp",2.26982712364038,-24.4401417247458,28.7741519941697,0.42586085734364,156,40
"DA15","real","p","hydro_pump","da","flat",7.65789250033679,-19.9683407572755,36.0208513406677,0.297996661101836,156,39
"DA15","real","p","hydro_pump","ida","morning_ramp",5.86682639259168,-9.47691737661717,21.728649352498,0.23644578313253,148,40
"DA15","real","p","hydro_pump","ida","midday",-24.6215122139832,-48.0193813652339,1.40661364999673,0.0358126721763085,42,8
"DA15","real","p","hydro_pump","ida","evening_ramp",12.7063182169452,-0.155065823287121,24.9601853819099,0.0285103349964362,151,40
"DA15","real","p","hydro_pump","ida","flat",-5.58838515999432,-27.131066665006,13.5436943857809,0.290922087205147,145,34
"DA15","real","mwh","ccgt","da","morning_ramp",6330.36917689629,-4286.1933652937,17011.3272932887,0.132137030995106,156,40
"DA15","real","mwh","ccgt","da","midday",2159.09361497658,298.980417589263,4457.69564710508,0.011026878015162,156,40
"DA15","real","mwh","ccgt","da","evening_ramp",19955.9168334154,8338.464354475,30802.18238871,0.000713775874375446,156,40
"DA15","real","mwh","ccgt","da","flat",3887.17545506554,-4457.16743347528,12648.7616124525,0.180620884289746,156,40
"DA15","real","mwh","ccgt","ida","morning_ramp",-1337.81643612749,-3255.53725773861,600.737708772243,0.0994659546061415,150,40
"DA15","real","mwh","ccgt","ida","midday",4184.00597094312,1032.15800320247,7329.20513210107,0.00670241286863271,151,40
"DA15","real","mwh","ccgt","ida","evening_ramp",882.720278580116,-1910.05947797029,4289.28107788975,0.277703604806409,151,40
"DA15","real","mwh","ccgt","ida","flat",-2157.93595028097,-3932.27295467035,-149.305784571757,0.0160213618157543,150,40
"DA15","real","mwh","hydro","da","morning_ramp",-167.41672878708,-3677.85914389358,3074.42738076537,0.474358974358974,156,40
"DA15","real","mwh","hydro","da","midday",4904.94755988972,1978.61695086437,7858.43770297019,0.000709219858156028,156,40
"DA15","real","mwh","hydro","da","evening_ramp",6305.37430756326,2371.88436773336,10399.5755381492,0.00212314225053079,156,40
"DA15","real","mwh","hydro","da","flat",-724.522918805611,-3348.92967969918,1552.76761927237,0.29128277817151,156,40
"DA15","real","mwh","hydro","ida","morning_ramp",-871.470204629724,-3615.35335385168,1622.83566587396,0.253851306095111,150,40
"DA15","real","mwh","hydro","ida","midday",4039.86910476599,1448.24280971541,6682.73801275776,0.00268456375838926,151,40
"DA15","real","mwh","hydro","ida","evening_ramp",813.692976264225,-3302.71207737121,5170.54396758696,0.379380053908356,151,40
"DA15","real","mwh","hydro","ida","flat",-513.601842675171,-2653.51347826009,1644.71852232782,0.321500334896182,150,40
"DA15","real","mwh","hydro_pump","da","morning_ramp",458.03849067474,-100.90851773951,1206.95666803103,0.0661612680909717,156,40
"DA15","real","mwh","hydro_pump","da","midday",1518.23591089352,744.939586166801,2301.79673607102,0.000675219446320054,79,21
"DA15","real","mwh","hydro_pump","da","evening_ramp",2853.96756845774,1779.55195470087,3930.4033250834,0.000669344042838019,156,40
"DA15","real","mwh","hydro_pump","da","flat",617.618101492252,40.309492349006,1206.39591360992,0.0220293724966622,156,39
