theta,se,t,n,n_units,tech,outcome,market,reform,h
0.4552450866706151,0.10618709958397653,4.287197677064257,307103,23,Hydro,slope,IDA,DA15,200
-5.750154434318386,3.6300655360473253,-1.5840359842592717,307103,23,Hydro,intercept,IDA,DA15,200
-0.020826835646135355,0.00824658008089958,-2.5255118414933837,237379,19,Hydro,gamma,IDA,DA15,200
-0.9995023586491187,1.0385188655483695,-0.9624306228865194,43300,24,Hydro_pump,slope,IDA,DA15,200
39.44034014039066,29.114388549584024,1.3546683308571208,43300,24,Hydro_pump,intercept,IDA,DA15,200
-0.0002136799551973265,0.00019857460653392093,-1.0760688837664911,29424,21,Hydro_pump,gamma,IDA,DA15,200
0.2884080906493817,0.09953449776676702,2.897569155622711,68163,41,CCGT,slope,DA,ID15,100
-62.042740107266965,28.470880195991626,-2.1791648055897435,68163,41,CCGT,intercept,DA,ID15,100
-0.237308374398585,0.22518048007967412,-1.053858550770563,61312,41,CCGT,gamma,DA,ID15,100
-0.5626156211399745,0.2922521176745521,-1.9251036591854416,64370,24,Hydro,slope,DA,ID15,100
-48.03115746346171,26.662147914374362,-1.801473670377722,64370,24,Hydro,intercept,DA,ID15,100
0.888434062008428,0.4504068670312904,1.9725144686719602,56954,23,Hydro,gamma,DA,ID15,100
0.004689160228028392,0.016277287704619,0.2880799499966908,8377,7,Hydro_pump,slope,DA,ID15,100
3.2151823277702825,1.257175058215495,2.557465888906588,8377,7,Hydro_pump,intercept,DA,ID15,100
9.888252705824417e-05,6.105475010569299e-05,1.619571399228837,5659,7,Hydro_pump,gamma,DA,ID15,100
0.34130528752024264,0.05241572984914461,6.511505010090259,77849,41,CCGT,slope,DA,ID15,140
-104.92768140404127,13.398984934493884,-7.831017193990499,77849,41,CCGT,intercept,DA,ID15,140
-0.1689295060438009,0.15488208534117345,-1.0906975178677627,69254,41,CCGT,gamma,DA,ID15,140
-0.024371418968602288,0.15315377695771762,-0.15913038158589257,67356,24,Hydro,slope,DA,ID15,140
-70.69810289267832,105.7674773643012,-0.6684295083371294,67356,24,Hydro,intercept,DA,ID15,140
-0.18439867369852517,0.07874442714066793,-2.3417361760612976,59697,23,Hydro,gamma,DA,ID15,140
-0.00495038631749853,0.018718161197127155,-0.26446969151319794,8760,7,Hydro_pump,slope,DA,ID15,140
3.6328580101327335,1.5676893957210445,2.317332770157467,8760,7,Hydro_pump,intercept,DA,ID15,140
0.00016768367528984717,9.47236372899501e-05,1.7702410938524837,5848,7,Hydro_pump,gamma,DA,ID15,140
0.2783422013471551,0.04168364827740436,6.677491362915018,80581,41,CCGT,slope,DA,ID15,200
-73.26654378287999,8.995942877499218,-8.144398511704129,80581,41,CCGT,intercept,DA,ID15,200
-0.3008108909875115,0.20058491815236615,-1.4996685381849735,71765,41,CCGT,gamma,DA,ID15,200
-0.6538824445083786,0.2314338341545324,-2.825353721062971,68375,25,Hydro,slope,DA,ID15,200
22.39305019248846,106.81858326006008,0.20963627778109015,68375,25,Hydro,intercept,DA,ID15,200
0.0071574745293990286,0.016692554055976944,0.42878246824285227,60494,25,Hydro,gamma,DA,ID15,200
-0.05027314612707219,0.016811663946002316,-2.990373010580357,8874,7,Hydro_pump,slope,DA,ID15,200
5.123679540260591,1.596144028872695,3.210035841113462,8874,7,Hydro_pump,intercept,DA,ID15,200
0.00016224258469828132,9.372369753491532e-05,1.731073239378337,5880,7,Hydro_pump,gamma,DA,ID15,200
-0.2536845753661753,0.06497402628285232,-3.9043998021887507,55918,39,CCGT,slope,IDA,ID15,100
-0.4303813682737587,3.202207995498079,-0.13440144078049376,55918,39,CCGT,intercept,IDA,ID15,100
0.030930712769131615,0.014805993756835192,2.0890669871350203,46994,38,CCGT,gamma,IDA,ID15,100
