tech,firm,reform,hour_class,level_shift,tilt_std,fitted_norm,beta_PC1,beta_PC2,beta_PC3,n_pair_rows
Hydro,REP,MTU15-IDA,Flat,-16.16806601516318,8.201940980737557,180.38608942403377,-162.6071264095188,-70.10706746032454,18.63147056817509,859
Hydro,REP,MTU15-IDA,Midday,-8.12290443500713,8.853090473522327,119.54714531041886,-85.38042390763209,-63.52473950543479,43.62805920574835,859
Hydro,REP,MTU15-DA,Critical,10.805742977222366,2.763178284009737,110.97533201744581,106.1018119818952,29.126749387415636,9.232972128882624,1456
Hydro,REP,MTU15-DA,Flat,15.832846128790134,6.357669085487976,169.76100347580683,157.97794259371275,59.58012508669307,-10.597705711584444,1456
Hydro,REP,MTU15-DA,Midday,15.35342234606243,5.609519701528491,162.6414295707651,151.0472893733669,59.37217297516184,5.6990666704239015,1456
Hydro_pump,GE,ISP15,Critical,-0.6574941107156969,3.2622261098081196,33.11143838640696,-6.684582054652894,-21.33455413344318,24.281729586025826,835
Hydro_pump,GE,ISP15,Flat,-7.202058320631744,3.6359730920780695,80.27393408591341,-71.7900518832295,-30.926690257987367,16.354748552536172,835
Hydro_pump,GE,ISP15,Midday,-6.802376616612371,3.3519769875633427,75.45395720954276,-67.82209109805244,-23.429713361874374,22.8518100535862,835
Hydro_pump,GE,MTU15-IDA,Critical,5.256751969269987,1.9987235963962073,55.95717461452348,52.218111333328096,-7.3715075390836,18.56347106087205,713
Hydro_pump,GE,MTU15-IDA,Flat,-9.605427371651396,2.192200334246069,98.03023896969906,-95.62802675865936,4.928734928331432,19.97722653887592,713
Hydro_pump,GE,MTU15-IDA,Midday,-2.8272413964906575,2.604770152349935,38.2496277707346,-28.239109586323664,-18.60540635989158,17.016986905490377,713
Hydro_pump,GE,MTU15-DA,Critical,6.773023704042147,0.7375558902150086,67.78912921615131,67.39281845193075,-5.3126447861386525,-3.8989301818116346,5983
Hydro_pump,GE,MTU15-DA,Flat,8.019926767875566,2.2320791377288014,82.830180859865,79.78969719963148,-19.029088016217575,-11.17145613822943,5983
Hydro_pump,GE,MTU15-DA,Midday,-25.524091414982728,2.5201122290699867,255.1963765662491,-253.89666822222438,23.36530533138858,-4.1674510835595004,5983
Hydro_pump,IB,ISP15,Critical,-7.253806599728322,2.5900986322256685,76.63749597932478,-72.96532127890912,-20.645262090060573,-9.645008710028844,3922
Hydro_pump,IB,ISP15,Flat,7.172515329423354,1.7611596110748544,73.48550383118386,70.77214246428959,-17.352531204344974,-7.942099350738003,3922
Hydro_pump,IB,ISP15,Midday,-5.479186133061279,2.6357226789126105,60.49696651374896,-55.34076782676847,-24.31368430603009,-2.2231677030813346,3922
Hydro_pump,IB,MTU15-IDA,Critical,6.780207595703031,1.8475128698375756,69.92186614829019,67.80810103425264,6.933546813163106,14.849432898441915,2170
Hydro_pump,IB,MTU15-IDA,Flat,-13.981376285220723,1.5191073355601334,139.93166340275752,-138.96636387299952,4.195662406903514,15.135634462512485,2170
Hydro_pump,IB,MTU15-IDA,Midday,5.630101435686247,1.0941804817514271,57.066908424878335,56.10833498192477,0.8391770232983946,8.021894746828483,2170
