agent_code,description,agent_type
GRNSR,"GREENSUNRISE ENERGY, S.L.",COMERCIALIZADOR
GRTEN,GERENTA ENERGIA SLU,COMERCIALIZADOR
GSETT,"AVANZALIA ENERGÍA COMERCIALIZADORA, S.A.",REPRESENTANTE
GSLZE,"GASILUZ ECO ENERCÍA, S.L.",COMERCIALIZADOR
GSPV1,ERG SOLAR TABERNAS S.L.,GENERACIÓN
GSPV3,ERG SOLAR ALMANSA S.L.,GENERACIÓN
GSTEE,"GLOBAL SPECIAL STEEL PRODUCTS, S.A.",CONSUMIDOR DIRECTO
GUADI,"EOLICA DEL GUADIANA, S.L.",GENERACIÓN RECORE
GUAID,"GUASCOR POWER INVESTIGACIÓN Y DESARROLLO, S.A.",GENERACIÓN RECORE
GUIS,"CORPORACIÓN ALIMENTARIA GUISSONA, S.A.",GENERACIÓN RECORE
GUNVR,GUNVOR INTERNATIONAL BV AMSTERDAM GENEVA BRANCH,COMERCIALIZADOR
GURBT,"GURBTEC ENERGIA, SL",COMERCIALIZADOR
GWHCO,"GWH COMERCIALIZADORA ELÉCTRICA, S.L.",COMERCIALIZADOR
G3T,G3T,GENERACIÓN RECORE
G9TEL,"G9, SA",COMERCIALIZADOR
HAFES,"HAFESA MOBILITY ELC, S.L.",COMERCIALIZADOR
HALLE,"HALLEY ENERGY, SOCIEDAD LIMITADA",COMERCIALIZADOR
HAMPO,"HAM POWER, S.L.",COMERCIALIZADOR
HAPO,HARINAS POLO S.A,CONSUMIDOR DIRECTO
HARXX,HARINERA ARANDINA S.A,CONSUMIDOR DIRECTO
HC G,"EDP ESPAÑA, S.A.U.",GENERACIÓN
HCCUR,BASER COMERCIALIZADORA DE REFERENCIA SA,COMERCIALIZADOR ULTIMO RECURSO
HCENE,TOTALENERGIES MERCADO ESPAÑA S.A.,COMERCIALIZADOR
HDATA,"HIDRODATA, S.A.",GENERACIÓN RECORE
HDE,HIDRO NITRO ESPAÑOLA,GENERACIÓN RECORE
HECEN,"HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L.",COMERCIALIZADOR
HELEC,HELIOELEC ENERGIA ELECTRICA Y GAS SOCIEDAD LIMITAD,COMERCIALIZADOR
HELEI,HELIOS ENERGÍA INTELIGENTE SL,COMERCIALIZADOR
HELIC,"HELIA, COOP. V.",COMERCIALIZADOR
HELIO,"PLANTA SOLAR HELIOS I, S.L.",REPRESENTANTE
HERAB,"HERACLES SOLAR, S.L",GENERACIÓN
HIDFR,"HIDROELÉCTRICA DE FRAGOSO, S.L.",GENERACIÓN RECORE
HIDGA,"HIDROMEDIA DE GALICIA, S.L.",GENERACIÓN RECORE
HIDRO,HIDROSCA,GENERACIÓN RECORE
HIDSE,"HIDROBESORA SERVICIOS, S.L.U.",COMERCIALIZADOR
HIGUE,SISTEMAS ENERGETICOS LA HIGUERA,GENERACIÓN RECORE
HIJOS,HIJOS DE ALFONSO GARRIDO DELGADO S.A,CONSUMIDOR DIRECTO
HILAD,S.A. HILADOS EGARFIL,CONSUMIDOR DIRECTO
HILLT,"HILLTECH DIGITAL, S.L.",COMERCIALIZADOR
HIMED,"HIDROMEDIA, S.A.",GENERACIÓN RECORE
HINOJ,"PARQUE EÓLICO HINOJAL, S.L.",GENERACIÓN RECORE
HIPIN,"HIDROELÉCTRICA DE PINA, S.L.",GENERACIÓN RECORE
HISPE,"ALPIQ ENERGÍA ESPAÑA, S.A.U.",COMERCIALIZADOR
HONZA,"HIDROELECTRICA DE LA ONZA, S.L.",GENERACIÓN RECORE
HORCA,HORMIGONES CALETA S.A.,CONSUMIDOR DIRECTO
HORE,HORECA ENERGÍA S.L.,COMERCIALIZADOR
HOYEN,"HOY ENERGIA, S.L.",COMERCIALIZADOR
HSATE,HSAT21 ENERGIA S.L.,COMERCIALIZADOR
HSCOM,"HIDROELECTRICA DE SILLEDA COMERCIALIZADORA, S.L.",COMERCIALIZADOR
HSERD,"HIDROELECTRICA DEL SERRADO, S.L.",GENERACIÓN RECORE
HUNOS,"HULLERAS DEL NORTE, S.A.",GENERACIÓN RECORE
HYDRO,HYDROEXERGY S.L.U.,COMERCIALIZADOR
IBAND,IBERDROLA RENOVABLES ANDALUCIA S.A.,GENERACIÓN RECORE
IBAR,"IB. ENERGÍAS RENOVABLES DE ARAGÓN, S.A.",GENERACIÓN RECORE
IBARE,IBAR ENERGIA S.L.,COMERCIALIZADOR
IBCLI,IBERDROLA CLIENTES S.A.,COMERCIALIZADOR
IBCUR,"CURENERGÍA COMERCIALIZADOR DE ÚLTIMO RECURSO, SAU",COMERCIALIZADOR ULTIMO RECURSO
IBEAE,IBERIA APROVECHAMIENTOS EÓLICOS,GENERACIÓN RECORE
IBEG,IBERDROLA GENERACIÓN,GENERACIÓN
IBELE,"IBELECTRA MERCADOS, LDA",COMERCIALIZADOR
IBELU,IBEREÓLICA LUBIÁN,GENERACIÓN RECORE
IBERB,"IBERICA IMPULSA, S.L",COMERCIALIZADOR
IBERD,"IBERDESA COMERCIALIZADORA, S.L",COMERCIALIZADOR
IBFRU,IBERFRUTA,GENERACIÓN
IBGES,IBERDROLA ENERGÍA ESPAÑA S..A.,COMERCIALIZADOR
IBGT,IBERDROLA GENERACIÓN TERMICA SL,GENERACIÓN
IBHC,IBEREÓLICA HEDROSO-ACIBEROS,GENERACIÓN RECORE
IBPA,IBEREÓLICA PADORNELO,GENERACIÓN RECORE
IBSEN,"IBERDROLA SERVICIOS ENERGETICOS, S.A.U.",COMERCIALIZADOR
IBSUS,"IBÉRICA DE SUSPENSIONES, S.L.",CONSUMIDOR DIRECTO
ICAM,"IB. ENERGÍAS RENOVABLES CASTILLA LA MANCHA, S.A.",GENERACIÓN RECORE
ICASA,"INMOBILIARIA DE CONSTRUCCIONES Y ARRIENDOS, S.A.",COMERCIALIZADOR
ICGAS,"INGENIERIA Y COMER. DEL GAS, S.A.",COMERCIALIZADOR
IDAE,INSTITUTO PARA LA DIVERSIFICACIÓN Y AHORRO DE LA ENERGIA (IDAE),GENERACIÓN RECORE
IDENG,ID ENGENHARIA LDA,COMERCIALIZADOR
IDESE,"IDES ENERGÍA, S.L.",COMERCIALIZADOR
IEAL,INICIATIVAS EÓLICAS DE ALPERA,GENERACIÓN RECORE
IENOV,INICIATIVA E.NOVA,COMERCIALIZADOR
IGAL,IB. ENERGÍAS RENOVABLES DE GALICIA,GENERACIÓN RECORE
IGES,"IBERDROLA CLIENTES PORTUGAL, UNIPESSOAL, LDA",COMERCIALIZADOR
IGNIS,IGNIS ENERGIA S.L.,COMERCIALIZADOR
IGNS1,IGNIS SOLAR UNO SL,GENERACIÓN
IGNU,"IBERDROLA GENERACION NUCLEAR, S.A.U.",GENERACIÓN
IHEA2,"IBEREÓLICA HEDROSO-ACIBEROS 2, S.L.",GENERACIÓN RECORE
IMPER,IMPERIUM LUMEN S.A.,COMERCIALIZADOR
IM3,IM3 ENERGIA SL,COMERCIALIZADOR
INARG,INARGY SPOT SLU,COMERCIALIZADOR
INATL,"INATLANTI, LDA",REPRESENTANTE
INCAS,"INICIATIVAS EÓLICAS CASTELLANAS, S.A.",GENERACIÓN RECORE
INCOG,INCOGEN,GENERACIÓN
INCU,INDUSTRIAS DEL CURTIDO,GENERACIÓN
INDA,"INDALO ENERGÍA, S.L.",COMERCIALIZADOR
INDAR,"INDAREL KUDEAKETA, SLU",COMERCIALIZADOR
INDEX,INDEXO ENERGIA SL,COMERCIALIZADOR
INDU,"INDULERIDA, S.A.",GENERACIÓN
INERM,INER MADRID SL,COMERCIALIZADOR
INER1,INER ENERGIA CASTILLA LA MANCHA SL,COMERCIALIZADOR
INESR,INES ROSALES SA,CONSUMIDOR DIRECTO
INGAR,"INGAROIL, S.L. ",GENERACIÓN RECORE
INGEM,INGEM ENERGIA SL,COMERCIALIZADOR
INICB,"INICIATIVAS ENERGETICAS AXTRA ENERGY, S.L.",COMERCIALIZADOR
INIHI,"INICIATIVAS HIDROELÉCTRICAS, S.A.",GENERACIÓN RECORE
INMAL,"IESA INTERMALTA ENERGÍA, S.A.",GENERACIÓN RECORE
INPE,"INDUSTRIAS PELETERAS, S.A.",GENERACIÓN
INQBA,INDUSTRIAS QUIMICAS DE BADAJOZ S.A.,CONSUMIDOR DIRECTO
INSOL,ENERGY INTERSOL 15 SL,COMERCIALIZADOR
INTEA,INTERENERGIA ENERGY TRADING COMPANY S.L.,COMERCIALIZADOR
INTEG,INTEGRACIÓN EUROPEA DE ENERGIA SAU,COMERCIALIZADOR
INTRA,DUFERCO IBERIA SL,REPRESENTANTE
INUSK,"INER EUSKADI, S.L.",COMERCIALIZADOR
IPRO,"IBERENOVA PROMOCIONES, S.A.",GENERACIÓN RECORE
IRINE,"IRINEO INERGIA, S.L.",GENERACIÓN
IRIS,"IRIS ENERGIA EFICIENTE, SA",COMERCIALIZADOR
IRIXO,"IRIXO EOLICO, S.A.",GENERACIÓN RECORE
ISAEC,"ISAE COMERCIALIZACIÓN, SOCIEDAD LIMITADA",COMERCIALIZADOR
ISEO,ISEO ENERGÍA,CONSUMIDOR DIRECTO
ISMSL,INGEBAU SOLUCIONES DE MEDIDA SL,COMERCIALIZADOR
ISYDE,"FIBERLUZ COMERCIALIZADORA, S.L.",COMERCIALIZADOR
ITACP,IMPORTACO CASA PONS S.A.,CONSUMIDOR DIRECTO
ITASA,IMPORTACO S.A.,CONSUMIDOR DIRECTO
ITURB,ITURBEGI S.L.,REPRESENTANTE
JADE,"JADE SOSTENIBLE, S.L.U.",GENERACIÓN
JAFP,JAF PLUS LDA,COMERCIALIZADOR
JALON,"MOLINOS DEL JALON, S.A.",GENERACIÓN RECORE
JANDA,"EOLICA LA JANDA, SL",GENERACIÓN RECORE
JARON,J. ARON & COMPANY,COMERCIALIZADOR
JAUFI,"P.E. JAUFIL, S.L.",GENERACIÓN RECORE
JAVEL,JAVEL OIL CORPORATION S.L,CONSUMIDOR DIRECTO
JDIAZ,JOSÉ FERNANDO DÍAZ CORDOVÉS UDAETA,GENERACIÓN
JEALS,"EÓLICA DE GRAIADE, S.L.",GENERACIÓN RECORE
JMFEN,"JMF ENERGÍAS RENOVABLES, S.L.",COMERCIALIZADOR
JOIN,ENERJOIN S.L.,REPRESENTANTE
JOVE,JOVE ENERGÍA RENOVABLE SL,COMERCIALIZADOR
JUANX,"JUAN ENERGY, SLU",COMERCIALIZADOR
JUSEP,JUST ENERGY PRO LUZ SL,COMERCIALIZADOR
KAEN,"KANUI ENERGIA, S.L.",GENERACIÓN RECORE
KARMA,ISOEN ENERGY SOLUTIONS SL,COMERCIALIZADOR
KERAB,"KERABÉN, S.A.",GENERACIÓN
KILVE,KILOWATIOS VERDES S.L.,COMERCIALIZADOR
KINE,KINESTALIA ENERGIA SOCIEDAD LIMITADA,COMERCIALIZADOR
KIRIN,"KIRIN RENOVABLES, SOCIEDAD LIMITADA",COMERCIALIZADOR
KODLC,KODL CAPITAL S.L.,COMERCIALIZADOR
KONRY,"KONERY EFICIENCIA ENERGÉTICA, S.L.",REPRESENTANTE
KREAN,EKILUZ ENERGIA COMERCIALIZADORA SL,COMERCIALIZADOR
KVASI,KVASIR TECHNOLOGIES LIMITED,COMERCIALIZADOR
KWFVI,"LIBERA ENERGIAS RENOVABLES, S.L.",COMERCIALIZADOR
LABOA,LABOR SOLIS COMERCIALIZADORA DE ENERGÍA S.L,COMERCIALIZADOR
LABOI,LABOIL ENERGIA SL,COMERCIALIZADOR
LACOR,LA CORRIENTE S.COOP,COMERCIALIZADOR
LACTX,LACTICS MAS NEGRE S.L,CONSUMIDOR DIRECTO
LADYW,LADY WARSAW INVESTMENT SL,COMERCIALIZADOR
LAESP,PARQUE EÓLICO LA ESPERANZA,GENERACIÓN RECORE
LALOM,ENERGIA DE LA LOMA,GENERACIÓN RECORE
LALUZ,PIZARRAS LA LUZ SL,CONSUMIDOR DIRECTO
LAMPY,"LAMPYRIS ENERGIA, S.L.",COMERCIALIZADOR
LAND,LANDS AND BUILDING S.L,CONSUMIDOR DIRECTO
LASIA,LASIAN TECNOLOGIA DEL CALOR SL,CONSUMIDOR DIRECTO
LAUEI,"LA UNIÓN ELECTRO INDUSTRIAL, S.L.U.",COMERCIALIZADOR
LAVAL,LA VALL COMERCIALIZADORA ELECTRICA SL,COMERCIALIZADOR
LBOGA,PARQUE EÓLICO LA BOGA,GENERACIÓN RECORE
LCAS,"LDV CASARES, S.L.",GENERACIÓN RECORE
LCOST,"ALUMBRA CORPORACION, S.L.",COMERCIALIZADOR
LDGIA,EVERGREEN ELECTRICA SLU,COMERCIALIZADOR
LDVCO,LDV CORTIJO DE GUERRA,GENERACIÓN RECORE
LECRI,"PARQUE EOLICO LECRIN, S.L.",GENERACIÓN RECORE
LEDCE,LOOP ELECTRICIDAD Y GAS S.L.,COMERCIALIZADOR
LEONC,LEON COMERCIALIZADORA DE ENERGIA S.L.,COMERCIALIZADOR
LER,"COMERCIALIZADORA LERSA, S.L.",COMERCIALIZADOR
LEZUZ,"ELECDEY LEZUZA, S.A.",GENERACIÓN RECORE
LIDER,"GREENING SMART ENERGY,  SL",COMERCIALIZADOR
LINAM,LINAMAR LIGHT METALS ZARAGOZA,CONSUMIDOR DIRECTO
LINAS,"LINASA COGENERACIÓN Y ASOCIADOS, S.L.",GENERACIÓN
LINER,"SISTEMAS ENERGÉTICOS LA LINERA, S.A.",GENERACIÓN RECORE
LINKE,LINK ENERGIA,COMERCIALIZADOR
LINNE,LINNEO HEALTH SL,CONSUMIDOR DIRECTO
LIUP,"ALTERNA OPERADOR INTEGRAL, S.L.",COMERCIALIZADOR
LLERP,"ILERPROTEIN, S.L.",GENERACIÓN RECORE
LLIER,CALES LLIERCA S.A.,CONSUMIDOR DIRECTO
LMER,"LONJAS TECNOLOGÍA, S.A.",REPRESENTANTE
LOBO,ALMENDRA Y MIEL S.A,CONSUMIDOR DIRECTO
LOCAL,"LOCALUZ ENERGIA, S.L.",COMERCIALIZADOR
LODOS,"EÓLICA LODOSA, S.L.",GENERACIÓN RECORE
LOGIC,"LOGICA ENERGY, LDA",COMERCIALIZADOR
LOGIF,"LOGIFRUIT, S.L.",CONSUMIDOR DIRECTO
LOMA,"SOLWINDET LAS LOMAS, S.L.",GENERACIÓN RECORE
LOMLE,"P.E. LOMAS DE LECRIN, S.L.",GENERACIÓN RECORE
LOVEE,LOVE ENERGY S.L.,COMERCIALIZADOR
LOVIL,"LOVILUZ ENERGIA, S.L",COMERCIALIZADOR
LSINC,"LUZ SOLIDARIA INCLUSIVA, S.L.",COMERCIALIZADOR
LUBAL,ENERGIA NORDICA GAS Y ELECTRICIDAD S.L.U.,COMERCIALIZADOR
LUCIA,"WIKU ENERGIA, S.L.",COMERCIALIZADOR
LUCIE,"SOMNI ENERGIA GLOBAL, S.L.",COMERCIALIZADOR
LUCIF,"LUCIFERASA-1 ENERGIA, S.L.",COMERCIALIZADOR
LUCK,LUCKY LUZ ENERGIA SL,COMERCIALIZADOR
LUMEN,LUMENAZA,COMERCIALIZADOR
LUMIE,"COMPAÑIA LUMISA ENERGIAS, SL",COMERCIALIZADOR
LUM1,HIDROELÉCTRICA LUMYMEY,COMERCIALIZADOR
LUNAG,LUNAGUA SL,CONSUMIDOR DIRECTO
LURIA,"LURIA DE ENERGÍAS, S.A.",GENERACIÓN RECORE
LUSIA,LUSIADAENERGIA S.A,COMERCIALIZADOR
LUX,LUX FORUM SLU,COMERCIALIZADOR
LUXIA,"LUXIA ENERGIA Y CONSULTORES, S.L.",COMERCIALIZADOR
LUZBO,LUZBOA-COMERCIALIZADOR,COMERCIALIZADOR
LUZDA,LUZ DEL PUEBLO SL,COMERCIALIZADOR
LUZSO,"LUZ SOLIDARIA, S.L.",COMERCIALIZADOR
LUZYE,LUZY ENERGIA RENOVABLE SLU,COMERCIALIZADOR
LUZYG,LUZYGAS IBERIA SL,COMERCIALIZADOR
MACEB,"MANIPULADOS DE CEBOLLAS Y DERIVADOS, S.L.",CONSUMIDOR DIRECTO
MADRI,"PARQUE EÓLICO MADRIDEJOS, S.L.",GENERACIÓN RECORE
MAGMA,MAGMA TRATAMIENTOS SLU,CONSUMIDOR DIRECTO
MAJAD,"TERMOSOLAR MAJADAS, S.L.",GENERACIÓN RECORE
MALAK,MALAKA ENERGIA 2022 SL,COMERCIALIZADOR
MALVO,MALVON FACTORY S.L.,CONSUMIDOR DIRECTO
MANUE,MANUEL GALLEGO MUDARRA,GENERACIÓN
MAREC,"MED. AMB. AGUA RESID. Y EENRGIA DE CANTABRIA, SA",GENERACIÓN RECORE
MAREN,MARE NOSTRUM OIL MANAGEMENT S.L SOCIEDAD UNIPERSON,CONSUMIDOR DIRECTO
MARME,PARQUE EOLICO MARMELLAR,GENERACIÓN RECORE
MARTB,MULTIENERGÍAS MLC SL,COMERCIALIZADOR
MASAL,"MAS ALLÁ PRODUCTOS ENERGÉTICOS, S.L.",COMERCIALIZADOR
MASIN,INTELIGENCIA PARA EL AHORRO ENERGETICO S.L.,REPRESENTANTE
MASNA,MASNORTE GLOBAL POWER S.L,COMERCIALIZADOR
MASOL,"MANCHASOL-1,CENTRAL TERMOSOLAR UNO S.L.",GENERACIÓN RECORE
MASQL,"MASQLUZ 2020, S.L",COMERCIALIZADOR
MATA,PIZARRAS MATACOUTA S.A,CONSUMIDOR DIRECTO
MATIL,"MATILDE SOLAR, S.L.",GENERACIÓN
MAVEL,ESTACION DE SERVICIO MAVEL S.L,CONSUMIDOR DIRECTO
MAZEE,MAZE ENERGY SLU,COMERCIALIZADOR
MAZ11,MAZ M.C.S.S. N11,CONSUMIDOR DIRECTO
MBPE,"MB PAPELES ESPECIALES, S.A.",GENERACIÓN RECORE
MCCAL,MATERIALES DE CONSTRUCCIÓN CALETA S.L.,CONSUMIDOR DIRECTO
MCM,"MIQUEL Y COSTAS & MIQUEL, S.A.",GENERACIÓN RECORE
MDAUG,"PARQUE EÓLICO MONTE DAS AUGAS, S.L.",GENERACIÓN RECORE
MEBRO,MOLINOS DEL EBRO,GENERACIÓN RECORE
MEDI,ENERGIAS RENOVABLES MEDITERRANEAS,GENERACIÓN RECORE
MEDIM,MEDIOMONTE SOLAR SL,GENERACIÓN
MEDIN,"EOLICA DE MEDINACELI, S.L.",GENERACIÓN
MEG,MEGARA ENERGIA S. COOP,COMERCIALIZADOR
MELUL,HISPANO TEX S.A.U.,CONSUMIDOR DIRECTO
MENER,"XENERA COMPAÑÍA ELÉCTRICA,S.A.U.",COMERCIALIZADOR
MERCA,"HIDROELECTRICA DE LA MERCA, S.L.",GENERACIÓN RECORE
MERCU,MERCURIA ENERGY TRADING SA,COMERCIALIZADOR
MEROL,MEROLTEX SL,CONSUMIDOR DIRECTO
METEN,"MET ENERGIA ESPANA, S.A.",COMERCIALIZADOR
MFRSA,MAFRESA EL IBERICO DE CONFIANZA SL,CONSUMIDOR DIRECTO
MIAJA,"BIOMASA MIAJADAS, S.L.",GENERACIÓN RECORE
MINAI,EKHI ENERGY MANAGEMENT S.L.,COMERCIALIZADOR
MINAL,"MINAS DE ALCANTARA, S.L.",CONSUMIDOR DIRECTO
MOCAT,MOCATERO SOLAR S.L.,GENERACIÓN
MODI,MODISPREM S.A,CONSUMIDOR DIRECTO
MOEN,MOLTÓ ENERGÍA,GENERACIÓN
MOIA,ESCORXADOR COMARCAL DEL MOIANES S.A.,CONSUMIDOR DIRECTO
MOLAL,MOLALUZ ENERGIA SL,COMERCIALIZADOR
MOLE,MOLECOR TECNOLOGIA S.L,CONSUMIDOR DIRECTO
MOLEC,MOLECOR CANALIZACIONES S.L,CONSUMIDOR DIRECTO
MOMIC,MOMICAL HOSTELERA S.L,CONSUMIDOR DIRECTO
MONCA,"MOLINOS DEL MONCAYO, S.L.",GENERACIÓN
MONEG,"MONEGROS SOLAR, S.A.",GENERACIÓN
MONGE,FRUTAS MONGE S.L.,CONSUMIDOR DIRECTO
MONRE,RESIDENCIA TORRE DE MONREAL SL,CONSUMIDOR DIRECTO
MONTA,EÓLICA DEL MONTALT,GENERACIÓN RECORE
MONTE,"EOLICA MONTESINOS, S.L.",GENERACIÓN RECORE
MONTO,"MONTOUTO 2000, S.A.",GENERACIÓN RECORE
MONTR,MONTARTO TECHNOLOGY SL,COMERCIALIZADOR
MORAL,PARQUE EOLICO  EL MORAL,GENERACIÓN RECORE
MORED,MOREDA-RIVIERE TREFILERIAS SA,CONSUMIDOR DIRECTO
MORRA,EOLICOS DO MORRAZO,GENERACIÓN RECORE
MORTE,MORTERO SOLAR SPAIN SL,COMERCIALIZADOR
MOVA,MOSTOS VINOS Y ALCOHOLES,GENERACIÓN RECORE
MOVHE,MOVHERA - HIDROELÉTRICAS DO NORTE SA,GENERACIÓN
MOVIE,MOVIER ENERGIA SOSTENIBLE S.L.,COMERCIALIZADOR
MSDTE,MSD TECNOMETAL S.L.,CONSUMIDOR DIRECTO
MSM,MINERA SANTA MARTA,GENERACIÓN
MSVSL,"MUNICIPAL DE SERVICIOS VILLAHERMOSANA, S.L.",COMERCIALIZADOR
MTORR,"M. TORRES DESARROLLOS ENERGÉTICOS, S.L.",GENERACIÓN RECORE
MUEST,MUESTRARIOS IBERIA SL,CONSUMIDOR DIRECTO
MULTA,"MULTISEVICIOS TECNOLOGICOS, S.A.",COMERCIALIZADOR
MULTI,MULTIENERGIA VERDE SL,COMERCIALIZADOR
MUNTA,MUNTANYETA COOP. V.,CONSUMIDOR DIRECTO
MUON,"MUON ELECTRIC, LDA.",COMERCIALIZADOR
MYEN,MY ENERGIA ONER S.L.,COMERCIALIZADOR
MYENX,SIRAX ENERGY SL,COMERCIALIZADOR
MYLIG,MY LIGHT ENERGY SP SAU,COMERCIALIZADOR
MYTA,S.A. DE MINERIA Y TECNOLOGIA DE ARCILLAS,GENERACIÓN
NABAL,NABALIA ENERGIA 2000 S.A.,COMERCIALIZADOR
NACIM,SISTEMAS ENERGÉTICOS NACIMIENTO S.A.,GENERACIÓN RECORE
NAGIN,RECICLAJES ECOLÓGICOS NAGINI S.L.,COMERCIALIZADOR
NANSA,"SALTOS DEL NANSA I, S.A.",GENERACIÓN RECORE
NARAJ,LAS NARANJILLAS ENERGÍA S.L.,GENERACIÓN
NATGA,TOTALENERGIES CLIENTES S.A.,COMERCIALIZADOR
NATRH,"HIDRO ENERGÍA XANA, S.L.",GENERACIÓN RECORE
NAVAR,"PETRO NAVARRA, S.L.",COMERCIALIZADOR
NAVG,"ALTANO HIDRO, S.A.U",COMERCIALIZADOR
NAVIC,"EOLICA LA NAVICA, S.L.U.",GENERACIÓN RECORE
NCE,"NUEVA COMERCIALIZADORA ESPAÑOLA, S.L.",COMERCIALIZADOR
NEAS,CENTRICA ENERGY TRADING AS,COMERCIALIZADOR
NEMON,"NEMON INTELLIGENCE IN BUSINESS, SL",COMERCIALIZADOR
NEOEN,NEOELECTRA ENERGIA SLU,COMERCIALIZADOR
NEREA,"PARQUE EOLICO NEREA, S.L.",GENERACIÓN RECORE
NERVI,LIMPIEZAS NERVIÓN SA,CONSUMIDOR DIRECTO
NETON,"NETON ENERGY SERVICES, S.L.U.",COMERCIALIZADOR
NETRA,NOVA ENERGIA TRADING SL,COMERCIALIZADOR
NEURO,"NEURO ENERGIA Y GESTION, SL",REPRESENTANTE
NEWTI,NEW TILES S.L.,CONSUMIDOR DIRECTO
NEXAM,NEXT ENERGIA XXI SL,COMERCIALIZADOR
NEXAP,"NEXT ENERGY PLUS, S.L.",COMERCIALIZADOR
NEXOR,"NEXORA ENERGIA, S.L.",COMERCIALIZADOR
NEXU,NEXUS ENERGÍA (ACT. COMERCIALIZACIÓN RE),COMERCIALIZADOR
NFRG,NOVAFRIGSA SA,CONSUMIDOR DIRECTO
NIDHO,NIDHOG APS,COMERCIALIZADOR
NIVA,SULAYR SORTING SL,CONSUMIDOR DIRECTO
NOBE,NOBE SOLUCIONES Y ENERGIA S.L,COMERCIALIZADOR
NOBLE,NOBLE CLEAN FUELS LIMITED,COMERCIALIZADOR
NOCTI,"NOCTILUCA ENERGIA, S.L.",COMERCIALIZADOR
NOEL,"COGENERACION BEGUDA, S.A.U.",GENERACIÓN RECORE
NOMO,"NORVENTO MONTOUTO, S.L.",GENERACIÓN RECORE
NORDW,NORDWESTEN ENERGIE SL,COMERCIALIZADOR
NORE,NORELECTRICA ENERGIA S.L.,COMERCIALIZADOR
NORMA,NORMA DOORS TECHNOLOGIES SA,CONSUMIDOR DIRECTO
NORT,"ELECTRA NORTE ENERGÍA, S.A.U.",COMERCIALIZADOR
NOSA,NOSA ENERXIA SOCIEDADE COOP GALEGA,COMERCIALIZADOR
NOVAE,"NOSSA ENERGIA, COMÉRICIO DE ENERGIA LDA",COMERCIALIZADOR
NPCE,EUROATOMIZADO S.A.,GENERACIÓN RECORE
NRENO,"NEXUS RENOVABLES, S.L.",COMERCIALIZADOR
NRPG,"NUEVOS RIEGOS EL PROGRESO, S.A.",GENERACIÓN RECORE
NTECA,"P.E. LOMAS DE MANTECA, S.L.",GENERACIÓN RECORE
NUFRI,S.A.T. 1.596 (NUFRI),GENERACIÓN RECORE
NUKIK,NUKIK ENERGY SL,COMERCIALIZADOR
NVLZE,"NOVALUZ ENERGÍA, S.L.",COMERCIALIZADOR
NYCLI,"NATURGY CLIENTES, S.A.",COMERCIALIZADOR
OCISP,OCISPORT CONSULTING SL,CONSUMIDOR DIRECTO
ODARA,"ODARA RENOVABLES, S.L.",COMERCIALIZADOR
ODELL,ODELL ENERGY S.L,COMERCIALIZADOR
ODF,ENERGIA LIBRE COMERCIALIZADORA SL,COMERCIALIZADOR
OENEO,"OENEO ENERGY,LDA",COMERCIALIZADOR
OESTE,"RONDA OESTE ENERGÍA, S.L.",COMERCIALIZADOR
OHMEY,"NATURA ENERGIA RENOVABLE EYG, S.L.",COMERCIALIZADOR
OHMIO,BARTER SHARING SL,COMERCIALIZADOR
OITA,SALTOS DEL OITAVEN,GENERACIÓN RECORE
OKENE,OK TU ENERGIA VERDE SL,COMERCIALIZADOR
OLE,SIESTA GREEN ENERGY S.L.,COMERCIALIZADOR
OLEX,"OLEXTRA, S.A.",GENERACIÓN
OLIV,OLIVENTO,GENERACIÓN RECORE
OLIVA,OLIVES AND PICKLES SL,CONSUMIDOR DIRECTO
OLIVC,OLIVIA COMERCIALIZADORA S.L.U.,COMERCIALIZADOR
OLLER,FRANCISCO OLLER S.A.,CONSUMIDOR DIRECTO
OLOTS,OLOT SALUT S.L.,CONSUMIDOR DIRECTO
ONDA,S.A. MINERA CATALANO ARAGONESA,GENERACIÓN
ONDAR,ONDARE UNIVERSIDAD SLU,CONSUMIDOR DIRECTO
ONDEM,ON DEMAND FACILITIES S.L.U.,COMERCIALIZADOR
ONE,OFFICE NATIONAL D'ELECTRICITÉ ET DE L'EAU POTABLE,COMERCIALIZADOR
ONS,ONDOAN SERVICIOS,CONSUMIDOR DIRECTO
OPPI,ESTRATEGIAS ELÉCTRICAS INTEGRALES S.A.,COMERCIALIZADOR
ORCIT,"ORGANIC CITRUS, S.L.U.",CONSUMIDOR DIRECTO
ORDEN,COMUNIDAD DE REGANTES DE LA SAT NUMERO 1273,CONSUMIDOR DIRECTO
ORIA,"PAPELERA DEL ORIA, S.A.",GENERACIÓN RECORE
ORWEL,ORWELL POWER SL,COMERCIALIZADOR
OSUNA,"OSUNA MISSION, S.L.",CONSUMIDOR DIRECTO
OURGR,"OUR GREEN ENERGY, S.L.",COMERCIALIZADOR
OUROL,HIDROELECTRICA DE OUROL,GENERACIÓN RECORE
OUTE,"ENERGIAS AMBIENTALES DE OUTES, S.A.",GENERACIÓN RECORE
OVLAC,OVLAC FABRICACIÓN DE MAQUINARIA AGRÍCOLA,CONSUMIDOR DIRECTO
OXPER,"OXPERTA GREEN ENERGY, SL",COMERCIALIZADOR
