agent_code,description,agent_type
CALCE,CAL DE CASTILLA,CONSUMIDOR DIRECTO
CALDE,LA CALDERA ENERGÍA BURGOS,GENERACIÓN RECORE
CALEA,CALERA DE ALZO S.L.,CONSUMIDOR DIRECTO
CALL,"ELÉCTRICA CALLOSINA, SLU",COMERCIALIZADOR
CALLO,"ELECTRICA DE CALLOSA DE SEGURA, CV",COMERCIALIZADOR
CAMCO,ENERGIAS DE LA VILLA DE CAMPO COMERCIALIZADORA SLU,COMERCIALIZADOR
CANDL,CANDELA COMERCIALIAZADORA S.L,COMERCIALIZADOR
CAPE,PARQUE EOLICO A CAPELADA,GENERACIÓN RECORE
CAPSA,"CORPORACIÓN ALIMENTARIA PEÑASANTA, S.A.",GENERACIÓN
CAPTA,CAPTURA ENERGIA S.L.,COMERCIALIZADOR
CARBA,"P.E. SIERRA DE LAS CARBAS, S.L.",GENERACIÓN RECORE
CARGY,"CARTO ENERGY, SOCIEDAD LIMITADA",COMERCIALIZADOR
CARRA,PARQUE EOLICO LA CARRACHA,GENERACIÓN RECORE
CARTA,ENGIE CARTAGENA S.L,GENERACIÓN
CASAT,COM. AGROPECUARIA SDAD.AGRARIA DE TRANSFORMACION,CONSUMIDOR DIRECTO
CASOL,CENTRAL HIDROELÉCTRICA DE CAMPOSOLILLO,GENERACIÓN RECORE
CAST,"CASTRIOS, S.A.",GENERACIÓN RECORE
CASTI,"EOLICA DE CASTIL DE TIERRA, S.L.",GENERACIÓN RECORE
CASTL,"IBERDROLA RENOVABLES CASTILLA Y LEÓN, S.A.",GENERACIÓN RECORE
CATER,"CATALANA DE ENERGIAS RENOVABLES, S.L.",GENERACIÓN RECORE
CATGA,CATGAS ENERGIA SA,COMERCIALIZADOR
CATRA,"ELECTRICA CATRALENSE, S.L.U.",COMERCIALIZADOR
CCATR,"COOPERATIVA ELÉCTRICA BENÉFICA CATRALENSE, COOP.V.",COMERCIALIZADOR
CCORA,COGENERACION CORA,GENERACIÓN RECORE
CCSR4,"CENTRAL TERMICA CICLO COMBINADO GRUPO 4, SL",GENERACIÓN
CEA,"COOP ELÉCTRICA BENÉFICA ALBATERENSE, COOP.V.",COMERCIALIZADOR
CEAR,COMPAÑÍA EÓLICA ARAGONESA,GENERACIÓN RECORE
CEASA,CELULOSAS DE ASTURIAS (ACTIVIDAD: GENERACIÓN),GENERACIÓN
CEBA,CORPORACION EOLICA DE BARRUELO,GENERACIÓN RECORE
CECA,"COOPERATIVA ELECTRICA DE CASTELLAR, S.C.V.",COMERCIALIZADOR
CEDSL,COMERCIALIZADORA DE ENERGIA DIRECTA S.L.,COMERCIALIZADOR
CEE,COMPAÑÍA DE EXPLOTACIONES ENERGÉTICAS,GENERACIÓN RECORE
CEEE,ESCANDINAVA DE ELECTRICIDAD S.L.U.,COMERCIALIZADOR
CEG,ENERGYA VM GENERACIÓN (ACT. COMER. RE),COMERCIALIZADOR
CEGRA,CORPORACIÓN EÓLICA GRANADINA,GENERACIÓN RECORE
CELAD,"PARQUES EÓLICOS CELADAS, S.L.",GENERACIÓN RECORE
CELAT,CELSA ATLANTIC S.L.,CONSUMIDOR DIRECTO
CELL,CELLTECH S.L.U,CONSUMIDOR DIRECTO
CELSA,"COMPAÑÍA ESPAÑOLA DE LAMINACIÓN, S.L.",CONSUMIDOR DIRECTO
CEMA,CORPORACION EOLICA DE MANZANEDO,GENERACIÓN RECORE
CEMEK,"ENUCA COMERCIALIZADORA, S.L.U",COMERCIALIZADOR
CENER,"CELULOSA ENERGÍA, S.A.U. ",GENERACIÓN RECORE
CENES,ENERGYA VM ENERGIAS ESPECIALES,COMERCIALIZADOR
CENTE,"ENERGYA VM GESTION DE ENERGIA, S.L.",COMERCIALIZADOR
CENTS,ELECTRACOMERCIAL CENTELLES,COMERCIALIZADOR
CENU,CERÁMICA NULENSE,GENERACIÓN RECORE
CEPEN,"COMERCIALIZADORA ELECTRICA PENINSULAR, S.L.",COMERCIALIZADOR
CEPM,"COMPAÑIA ENERGETICA PATA DE MULO, S.L.",GENERACIÓN RECORE
CEPSB,"MOEVE CHEMICALS, S.A.U.",CONSUMIDOR DIRECTO
CEPSP,CEPSA GAS Y ELECTRICIDAD S.A.-SUCURSAL EM PORTUGAL,COMERCIALIZADOR
CER,CASTELLANA DE ENERGÍA RENOVABLE,GENERACIÓN RECORE
CERES,COGEN ERESMA S.L.,GENERACIÓN RECORE
CERLE,ELECTRONICA CERLER SA,CONSUMIDOR DIRECTO
CERRA,PARQUES EÓLICOS DE CERRATO,GENERACIÓN RECORE
CERTE,CERTEST BIOTEC S.L,CONSUMIDOR DIRECTO
CESOS,"COMERCIALIZADORA ENERGETICA SOSTENIBLE, S.A.",COMERCIALIZADOR
CESPA,"CESPA COMPAÑIA ESPAÑOLA DE SERVICIOS. PUBLICOS  AUXILIARES, S.A.",GENERACIÓN
CESRE,"CESPA GESTIÓN RESIDUOS, S.A.",GENERACIÓN
CETA,COMPAÑÍA ENERGÉTICA PARA EL TABLERO,GENERACIÓN RECORE
CETAL,COMERCIALIZADORA ELECTRICA TALAYUELAS S.L.,COMERCIALIZADOR
CETU,"CERÁMICA TUDELANA, S.A.",GENERACIÓN
CEVA,"CORPORACIÓN EÓLICA DE VALDIVIA, S.L.",GENERACIÓN RECORE
CEZA,CORPORACION EOLICA DE ZAMORA,GENERACIÓN RECORE
CEZAG,"CORPORACIÓN EÓLICA DE ZARAGOZA, S.L.",GENERACIÓN RECORE
CGRVO,CONSORCI GESTIO RESIDUS V.ORIENTAL,GENERACIÓN RECORE
