unit_code,description,owner_agent,ownership_pct,unit_type,zone,technology
AREPC02,AUDAX RENOV. SUC. EM PORTUGAL,AUDAX RENOVABLES S.A.-SUCURSAL EM PORTUGAL,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
ARGUC01,UPR ARGUS,"COLABORA ENERGIA-ARGUS, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ASIEC01,COMERCIALIZ,ASISTENCIA ENERGÉTICA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ASSEC01,18X000000000P5GW,"ASSENN ENERGY, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ASTEC01,ASTEC01,ASTEN RENOVABLES S.L.U.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ASTRC01,ASTRAL,ASTRALCAD ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ATEEC01,ATENCO PENINSULA,ATENCO ENERGIA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ATLSC01,ATLAS ENERGIA COMERCIAL SL,ATLAS ENERGIA COMERCIAL SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ATLSR01,ATLSR01,ATLAS ENERGIA COMERCIAL SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compra Comercializador Balance
ATPC01,COMPRA ATP,ATP ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ATRIC01,ATRIA - UNIDAD DE OFERTA 01,ATRIA INVERSIONES ENERGIA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AUDAC01,AUDAX COMPRA,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
AXPOC02,AXPOP COMERCIALIZADOR PT,AXPO ENERGIA PORTUGAL,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
AXPOR01,AXPO SRAD,"AXPO IBERIA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compra Comercializador Balance
AYLUC01,AYLUZ,AYLUZ COMERCIALIZADORA ELECTRICA S.L,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BALEC01,BALEC01,"ELECBALEAR,S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BECOC01,BASSOLS ENERGÍA COMPRA (ESP),BASSOLS ENERGÍA COMERCIAL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BESC01,BESC01,BESPIN ENEGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
BEYOC01,UNIDAD OFERTANTE,"LUZIA ENERGIA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BEYRM01,REPR RELUZCA,"LUZIA ENERGIA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
BEYRM02,REPR INDALO,"LUZIA ENERGIA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
BIROC01,BIROU GAS SL,BIROU GAS SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BNPRC01,BNPRC01,"BON PREU, S.A.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BNPRM02,BONPREU TERCIARIA,"BON PREU, S.A.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compra Comercializador Balance
BOAEC01,UO BOAENERGETICA 2000 S.L,"BOAENERGETICA 2000, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BPC01,BP AMOCO GAS (ESP),"BP GAS AND POWER IBERIA, S.A.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BPRM01,BP REP 01,"BP GAS AND POWER IBERIA, S.A.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
BREIC01,U. OFERTA IBERICA,"IBERICA IMPULSA, S.L",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BSGEC01,BSGEA COMPRA,BSG ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BSGRM01,COMPRA BERL,BSG ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CAMCC01,CAMPO_UP,ENERGIAS DE LA VILLA DE CAMPO COMERCIALIZADORA SLU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CAPTC01,COMERCIALIZACION,CAPTURA ENERGIA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CATGC01,18WCATGC01-123-C,CATGAS ENERGIA SA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CATRC01,CATRA COMPRA,"ELECTRICA CATRALENSE, S.L.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CCASC01,CCASC01,COMERCAST ENERGIAS S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CCATC01,CCATR COMPRA,"COOPERATIVA ELÉCTRICA BENÉFICA CATRALENSE, COOP.V.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CEBAC01,"COOP ELEC BENEF ALBAT, COOP.V.","COOP ELÉCTRICA BENÉFICA ALBATERENSE, COOP.V.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CECAC01,COOP. ELECT. CASTELLAR,"COOPERATIVA ELECTRICA DE CASTELLAR, S.C.V.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CEDC01,UNIDAD DE OFERTA PENINSULA,COMERCIALIZADORA DE ENERGIA DIRECTA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CEEEC01,CEEE COMPRA,ESCANDINAVA DE ELECTRICIDAD S.L.U.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CEESC01,CENES COMPRA ESP,ENERGYA VM ENERGIAS ESPECIALES,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CEGC01,CEG COMPRA (ESP),ENERGYA VM GENERACIÓN,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CENTCP3,CENTE DERECHOS COMPRA(FRAN),"ENERGYA VM GESTION DE ENERGIA, S.L.",100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Comercializador
CENTC01,CÉNTRICA ENERGÍA COM. 1 (ESP),"ENERGYA VM GESTION DE ENERGIA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CENTVP3,CENTE DERECHOS VENTA(FRAN),"ENERGYA VM GESTION DE ENERGIA, S.L.",100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Import. de comercializadoras
CEPEC01,18W00000000079GW,"COMERCIALIZADORA ELECTRICA PENINSULAR, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CEPSC02,COMPRA SUCURSAL PORTUGAL,CEPSA GAS Y ELECTRICIDAD S.A.-SUCURSAL EM PORTUGAL,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
CESOC01,U. COMPRA DE COMERCIALIZADORA,"COMERCIALIZADORA ENERGETICA SOSTENIBLE, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CETAC01,CETAC01,COMERCIALIZADORA ELECTRICA TALAYUELAS S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CHAC01,UNIDAD DE OFERTA,CHARGE ENERGY SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CHCC01,UNIDAD DE COMPRA CHC,"CIDE HCENERGIA, S.A.U",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CHENC01,"CHURCH ENERGY, S.L.","CHURCH ENERGY, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CHERC01,CHERA COMPRA,ELECTRICA SOT DE CHERA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CHISC01,COMCH COMERCIALIZADORA ESP,COMERCIALIZADORA LA CHISTABINA S.L.U,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CIMAC01,CIMA ENERGIA,CIMA ENERGIA COMERCIALIZADORA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CLEAC01,COMPRA,CLEARVIEW ENERGY SL.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CLIDC01,CLIUO01,HOLALUZ-CLIDOM SA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CLIDC02,UD. COMERCIALIZACION,CLIDOMER UNIPESSOAL LDA,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
CNTLC01,CNTLC01,ELECTRACOMERCIAL CENTELLES,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
COALC01,COALG COMPRA,"COMERCIALIZADORA SUM ESP ALGINETENSES, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CODOC01,CODOC01,ENERGIA COSTA DORADA SLU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
COELC01,COELD COMPRA,ELECTRICA DE GUADASSUAR COOP. V.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
COGEC01,COGEN COMPRA ELECTRICIDAD,ENERGY BY COGEN,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
COMPC01,UP PENINSULAR,COMPAÑIA CASTELLANA DE COMERCIALIZACION ELECTRICA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
COMTC01,COMTC01,"COMERCIALIZADORA DE ENERGÍA TRANSPARENTE, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CONEC01,COMPRA ENERGIA,CONECTA2 ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CONSC01,CONSB UOF,"CONSULTING AND MANAGEMENT GREEN ENERGY, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
COPIC01,COMERCIALIZACION,"COMERCIALIZADORA HAZ DE LUZ RENOVABLE, S.L.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CPERM02,REPR. BEST OPTION,"COMERCIALIZADORA ELECTRICA PENINSULAR, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CREEC01,CREA ENERGIA COMERCIALIZADORA,"CREAENERGIA ECO, S.L.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CREOC01,CRECE,CRECE SOLUCIONES DE ENERGÍA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CRGYC01,UNIDAD DE COMPRA,"CARTO ENERGY, SOCIEDAD LIMITADA",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CUNCC01,CUNCC01,"ELECTRA CUNTIENSE COMERCIALIADORA, S.L.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CUVEC01,"CUVER DESTELLA ENERGIA, SL.","CUVER DESTELLA ENERGIA, SL.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CWCMC01,COMPRA CW COMERCIAL NO BALANCE,CAPWATT COMERCIAL S.L.U.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CYDAC01,COMPRA CYDAE COMERCIALIZACION,"COMERCIAL Y ASESORA DE ELECTRICIDAD, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CYEC01,UNIDAD COMPRA COMERCIALIZACION,CYE ENERGIA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
DAIMC01,COMERCIAL DAIMUZ,DAIMUZ ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DEBAC01,DEBAC01,DEBARU ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
DETIC01,DETISA COMPRA (ESP),"MOEVE GAS AND POWER, S.A.U",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DETIR01,DETIR01,"MOEVE GAS AND POWER, S.A.U",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compra Comercializador Balance
DFERC01,DUFERCO COMPRA,DUFERCO ENERGIA S.P.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DILUC01,DILUZ,DILUZ COMERCIALIZADORA DE ELECTRICIDAD S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DIRGC01,DIRECTGREEN,DIRECT GREEN,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DIVIC01,UNIDAD DE OFERTA DIVICONSULTIN,DIVICONSULTING ENERGIA S.L,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DLSTC01,UNIDAD OFERTANTE GO ENERGIA,ENERGÉTICA DEL ESTE S.L,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DONBC01,COMERCIALIZACION,"DON BELTRAN MARKET, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DREAC01,UO COMPRAS DREUA 01,"FOENER ENERGÍA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
DRKFC01,DRK,"DRK ENERGY, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
