hour_class,Biomass,CCGT,Coal,Cogen,Hybrid_RES,Hydro,Hydro_RES,Hydro_pump,Import,Nuclear,Solar PV,Solar Thermal,Wind,,window,Other
Flat,0.0,0.0,,0.0007145167234519431,0.0075437923539189355,0.01716720443451642,0.0,0.10768143083854179,0.0,0.13496844844573808,0.0001504245733583038,0.0,0.7086388832479674,0.023135299382507128,DA60/ID15 pre-blk (Mar19-Apr27),0.0
Midday,0.014300824115288002,0.0,,0.03744013283037566,0.016073166286907418,0.05254077399421368,0.01740420955087563,0.0,0.0,0.04192041850144181,0.3645367195232781,0.01309365422890609,0.39464569236284897,0.0480301155238355,DA60/ID15 pre-blk (Mar19-Apr27),1.4293082029188858e-05
Critical,0.00656659444580007,0.06231242909073216,,0.021034480979176356,0.013318225681484597,0.09380001430164829,0.011379762577894222,0.07972173710474187,0.0028750736276868115,0.07896279138686917,0.2993788366567464,0.006317789997250249,0.2960020995409466,0.028330164609023156,DA60/ID15 post-blk (Apr28-Sep),
Dropped,0.008095298093741663,0.044825852578735684,,0.028429585050349336,0.01554208295040171,0.07397621376972716,0.013811479054875337,0.0612227377387764,0.0004941053234907553,0.049503177097230046,0.422635458974435,0.0009777109088573322,0.24531279337503586,0.035173505084343776,DA60/ID15 post-blk (Apr28-Sep),
Flat,0.0,0.3307130096722801,,0.0012701252730079053,0.0037413472715776344,0.21465669342213167,0.007833359564181365,0.19295411810508356,0.0005522283795686545,0.05530567221380075,0.00022641363562314831,0.0012425138540294726,0.17301315131885944,0.018491367289856397,DA60/ID15 post-blk (Apr28-Sep),
Midday,0.00801621838403942,0.0,,0.027522165939029782,0.01746486108714545,0.015246494381792295,0.010782971957418074,0.0,0.0,0.008210044777048434,0.6472056301051785,0.0045789515567962544,0.22038848797291474,0.04058417383863717,DA60/ID15 post-blk (Apr28-Sep),
Critical,0.001452475836724794,0.02651765594171402,,0.005076614574960445,0.006256323104760777,0.23726928096201041,0.004732532920435348,0.2842585866302117,0.0054795204936081,0.043936890428526706,0.0770303738684891,0.000916208059004766,0.2933400860365299,0.013733451143023946,DA15/ID15 (Oct-Dec 2025),
Dropped,0.004347457167706489,0.027933011369305625,,0.011245563959513297,0.012693537856700082,0.08964631882295356,0.011525259405741456,0.10983624460152434,0.0043997036485328165,0.06359025245656667,0.14319974733130478,0.0011050327110109655,0.49914048646580444,0.021337384203335447,DA15/ID15 (Oct-Dec 2025),
Flat,0.002833230879125785,0.020359768808360264,,0.009183102267614969,0.008611304762918675,0.20024760720773935,0.01008973614893522,0.12985469818364143,0.033311926700024384,0.03307153135270462,0.0,0.0,0.5298725561237281,0.022564537565207234,DA15/ID15 (Oct-Dec 2025),
Midday,0.007119068891337901,0.003139876430669503,,0.01703001250205974,0.01945090711740598,0.009434444308388171,0.014383869168288002,0.0068493751237734156,0.0,0.005817161533565839,0.3506805081248271,0.0005814138060835294,0.5319080682881552,0.033605294705445724,DA15/ID15 (Oct-Dec 2025),
