tech_group,regime,hour_class,mw_in_band,n_tranches,frac_single_block,mw_at_mcp,n_months,n_cells_total,market
Coal,DA60/ID15 post-blk,Flat,89.71718189964159,1.1082549283154122,0.5665882616487455,0.0,4,444,IDA
Coal,DA60/ID15 post-blk,Midday,43.455136516168395,0.3007264338010982,0.24909434106162295,0.0,4,261,IDA
Coal,DA60/ID15 pre-blk,Critical,47.87369687104359,0.9700723073311706,0.19174103277496218,2.3526567845364674,2,2548,IDA
Coal,DA60/ID15 pre-blk,Dropped,52.20346343104681,0.9547566976489885,0.32662867476973545,4.623283004584263,2,1042,IDA
Coal,DA60/ID15 pre-blk,Flat,80.90791945753742,1.3282312081369387,0.34622508889440173,4.316464070123212,2,574,IDA
Coal,DA60/ID15 pre-blk,Midday,1.7291666666666667,0.2125,0.2125,0.16666666666666666,2,424,IDA
Coal,ISP15-win,Critical,49.99212719397877,1.6635832336357075,0.35355907904633543,0.38331591779867646,4,321,IDA
Coal,ISP15-win,Dropped,57.19925062729399,1.6550585378907026,0.29809818128752,0.2613337381096944,4,238,IDA
Coal,ISP15-win,Flat,49.3997668997669,1.7700439095787934,0.35016533853743154,0.45454545454545453,4,130,IDA
Coal,ISP15-win,Midday,52.72834636256497,1.417897684578984,0.26113219133412285,0.3977272727272727,4,204,IDA
Cogen,3-sess,Critical,2.0541940635643168,0.2981207916986783,0.2501022479065885,0.07855801167395512,6,54649,IDA
Cogen,3-sess,Dropped,2.428325144334504,0.3514177041906497,0.30091634360346475,0.07817711247767507,6,28801,IDA
Cogen,3-sess,Flat,2.50376622946671,0.27553930149795647,0.23840574900631992,0.11885162272751286,6,13744,IDA
Cogen,3-sess,Midday,3.3670837862603764,0.5640666798058523,0.46673460867672895,0.1437773959628035,6,19656,IDA
Cogen,DA15/ID15,Critical,1.3326783617107048,0.21093026119177002,0.11897534028493285,0.015396892465307031,3,166750,IDA
Cogen,DA15/ID15,Dropped,2.1499230768773963,0.28993474169851585,0.18739817361990527,0.01992207482833571,3,81004,IDA
Cogen,DA15/ID15,Flat,2.1184773678719915,0.2651888972895248,0.1549046647671427,0.009983565558145455,3,36914,IDA
Cogen,DA15/ID15,Midday,3.26791097576665,0.45287416426676647,0.3450411712250221,0.06225804689278345,3,55849,IDA
Cogen,DA60/ID15 post-blk,Critical,2.1359215176714543,0.3092498684636592,0.25937927483151757,0.06380013976078572,5,234201,IDA
Cogen,DA60/ID15 post-blk,Dropped,2.620747039296469,0.36493167553566885,0.3165061759318545,0.09216543078977685,5,124952,IDA
Cogen,DA60/ID15 post-blk,Flat,2.4836497443101337,0.23475006378696234,0.19539063858047387,0.011293169389574588,5,59393,IDA
Cogen,DA60/ID15 post-blk,Midday,3.4057458851740217,0.6154770722465367,0.5559009323984778,0.25758035532144674,5,88694,IDA
Cogen,DA60/ID15 pre-blk,Critical,3.851888355025179,0.595732330365542,0.5140623890783074,0.21093169048927637,2,49546,IDA
Cogen,DA60/ID15 pre-blk,Dropped,5.224441139739304,0.7591246785970494,0.6643522337173532,0.46073723555032925,2,27929,IDA
Cogen,DA60/ID15 pre-blk,Flat,6.632086247539172,0.7215691470433299,0.6169313647014891,0.06762502869910209,2,11953,IDA
Cogen,DA60/ID15 pre-blk,Midday,6.041845458501255,0.992137165353101,0.8930764428345819,0.7237787847603598,2,25770,IDA
Cogen,ISP15-win,Critical,0.9419855316075697,0.1803860438237163,0.10477885592654584,0.009789829850456804,4,37559,IDA
