tech_group,regime,hour_class,share_in_band,mw_in_band,mw_total,n_tranches,frac_single_block,mw_at_mcp,n_months,share_pct
Nuclear,3-sess,Critical,0.1990919477708897,117.832860414832,480.75059427903517,0.20365632585067586,0.20365632585067586,5.970953096972249,6,19.9
Nuclear,3-sess,Dropped,0.24947999736316515,146.04431279722675,476.50449145013977,0.25529761465842077,0.25529761465842077,6.591161668418848,6,24.9
Nuclear,3-sess,Flat,0.18674157848486136,111.28219190074697,478.95454795127665,0.1909487255796624,0.1909487255796624,7.6688888888888895,6,18.7
Nuclear,3-sess,Midday,0.4927893566854831,286.0641833325853,520.4656327095622,0.5040628928911661,0.5040628928911661,8.33300151756034,6,49.3
Nuclear,DA15/ID15,Critical,0.05859554775376741,51.99295108254196,559.5486521620161,0.0644827717759698,0.05903227252628047,0.5407925865532149,3,5.9
Nuclear,DA15/ID15,Dropped,0.11338373266401484,100.72623174506201,569.5937610115681,0.12261202457278537,0.10959311357413293,1.5429344394782225,3,11.3
Nuclear,DA15/ID15,Flat,0.09205238964658896,83.15690171746863,580.1299440800482,0.09822048941375894,0.08873471684312344,0.34948285247686445,3,9.2
Nuclear,DA15/ID15,Midday,0.24830817364978097,213.33073462514417,577.714162734558,0.26534101461594983,0.2424246632036914,0.29045893719806765,3,24.8
Nuclear,DA60/ID15 post-blk,Critical,0.2224770829366094,198.15571005652387,575.8101501833833,0.2527477498368838,0.22257343147870637,9.732771714136826,6,22.2
Nuclear,DA60/ID15 post-blk,Dropped,0.28143363756168854,248.63737353112575,579.3672505619217,0.3123899055255584,0.26899383258239046,14.236277503719364,6,28.1
Nuclear,DA60/ID15 post-blk,Flat,0.19865834826325113,181.45329932465242,564.5526189097554,0.22023903739535858,0.1923909361295358,0.7912864075409134,6,19.9
Nuclear,DA60/ID15 post-blk,Midday,0.4588223775556823,390.4772964559334,628.7792650055686,0.5040191118708336,0.43520286401233843,1.0850694444444444,6,45.9
Nuclear,DA60/ID15 pre-blk,Critical,0.5472806335114697,482.8754565444393,830.9872278027212,0.6660617107626916,0.5260854355550997,18.35797279276578,2,54.7
Nuclear,DA60/ID15 pre-blk,Dropped,0.6653148189650369,573.6247800560103,827.8179097891959,0.7908258367776968,0.6376529702569089,13.996217953913067,2,66.5
Nuclear,DA60/ID15 pre-blk,Flat,0.6783134912140603,583.6590501792115,845.6999414116349,0.802281499862145,0.6484353460159912,10.730596912048526,2,67.8
Nuclear,DA60/ID15 pre-blk,Midday,0.8226887327830372,716.6262621725017,825.9314137491306,0.9545849756549966,0.7966902388128914,11.577302631578947,2,82.3
Nuclear,ISP15-win,Critical,0.09922210604402698,52.89624976330231,408.9941525608256,0.10013415770458517,0.10013415770458517,1.5119949494949494,4,9.9
Nuclear,ISP15-win,Dropped,0.1665051728921808,86.6798860934042,414.96383272170516,0.16872780929375625,0.16872780929375625,0.18808593750000002,4,16.7
Nuclear,ISP15-win,Flat,0.1550910106732373,75.99081456769983,417.5594851296533,0.15751334404024975,0.15751334404024975,2.771604938271605,4,15.5
