tech_group,firm,year_month,hour_class,quarter,mtu_minutes,n_cells,mw_in_band_mean,mw_at_mcp_mean,mw_below_mean,n_tranches_mean,frac_single_block_mean,vw_price_in_band_mean,p_clear_mean
Solar Thermal,GST,2025-10,Midday,2,15,642,11.618380062305295,0.0,28.40233644859813,0.4205607476635514,0.4205607476635514,-32.947407407407404,32.61576323987539
Solar Thermal,GST,2025-10,Midday,3,15,643,11.742146189735614,0.0,28.639813374805602,0.432348367029549,0.432348367029549,-33.238093525179856,31.179828926905135
Solar Thermal,GST,2025-10,Midday,4,15,643,12.409020217729394,0.0,28.944012441679625,0.4510108864696734,0.4510108864696734,-33.01075862068965,29.82491446345257
Solar Thermal,GST,2025-11,Critical,1,15,1387,2.655155010814708,0.0,36.98716654650324,0.07426099495313626,0.07426099495313626,-26.73504854368932,76.47937274693584
Solar Thermal,GST,2025-11,Critical,2,15,1363,1.8830520909757886,0.0,37.41716801173881,0.05135730007336757,0.05135730007336757,-27.205857142857145,78.86567865003668
Solar Thermal,GST,2025-11,Critical,3,15,1362,1.440381791483113,0.0,37.241997063142435,0.038913362701908955,0.038913362701908955,-25.672452830188682,81.11649779735683
Solar Thermal,GST,2025-11,Critical,4,15,1368,1.1139619883040934,0.0,36.80241228070175,0.03070175438596491,0.03070175438596491,-21.648333333333333,83.13907894736842
Solar Thermal,GST,2025-11,Dropped,1,15,733,7.378990450204639,0.0,35.738608458390175,0.22373806275579808,0.22373806275579808,-30.203536585365853,50.753738062755794
Solar Thermal,GST,2025-11,Dropped,2,15,733,8.211323328785811,0.0,36.040791268758525,0.25375170532060026,0.25375170532060026,-29.654247311827955,47.435170532060035
Solar Thermal,GST,2025-11,Dropped,3,15,734,8.714986376021798,0.0,36.457356948228885,0.2670299727520436,0.2670299727520436,-30.98142857142857,43.8883378746594
Solar Thermal,GST,2025-11,Dropped,4,15,745,9.643758389261745,0.0,36.368859060402684,0.3046979865771812,0.3046979865771812,-30.380837004405286,41.2756644295302
Solar Thermal,GST,2025-11,Flat,1,15,297,5.190909090909091,0.0,47.05555555555556,0.11784511784511785,0.11784511784511785,-24.810000000000002,54.79760942760942
Solar Thermal,GST,2025-11,Flat,2,15,297,6.362626262626263,0.0,47.05555555555556,0.1447811447811448,0.1447811447811448,-25.503023255813957,52.40481481481481
