tech_group,regime,hour_class,share,mw_in_band,share_pct,h
Hydro,3-sess,Critical,0.5019607354306898,140.0,50.2,100
Hydro,3-sess,Dropped,0.5567779285153786,138.0,55.7,100
Hydro,3-sess,Flat,0.5410903640819357,148.0,54.1,100
Hydro,3-sess,Midday,0.6772019427019343,122.0,67.7,100
Hydro,DA15/ID15,Critical,0.5505811659006162,180.0,55.1,100
Hydro,DA15/ID15,Dropped,0.6523313765163502,181.0,65.2,100
Hydro,DA15/ID15,Flat,0.6872054868778865,187.0,68.7,100
Hydro,DA15/ID15,Midday,0.7249926175351051,162.0,72.5,100
Hydro,DA60/ID15 post-blk,Critical,0.5898863033777848,173.0,59.0,100
Hydro,DA60/ID15 post-blk,Dropped,0.6355855486211738,172.0,63.6,100
Hydro,DA60/ID15 post-blk,Flat,0.5996754628788669,186.0,60.0,100
Hydro,DA60/ID15 post-blk,Midday,0.7052348751268714,140.0,70.5,100
Hydro,DA60/ID15 pre-blk,Critical,0.7169793972551326,196.0,71.7,100
Hydro,DA60/ID15 pre-blk,Dropped,0.7781379042934558,203.0,77.8,100
Hydro,DA60/ID15 pre-blk,Flat,0.8000346132757473,213.0,80.0,100
Hydro,DA60/ID15 pre-blk,Midday,0.7513911066972552,177.0,75.1,100
Hydro,ISP15-win,Critical,0.3951772001939393,142.0,39.5,100
Hydro,ISP15-win,Dropped,0.48959302787099745,145.0,49.0,100
Hydro,ISP15-win,Flat,0.5123603980961489,147.0,51.2,100
Hydro,ISP15-win,Midday,0.56706695953742,139.0,56.7,100
Hydro_pump,3-sess,Critical,0.8486103982043217,253.0,84.9,100
Hydro_pump,3-sess,Dropped,0.8302790116112083,268.0,83.0,100
Hydro_pump,3-sess,Flat,0.8650806536178542,268.0,86.5,100
Hydro_pump,3-sess,Midday,0.6944656046405511,325.0,69.4,100
Hydro_pump,DA15/ID15,Critical,0.8464054190513389,340.0,84.6,100
Hydro_pump,DA15/ID15,Dropped,0.7738706340605402,374.0,77.4,100
Hydro_pump,DA15/ID15,Flat,0.7739401275528314,396.0,77.4,100
Hydro_pump,DA15/ID15,Midday,0.6104245528010755,374.0,61.0,100
Hydro_pump,DA60/ID15 post-blk,Critical,0.8954030327937419,273.0,89.5,100
Hydro_pump,DA60/ID15 post-blk,Dropped,0.8816735154713236,283.0,88.2,100
Hydro_pump,DA60/ID15 post-blk,Flat,0.9375736304160062,252.0,93.8,100
Hydro_pump,DA60/ID15 post-blk,Midday,0.6697845230991536,331.0,67.0,100
Hydro_pump,DA60/ID15 pre-blk,Critical,0.8966536857894436,227.0,89.7,100
Hydro_pump,DA60/ID15 pre-blk,Dropped,0.9190350201769683,259.0,91.9,100
Hydro_pump,DA60/ID15 pre-blk,Flat,0.9223956162686358,240.0,92.2,100
Hydro_pump,DA60/ID15 pre-blk,Midday,0.8437211170532348,325.0,84.4,100
Hydro_pump,ISP15-win,Critical,0.8698129475649159,266.0,87.0,100
Hydro_pump,ISP15-win,Dropped,0.8735019632825238,289.0,87.4,100
Hydro_pump,ISP15-win,Flat,0.8812764329075862,309.0,88.1,100
Hydro_pump,ISP15-win,Midday,0.8201807506160059,297.0,82.0,100
