tech_group,regime,hour_class,share_in_band,mw_in_band,mw_total,n_months,share_pct
Cogen,DA60/ID15 pre-blk,Midday,0.9217659455444118,6.041845458501255,6.709387107468524,2,92.2
Cogen,ISP15-win,Critical,0.1262906363542755,0.9419855316075697,5.284946467752004,4,12.6
Cogen,ISP15-win,Dropped,0.17537126851114654,1.372151212409694,5.751111067718741,4,17.5
Cogen,ISP15-win,Flat,0.2007328835521889,2.0194503681958733,6.486649355268107,4,20.1
Cogen,ISP15-win,Midday,0.24387366574137762,1.6190110509853932,5.879730833343657,4,24.4
Fuel/Gas,DA15/ID15,Critical,0.6382330500318093,71.13267563015286,102.66720066566238,3,63.8
Fuel/Gas,DA15/ID15,Dropped,0.7909430708994628,120.3861081484395,156.12450691479148,3,79.1
Fuel/Gas,DA15/ID15,Flat,0.7798392388451444,175.5837598425197,226.22073490813648,3,78.0
Fuel/Gas,DA15/ID15,Midday,0.861962598804704,22.8477636398689,26.075236167341433,3,86.2
Fuel/Gas,DA60/ID15 post-blk,Critical,0.6028408579655374,126.69768257637107,169.1967796767445,3,60.3
Fuel/Gas,DA60/ID15 post-blk,Dropped,0.7966163556022594,167.19781684965764,199.5386240276507,3,79.7
Fuel/Gas,DA60/ID15 post-blk,Flat,0.8595345345345345,197.35285285285286,229.16666666666666,3,86.0
Fuel/Gas,DA60/ID15 post-blk,Midday,0.578125,17.50793269230769,72.8923076923077,2,57.8
Hydro,3-sess,Critical,0.4642624563847246,92.70131113712124,205.6321610393121,6,46.4
Hydro,3-sess,Dropped,0.419507500942057,97.24085529113064,235.011552651456,6,42.0
Hydro,3-sess,Flat,0.45927679839266733,116.75196153403527,237.22184577989933,6,45.9
Hydro,3-sess,Midday,0.29250606979053645,65.84706695340218,264.877793534358,6,29.3
Hydro,DA15/ID15,Critical,0.44541204265349926,97.79532844989289,191.4769681006858,3,44.5
Hydro,DA15/ID15,Dropped,0.3658560279022119,97.20222798149932,243.65071903434682,3,36.6
Hydro,DA15/ID15,Flat,0.36951807821691235,111.29756096304281,262.7016054752764,3,37.0
Hydro,DA15/ID15,Midday,0.26556480471183547,62.79152711401778,267.5351653143094,3,26.6
Hydro,DA60/ID15 post-blk,Critical,0.4056284232318498,84.52474590101255,219.20296605702165,5,40.6
Hydro,DA60/ID15 post-blk,Dropped,0.3658288544777598,80.73210322600599,236.89314989182594,5,36.6
Hydro,DA60/ID15 post-blk,Flat,0.45696256059197904,122.19030563536323,241.62547822673187,5,45.7
Hydro,DA60/ID15 post-blk,Midday,0.20315800428569855,25.488545323924313,266.55395819621725,5,20.3
Hydro,DA60/ID15 pre-blk,Critical,0.5019627145171106,80.65563201258136,191.66550586283597,2,50.2
Hydro,DA60/ID15 pre-blk,Dropped,0.5250623362330129,83.0821204585003,214.36661317884068,2,52.5
Hydro,DA60/ID15 pre-blk,Flat,0.522004044258614,92.71905422184594,223.1526593780864,2,52.2
Hydro,DA60/ID15 pre-blk,Midday,0.5477048623696174,71.6282979821637,231.34290155548578,2,54.8
Hydro,ISP15-win,Critical,0.509674539635948,103.99768088407028,183.14542421290506,4,51.0
Hydro,ISP15-win,Dropped,0.4470762781710471,111.04698539068815,237.21371201981663,4,44.7
Hydro,ISP15-win,Flat,0.42542408779229335,112.88984232610446,254.34496738654087,4,42.5
Hydro,ISP15-win,Midday,0.3431624812177186,87.75355219853274,274.29861526687034,4,34.3
Hydro_RES,3-sess,Critical,0.36331854249951245,0.7389330937628301,1.9006517227364481,6,36.3
Hydro_RES,3-sess,Dropped,0.4236081920663519,0.838701153978878,1.9100029995322538,6,42.4
Hydro_RES,3-sess,Flat,0.32642326212903855,0.6484931916037028,1.8461468075124319,6,32.6
Hydro_RES,3-sess,Midday,0.5918172788814821,1.2825640876297937,1.9986117586562664,6,59.2
Hydro_RES,DA15/ID15,Critical,0.2331905558419781,0.3865103710904929,1.580085696034278,3,23.3
Hydro_RES,DA15/ID15,Dropped,0.3126627098545309,0.5262070471366039,1.5448523490206465,3,31.3
Hydro_RES,DA15/ID15,Flat,0.2966392388825872,0.5970720610825767,1.606753600591586,3,29.7
Hydro_RES,DA15/ID15,Midday,0.45588200042273924,0.6259097093830744,1.5247338591775825,3,45.6
Hydro_RES,DA60/ID15 post-blk,Critical,0.4012919225495442,0.8144869562510575,2.064268374771813,5,40.1
Hydro_RES,DA60/ID15 post-blk,Dropped,0.4624454554438783,0.9098478382211386,2.060291420540981,5,46.2
Hydro_RES,DA60/ID15 post-blk,Flat,0.3187745590523559,0.8557686767450245,2.2190564131073423,5,31.9
Hydro_RES,DA60/ID15 post-blk,Midday,0.672554888298191,1.097771211871001,1.9967599243742788,5,67.3
Hydro_RES,DA60/ID15 pre-blk,Critical,0.5676887946917897,1.157470129910477,1.969605899426172,2,56.8
Hydro_RES,DA60/ID15 pre-blk,Dropped,0.6978314682919301,1.525234178038461,2.1324531214470897,2,69.8
Hydro_RES,DA60/ID15 pre-blk,Flat,0.6474587500707281,1.4560269818505482,2.2264045475284515,2,64.7
Hydro_RES,DA60/ID15 pre-blk,Midday,0.9014556491136344,2.175515881764589,2.409426522575899,2,90.1
Hydro_RES,ISP15-win,Critical,0.2085154652104318,0.4155408843061299,1.504286347261954,4,20.9
Hydro_RES,ISP15-win,Dropped,0.25784251400263203,0.5045699890353399,1.563148096411305,4,25.8
Hydro_RES,ISP15-win,Flat,0.2572686337865616,0.5581582427815994,1.5922476106644683,4,25.7
Hydro_RES,ISP15-win,Midday,0.3475721500086969,0.6865400908248819,1.603537019827485,4,34.8
Hydro_pump,3-sess,Critical,0.6346289956931676,150.68655633968578,208.5704674828053,6,63.5
Hydro_pump,3-sess,Dropped,0.5715027584029516,176.93562493581283,249.61089702598835,6,57.2
