tech_group,regime,hour_class,mw_in_band,n_tranches,frac_single_block,mw_at_mcp,n_months,n_cells_total,market
Hydro,ISP15-win,Dropped,99.1479687527673,1.3928415391830435,0.1383106053738658,0.9158662197539879,4,34936,DA
Hydro,ISP15-win,Flat,94.9830041819151,1.3048877159069776,0.13073747098949137,0.7857699273114951,4,17654,DA
Hydro,ISP15-win,Midday,82.4913679870178,1.251874321338456,0.2382962838455613,0.6400782967233342,4,22846,DA
Hydro_RES,3-sess,Critical,1.1618175323964681,0.24700255314660327,0.15582983482407622,0.026285619975119145,6,226745,DA
Hydro_RES,3-sess,Dropped,1.31192820268656,0.3011385796943631,0.2017750660825205,0.03813980254399485,6,124283,DA
Hydro_RES,3-sess,Flat,1.2957015303238304,0.2284533161719453,0.13636011299354409,0.006022865910061307,6,61392,DA
Hydro_RES,3-sess,Midday,1.793148376524755,0.5284702595898514,0.4019115955049075,0.0752127010500877,6,82560,DA
Hydro_RES,DA15/ID15,Critical,0.6118574205091195,0.17660669208999344,0.09607169025593454,0.004646134810367501,3,513651,DA
Hydro_RES,DA15/ID15,Dropped,1.0318194398135148,0.2965922517415826,0.21101222747948367,0.019620284529383872,3,280162,DA
Hydro_RES,DA15/ID15,Flat,1.0409179037158554,0.2691717996746171,0.1835889755861245,0.006048337080886607,3,139928,DA
Hydro_RES,DA15/ID15,Midday,1.6458278374197437,0.5274779861373253,0.4356137798155313,0.05046632780124551,3,185629,DA
Hydro_RES,DA60/ID15 post-blk,Critical,1.9339102351642052,0.41917227745181473,0.31574684260380304,0.032499846271696796,6,219409,DA
Hydro_RES,DA60/ID15 post-blk,Dropped,2.350101502775383,0.5347248861246783,0.4195169691094068,0.037059014875366524,6,119523,DA
Hydro_RES,DA60/ID15 post-blk,Flat,2.1776792003929595,0.4086192567912757,0.2987260796654949,0.0051217152691086405,6,59460,DA
Hydro_RES,DA60/ID15 post-blk,Midday,3.0719030327053987,0.843096612019076,0.7127660572844889,0.09637178436674991,6,78020,DA
Hydro_RES,DA60/ID15 pre-blk,Critical,2.8804032633348697,0.6291357470842693,0.5153674093528118,0.05342218123917651,2,63340,DA
Hydro_RES,DA60/ID15 pre-blk,Dropped,3.6054534357447716,0.8035137082618447,0.667773662313037,0.07471008103936903,2,34400,DA
Hydro_RES,DA60/ID15 pre-blk,Flat,3.4538991347548818,0.785150705709218,0.6530877272473319,3.597769382982551e-05,2,17279,DA
