unit_code,tech_group,firm_class,n_obs,vol_sd_mw,mean_mw,vol_cv_pct,pre_avg_mwh,post_avg_mwh,n_pre,n_post,jump_gwh
ACE3,CCGT,IB,645,2.4382235265738634,147.25496124031008,1.2997701325160504,1392.1728395061727,2746.4367500000003,162,100,1.3542639104938277
SBEU,Hydro,GE,959,1.9150276026790372,211.57737226277368,1.719079341995776,-138.13688524590168,-1659.3918032786885,244,244,-1.521254918032787
TJEG,Hydro_pump,GE,176,1.571954954695419,88.22997159090909,1.6469599256570846,46.928994082840234,-1.5473262032085446,169,187,-0.04847632028604878
MLTG,Hydro_pump,GE,253,1.5523436648451623,148.04535573122527,1.569053040012994,-81.34232804232805,-114.05218446601938,189,206,-0.032709856423691334
CAMG20R,CCGT,Fringe,224,4.436256442085409,155.82868303571428,2.788771475424742,1954.695652173913,4066.732674418605,161,215,2.112037022244692
UFBG,Hydro_pump,GN,131,3.641154683970528,81.61927480916029,4.968707646844807,248.3193181818182,208.79583333333332,88,108,-0.039523484848484884
PVENT2,CCGT,Fringe,75,4.097952858214687,144.33433333333335,5.003398084471517,770.1982352941176,1464.6045180722892,170,83,0.6944062827781716
ESCCC3,CCGT,Fringe,58,0.0,155.0,0.0,1300.2176470588236,2009.2875000000001,34,14,0.7090698529411765
ESCCC1,CCGT,Fringe,32,0.0,155.0,0.0,689.96875,2933.563524590164,80,122,2.243594774590164
ABA2,Hydro,Fringe,714,0.0,0.1016806722689075,0.0,-4.416528925619833,-0.188383838383838,242,198,0.004228145087235995
ZABU,Hydro,Fringe,959,9.030504731850249e-05,1.075755995828986,0.008600480697000238,-0.3451219512195119,-0.34687499999999705,164,160,-1.7530487804851558e-06
GDLQ,Hydro,GE,955,0.2909299176168712,44.58986910994763,0.5222581452143911,-184.99385245901647,-1191.4753073770491,244,244,-1.0064814549180328
LARES1,CCGT,Fringe,193,0.07626883166018919,258.0663212435233,0.3498570259641706,3739.853424657534,4180.994879518073,73,83,0.44114145486053846
ALG3,CCGT,Fringe,569,9.498674794012027,168.6833919156415,5.0907600750037645,2559.98021978022,3528.924152542373,91,236,0.9689439327621531
EBRA,Hydro,IB,959,0.09615060780780674,71.23331595411884,0.11883202075391595,6.147540983606575,-0.4685450819672606,244,244,-0.006616086065573836
GNLOTZ,Hydro,Fringe,791,0.0,0.10000000000000006,0.0,0.1937500000000001,0.10824468085106406,128,94,-8.550531914893603e-05
VIES,Hydro,Fringe,940,7.262327155426188,92.81335106382984,8.189193493681268,-1211.0016393442625,-1850.8169057377042,244,244,-0.6398152663934418
BAHIAB,CCGT,Fringe,870,2.300910909530916,188.7664655172414,0.9878262772762582,3469.6179372197303,5572.647105263158,223,95,2.1030291680434274
PBCN2,CCGT,GN,108,3.3474736333745945,160.87037037037038,6.045239741185748,892.1924050632911,1822.3406542056075,158,214,0.9301482491423164
SAGU1,CCGT,GN,363,4.087631621626957,168.71838842975205,2.3429857110954644,858.5484126984128,1951.625388601036,126,193,1.0930769759026233
ABA1,Hydro,Fringe,714,0.0,0.10168067226890752,0.0,-4.416528925619833,-0.15202020202020217,242,198,0.004264508723599631
GDNA,Hydro,GE,189,0.04015319904951396,41.916402116402104,0.13907561791090903,-172.53103448275866,-593.5248868778282,145,221,-0.42099385239506953
MALA1,CCGT,GN,291,1.0147960076894502,164.28101374570446,1.8438470041147268,1046.831515151515,3340.769117647059,165,102,2.293937602495544
SRI4R,CCGT,HC,167,3.3871949290080194,186.64925149700596,2.3384682713558558,1964.8181159420287,2262.8879573170734,138,164,0.29806984137504466
LARES2,CCGT,Fringe,790,0.0,251.7607594936709,0.0,2467.3399999999997,3873.9993749999994,35,160,1.4066593749999998
TERE,Hydro,GE,502,0.01987869131940286,21.159860557768923,0.13494736976812108,-2.6323770491803167,0.6722336065573974,244,244,0.003304610655737714
DOUSUP,Hydro,Fringe,767,28.069175272871387,963.4944915254238,4.375742643591337,107.18483606557376,-1751.0558401639346,244,244,-1.8582406762295083
ARCOS1,CCGT,IB,368,1.4439109769980347,176.62065217391302,0.8018793457128159,1162.242748091603,2716.380701754386,131,171,1.5541379536627828
SIL,Hydro,IB,959,6.27516799443459,421.3556047966633,1.289835156096383,-6.828688524590324,-47.289856557376595,244,244,-0.040461168032786266
SBO3,CCGT,GN,271,1.3994803330253642,138.74833948339486,1.217860505267449,926.2703539823008,2087.2512557077625,226,219,1.1609809017254618
