day,unit_code,firm,qw_bid_eur_mwh,total_bid_mwh,pdbf_mwh,phf_mwh,rt2_mwh,regime
2025-09-19,PBCN2,GN,871.4494970941116,10668.000000000013,0.0,105.3,105.3,post
2025-09-19,PEGO3,GE,336.43737458193954,10046.400000000005,4613.0,7601.025,2988.0249999999996,post
2025-09-19,PEGO4,GE,2318.19611801242,10046.400000000005,0.0,13.5,13.5,post
2025-09-19,PGR5,GE,1831.748911582514,20534.400000000005,4904.0,6172.4,1268.3999999999996,post
2025-09-19,SAGU1,GN,870.3806998362493,10015.2,0.0,135.97500000000002,135.97500000000002,post
2025-09-19,SAGU2,GN,868.5105635327268,10070.400000000027,0.0,1420.6500000000003,1420.6500000000003,post
2025-09-19,SAGU3,GN,870.165460662523,10046.400000000027,0.0,3743.1,3743.1,post
2025-09-19,SBO3,GN,871.6270986411661,9537.600000000019,0.0,2085.125,2085.125,post
2025-09-19,SRI4R,HC,127.18755868544606,10223.999999999993,0.0,1944.075,1944.075,post
2025-09-19,SRI5R,HC,154.47769212800733,10274.400000000005,0.0,1058.575,1058.575,post
2025-09-19,SROQ1,GN,866.5407509404116,9357.60000000001,0.0,0.0,0.0,post
2025-09-19,SROQ2,GE,397.4966038244568,9643.2,3278.0,5858.7,2580.7,post
2025-09-19,TAPOWER,IB,197.96384550033986,10005.199999999997,0.0,12.5,12.5,post
2025-09-20,ACE4,GN,903.3660848932233,9103.200000000012,0.0,4535.400000000001,4535.400000000001,post
2025-09-20,ARCOS1,IB,140.54345173860918,9340.800000000003,0.0,0.0,0.0,post
2025-09-20,ARCOS2,IB,148.25599276527336,8956.800000000001,0.0,4827.775,4827.775,post
2025-09-20,ARCOS3,IB,235.00867788851082,19747.199999999993,0.0,0.0,0.0,post
2025-09-20,BES3,GE,465.5397325402607,9885.6,0.0,4883.075000000001,4883.075000000001,post
2025-09-20,BES4,GN,869.5329165624997,9600.0,0.0,86.775,86.775,post
2025-09-20,CAMGI10,GN,0.0,0.0,0.0,22.775,22.775,post
2025-09-20,CTGN1,GN,872.6991070867692,10187.999999999989,0.0,1417.825,1417.825,post
2025-09-20,CTGN3,GN,873.7267467604727,10063.200000000004,0.0,98.875,98.875,post
2025-09-20,CTJON2,IB,133.75384075662595,9092.999999999998,0.0,0.0,0.0,post
2025-09-20,CTN3,IB,221.88652834612097,18768.000000000007,0.0,4607.75,4607.75,post
2025-09-20,CTN4,IB,218.1570378092855,20143.200000000004,0.0,2265.925,2265.925,post
2025-09-20,ESC6,IB,205.6149586194213,19574.4,0.0,4731.5,4731.5,post
2025-09-20,PALOS1,GN,840.2835299839304,9458.399999999989,0.0,4999.324999999999,4999.324999999999,post
2025-09-20,PALOS2,GN,872.6618922733422,9494.399999999976,0.0,5012.000000000001,5012.000000000001,post
2025-09-20,PALOS3,GN,863.1757518434729,9547.19999999999,0.0,0.0,0.0,post
2025-09-20,PBCN1,GN,878.74920030188,10732.799999999977,0.0,55.150000000000006,55.150000000000006,post
2025-09-20,PBCN2,GN,0.0,0.0,0.0,8.625,8.625,post
2025-09-20,PEGO3,GE,274.2952609890107,10046.400000000005,1077.5,6641.675,5564.175,post
2025-09-20,PEGO4,GE,2408.875938644686,10046.400000000005,0.0,0.0,0.0,post
2025-09-20,PGR5,GE,1780.179874746765,20534.400000000005,0.0,4315.550000000001,4315.550000000001,post
2025-09-20,SAGU1,GN,875.6613773064937,10015.200000000003,0.0,84.17500000000001,84.17500000000001,post
2025-09-20,SAGU2,GN,873.7024033802014,10070.400000000027,0.0,1070.975,1070.975,post
2025-09-20,SAGU3,GN,857.4358531414235,10046.400000000003,0.0,5240.45,5240.45,post
2025-09-20,SBO3,GN,876.0070785103156,9537.600000000022,0.0,63.449999999999996,63.449999999999996,post
2025-09-20,SRI4R,HC,136.905868544601,10223.999999999993,0.0,175.0,175.0,post
2025-09-20,SRI5R,HC,160.64447558981533,10274.400000000005,0.0,1388.575,1388.575,post
2025-09-20,SROQ1,GN,871.1668148884307,9357.600000000022,0.0,3205.375,3205.375,post
2025-09-20,SROQ2,GE,403.01814439190326,9643.2,0.0,3912.95,3912.95,post
2025-09-20,TAPOWER,IB,203.85970156115684,10005.400000000001,0.0,0.0,0.0,post
2025-09-21,ACE4,GN,902.8345116003153,9103.200000000012,0.0,3387.1,3387.1,post
2025-09-21,ARCOS1,IB,194.57233427543673,9340.800000000001,0.0,0.0,0.0,post
2025-09-21,ARCOS2,IB,143.19199647195424,8956.800000000001,0.0,4738.5,4738.5,post
2025-09-21,ARCOS3,IB,233.3080684856588,19747.199999999993,0.0,0.0,0.0,post
2025-09-21,BES3,GE,462.6248867038929,9885.6,0.0,3839.475,3839.475,post
2025-09-21,BES4,GN,868.4425265624998,9600.0,0.0,3400.475,3400.475,post
2025-09-21,CTGN1,GN,873.54324705536,10187.999999999989,0.0,4186.375,4186.375,post
2025-09-21,CTGN3,GN,874.4309476110976,10063.200000000004,0.0,4181.875,4181.875,post
2025-09-21,CTJON2,IB,183.46641978974222,9093.6,0.0,0.0,0.0,post
2025-09-21,CTN3,IB,220.7544875319692,18768.00000000001,0.0,1316.0,1316.0,post
2025-09-21,CTN4,IB,204.23971002621218,20143.200000000004,0.0,3793.5,3793.5,post
2025-09-21,ESC6,IB,203.56695004700018,19574.399999999998,0.0,30.0,30.0,post
2025-09-21,PALOS1,GN,840.6540474075967,9458.399999999989,0.0,4428.425,4428.425,post
2025-09-21,PALOS2,GN,872.7857389619165,9494.399999999976,0.0,3810.675,3810.675,post
2025-09-21,PALOS3,GN,858.9715624476302,9547.19999999999,0.0,0.0,0.0,post
2025-09-21,PBCN1,GN,876.5762688208129,10732.799999999974,0.0,1415.875,1415.875,post
2025-09-21,PEGO3,GE,212.87732521102063,10046.400000000005,0.0,6062.0250000000015,6062.0250000000015,post
2025-09-21,PEGO4,GE,2406.051202420765,10046.400000000005,0.0,0.0,0.0,post
2025-09-21,PGR5,GE,1746.616455800996,20534.400000000005,0.0,3629.7,3629.7,post
2025-09-21,SAGU1,GN,876.1239823468327,10015.199999999999,0.0,732.2750000000001,732.2750000000001,post
2025-09-21,SAGU2,GN,873.7570977319641,10070.400000000027,0.0,3875.725,3875.725,post
2025-09-21,SAGU3,GN,874.1142574454515,10046.400000000029,0.0,3953.3999999999996,3953.3999999999996,post
2025-09-21,SBO3,GN,874.5581064418701,9537.600000000022,0.0,1332.45,1332.45,post
2025-09-21,SRI4R,HC,154.7427621283255,10223.999999999993,0.0,2052.15,2052.15,post
2025-09-21,SRI5R,HC,154.47769212800733,10274.400000000005,0.0,2453.15,2453.15,post
2025-09-21,SROQ1,GN,872.4547253569268,9357.600000000024,0.0,2944.4249999999997,2944.4249999999997,post
2025-09-21,SROQ2,GE,426.8369369089099,9643.2,0.0,2893.95,2893.95,post
2025-09-21,TAPOWER,IB,244.03336411609493,10005.6,0.0,1300.0,1300.0,post
2025-09-22,ACE4,GN,898.3650290007896,9103.200000000013,0.0,3729.9750000000004,3729.9750000000004,post
2025-09-22,ARCOS1,IB,190.78196706920176,9340.800000000001,0.0,0.0,0.0,post
2025-09-22,ARCOS2,IB,117.31157288317253,8956.8,0.0,4313.75,4313.75,post
2025-09-22,ARCOS3,IB,225.841443141306,19747.200000000008,0.0,0.0,0.0,post
2025-09-22,BES3,GE,426.5940833131021,9885.599999999999,0.0,4322.150000000001,4322.150000000001,post
2025-09-22,BES4,GN,867.7072996875004,9600.0,0.0,1670.4249999999997,1670.4249999999997,post
2025-09-22,CTGN1,GN,872.75751943463,10187.999999999989,0.0,4565.2,4565.2,post
2025-09-22,CTGN3,GN,873.3552943397722,10063.200000000003,0.0,4555.2,4555.2,post
2025-09-22,CTJON2,IB,182.15833036421233,9093.6,0.0,0.0,0.0,post
2025-09-22,CTN3,IB,202.3726460997444,18767.999999999985,0.0,1929.1,1929.1,post
2025-09-22,CTN4,IB,197.1573180030977,20143.200000000008,0.0,2031.0,2031.0,post
2025-09-22,ESC6,IB,219.6979751103482,19574.399999999998,0.0,0.0,0.0,post
2025-09-22,PALOS1,GN,840.5216011164692,9458.399999999989,0.0,4677.875,4677.875,post
2025-09-22,PALOS2,GN,872.7583769379866,9494.399999999976,0.0,4170.85,4170.85,post
2025-09-22,PALOS3,GN,856.6701005530425,9547.199999999992,0.0,0.0,0.0,post
2025-09-22,PBCN1,GN,876.4669724582612,10732.799999999974,0.0,55.400000000000006,55.400000000000006,post
2025-09-22,PEGO3,GE,207.89524207676365,10046.400000000005,818.0,6538.0,5720.0,post
2025-09-22,PEGO4,GE,2403.4640259197295,10046.400000000005,0.0,0.0,0.0,post
2025-09-22,PGR5,GE,1743.6629363409684,20534.400000000005,0.0,1329.2250000000001,1329.2250000000001,post
2025-09-22,SAGU1,GN,873.0997581675857,10015.200000000003,0.0,83.025,83.025,post
2025-09-22,SAGU2,GN,870.6172788568463,10070.400000000027,0.0,2081.575,2081.575,post
2025-09-22,SAGU3,GN,871.9896339982464,10046.400000000029,0.0,4425.4,4425.4,post
2025-09-22,SBO3,GN,871.4973502767967,9537.600000000024,0.0,3876.6499999999996,3876.6499999999996,post
2025-09-22,SRI4R,HC,168.15346244131464,10223.999999999993,0.0,1495.725,1495.725,post
2025-09-22,SRI5R,HC,154.47769212800733,10274.400000000005,0.0,860.0,860.0,post
2025-09-22,SROQ1,GN,871.503842117635,9357.600000000022,0.0,3308.3500000000004,3308.3500000000004,post
2025-09-22,SROQ2,GE,415.7915308196449,9643.2,0.0,3364.225,3364.225,post
2025-09-22,TAPOWER,IB,237.63522127608545,10005.599999999997,0.0,0.0,0.0,post
2025-09-23,ACE4,GN,898.006486290534,9103.200000000013,0.0,3772.3,3772.3,post
2025-09-23,ARCOS1,IB,191.00363405704005,9340.799999999997,0.0,4416.025,4416.025,post
2025-09-23,ARCOS2,IB,117.7190276661308,8956.799999999996,0.0,4416.025,4416.025,post
2025-09-23,ARCOS3,IB,226.1774823772485,19747.199999999997,0.0,0.0,0.0,post
2025-09-23,BES3,GE,399.6681041110304,9885.599999999999,0.0,3908.7,3908.7,post
2025-09-23,BES4,GN,898.546559375,9600.0,0.0,1677.725,1677.725,post
2025-09-23,CTGN1,GN,876.2184104829211,10188.0,0.0,4915.025,4915.025,post
2025-09-23,CTGN3,GN,877.7224171237775,10063.200000000003,0.0,1764.475,1764.475,post
2025-09-23,CTJON2,IB,181.14988585378717,9093.6,0.0,0.0,0.0,post
2025-09-23,CTN3,IB,201.88552562872977,18767.999999999996,0.0,2756.125,2756.125,post
2025-09-23,CTN4,IB,196.75651326502248,20143.199999999997,0.0,2220.5,2220.5,post
2025-09-23,ESC6,IB,217.46938848700327,19574.400000000016,0.0,92.0,92.0,post
2025-09-23,PALOS1,GN,869.6669116341034,9458.399999999992,0.0,27.25,27.25,post
2025-09-23,PALOS2,GN,903.2722516430756,9494.399999999985,0.0,4255.925,4255.925,post
2025-09-23,PALOS3,GN,851.9200427350435,9547.19999999999,0.0,0.0,0.0,post
2025-09-23,PBCN1,GN,904.8829483452607,10732.799999999983,0.0,1384.0,1384.0,post
