tech,week_start,DA cleared_pos,DA cleared_neg,Bilaterals_pos,Bilaterals_neg,IDA1_pos,IDA1_neg,IDA2_pos,IDA2_neg,IDA3_pos,IDA3_neg,IDA other_pos,IDA other_neg,Continuous_pos,Continuous_neg,REE residual_pos,REE residual_neg,phf_pos,phf_neg,phf_net
CCGT,2024-04-15,3.8941999999999997,0.0,0.0,0.0,0.9553000000000001,0.0,4.2322999999999995,-0.007,5.6324000000000005,-0.0285,11.0282,-0.0189,5.3251,-2.4149000000000003,103.48949999999999,0.0,134.557,0.0,134.557
CCGT,2024-04-22,12.790700000000001,0.0,0.0,0.0,2.0267,-0.4483,8.6343,-0.0575,12.346599999999999,-0.32110000000000005,5.2426,-1.1317,4.6415,-2.1309,118.81190000000001,0.0,164.4943,0.0,164.4943
CCGT,2024-04-29,21.82,0.0,0.0,0.0,3.0034,0.0,8.28,-3.9410000000000003,16.972700000000003,-0.40199999999999997,4.6361,-1.0618999999999998,3.3735,-2.3971999999999998,125.4909,0.0,183.57659999999998,0.0,183.57659999999998
CCGT,2024-05-06,1.8064000000000002,0.0,0.0,0.0,2.3743,0.0,9.4892,-0.17859999999999998,17.8291,-1.413,4.57,-1.4129999999999998,3.0976,-1.0190000000000001,144.43859999999998,0.0,183.6052,0.0,183.6052
CCGT,2024-05-13,2.5247,0.0,0.0,0.0,1.6614,0.0,7.2438,0.0,11.913200000000002,-0.09330000000000001,5.535699999999999,-0.2582,6.2558,-1.5892000000000002,139.0127,0.0,174.1473,0.0,174.1473
CCGT,2024-05-20,0.6747,0.0,0.0,0.0,1.5265000000000004,0.0,10.1099,-0.001,16.7808,0.0,4.5838,0.0,6.5031,-0.26,155.1835,0.0,195.3623,0.0,195.3623
CCGT,2024-05-27,2.943,0.0,0.0,0.0,1.0915000000000001,0.0,6.9909,-0.002,10.590399999999999,0.0,4.2797,-0.27,2.9776,-0.272,166.3129,0.0,195.186,0.0,195.186
CCGT,2024-06-03,24.8267,0.0,6.684000000000001,0.0,9.271599999999998,-0.011,14.9002,-1.304,27.530400000000004,-0.3099,9.6003,-0.23470000000000002,9.3078,-1.6172000000000002,126.2241,0.0,228.3451,0.0,228.3451
CCGT,2024-06-10,0.19,0.0,0.0,0.0,5.1696,0.0,18.1465,-0.0775,12.691600000000001,-0.9288000000000001,4.0092,-0.0189,7.1975,-0.10569999999999999,140.875,0.0,188.2794,0.0,188.2794
CCGT,2024-06-17,7.7032,0.0,0.0,0.0,2.9654999999999996,-0.2,32.995599999999996,-0.0557,4.9126,0.0,0.0,0.0,14.8752,-0.91,92.8421,0.0,144.4426,0.0,144.4426
CCGT,2024-06-24,22.364000000000004,0.0,0.0,0.0,9.8569,-0.1432,43.8053,-0.8099999999999999,5.7748,-0.005,0.0,0.0,15.007599999999998,-2.1242,94.12519999999999,0.0,188.3808,0.0,188.3808
CCGT,2024-07-01,2.782,0.0,0.8820000000000001,0.0,5.0763,0.0,29.322,-0.3653,2.8656,-0.53,0.0,0.0,10.468699999999998,-0.5868,140.3111,0.0,191.7077,0.0,191.7077
CCGT,2024-07-08,53.2732,0.0,10.544999999999995,0.0,6.0238,-0.3943999999999999,41.095099999999995,-0.6719999999999999,5.3439,0.0,0.0,0.0,12.412700000000001,-0.644,144.67669999999998,0.0,273.3704,-0.008,273.3624
CCGT,2024-07-15,127.28329999999998,0.0,46.13600000000001,0.0,25.7757,-0.6633999999999999,39.9603,-4.4788,12.3759,0.0,0.0,0.0,21.1017,-8.252,137.6997,0.0,410.33259999999996,0.0,410.33259999999996
