firm,tech,hour_class,regime,gwh,gwh_sa
GN,Hydro,Flat,MTU15IDA_post,0.017833333333333333,0.018349982977988427
GN,Hydro,Flat,MTU15IDA_pre,0.042583333333333334,0.055922363825354184
GN,Hydro,Flat,preIDA,0.0257952,
GN,Hydro,Midday,3sess,0.01989245283018868,0.03119835933969658
GN,Hydro,Midday,DA15_ID15,0.02962785714285715,0.020282677566001894
GN,Hydro,Midday,ISP15win,0.03621228070175439,0.018952579476493973
GN,Hydro,Midday,MTU15IDA_post,0.01431111111111111,0.02029516542215459
GN,Hydro,Midday,MTU15IDA_pre,0.05848333333333333,0.09070045293040911
GN,Hydro,Midday,preIDA,0.029595964125560537,
GN,Hydro_pump,Critical,3sess,0.16041126760563382,0.150149933379014
GN,Hydro_pump,Critical,DA15_ID15,0.15920583333333335,0.14842238638765237
GN,Hydro_pump,Critical,ISP15win,0.17991052631578947,0.1688896374517343
GN,Hydro_pump,Critical,MTU15IDA_post,0.10027012987012987,0.09937874228848961
GN,Hydro_pump,Critical,MTU15IDA_pre,0.12789239130434782,0.07196295628004608
GN,Hydro_pump,Critical,preIDA,0.11258885448916409,
GN,Hydro_pump,Flat,3sess,0.024090909090909093,
GN,Hydro_pump,Flat,DA15_ID15,0.08084444444444444,
GN,Hydro_pump,Flat,ISP15win,0.11435,
GN,Hydro_pump,Flat,MTU15IDA_post,0.03770480769230769,
GN,Hydro_pump,Flat,MTU15IDA_pre,0.038400000000000004,
GN,Hydro_pump,Flat,preIDA,0.06672950819672131,
GN,Hydro_pump,Midday,3sess,0.07098333333333333,
GN,Hydro_pump,Midday,DA15_ID15,0.07759999999999999,
GN,Hydro_pump,Midday,ISP15win,0.08877499999999999,
GN,Hydro_pump,Midday,MTU15IDA_post,0.014294642857142856,
GN,Hydro_pump,Midday,MTU15IDA_pre,0.059074999999999975,
GN,Hydro_pump,Midday,preIDA,0.0724159420289855,
GN,Nuclear,Critical,3sess,0.43213999999999997,
GN,Nuclear,Critical,DA15_ID15,0.8346571428571429,
GN,Nuclear,Critical,ISP15win,0.26119999999999993,
GN,Nuclear,Critical,MTU15IDA_post,0.348746875,
GN,Nuclear,Critical,MTU15IDA_pre,0.3140916666666669,
GN,Nuclear,Critical,preIDA,0.28008,
GN,Nuclear,Flat,DA15_ID15,0.42549000000000003,
GN,Nuclear,Flat,ISP15win,0.2823,
GN,Nuclear,Flat,MTU15IDA_post,0.035875,
GN,Nuclear,Flat,MTU15IDA_pre,0.7713625000000003,
GN,Nuclear,Flat,preIDA,0.17658888888888888,
GN,Nuclear,Midday,3sess,0.26370000000000005,
GN,Nuclear,Midday,DA15_ID15,0.164125,
GN,Nuclear,Midday,ISP15win,0.8739333333333335,
GN,Nuclear,Midday,MTU15IDA_post,0.05140625,
GN,Nuclear,Midday,preIDA,0.28803888888888884,
GN,Other,Critical,3sess,0.07357687074829931,
GN,Other,Critical,DA15_ID15,0.09644660194174756,
GN,Other,Critical,ISP15win,0.10438854166666667,
GN,Other,Critical,MTU15IDA_post,0.09928920454545455,
GN,Other,Critical,MTU15IDA_pre,0.11569916666666666,
GN,Other,Critical,preIDA,0.055613343328335826,
GN,Other,Flat,3sess,0.02807142857142857,
