measure,tech,firm,critical_rate,flat_rate,diff_crit_minus_flat,n_crit,n_flat,rate_diff1pct_crit,rate_diff1pct_flat,cv_med_crit,cv_med_flat,cv_p90_crit,cv_p90_flat,n_tranches_crit,n_tranches_flat,slope_crit,slope_flat,pavg_crit,pavg_flat
per_quarter,wind,ALL,,,,,,,,,,,,1.567839638423385,1.5733690364062367,0.09363534555924961,0.09519394133703313,4.260752156220565,4.194345984501124
per_quarter,solar,IB,,,,,,,,,,,,1.0221389037671844,1.0190650654725557,0.0021409266548458703,0.001421271946436741,0.6124740669796419,0.61827912730486
per_quarter,solar,GE,,,,,,,,,,,,1.0,1.0,0.0,0.0,-0.6231697687535251,0.6070015118427682
per_quarter,solar,GN,,,,,,,,,,,,1.0,1.0,0.0,0.0,790.3792395982784,798.0566809371837
per_quarter,solar,HC,,,,,,,,,,,,1.8939169139465875,1.9855975087582718,0.8216362331201932,0.2696726870543514,-3.446937170555601,-3.2531467372929446
per_quarter,solar,ALL,,,,,,,,,,,,1.1088719587122142,1.0779051733687826,0.09171434197098484,0.0197667348028459,225.45676791539643,284.06456026612494
per_quarter,hydro,IB,,,,,,,,,,,,11.204752911551779,11.201489867637466,0.19631285827378417,0.20533957660049132,251.40621488232918,250.8148829090942
per_quarter,hydro,GE,,,,,,,,,,,,1.6125861552292478,1.6223382011006842,0.07434652677878552,0.06147248440191809,25.20321242199514,21.993026861854464
per_quarter,hydro,GN,,,,,,,,,,,,2.2953350486631616,2.3085345732713365,0.6988646340135629,0.7934071147724667,230.201195841374,233.54780178617747
per_quarter,hydro,HC,,,,,,,,,,,,8.68348528081286,8.723422128469824,0.9238856710127472,0.864555165758956,141.61556473381194,142.91242317644185
per_quarter,hydro,ALL,,,,,,,,,,,,5.969279520312708,6.042815361008413,0.44131382274485653,0.44382980162891317,146.25962158729084,147.65110634703677
per_quarter,nuclear,IB,,,,,,,,,,,,1.316116504854369,1.321498388545464,1.378648329166804,1.569355993787995,-0.6704034635938481,7.362565726867471
per_quarter,nuclear,GE,,,,,,,,,,,,1.3953232462173315,1.3885190116881196,1.0239946971115381,1.053680870316451,-219.98041705473167,-220.3015951706563
per_quarter,nuclear,GN,,,,,,,,,,,,1.0,1.0,0.0,0.0,-500.0,-500.0
per_quarter,nuclear,ALL,,,,,,,,,,,,1.3090029236818228,1.3092218312740365,1.091063576893788,1.1986705643117903,-138.1269678225081,-134.95037727421408
