firm_group,month,units_in_month,within_unit_tpp_unweighted,within_unit_tpp_weighted,firm_total_rows,sum_unit_active_cells
GN,2025-08-01,21,3.0763871743788296,3.0381475036808996,45396.0,14942.0
GN,2025-09-01,20,2.8004131384578415,2.783268281905884,37794.0,13579.0
GN,2025-10-01,20,2.897882062749403,2.901723505683902,166173.0,57267.0
GN,2025-11-01,21,3.3066441859545312,3.270350262697023,186737.0,57100.0
GN,2025-12-01,22,3.9360514699350593,3.9222827549098738,233266.0,59472.0
GN,2026-01-01,21,3.585923721340389,3.585923721340388,65063.0,18144.0
HC,2018-01-01,8,6.256552419354838,6.281997187060478,35732.0,5688.0
HC,2018-02-01,7,6.404336734693878,6.404336734693878,30126.0,4704.0
HC,2018-03-01,8,6.343702675543021,6.35149863760218,37296.0,5872.0
HC,2018-04-01,8,6.320343996935978,6.323616687030896,36228.0,5729.0
HC,2018-05-01,8,6.224066088671601,6.227843803056027,36682.0,5890.0
HC,2018-06-01,8,6.355034722222222,6.355034722222222,36605.0,5760.0
HC,2018-07-01,8,6.34828629032258,6.351534678650161,37455.0,5897.0
HC,2018-08-01,8,6.332829301075268,6.341081267217631,36829.0,5808.0
HC,2018-09-01,8,6.307798519654167,6.313924938618029,36002.0,5702.0
HC,2018-10-01,8,6.340490860009868,6.353335625859698,36951.0,5816.0
HC,2018-11-01,8,6.325818452380952,6.340367965367966,35151.0,5544.0
HC,2018-12-01,8,6.333893369175627,6.336032388663968,37560.0,5928.0
HC,2019-01-01,8,6.350778449820789,6.352395411605938,37657.0,5928.0
HC,2019-02-01,8,6.278831845238095,6.281343843843844,33467.0,5328.0
HC,2019-03-01,8,6.20142099206117,6.214844428993569,35754.0,5753.0
HC,2019-04-01,8,6.2730902777777775,6.273470097357441,36085.0,5752.0
HC,2019-05-01,8,6.278225806451612,6.279352226720648,37224.0,5928.0
HC,2019-06-01,8,6.119357638888889,6.133371385083714,32237.0,5256.0
HC,2019-07-01,8,6.139348118279569,6.155319940476191,33091.0,5376.0
HC,2019-08-01,8,6.174395161290323,6.175101214574899,36606.0,5928.0
HC,2019-09-01,8,6.152604166666666,6.152604166666666,35439.0,5760.0
HC,2019-10-01,8,6.186735570469799,6.20513698630137,36238.0,5840.0
HC,2019-11-01,8,6.130381944444444,6.184883720930233,31914.0,5160.0
HC,2019-12-01,8,6.13239247311828,6.135116598079561,35780.0,5832.0
HC,2020-01-01,8,6.146337365591398,6.146337365591398,36583.0,5952.0
HC,2020-02-01,8,6.1205100574712645,6.1205100574712645,34079.0,5568.0
HC,2020-03-01,8,6.117934051144011,6.117934051144011,36365.0,5944.0
HC,2020-04-01,8,6.112152777777778,6.112152777777778,35206.0,5760.0
HC,2020-05-01,8,6.146337365591398,6.146337365591398,36583.0,5952.0
HC,2020-06-01,8,6.1515625,6.152836134453781,35145.0,5712.0
HC,2020-07-01,8,6.16549059139785,6.176903735632184,34393.0,5568.0
HC,2020-08-01,8,6.141453853046595,6.1423751686909585,36412.0,5928.0
HC,2020-09-01,8,6.172222222222222,6.198717948717949,30944.0,4992.0
HC,2020-10-01,6,6.230369875445017,6.234652114597544,27420.0,4398.0
HC,2020-11-01,8,6.178645833333334,6.210171568627451,30405.0,4896.0
HC,2020-12-01,8,5.196375871183882,5.226241994114592,30192.0,5777.0
HC,2021-01-01,8,5.2382405397022325,5.172331871345029,28303.0,5472.0
HC,2021-02-01,8,5.21520819866408,5.171603475513428,26189.0,5064.0
HC,2021-03-01,7,5.14809651990002,5.436587400917814,26063.0,4794.0
HC,2021-04-01,6,5.702430555555555,5.6875,23205.0,4080.0
HC,2021-05-01,7,5.175359586649909,5.198267790262173,22207.0,4272.0
HC,2021-06-01,7,5.173433223864259,5.0469322344322345,22045.0,4368.0
HC,2021-07-01,8,5.3698547006580455,5.314789948206407,27706.0,5213.0
HC,2021-08-01,7,5.393625192012289,5.393625192012289,28090.0,5208.0
HC,2021-09-01,8,5.383506944444444,5.292065390749602,26545.0,5016.0
HC,2021-10-01,8,5.277560905527164,5.206840057341798,25425.0,4883.0
HC,2021-11-01,7,5.093899449850575,5.155029093931837,24806.0,4812.0
HC,2021-12-01,8,5.168937632417019,5.174575278265964,26499.0,5121.0
HC,2022-01-01,8,5.0347500860744745,4.983603395061729,25835.0,5184.0
HC,2022-02-01,9,5.003044989678539,4.8552188552188555,24514.0,5049.0
HC,2022-03-01,8,4.730554394302334,4.709561602418745,24923.0,5292.0
HC,2022-04-01,8,4.908562683334965,5.435243139142995,22578.0,4154.0
HC,2022-05-01,9,5.19770335201151,5.716242242670662,26712.0,4673.0
