tech,q1_gwh,qfinal_gwh,ym
Storage_buy,0.0,-0.07479999999999999,2024-04-01
Storage_sell,0.0273,0.092,2024-04-01
Wind,783.4986999999998,1096.9427,2024-04-01
CCGT,6.1638,738.7334999999999,2024-05-01
Cogen,40.97660000000003,147.35440000000003,2024-05-01
Direct_consumer,0.0,-5.0147,2024-05-01
Generic,0.0,-3.3124999999999747,2024-05-01
Hybrid_RES,12.777400000000002,16.7917,2024-05-01
Hybrid_RES_storage,11.252899999999997,20.4695,2024-05-01
Hydro,912.7421000000029,3313.1002999999987,2024-05-01
Hydro_RES,6.606800000000012,90.10140000000023,2024-05-01
Hydro_pump,328.08550000000014,407.91219999999976,2024-05-01
Nuclear,973.2454000000007,3543.5618000000045,2024-05-01
Other,0.0,47.52119999999998,2024-05-01
Pump_load,0.0,-1361.6959999999995,2024-05-01
Retailer,0.0,-12973.557999999988,2024-05-01
Solar PV,150.2100999999996,396.9085999999996,2024-05-01
Storage_buy,0.0,-0.0922,2024-05-01
Storage_sell,0.047599999999999996,0.0964,2024-05-01
Wind,682.0008000000001,1248.3476999999996,2024-05-01
CCGT,46.3645,698.7980000000005,2024-06-01
Cogen,36.42609999999995,140.3273000000003,2024-06-01
Direct_consumer,0.0,-4.7,2024-06-01
Generic,0.0,-8.743599999999933,2024-06-01
Hybrid_RES,14.873499999999993,24.725799999999996,2024-06-01
Hybrid_RES_storage,6.151000000000002,19.4765,2024-06-01
Hydro,646.6879999999993,2608.9855000000025,2024-06-01
Hydro_RES,3.625300000000002,77.16450000000009,2024-06-01
Hydro_pump,280.6999,325.72740000000005,2024-06-01
Nuclear,1598.1542000000015,4192.9148000000005,2024-06-01
Other,0.0,42.632799999999996,2024-06-01
Pump_load,0.0,-1007.3200000000004,2024-06-01
Retailer,0.0,-12539.330100000006,2024-06-01
Solar PV,35.62730000000006,418.3040999999999,2024-06-01
Storage_buy,0.0,-0.1075,2024-06-01
Storage_sell,0.08580000000000002,0.1042,2024-06-01
Wind,589.1891000000005,1149.3751000000007,2024-06-01
CCGT,420.91539999999986,1387.5010000000002,2024-07-01
Cogen,31.368099999999945,145.50970000000024,2024-07-01
Direct_consumer,0.0,-8.465099999999998,2024-07-01
Generic,0.0,-8.870200000000048,2024-07-01
Hybrid_RES,16.164999999999992,32.4229,2024-07-01
Hybrid_RES_storage,4.075399999999999,25.727000000000004,2024-07-01
Hydro,641.6586000000015,2440.1753000000026,2024-07-01
Hydro_RES,3.4905000000000026,73.14220000000009,2024-07-01
Hydro_pump,263.89380000000006,301.85229999999996,2024-07-01
Nuclear,2321.852800000004,5078.059200000005,2024-07-01
Other,0.0,54.83660000000002,2024-07-01
Pump_load,0.0,-877.3107,2024-07-01
Retailer,0.0,-14933.52140000002,2024-07-01
Solar PV,29.37430000000003,568.5082000000003,2024-07-01
Storage_buy,0.0,-0.0555,2024-07-01
Storage_sell,0.0648,0.0645,2024-07-01
Wind,435.0115000000003,1138.7767999999992,2024-07-01
CCGT,531.5898,1443.6553999999996,2024-08-01
Cogen,35.87059999999993,137.09650000000047,2024-08-01
Direct_consumer,0.0,-10.343499999999995,2024-08-01
Generic,0.0,-7.019900000000002,2024-08-01
