tech,pdbc_gwh,pdbf_gwh,phf_gwh,ym,gap_vs_pdbc,gap_vs_pdbf
Hybrid_RES,15.262700000000006,15.571900000000001,15.191499999999996,2024-03-01,-0.07120000000000992,-0.3804000000000052
Hybrid_RES_storage,6.560299999999999,9.213700000000001,10.165700000000001,2024-03-01,3.605400000000002,0.952
Hydro,1165.0628000000002,6186.395600000078,6155.3092999999935,2024-03-01,4990.246499999994,-31.08630000008452
Hydro_RES,10.047299999999996,95.27880000000026,95.84720000000036,2024-03-01,85.79990000000036,0.5684000000000964
Hydro_pump,326.11719999999974,352.80569999999904,348.45059999999955,2024-03-01,22.333399999999813,-4.3550999999994815
Nuclear,1866.7166999999988,2637.2003999999947,3492.290400000001,2024-03-01,1625.573700000002,855.0900000000061
Other,0.0,31.986700000000006,34.652100000000004,2024-03-01,34.652100000000004,2.665399999999998
Pump_load,0.0,-1190.0995000000003,-1447.8014999999996,2024-03-01,-1447.8014999999996,-257.7019999999993
Retailer,0.0,-13924.061400000013,-13973.507600000008,2024-03-01,-13973.507600000008,-49.44619999999486
Solar PV,124.91629999999972,212.6695999999997,225.23019999999954,2024-03-01,100.31389999999982,12.560599999999852
Storage_buy,0.0,-0.0114,-0.0522,2024-03-01,-0.0522,-0.0408
Storage_sell,0.004200000000000001,0.004200000000000001,0.0533,2024-03-01,0.0491,0.0491
Wind,1140.7931999999996,1501.785000000001,1483.2458000000004,2024-03-01,342.45260000000076,-18.53920000000062
CCGT,23.835300000000004,23.8353,609.6549000000001,2024-04-01,585.8196000000002,585.8196000000002
Cogen,38.49339999999999,94.39920000000001,72.63239999999999,2024-04-01,34.139,-21.766800000000018
Direct_consumer,0.0,-4.558900000000001,-4.559199999999999,2024-04-01,-4.559199999999999,-0.00029999999999752447
Generic,0.0,7.278622149442526e-16,8.881599999999956,2024-04-01,8.881599999999956,8.881599999999956
Hybrid_RES,16.1545,16.589599999999994,15.227399999999994,2024-04-01,-0.9271000000000047,-1.3621999999999996
Hybrid_RES_storage,7.046499999999999,7.510899999999998,7.315600000000001,2024-04-01,0.26910000000000167,-0.19529999999999692
Hydro,1625.5576,4924.821599999983,5053.965799999996,2024-04-01,3428.408199999996,129.14420000001337
Hydro_RES,6.451700000000028,82.46890000000005,83.94190000000003,2024-04-01,77.4902,1.4729999999999848
Hydro_pump,333.4746000000001,358.5541999999998,359.94609999999966,2024-04-01,26.471499999999537,1.3918999999998505
Nuclear,1019.2009999999979,2132.7202000000025,3521.5412000000024,2024-04-01,2502.3402000000046,1388.821
Other,0.0,19.706999999999997,25.435500000000008,2024-04-01,25.435500000000008,5.728500000000011
Pump_load,0.0,-649.0755999999997,-918.3609999999998,2024-04-01,-918.3609999999998,-269.2854000000001
Retailer,0.0,-12665.018199999986,-12603.323500000022,2024-04-01,-12603.323500000022,61.69469999996363
Solar PV,81.98620000000004,151.50159999999994,204.18429999999958,2024-04-01,122.19809999999954,52.68269999999964
Storage_buy,0.0,-0.0052,-0.07479999999999999,2024-04-01,-0.07479999999999999,-0.0696
Storage_sell,0.027299999999999998,0.027299999999999998,0.09200000000000001,2024-04-01,0.06470000000000001,0.06470000000000001
Wind,783.4986999999998,1027.7107999999994,1096.9427000000003,2024-04-01,313.4440000000005,69.2319000000009
CCGT,6.1638,6.1638,738.7334999999999,2024-05-01,732.5696999999999,732.5696999999999
Cogen,40.97660000000003,151.53470000000004,147.35440000000006,2024-05-01,106.37780000000002,-4.180299999999988
Direct_consumer,0.0,-5.138100000000001,-5.0146999999999995,2024-05-01,-5.0146999999999995,0.12340000000000195
Generic,0.0,9.059419880941277e-17,-3.312499999999927,2024-05-01,-3.312499999999927,-3.312499999999927
Hybrid_RES,12.777400000000002,17.213999999999995,16.7917,2024-05-01,4.014299999999997,-0.42229999999999634
Hybrid_RES_storage,11.252899999999997,19.36029999999999,20.4695,2024-05-01,9.216600000000003,1.1092000000000084
Hydro,912.7421000000029,3338.318499999961,3313.1002999999987,2024-05-01,2400.358199999996,-25.218199999962508
Hydro_RES,6.606800000000011,89.2720000000002,90.1014000000002,2024-05-01,83.49460000000019,0.8293999999999926
Hydro_pump,328.08550000000014,342.6412999999999,407.9121999999997,2024-05-01,79.82669999999956,65.27089999999981
Nuclear,973.2454000000007,2692.416199999998,3543.561800000003,2024-05-01,2570.3164000000024,851.1456000000053
Other,0.0,45.5112,47.52119999999999,2024-05-01,47.52119999999999,2.009999999999991
Pump_load,0.0,-1143.7955999999983,-1361.6959999999992,2024-05-01,-1361.6959999999992,-217.9004000000009
Retailer,0.0,-13061.08109999997,-12973.557999999974,2024-05-01,-12973.557999999974,87.5230999999967
Solar PV,150.2100999999996,388.30659999999995,396.9085999999994,2024-05-01,246.6984999999998,8.601999999999464
Storage_buy,0.0,-0.0475,-0.0922,2024-05-01,-0.0922,-0.044700000000000004
Storage_sell,0.047599999999999996,0.047599999999999996,0.0964,2024-05-01,0.0488,0.0488
Wind,682.0008000000003,1209.5723000000007,1248.3477000000005,2024-05-01,566.3469000000002,38.77539999999976
CCGT,46.3645,53.048500000000004,698.7980000000002,2024-06-01,652.4335000000002,645.7495000000002
Cogen,36.42609999999995,146.4976000000002,140.3273000000003,2024-06-01,103.90120000000034,-6.170299999999912
Direct_consumer,0.0,-7.595900000000001,-4.7,2024-06-01,-4.7,2.895900000000001
Generic,0.0,8.535394613318203e-16,-8.743599999999962,2024-06-01,-8.743599999999962,-8.743599999999962
Hybrid_RES,14.873499999999993,25.269299999999998,24.725799999999996,2024-06-01,9.852300000000003,-0.5435000000000016
Hybrid_RES_storage,6.151000000000002,19.523299999999995,19.476499999999998,2024-06-01,13.325499999999996,-0.04679999999999751
Hydro,646.6879999999993,2768.797199999989,2608.985500000002,2024-06-01,1962.2975000000029,-159.811699999987
Hydro_RES,3.625300000000002,79.68089999999994,77.16450000000007,2024-06-01,73.53920000000008,-2.5163999999998623
Hydro_pump,280.6999,296.7352,325.72740000000005,2024-06-01,45.02750000000003,28.992200000000025
Nuclear,1598.1542000000015,3812.945799999993,4192.914800000001,2024-06-01,2594.7605999999996,379.96900000000824
Other,0.0,43.34979999999999,42.63279999999999,2024-06-01,42.63279999999999,-0.7169999999999987
Pump_load,0.0,-801.0748,-1007.3200000000003,2024-06-01,-1007.3200000000003,-206.2452000000003
Retailer,0.0,-12965.949100000027,-12539.330100000005,2024-06-01,-12539.330100000005,426.6190000000224
Solar PV,35.62730000000006,452.4994000000003,418.3040999999999,2024-06-01,382.67679999999984,-34.19530000000043
Storage_buy,0.0,-0.046200000000000005,-0.1075,2024-06-01,-0.1075,-0.06129999999999999
Storage_sell,0.08580000000000002,0.0858,0.10420000000000001,2024-06-01,0.0184,0.018400000000000014
Wind,589.1891000000005,1187.0707,1149.3751000000007,2024-06-01,560.1860000000001,-37.69559999999933
CCGT,420.9153999999998,523.0763999999999,1387.5010000000002,2024-07-01,966.5856000000003,864.4246000000003
Cogen,31.368099999999956,149.95330000000033,145.5097000000002,2024-07-01,114.14160000000025,-4.443600000000117
Direct_consumer,0.0,-15.637200000000004,-8.4651,2024-07-01,-8.4651,7.172100000000004
Generic,0.0,8.881784197001253e-17,-8.870200000000018,2024-07-01,-8.870200000000018,-8.870200000000018
Hybrid_RES,16.164999999999996,33.083700000000015,32.422900000000006,2024-07-01,16.25790000000001,-0.6608000000000089
Hybrid_RES_storage,4.075399999999999,24.392300000000002,25.726999999999997,2024-07-01,21.6516,1.3346999999999944
Hydro,641.6586000000015,2385.4635999999837,2440.1753000000012,2024-07-01,1798.5166999999997,54.71170000001757
Hydro_RES,3.4905000000000017,73.15930000000009,73.1422000000001,2024-07-01,69.6517000000001,-0.017099999999985016
Hydro_pump,263.8938000000001,265.30380000000025,301.8523,2024-07-01,37.9584999999999,36.54849999999976
Nuclear,2321.8528000000047,5028.014899999995,5078.059200000005,2024-07-01,2756.2064000000005,50.04430000001048
Other,0.0,53.973600000000005,54.83660000000002,2024-07-01,54.83660000000002,0.8630000000000138
Pump_load,0.0,-770.5039999999998,-877.3107,2024-07-01,-877.3107,-106.8067000000002
Retailer,0.0,-14941.594200000014,-14933.521400000018,2024-07-01,-14933.521400000018,8.072799999996278
Solar PV,29.374300000000034,574.3917000000002,568.5082,2024-07-01,539.1338999999999,-5.883500000000254
Storage_buy,0.0,-0.0659,-0.0555,2024-07-01,-0.0555,0.0104
Storage_sell,0.06480000000000001,0.06480000000000001,0.0645,2024-07-01,-0.0003000000000000086,-0.0003000000000000086
Wind,435.01150000000035,1153.820199999999,1138.7767999999999,2024-07-01,703.7652999999996,-15.04339999999911
CCGT,531.5898,630.3377999999999,1443.6553999999996,2024-08-01,912.0655999999997,813.3175999999997
Cogen,35.87059999999994,136.28430000000023,137.09650000000042,2024-08-01,101.22590000000048,0.812200000000189
Direct_consumer,0.0,-16.24410000000001,-10.343499999999995,2024-08-01,-10.343499999999995,5.900600000000015
Generic,0.0,1.0587086762825492e-15,-7.0198999999999865,2024-08-01,-7.0198999999999865,-7.019899999999987
Hybrid_RES,15.753299999999996,33.256,31.35870000000001,2024-08-01,15.605400000000014,-1.8972999999999907
Hybrid_RES_storage,5.313899999999999,23.576999999999995,24.837899999999987,2024-08-01,19.523999999999987,1.2608999999999924
Hydro,303.00779999999895,2205.317199999987,2235.965700000002,2024-08-01,1932.957900000003,30.648500000014792
Hydro_RES,4.822499999999997,61.770100000000035,62.0155,2024-08-01,57.193000000000005,0.2453999999999681
Hydro_pump,238.8094000000002,244.33750000000023,271.79500000000013,2024-08-01,32.98559999999992,27.457499999999897
Nuclear,1996.6923999999944,5083.954600000001,5093.121399999996,2024-08-01,3096.429000000002,9.166799999995419
Other,0.0,59.86200000000001,59.1096,2024-08-01,59.1096,-0.7524000000000086
Pump_load,0.0,-646.0316,-813.8921000000003,2024-08-01,-813.8921000000003,-167.86050000000023
Retailer,0.0,-14710.410099999965,-14612.703300000034,2024-08-01,-14612.703300000034,97.70679999993081
Solar PV,37.47070000000007,570.7359000000004,564.9507000000006,2024-08-01,527.4800000000005,-5.785199999999804
Wind,379.1708000000002,1035.9011,1019.6058000000003,2024-08-01,640.4350000000001,-16.29529999999977
CCGT,310.1378,418.2669,1215.1860000000001,2024-09-01,905.0482000000002,796.9191000000001
Coal,1.2,1.2,43.4525,2024-09-01,42.2525,42.2525
Cogen,35.37750000000005,119.75249999999986,114.05510000000001,2024-09-01,78.67759999999996,-5.6973999999998455
Direct_consumer,0.0,-13.496400000000001,-8.1085,2024-09-01,-8.1085,5.387900000000002
Generic,0.0,6.930012119710227e-16,-4.46280000000001,2024-09-01,-4.46280000000001,-4.462800000000011
Hybrid_RES,20.027900000000006,27.9226,27.461799999999997,2024-09-01,7.433899999999991,-0.46080000000000254
Hybrid_RES_storage,12.836000000000004,21.31519999999999,23.324099999999994,2024-09-01,10.48809999999999,2.008900000000004
Hydro,343.1327,2184.8024000000014,2144.9051000000054,2024-09-01,1801.7724000000053,-39.897299999995994
Hydro_RES,3.4963999999999995,58.28999999999997,59.04169999999998,2024-09-01,55.545299999999976,0.7517000000000067
Hydro_pump,188.75500000000022,197.7415000000002,253.0553000000001,2024-09-01,64.30029999999988,55.3137999999999
Nuclear,2106.564599999999,4981.054200000044,4982.2859,2024-09-01,2875.721300000001,1.2316999999557083
Other,0.0,48.6097,47.391400000000004,2024-09-01,47.391400000000004,-1.2182999999999922
Pump_load,0.0,-766.9499999999998,-968.5971999999996,2024-09-01,-968.5971999999996,-201.64719999999977
Retailer,0.0,-13288.97830000013,-13222.169500000015,2024-09-01,-13222.169500000015,66.8088000001153
Solar PV,98.73229999999994,390.19970000000023,396.1725999999999,2024-09-01,297.4402999999999,5.97289999999964
Storage_buy,0.0,0.0,-0.0057,2024-09-01,-0.0057,-0.0057
Wind,655.1554000000001,1275.5125000000012,1286.9349999999995,2024-09-01,631.7795999999994,11.422499999998308
CCGT,112.2909,136.60190000000003,1121.2095000000006,2024-10-01,1008.9186000000007,984.6076000000006
Coal,5.643,5.643,27.1256,2024-10-01,21.482599999999998,21.482599999999998
Cogen,37.05360000000007,94.70399999999968,87.8126999999999,2024-10-01,50.759099999999826,-6.891299999999788
Direct_consumer,0.0,-11.154200000000007,-6.021,2024-10-01,-6.021,5.133200000000007
Generic,0.0,6.403766406037903e-16,-0.6730000000000437,2024-10-01,-0.6730000000000437,-0.6730000000000443
Hybrid_RES,37.3978,43.112799999999986,42.468300000000006,2024-10-01,5.07050000000001,-0.6444999999999794
Hybrid_RES_storage,12.176499999999997,22.021399999999996,22.632099999999983,2024-10-01,10.455599999999986,0.6106999999999871
Hydro,495.95659999999884,3474.319800000025,3386.0010000000084,2024-10-01,2890.04440000001,-88.31880000001684
Hydro_RES,2.5203999999999978,54.03539999999997,54.31960000000003,2024-10-01,51.799200000000035,0.2842000000000624
Hydro_pump,184.4775000000003,193.97850000000025,223.2168000000002,2024-10-01,38.7392999999999,29.238299999999953
Nuclear,2114.740700000001,4612.414699999998,4612.937400000001,2024-10-01,2498.1966999999995,0.5227000000022599
Other,0.0,38.648300000000006,37.722899999999996,2024-10-01,37.722899999999996,-0.9254000000000104
Pump_load,0.0,-558.5211999999999,-760.7517000000003,2024-10-01,-760.7517000000003,-202.23050000000035
Retailer,0.0,-13515.583299999967,-13504.847199999991,2024-10-01,-13504.847199999991,10.736099999976432
Solar PV,82.35969999999996,326.4429000000003,323.2196000000002,2024-10-01,240.8599000000002,-3.2233000000001084
Wind,1008.1222000000005,1743.3296999999986,1771.5346999999995,2024-10-01,763.412499999999,28.205000000000837
CCGT,637.3230000000002,752.522400000001,2152.1006000000007,2024-11-01,1514.7776000000003,1399.5781999999997
Coal,25.117800000000003,25.117800000000003,51.07050000000001,2024-11-01,25.952700000000007,25.952700000000007
Cogen,30.253199999999985,131.7088999999999,132.72890000000024,2024-11-01,102.47570000000024,1.0200000000003513
