tech,unit,firm,n,PC1,PC2,PC3,PC4,PC5
CCGT,CTNU,OTH,4081,0.9232642650604248,0.04769754037261009,0.010224427096545696,0.005740146152675152,0.0029197116382420063
CCGT,ECT3,REP,3934,0.9224046468734741,0.03420640528202057,0.017348626628518105,0.00729498453438282,0.0038523422554135323
CCGT,ESC6,IB,6036,0.8403429388999939,0.15492942929267883,0.0016511805588379502,0.0011583155719563365,0.0009156427113339305
CCGT,ESCCC1,OTH,5773,0.9112986326217651,0.06279783695936203,0.010620949789881706,0.005087684374302626,0.0024715056642889977
CCGT,ESCCC2,OTH,2814,0.8857620358467102,0.09267103672027588,0.00974628422409296,0.0038194379303604364,0.002115140436217189
CCGT,ESCCC3,OTH,2854,0.9120435118675232,0.07161574810743332,0.006427678745239973,0.00342517695389688,0.0021261239890009165
CCGT,LARES1,HC,6794,0.9240001440048218,0.04577598720788956,0.015701191499829292,0.004021707456558943,0.0029580905102193356
CCGT,LARES2,HC,6838,0.9461381435394287,0.02498881332576275,0.019447816535830498,0.0026893820613622665,0.0017442888347432017
CCGT,MALA1,GN,1234,0.9170544147491455,0.056454144418239594,0.013377116993069649,0.005568547639995813,0.0025547887198626995
CCGT,PALOS1,GN,3388,0.9178642630577087,0.060295864939689636,0.010740989819169044,0.0042138658463954926,0.001890472718514502
CCGT,PALOS2,GN,2884,0.9208691120147705,0.05476514250040054,0.011687939055263996,0.0051635694690048695,0.0026749507524073124
CCGT,PALOS3,GN,3035,0.9088439345359802,0.07022780179977417,0.009330760687589645,0.0036894904915243387,0.0019623280968517065
CCGT,PBCN1,GN,2896,0.934971272945404,0.052639879286289215,0.008037485182285309,0.0021472994703799486,0.0011280541075393558
CCGT,PBCN2,GN,2963,0.9057326912879944,0.0728851780295372,0.01224909070879221,0.004029585514217615,0.0016860179603099823
CCGT,RIBATE1,HC,6338,0.9426224231719971,0.03477936610579491,0.008950578048825264,0.00619866419583559,0.0018401035340502858
CCGT,RIBATE2,HC,5787,0.9277974367141724,0.050010234117507935,0.007874790579080582,0.005236939061433077,0.003144789021462202
CCGT,RIBATE3,HC,6612,0.9386568069458008,0.03292136266827583,0.012097761034965515,0.005692897830158472,0.003499791491776705
CCGT,SAGU1,GN,2822,0.8897168040275574,0.06983449310064316,0.02048124000430107,0.007688141893595457,0.003588317194953561
CCGT,SAGU2,GN,3079,0.9105074405670166,0.05876550450921059,0.015715517103672028,0.005811759270727634,0.003043378936126828
CCGT,SAGU3,GN,3010,0.9133560657501221,0.058993153274059296,0.015297017060220242,0.00522049842402339,0.0019990038126707077
CCGT,SBO3,GN,3106,0.9083346724510193,0.0664529949426651,0.012815960682928562,0.005018198862671852,0.002296671038493514
CCGT,SRI4R,HC,8459,0.9493212103843689,0.039583560079336166,0.005605726502835751,0.0031204598490148783,0.0010417647426947951
CCGT,SRI5R,HC,8004,0.9625023007392883,0.024722225964069366,0.008148719556629658,0.00196132087148726,0.0008885450079105794
CCGT,SROQ1,GN,3027,0.9416391849517822,0.04088183119893074,0.010915403254330158,0.0031104765366762877,0.0013367257779464126
CCGT,STC4,IB,4331,0.9979004859924316,0.0018603734206408262,0.00012469741341192275,5.041122858528979e-05,2.2765807443647645e-05
CCGT,TAPOWER,IB,5332,0.9991685152053833,0.0006468810606747866,9.101268369704485e-05,3.7861685996176675e-05,2.8905133149237372e-05
Hydro,ACAVADO,HC,12720,0.7014776468276978,0.12430360913276672,0.0555059053003788,0.033756330609321594,0.01773848943412304
Hydro,ADOURO,HC,15084,0.694535493850708,0.1583799570798874,0.056138526648283005,0.02253015898168087,0.013403109274804592
Hydro,ALIMA,HC,12934,0.7936457991600037,0.10266587883234024,0.036847829818725586,0.016948452219367027,0.012318947352468967
Hydro,DOUSUP,HC,10083,0.8373600840568542,0.09586108475923538,0.024648308753967285,0.012344004586338997,0.006501547992229462
Hydro,DUER,IB,11235,0.922870397567749,0.03873699903488159,0.017360875383019447,0.005745159927755594,0.003460245905444026
Hydro,GDLQ,GE,2050,0.973804771900177,0.017303571105003357,0.004124875646084547,0.0011038606753572822,0.0006735016359016299
Hydro,GUADIA,HC,7557,0.8616541028022766,0.08811938762664795,0.0202694870531559,0.010282814502716064,0.005112862680107355
Hydro,HCHI,HC,11936,0.8624089360237122,0.0919305831193924,0.020536191761493683,0.007654333952814341,0.0035570471081882715
