tech,unit,firm,reform,hour_class,n_cell,level_shift,tilt_std,beta_PC1,beta_PC2,beta_PC3
CCGT,ESCCC2,OTH,ISP15,Critical,1967,-18.97654063136932,11.273876856524982,191.6217858285496,-102.83426039366472,29.521117752070897
CCGT,ESCCC2,OTH,ISP15,Midday,663,-6.620651047755937,20.263196284781195,70.99202829118829,-191.12944403922106,58.31987931776382
CCGT,ESCCC2,OTH,MTU15-IDA,Critical,777,21.822445197364733,5.951800863337059,-218.62479141673836,50.63434152478676,10.77885950961511
CCGT,ESCCC2,OTH,MTU15-IDA,Midday,270,-1.94431090142816e-17,7.198496142360604e-16,0.0,7.105427357601002e-15,2.220446049250313e-16
CCGT,ESCCC3,OTH,ISP15,Critical,1986,-21.918955110028943,3.136208238548295,218.2328642124516,-28.822143391682314,-1.713746281438738
CCGT,ESCCC3,OTH,ISP15,Midday,659,-20.72454485802622,3.6140298073829014,206.42353892655734,-31.684192295097994,7.982804346043672
CCGT,ESCCC3,OTH,MTU15-IDA,Critical,787,20.734150433244675,3.6114012253408276,-206.4675873677075,34.11308455000118,2.0111115157675834
CCGT,ESCCC3,OTH,MTU15-IDA,Midday,270,1.427283394993526e-15,9.129289825345214e-16,-1.4210854715202004e-14,7.105427357601002e-15,-4.440892098500626e-16
CCGT,LARES1,HC,ISP15,Critical,1910,1.8408698434432478,3.79462347825629,17.90804509488929,-4.748594786194532,37.5455369424156
CCGT,LARES1,HC,ISP15,Flat,273,9.826692240002025,2.32109418240184,98.73423326866151,-5.392261616922872,14.565100124722392
CCGT,LARES1,HC,ISP15,Midday,379,-0.2932499527721898,4.031824447111509,-0.6384364891329859,-25.65336778601302,30.455623263171546
CCGT,LARES1,HC,MTU15-IDA,Critical,848,-6.990223873033862,1.5541988456764506,-67.16027453459726,-23.44795407158705,-2.8855084713578973
CCGT,LARES1,HC,MTU15-DA,Critical,3475,-5.604383232892038,3.009774423840447,-58.550722175778155,20.78221360956743,-10.077844029213837
CCGT,LARES1,HC,MTU15-DA,Flat,259,-6.665878445871344,3.9032713930712815,-70.4642822666926,29.872042476612094,-4.864959221878135
CCGT,LARES1,HC,MTU15-DA,Midday,455,-10.53639982324707,1.8435048752325118,-105.83270981608787,-0.9799383480684339,5.540030795202218
CCGT,LARES2,HC,ISP15,Critical,1302,1.8542511888814104,4.423834362806972,-17.018636553434128,-8.157654407939916,42.74176764576065
CCGT,LARES2,HC,ISP15,Midday,261,-2.3239342786361035,3.5269538564053704,22.683134911726427,13.660529423477788,31.04944493824814
CCGT,LARES2,HC,MTU15-IDA,Critical,841,10.27974576938493,2.7400298009396318,-104.1577160579017,15.416120228951815,-10.482785293220317
CCGT,LARES2,HC,MTU15-DA,Critical,4059,8.864079656951521,3.4388611878491258,-85.921997181116,-34.59061455269126,-18.410437135896295
CCGT,LARES2,HC,MTU15-DA,Flat,331,7.894300302608666,3.2404529792920425,-79.52319014503834,1.8014644996519589,-29.646256349428818
CCGT,LARES2,HC,MTU15-DA,Midday,620,-8.254780271059587,1.3156751667446278,82.87888648602076,-4.795986558114074,1.291568518500098
CCGT,MALA1,GN,ISP15,Critical,769,-16.331721945637337,3.638142321649255,161.86981462359245,37.06139075069326,4.109800172061871
CCGT,MALA1,GN,MTU15-IDA,Critical,427,7.734194692508073,3.2056137417253217,-77.59860946317062,27.733993792570683,-7.225139985283398
CCGT,MALA1,GN,MTU15-DA,Critical,313,13.716099645858868,3.5644518997773487,-135.71486772585098,-37.4728851443495,5.071805988886659
CCGT,PALOS1,GN,ISP15,Critical,1034,-13.372218026437935,2.1152273873730234,-132.9364794119112,7.377168036631536,-18.991036913044585
CCGT,PALOS1,GN,MTU15-IDA,Critical,420,3.8094941809812872,1.1232940364157655,37.850744357415024,-5.8279426853847935,6.199605858323499
CCGT,PALOS1,GN,MTU15-DA,Critical,2077,-2.875053534241323,9.246644822440272,-27.998412802670707,88.50145018292766,6.756567438722353
CCGT,PALOS2,GN,ISP15,Critical,677,-3.311684146681993,0.8510687167084751,32.8041090231704,-8.887870132957815,1.3840160494086533
CCGT,PALOS2,GN,MTU15-IDA,Critical,495,8.885516683068994,3.1504105284769293,-87.86463475922602,32.32351732453156,-5.46471696414389
CCGT,PALOS2,GN,MTU15-DA,Critical,1927,-11.503425404150418,4.863271407740903,115.14910425451113,41.57518242881553,-16.673462474765177
CCGT,PALOS3,GN,ISP15,Critical,1062,-16.506907389593795,3.2850572502986313,164.61426927125808,29.306837791323556,3.6316047615471363
CCGT,PALOS3,GN,MTU15-IDA,Critical,540,10.391044308967798,3.1225214516191775,-103.05791566182347,29.20598754100586,10.156347494221516
CCGT,PALOS3,GN,MTU15-DA,Critical,1794,-4.276465673263342,6.4363187484399065,43.31022264914877,55.731880239757785,-13.805170545801952
CCGT,PBCN1,GN,ISP15,Critical,930,-18.265449023460018,3.7289668113656926,-182.50519913428215,-32.27704758999162,-2.0433007942415133
CCGT,PBCN1,GN,MTU15-IDA,Critical,347,1.0708289081590174e-14,2.931167595367003e-16,1.0658141036401503e-13,4.718447854656915e-16,7.771561172376096e-16
CCGT,PBCN1,GN,MTU15-DA,Critical,1896,10.857030969243175,0.8336195456157579,108.17320592292904,5.6899105510664505,2.0776555671371923
CCGT,PBCN2,GN,ISP15,Critical,833,-19.53031976244813,3.018516182020137,-195.03588735963177,-24.06288186814191,0.9285829957962001
CCGT,PBCN2,GN,MTU15-IDA,Critical,403,11.152121194291034,2.548014117192596,110.77770285785336,-15.744547461739526,-18.6250154997274
CCGT,PBCN2,GN,MTU15-DA,Critical,1986,-8.571585099202514,7.131517843047903,-87.20039970361454,-62.577505509533594,26.279165341088678
CCGT,RIBATE1,HC,ISP15,Critical,1730,-35.0389174172369,5.229143257384383,352.19909780016036,8.959428986396816,5.411364777899101
CCGT,RIBATE1,HC,ISP15,Midday,288,-9.61391645126303,1.1319449651398177,94.01008333401569,-19.329364910278372,-6.172762833480797
CCGT,RIBATE1,HC,MTU15-IDA,Critical,835,-9.299563636357123,1.2416115028401202,92.48454537355579,-4.3897148672390065,-9.493533535232483
CCGT,RIBATE1,HC,MTU15-DA,Critical,3593,7.20990990960716,2.8426298383213813,-69.18651924462188,33.29390239261591,0.012375178232934839
CCGT,RIBATE1,HC,MTU15-DA,Midday,444,-11.682914199763061,3.39562098801239,119.26628201579807,18.142319949794448,8.29222726569115
CCGT,RIBATE2,HC,ISP15,Critical,1656,-14.93915850676396,4.2218599330901645,151.52418407904125,28.607745063201655,6.78636973769806
CCGT,RIBATE2,HC,MTU15-IDA,Critical,736,-6.54262946096311,2.2533758008909905,64.43143198866908,-19.70418377216368,10.946220864449645
CCGT,RIBATE2,HC,MTU15-DA,Critical,3259,7.414714369788635,3.032623563161863,-71.89139422280704,29.40372996261332,-0.5802457794829351
CCGT,RIBATE2,HC,MTU15-DA,Midday,379,-14.201604830365945,3.132943110750336,143.2255782803218,10.99977015110076,13.282886649341023
CCGT,RIBATE3,HC,ISP15,Critical,1715,-12.692867694095002,2.971184076312598,128.36229349167957,6.609517262637344,6.049119290893977
CCGT,RIBATE3,HC,ISP15,Midday,279,-10.92148125131874,1.3628880341431464,107.4510733630348,-19.31021943251243,6.057185963045385
CCGT,RIBATE3,HC,MTU15-IDA,Critical,750,-5.967590041731937,1.2749562719118819,58.66182162713253,-9.161655581108878,-10.216679460744897
CCGT,RIBATE3,HC,MTU15-DA,Critical,3765,8.02336373871573,3.2439139287473693,-77.34294577641914,30.906262436547767,8.906378114681958
CCGT,RIBATE3,HC,MTU15-DA,Flat,271,6.94202010484041,2.184747984236764,-69.26327864441582,6.769070358360262,13.96679438967248
CCGT,RIBATE3,HC,MTU15-DA,Midday,468,-11.419970429992278,2.52973650088952,115.4240559943566,10.19119912768483,10.64331050682239
CCGT,SAGU1,GN,ISP15,Critical,663,-11.586458050453693,2.595621653579409,115.20740730389099,6.186769654213644,-21.897035124884074
CCGT,SAGU1,GN,MTU15-IDA,Critical,274,13.560683828404956,1.3837350519075604,-134.46615564662088,15.97760730870432,0.8883693924476455
CCGT,SAGU1,GN,MTU15-DA,Critical,1980,-1.058915304423237,4.74535982788091,11.424999053776208,37.56224593647849,-15.625416104664705
CCGT,SAGU2,GN,ISP15,Critical,898,-13.990898504054602,2.1738787811538267,139.068718893326,6.930548911328789,17.293273126858573
CCGT,SAGU2,GN,MTU15-IDA,Critical,505,11.291926160994425,3.7785429754023845,-112.05878084151615,36.94804165700928,8.746916058848097
CCGT,SAGU2,GN,MTU15-DA,Critical,1883,0.47567565752393226,5.229608079736233,-4.54783319921193,42.48967130793502,17.367555424594027
CCGT,SAGU3,GN,ISP15,Critical,936,-14.734843729772571,3.336921977937886,-146.49674910922207,-28.567508437314732,17.35414577289177
CCGT,SAGU3,GN,MTU15-IDA,Critical,464,8.688906556802793,0.7472817380055117,86.40430897509863,-2.3963109848344777,-4.629021521438103
CCGT,SAGU3,GN,MTU15-DA,Critical,1810,-1.9047585650446848,7.164822506008998,-18.85857114869898,-66.30192480240177,22.873990727810124
CCGT,SBO3,GN,ISP15,Critical,860,-11.861544237656064,2.5446367399358385,-118.4392847534837,14.143592802414778,16.056368341746126
