mapping,regime,firm,share_up_pct,share_down_pct,share_part_pct,share_combined_pct
liberal,pre-IDA,IB,37.64480146452337,28.1113103310069,30.369966888023196,31.79387577256853
conservative,3-sess,EV,7.144734616495859,6.893396001780243,6.163069810035579,6.720560148413872
conservative,3-sess,Fringe,44.310574297566056,65.40958295710976,55.94054284546287,54.52870014995549
conservative,3-sess,GE,12.383790312997291,17.050067490149644,25.662349920393368,17.564078585756448
conservative,3-sess,GN,29.548410664901283,7.453142831819524,7.9279561025572685,12.041435647743397
conservative,3-sess,HC,5.7026765026567094,2.859394895729381,3.2936063605080887,3.772896185729011
conservative,3-sess,IB,0.909813605382798,0.3344158234114471,1.0124749610428312,0.6753690883635911
conservative,DA15/ID15,EV,18.705373343815495,9.001879865714017,4.825707170237241,9.331544242536454
conservative,DA15/ID15,Fringe,46.89372903347414,58.70256381388334,54.1538956059484,53.02335218824733
conservative,DA15/ID15,GE,19.134156052529278,21.618873413414327,15.519679617182721,18.585533864154822
conservative,DA15/ID15,GN,10.167671804668366,1.9257527868336752,21.608900296117355,7.507319630534837
conservative,DA15/ID15,HC,4.412414950793697,3.2583012696093774,2.929235580235188,3.4791564778697706
conservative,DA15/ID15,IB,0.6866548147190203,5.492628850545266,0.9625817302790943,1.5369230098638929
conservative,DA60/ID15,EV,16.81476966683141,7.53845452727902,4.632698322460812,8.37405394200308
conservative,DA60/ID15,Fringe,53.233341892112826,62.29352118443211,55.87160999823107,57.008454302702425
conservative,DA60/ID15,GE,15.75456264123354,23.40329727728376,18.81045166323374,19.070447086160538
conservative,DA60/ID15,GN,8.873278726190776,2.8932214223548947,17.863620178310825,7.7116105823416214
conservative,DA60/ID15,HC,4.483586256782983,2.8489037003110584,2.633726249864392,3.228181742507275
conservative,DA60/ID15,IB,0.8404608168484565,1.0226018883391486,0.1878935878991552,0.54455950181848
conservative,ISP15 win,EV,12.36302966639227,3.1205286187818793,3.661294371693452,5.20789927971509
conservative,ISP15 win,Fringe,44.28094032077161,44.49947546459139,55.42534043317367,47.799868142568386
conservative,ISP15 win,GE,16.151306736136526,37.865827153632324,16.61058224521824,21.657749340948055
conservative,ISP15 win,GN,17.783582863249737,4.083368652960997,19.327300325988546,11.196175124575124
conservative,ISP15 win,HC,8.271237103269153,4.868531571209195,4.185049287116473,5.523610070268799
conservative,ISP15 win,IB,1.1499033101806961,5.562268538824216,0.7904333368096221,1.716298573860422
conservative,pre-IDA,EV,5.2278637186178285,12.524827078535353,11.579332050004796,9.118565067139834
conservative,pre-IDA,Fringe,44.056529912169324,41.841474728141115,41.07844195645429,42.30682276676616
conservative,pre-IDA,GE,12.153551605970023,26.716873407074264,25.632909203915027,20.265729758411293
conservative,pre-IDA,GN,31.29281306501469,8.064807400882023,11.994307941856155,14.46564935261827
conservative,pre-IDA,HC,5.177635345397581,7.952019447578186,7.486053361031271,6.754926130696126
conservative,pre-IDA,IB,2.091606352830556,2.899997937789065,2.228955486738448,2.38228113853421
