month,tech_group,auction_GWh,bilat_GWh,total_GWh,bilat_share
2019-02-01,Nuclear,2171.0961999999913,8661.456599999994,10832.552799999985,0.7995766796539414
2019-03-01,CCGT,547.2046000000001,0.0,547.2046000000001,0.0
2019-03-01,Hydro,902.7912999999953,793.6293999999984,1696.4206999999938,0.4678258170275813
2019-03-01,Nuclear,2376.8489000000136,9591.381499999992,11968.230400000006,0.8014034806682856
2019-04-01,CCGT,623.9187000000001,0.0,623.9187000000001,0.0
2019-04-01,Hydro,669.2002000000015,708.8135999999976,1378.013799999999,0.5143733683944225
2019-04-01,Nuclear,2491.165599999994,8272.470599999993,10763.636199999986,0.768557246481445
2019-05-01,CCGT,1195.3765000000003,0.419,1195.7955000000004,0.0003503943609087004
2019-05-01,Hydro,579.811399999999,878.2634999999971,1458.074899999996,0.602344570913332
2019-05-01,Nuclear,1195.804299999999,7167.4695,8363.273799999999,0.85701720060869
2019-06-01,CCGT,1994.8828000000012,0.0,1994.8828000000012,0.0
2019-06-01,Hydro,456.9738999999993,783.8727000000029,1240.8466000000021,0.6317240986919749
2019-06-01,Nuclear,2287.1289999999985,8077.208799999998,10364.337799999996,0.7793270497223663
2019-07-01,CCGT,3345.2840999999944,7.508,3352.792099999994,0.0022393276338249584
2019-07-01,Hydro,367.7282999999983,799.1766999999992,1166.9049999999975,0.6848686911102454
2019-07-01,Nuclear,2355.6162999999983,9356.819899999999,11712.436199999996,0.7988790496037026
2019-08-01,CCGT,3181.712899999997,0.6,3182.3128999999967,0.00018854211350492926
2019-08-01,Hydro,223.26429999999866,753.985000000001,977.2492999999997,0.7715380302651547
2019-08-01,Nuclear,2396.0343000000116,9298.0909,11694.125200000011,0.7951078632200714
2019-09-01,CCGT,2309.0852999999966,0.0,2309.0852999999966,0.0
2019-09-01,Hydro,200.79619999999932,751.5310999999978,952.3272999999971,0.7891521118842231
2019-09-01,Nuclear,2226.3333999999895,9130.61,11356.94339999999,0.803967201245364
2019-10-01,CCGT,2555.0339000000013,0.0,2555.0339000000013,0.0
2019-10-01,Hydro,265.2278999999991,448.8690999999972,714.0969999999963,0.6285828115788185
2019-10-01,Nuclear,2093.1092000000112,7829.000099999998,9922.10930000001,0.7890459440917458
2019-11-01,CCGT,1799.5520999999992,0.0,1799.5520999999992,0.0
2019-11-01,Hydro,870.8864000000032,947.1217999999972,1818.0082000000002,0.5209667371137253
2019-11-01,Nuclear,2681.6273000000206,5953.5571,8635.18440000002,0.6894533833000701
2019-12-01,CCGT,674.4617999999996,0.0,674.4617999999996,0.0
2019-12-01,Hydro,1763.2476000000015,2129.4507000000094,3892.698300000011,0.5470371798400105
2019-12-01,Nuclear,4385.73190000002,5926.958800000001,10312.690700000021,0.5747247709077505
2020-01-01,CCGT,1107.270800000001,0.0,1107.270800000001,0.0
2020-01-01,Hydro,1092.5730000000026,2000.134499999996,3092.7074999999986,0.6467260482926358
