firm_group,tech,regime,sum_profit,sum_abs_dq,sum_dq,n,yield_eur_per_mwh,mean_dq_per_day
GN,CCGT,4.DA60/ID15,2572185.095635417,1076472.175,1075263.025,195,2.389458042085869,5514.169358974358
GN,CCGT,5.DA15/ID15,2968019.5205729166,822299.825,822299.825,112,3.6094128082453585,7341.962723214286
GN,Hydro,1.pre-IDA,2321018.8370333333,2407383.9,1818641.7,2334,0.9641249312306747,779.1952442159383
GN,Hydro,2.3-sess,747919.3948333333,236235.0,32618.8,170,3.165997395954593,191.87529411764706
GN,Hydro,3.ISP15-win,303148.998,120875.5,47462.7,108,2.5079441077803195,439.46944444444443
GN,Hydro,4.DA60/ID15,557414.0940833334,183883.85,-80784.9,195,3.031337956450952,-414.28153846153845
GN,Hydro,5.DA15/ID15,710587.1927916667,145351.7,-11525.3,112,4.888743597712766,-102.90446428571428
GN,Nuclear,1.pre-IDA,1770754.4500833333,905351.9,199856.1,327,1.95587422977003,611.1807339449541
GN,Nuclear,2.3-sess,135626.42366666667,57788.299999999996,57028.7,28,2.3469529933683235,2036.7392857142856
GN,Nuclear,3.ISP15-win,28432.321500000005,12603.3,-436.5,11,2.2559426102687397,-39.68181818181818
GN,Nuclear,4.DA60/ID15,14752.961239583386,55917.274999999994,12272.075000000003,139,0.263835482676568,88.288309352518
GN,Nuclear,5.DA15/ID15,-17664.448010416654,18428.975,5792.324999999997,97,-0.9585149478154187,59.714690721649454
GN,PumpHydro,1.pre-IDA,-129651.16330000001,458959.7,-123857.5,913,-0.2824892104905943,-135.65991237677986
GN,PumpHydro,2.3-sess,-4321.472999999985,13693.3,13693.3,55,-0.31559032519553254,248.9690909090909
GN,PumpHydro,3.ISP15-win,-17020.81583333335,18361.7,18361.7,66,-0.9269738549989025,278.2075757575758
GN,PumpHydro,4.DA60/ID15,-24069.52985416665,29679.325,29091.325,128,-0.8109864309301728,227.2759765625
GN,PumpHydro,5.DA15/ID15,402.5263854166612,1557.325,1557.325,14,0.2584729490739962,111.2375
HC,CCGT,1.pre-IDA,2271397.105,1521853.0,1218857.2,1399,1.4925207000938987,871.2345961401
HC,CCGT,2.3-sess,218977.16883333342,177943.8,158831.2,120,1.2305973505867214,1323.5933333333335
HC,CCGT,3.ISP15-win,262202.28216666676,176401.8,174604.8,97,1.4863923280072355,1800.0494845360824
HC,CCGT,4.DA60/ID15,434326.22547916666,222757.45,217459.95,184,1.9497719401939941,1181.8475543478262
HC,CCGT,5.DA15/ID15,497496.0054166666,186102.85,186102.85,91,2.6732315244858778,2045.0862637362638
HC,Hydro,1.pre-IDA,325124.8783,1972434.8,-1065534.8,2354,0.16483428415479182,-452.64859813084115
HC,Hydro,2.3-sess,122763.0006666667,82156.9,57188.7,170,1.4942506431798999,336.4041176470588
HC,Hydro,3.ISP15-win,53262.39816666665,59082.6,41420.200000000004,108,0.901490424704848,383.5203703703704
HC,Hydro,4.DA60/ID15,223584.00077083334,57895.725,13162.525,195,3.8618395532802006,67.5001282051282
HC,Hydro,5.DA15/ID15,108915.61281250003,41794.525,35739.425,112,2.605978003398771,319.1020089285715
HC,Nuclear,1.pre-IDA,405241.5186,276138.0,33712.4,184,1.4675326054364122,183.2195652173913
HC,Nuclear,2.3-sess,36198.90933333333,15663.6,15663.6,20,2.3110210509291176,783.1800000000001
HC,Nuclear,3.ISP15-win,710.3620000000001,1882.8,1882.8,6,0.377290206076057,313.8
HC,Nuclear,4.DA60/ID15,-10765.107333333317,17626.3,8770.099999999999,76,-0.6107411841017863,115.39605263157893
HC,Nuclear,5.DA15/ID15,-6814.480708333321,5463.7,4833.500000000001,65,-1.2472281985345683,74.36153846153847
IB,CCGT,1.pre-IDA,8473862.744516667,9884663.6,9673360.2,2297,0.8572737613970663,4211.301784936873
