unit,year,nameplate_MW,actual_TWh,cap_TWh,cf_%,planned_outage_TWh,forced_outage_TWh,unaccounted_TWh,unaccounted_pct_of_cap
SBO3,2022,416.0,1.82,3.64,50.0,0.09,0.06,1.67,45.8
SBO3,2023,416.0,1.5,3.64,41.2,0.1,0.06,1.98,54.3
SBO3,2024,416.0,0.75,3.65,20.5,0.28,0.0,2.62,71.8
SBO3,2025,416.0,0.97,3.64,26.6,0.26,0.0,2.41,66.1
SBO3,2026,416.0,0.0,1.17,0.0,0.54,0.0,0.63,54.2
SRI4R,2018,447.0,0.58,3.92,14.9,0.0,0.0,3.33,85.1
SRI4R,2019,447.0,0.8,3.92,20.5,0.19,0.0,2.92,74.5
SRI4R,2020,447.0,0.62,3.93,15.8,0.0,0.0,3.31,84.2
SRI4R,2021,447.0,1.5,3.92,38.3,0.58,0.0,1.83,46.8
SRI4R,2022,447.0,2.26,3.92,57.6,0.1,0.0,1.56,39.7
SRI4R,2023,447.0,1.7,3.92,43.3,0.05,0.0,2.17,55.4
SRI4R,2024,447.0,0.88,3.93,22.4,0.08,0.0,2.97,75.5
SRI4R,2025,447.0,0.89,3.92,22.8,0.06,0.0,2.96,75.6
SRI4R,2026,447.0,0.0,1.26,0.0,0.42,0.0,0.84,66.7
SRI5R,2018,458.0,0.01,4.01,0.4,0.07,0.0,3.92,97.8
SRI5R,2019,458.0,1.38,4.01,34.4,0.0,0.0,2.63,65.6
SRI5R,2020,458.0,1.7,4.02,42.3,0.0,0.0,2.32,57.7
SRI5R,2021,458.0,1.09,4.01,27.2,0.09,0.0,2.83,70.5
SRI5R,2022,458.0,1.6,4.01,39.9,0.41,0.0,2.0,49.9
SRI5R,2023,458.0,0.84,4.01,20.8,0.05,0.0,3.12,77.9
SRI5R,2024,458.0,0.48,4.02,12.0,0.14,0.0,3.39,84.4
SRI5R,2025,458.0,0.87,4.01,21.7,0.05,0.0,3.09,77.0
SRI5R,2026,458.0,0.0,1.29,0.0,0.0,0.0,1.29,100.0
SROQ1,2018,409.0,1.31,3.58,36.7,0.0,0.08,2.19,61.2
SROQ1,2019,409.0,1.4,3.58,39.0,0.05,0.05,2.09,58.4
SROQ1,2020,409.0,0.91,3.59,25.4,0.16,0.14,2.38,66.1
SROQ1,2021,409.0,1.24,3.58,34.6,0.21,0.0,2.14,59.6
SROQ1,2022,409.0,0.35,3.58,9.8,0.21,0.0,3.03,84.5
SROQ1,2023,409.0,0.36,3.58,10.0,0.57,0.05,2.61,72.7
SROQ1,2024,409.0,0.06,3.59,1.6,0.41,0.0,3.13,87.0
SROQ1,2025,409.0,0.05,3.58,1.5,0.0,0.0,3.53,98.5
SROQ1,2026,409.0,0.0,1.15,0.0,0.0,0.0,1.15,100.0
SROQ2,2018,411.0,0.26,3.6,7.2,0.13,0.25,2.96,82.2
SROQ2,2019,411.0,0.4,3.6,11.1,0.44,0.29,2.46,68.5
SROQ2,2020,411.0,0.1,3.61,2.6,0.15,0.03,3.33,92.4
SROQ2,2021,411.0,0.2,3.6,5.4,0.29,0.07,3.04,84.5
SROQ2,2022,411.0,0.47,3.6,13.1,0.37,0.63,2.13,59.3
SROQ2,2023,411.0,0.68,3.6,19.0,1.37,0.39,1.15,32.0
