firm,tech,regime,clock_hour,in_band_share
GE,CCGT,MTU15IDA_pre,8,0.040730314491747424
GE,CCGT,MTU15IDA_pre,9,0.024566508666188598
GE,CCGT,MTU15IDA_pre,10,0.0
GE,CCGT,MTU15IDA_pre,11,0.0
GE,CCGT,MTU15IDA_pre,12,0.0
GE,CCGT,MTU15IDA_pre,13,0.0
GE,CCGT,MTU15IDA_pre,14,0.0
GE,CCGT,MTU15IDA_pre,15,0.0
GE,CCGT,MTU15IDA_pre,16,0.004490164313126092
GE,CCGT,MTU15IDA_pre,17,0.007558937328987568
GE,CCGT,MTU15IDA_pre,18,0.01446627259053566
GE,CCGT,MTU15IDA_pre,19,0.1480662797220799
GE,CCGT,MTU15IDA_pre,20,0.3309390597578574
GE,CCGT,MTU15IDA_pre,21,0.2977526608170112
GE,CCGT,MTU15IDA_pre,22,0.32709238650655315
GE,CCGT,MTU15IDA_pre,23,0.2340695375145578
GE,Hydro,3sess,0,0.19899744163115937
GE,Hydro,3sess,1,0.21410001603495837
GE,Hydro,3sess,2,0.2201894592219618
GE,Hydro,3sess,3,0.25323239465660696
GE,Hydro,3sess,4,0.24737174796454173
GE,Hydro,3sess,5,0.245764757810698
GE,Hydro,3sess,6,0.23719455294249
GE,Hydro,3sess,7,0.23991570783233682
GE,Hydro,3sess,8,0.23715052327080913
GE,Hydro,3sess,9,0.2791307259092603
GE,Hydro,3sess,10,0.32152946159227835
GE,Hydro,3sess,11,0.35893893782767106
GE,Hydro,3sess,12,0.3741519566338537
GE,Hydro,3sess,13,0.3743162552571683
GE,Hydro,3sess,14,0.38857115326021074
GE,Hydro,3sess,15,0.39748326118240407
GE,Hydro,3sess,16,0.3905299997124052
GE,Hydro,3sess,17,0.35266028575657943
GE,Hydro,3sess,18,0.31881064444193513
GE,Hydro,3sess,19,0.24975041716279314
GE,Hydro,3sess,20,0.2425486244767538
GE,Hydro,3sess,21,0.23369484625921869
GE,Hydro,3sess,22,0.23446539769188213
GE,Hydro,3sess,23,0.23399270940130656
GE,Hydro,DA15_ID15,0,0.3245840319657518
GE,Hydro,DA15_ID15,1,0.35019944225419225
GE,Hydro,DA15_ID15,2,0.3787745487520811
GE,Hydro,DA15_ID15,3,0.4222820810131895
GE,Hydro,DA15_ID15,4,0.42838699941207353
GE,Hydro,DA15_ID15,5,0.421015999654937
GE,Hydro,DA15_ID15,6,0.35015761426896386
GE,Hydro,DA15_ID15,7,0.303393629320173
GE,Hydro,DA15_ID15,8,0.30051730596954046
GE,Hydro,DA15_ID15,9,0.38912549919012746
GE,Hydro,DA15_ID15,10,0.4713294583535289
GE,Hydro,DA15_ID15,11,0.564333188479373
GE,Hydro,DA15_ID15,12,0.5559828084413441
GE,Hydro,DA15_ID15,13,0.6153286469354405
GE,Hydro,DA15_ID15,14,0.6074502144031094
GE,Hydro,DA15_ID15,15,0.547547006635072
GE,Hydro,DA15_ID15,16,0.46566127031176124
GE,Hydro,DA15_ID15,17,0.28800021315442553
GE,Hydro,DA15_ID15,18,0.24842133876849123
GE,Hydro,DA15_ID15,19,0.21055559556591297
GE,Hydro,DA15_ID15,20,0.2075175969246861
GE,Hydro,DA15_ID15,21,0.2299640754975905
GE,Hydro,DA15_ID15,22,0.24247251791660646
GE,Hydro,DA15_ID15,23,0.27253164371264904
GE,Hydro,ISP15win,0,0.18027017182805585
GE,Hydro,ISP15win,1,0.1947446560760459
GE,Hydro,ISP15win,2,0.19486860998481156
GE,Hydro,ISP15win,3,0.2102315652096179
GE,Hydro,ISP15win,4,0.2297505141638804
GE,Hydro,ISP15win,5,0.22612414363197295
GE,Hydro,ISP15win,6,0.20336718300674678
GE,Hydro,ISP15win,7,0.19359293922070545
GE,Hydro,ISP15win,8,0.1840246730995704
GE,Hydro,ISP15win,9,0.19831739027228185
GE,Hydro,ISP15win,10,0.23038223690440646
GE,Hydro,ISP15win,11,0.2484072543556184
GE,Hydro,ISP15win,12,0.26136190847218677
GE,Hydro,ISP15win,13,0.2803290109018786
GE,Hydro,ISP15win,14,0.28246207816040325
GE,Hydro,ISP15win,15,0.2766143305588575
GE,Hydro,ISP15win,16,0.2714972885756607
GE,Hydro,ISP15win,17,0.23141792676726344
GE,Hydro,ISP15win,18,0.17807391777838646
GE,Hydro,ISP15win,19,0.1593640231815674
GE,Hydro,ISP15win,20,0.17335413124693577
GE,Hydro,ISP15win,21,0.18353421838101
GE,Hydro,ISP15win,22,0.1915587937537067
GE,Hydro,ISP15win,23,0.2040823076924841
GE,Hydro,MTU15IDA_post,0,0.36532752088963294
GE,Hydro,MTU15IDA_post,1,0.3892148750925656
GE,Hydro,MTU15IDA_post,2,0.38443060149199043
GE,Hydro,MTU15IDA_post,3,0.4078513319403951
GE,Hydro,MTU15IDA_post,4,0.4219338122757554
GE,Hydro,MTU15IDA_post,5,0.4237624980929353
GE,Hydro,MTU15IDA_post,6,0.39125876162486084
GE,Hydro,MTU15IDA_post,7,0.34276424209077744
GE,Hydro,MTU15IDA_post,8,0.3740274343095393
GE,Hydro,MTU15IDA_post,9,0.5272271450923006
GE,Hydro,MTU15IDA_post,10,0.6699424669182454
GE,Hydro,MTU15IDA_post,11,0.7304135791767064
GE,Hydro,MTU15IDA_post,12,0.744686211990013
GE,Hydro,MTU15IDA_post,13,0.7594551623156914
GE,Hydro,MTU15IDA_post,14,0.7871231998340228
GE,Hydro,MTU15IDA_post,15,0.77469345898095
GE,Hydro,MTU15IDA_post,16,0.7545095999552779
GE,Hydro,MTU15IDA_post,17,0.678837916711537
GE,Hydro,MTU15IDA_post,18,0.5933824337865162
GE,Hydro,MTU15IDA_post,19,0.45414812747205907
GE,Hydro,MTU15IDA_post,20,0.33222455622083885
GE,Hydro,MTU15IDA_post,21,0.2370823093674206
GE,Hydro,MTU15IDA_post,22,0.24387909939425764
GE,Hydro,MTU15IDA_post,23,0.3082548465849865
GE,Hydro,MTU15IDA_pre,0,0.7331341471584453
GE,Hydro,MTU15IDA_pre,1,0.8028749265971363
GE,Hydro,MTU15IDA_pre,2,0.8205159163147003
GE,Hydro,MTU15IDA_pre,3,0.8230074288868856
GE,Hydro,MTU15IDA_pre,4,0.8064350212001111
GE,Hydro,MTU15IDA_pre,5,0.7835266095739696
GE,Hydro,MTU15IDA_pre,6,0.7626385842793888
GE,Hydro,MTU15IDA_pre,7,0.7266907603853708
GE,Hydro,MTU15IDA_pre,8,0.7650046286819387
GE,Hydro,MTU15IDA_pre,9,0.8756923708731993
GE,Hydro,MTU15IDA_pre,10,0.9130159541811895
GE,Hydro,MTU15IDA_pre,11,0.9310905773954964
GE,Hydro,MTU15IDA_pre,12,0.9318885448916409
GE,Hydro,MTU15IDA_pre,13,0.9314641744548287
GE,Hydro,MTU15IDA_pre,14,0.9316770186335404
GE,Hydro,MTU15IDA_pre,15,0.9316770186335404
GE,Hydro,MTU15IDA_pre,16,0.9317360146628438
GE,Hydro,MTU15IDA_pre,17,0.9316879283704272
GE,Hydro,MTU15IDA_pre,18,0.8589784758571334
GE,Hydro,MTU15IDA_pre,19,0.7342325966418566
GE,Hydro,MTU15IDA_pre,20,0.5645908212106111
GE,Hydro,MTU15IDA_pre,21,0.43059756623395967
GE,Hydro,MTU15IDA_pre,22,0.6368028613669884
GE,Hydro,MTU15IDA_pre,23,0.6935885216714446
GE,Hydro_pump,3sess,0,0.6338951310861423
GE,Hydro_pump,3sess,1,0.6549019607843137
GE,Hydro_pump,3sess,2,0.6646216768916156
GE,Hydro_pump,3sess,3,0.667728237791932
GE,Hydro_pump,3sess,4,0.6591880341880342
GE,Hydro_pump,3sess,5,0.6646216768916156
GE,Hydro_pump,3sess,6,0.6487372276845962
GE,Hydro_pump,3sess,7,0.6350845054801809
GE,Hydro_pump,3sess,8,0.6329118747995036
GE,Hydro_pump,3sess,9,0.6672065018558452
GE,Hydro_pump,3sess,10,0.6148281051047575
GE,Hydro_pump,3sess,11,0.7661290322580645
GE,Hydro_pump,3sess,12,0.7678571428571429
GE,Hydro_pump,3sess,13,0.7777777777777778
GE,Hydro_pump,3sess,14,0.7777777777777778
GE,Hydro_pump,3sess,15,0.6774193548387096
GE,Hydro_pump,3sess,16,0.6390977443609023
GE,Hydro_pump,3sess,17,0.6860484544695071
GE,Hydro_pump,3sess,18,0.6473545118456381
GE,Hydro_pump,3sess,19,0.6905485370117133
GE,Hydro_pump,3sess,20,0.719062836203055
GE,Hydro_pump,3sess,21,0.6916893622745242
GE,Hydro_pump,3sess,22,0.7116091477437058
GE,Hydro_pump,3sess,23,0.7528509904990963
GE,Hydro_pump,DA15_ID15,0,0.860520279428631
GE,Hydro_pump,DA15_ID15,1,0.8830500163452109
GE,Hydro_pump,DA15_ID15,2,0.8686968499221464
GE,Hydro_pump,DA15_ID15,3,0.8557172684844019
GE,Hydro_pump,DA15_ID15,4,0.8435887988209285
GE,Hydro_pump,DA15_ID15,5,0.8596165458937198
GE,Hydro_pump,DA15_ID15,6,0.8881314400603166
GE,Hydro_pump,DA15_ID15,7,0.8404296544706584
GE,Hydro_pump,DA15_ID15,8,0.7848985004258773
GE,Hydro_pump,DA15_ID15,9,0.8227723638324231
GE,Hydro_pump,DA15_ID15,10,0.7374821810406271
GE,Hydro_pump,DA15_ID15,11,0.6033715209156786
GE,Hydro_pump,DA15_ID15,12,0.6032821824381926
GE,Hydro_pump,DA15_ID15,13,0.5367593102183086
GE,Hydro_pump,DA15_ID15,14,0.5300858184689706
GE,Hydro_pump,DA15_ID15,15,0.6313733193644142
GE,Hydro_pump,DA15_ID15,16,0.7758091241485059
GE,Hydro_pump,DA15_ID15,17,0.9206319170953525
GE,Hydro_pump,DA15_ID15,18,0.9101166882686279
GE,Hydro_pump,DA15_ID15,19,0.8825207558293459
GE,Hydro_pump,DA15_ID15,20,0.8274449569081297
GE,Hydro_pump,DA15_ID15,21,0.8764489614442482
GE,Hydro_pump,DA15_ID15,22,0.9409862650788188
GE,Hydro_pump,DA15_ID15,23,0.9302795543494351
GE,Hydro_pump,ISP15win,0,0.6927083333333334
GE,Hydro_pump,ISP15win,1,0.7272727272727273
GE,Hydro_pump,ISP15win,2,0.7194444444444444
GE,Hydro_pump,ISP15win,3,0.7054597701149425
GE,Hydro_pump,ISP15win,4,0.6853448275862069
GE,Hydro_pump,ISP15win,5,0.7227011494252873
GE,Hydro_pump,ISP15win,6,0.7518248175182481
GE,Hydro_pump,ISP15win,7,0.7025862068965517
GE,Hydro_pump,ISP15win,8,0.6550906555090655
GE,Hydro_pump,ISP15win,9,0.6891273247496423
GE,Hydro_pump,ISP15win,10,0.5831223628691983
GE,Hydro_pump,ISP15win,11,0.6409214092140921
GE,Hydro_pump,ISP15win,12,0.594017094017094
GE,Hydro_pump,ISP15win,13,0.5797720797720798
GE,Hydro_pump,ISP15win,14,0.5954415954415955
GE,Hydro_pump,ISP15win,15,0.6029810298102981
GE,Hydro_pump,ISP15win,16,0.5828343313373253
GE,Hydro_pump,ISP15win,17,0.6275910364145658
GE,Hydro_pump,ISP15win,18,0.6530255593559791
GE,Hydro_pump,ISP15win,19,0.58457014777073
GE,Hydro_pump,ISP15win,20,0.6102915436431464
GE,Hydro_pump,ISP15win,21,0.7345717234262127
GE,Hydro_pump,ISP15win,22,0.7827995255041519
GE,Hydro_pump,ISP15win,23,0.7627873563218391
GE,Hydro_pump,MTU15IDA_post,0,0.7588291615810286
GE,Hydro_pump,MTU15IDA_post,1,0.8155506895085829
GE,Hydro_pump,MTU15IDA_post,2,0.8407777586854281
GE,Hydro_pump,MTU15IDA_post,3,0.8519956038298168
GE,Hydro_pump,MTU15IDA_post,4,0.836608489549666
GE,Hydro_pump,MTU15IDA_post,5,0.8282616076733724
GE,Hydro_pump,MTU15IDA_post,6,0.8147993684882513
GE,Hydro_pump,MTU15IDA_post,7,0.7461728611311057
GE,Hydro_pump,MTU15IDA_post,8,0.8393589743589743
GE,Hydro_pump,MTU15IDA_post,9,0.852852852852853
GE,Hydro_pump,MTU15IDA_post,10,0.5588235294117647
GE,Hydro_pump,MTU15IDA_post,11,0.43678160919540227
GE,Hydro_pump,MTU15IDA_post,12,0.39285714285714285
GE,Hydro_pump,MTU15IDA_post,13,0.36
GE,Hydro_pump,MTU15IDA_post,14,0.29333333333333333
GE,Hydro_pump,MTU15IDA_post,15,0.25
GE,Hydro_pump,MTU15IDA_post,16,0.3066666666666667
GE,Hydro_pump,MTU15IDA_post,17,0.4533333333333333
GE,Hydro_pump,MTU15IDA_post,18,0.5714285714285714
GE,Hydro_pump,MTU15IDA_post,19,0.8995095469425319
GE,Hydro_pump,MTU15IDA_post,20,0.7488699896730654
GE,Hydro_pump,MTU15IDA_post,21,0.5557464587332104
GE,Hydro_pump,MTU15IDA_post,22,0.6395202055590721
GE,Hydro_pump,MTU15IDA_post,23,0.7544954106763759
GE,Hydro_pump,MTU15IDA_pre,0,0.9061032863849765
GE,Hydro_pump,MTU15IDA_pre,1,0.9710144927536232
GE,Hydro_pump,MTU15IDA_pre,2,0.9696969696969697
GE,Hydro_pump,MTU15IDA_pre,3,0.9692307692307692
GE,Hydro_pump,MTU15IDA_pre,4,0.9641025641025641
GE,Hydro_pump,MTU15IDA_pre,5,0.9692307692307692
GE,Hydro_pump,MTU15IDA_pre,6,0.8409090909090909
GE,Hydro_pump,MTU15IDA_pre,7,0.6445578231292517
GE,Hydro_pump,MTU15IDA_pre,8,0.7168674698795181
GE,Hydro_pump,MTU15IDA_pre,9,0.9636363636363636
GE,Hydro_pump,MTU15IDA_pre,10,0.975
GE,Hydro_pump,MTU15IDA_pre,11,0.9027777777777778
GE,Hydro_pump,MTU15IDA_pre,12,0.9027777777777778
GE,Hydro_pump,MTU15IDA_pre,13,0.9027777777777778
GE,Hydro_pump,MTU15IDA_pre,14,0.893939393939394
GE,Hydro_pump,MTU15IDA_pre,15,0.893939393939394
GE,Hydro_pump,MTU15IDA_pre,16,0.893939393939394
GE,Hydro_pump,MTU15IDA_pre,17,0.9444444444444444
GE,Hydro_pump,MTU15IDA_pre,18,0.9833333333333333
GE,Hydro_pump,MTU15IDA_pre,19,0.7960784313725491
GE,Hydro_pump,MTU15IDA_pre,20,0.6997701149425287
GE,Hydro_pump,MTU15IDA_pre,21,0.5657534246575342
GE,Hydro_pump,MTU15IDA_pre,22,0.7549425287356322
GE,Hydro_pump,MTU15IDA_pre,23,0.8176190476190476
GN,CCGT,3sess,0,0.04320632155774375
GN,CCGT,3sess,1,0.03454024971775755
GN,CCGT,3sess,2,0.033051652728318684
GN,CCGT,3sess,3,0.03313949102042366
GN,CCGT,3sess,4,0.03295092340738665
GN,CCGT,3sess,5,0.03184757113978006
GN,CCGT,3sess,6,0.0320833244338751
GN,CCGT,3sess,7,0.03195460896149032
GN,CCGT,3sess,8,0.02555747375862709
GN,CCGT,3sess,9,0.009379055718961905
GN,CCGT,3sess,10,0.0031161727781599197
GN,CCGT,3sess,11,0.0024143987688611895
GN,CCGT,3sess,12,0.002844797352557588
GN,CCGT,3sess,13,0.004983751588349736
GN,CCGT,3sess,14,0.009686093057717959
GN,CCGT,3sess,15,0.017787779165130916
GN,CCGT,3sess,16,0.030124132469689115
GN,CCGT,3sess,17,0.06189244471784541
GN,CCGT,3sess,18,0.10756091400915231
GN,CCGT,3sess,19,0.21497976690132214
GN,CCGT,3sess,20,0.3646244063317817
GN,CCGT,3sess,21,0.4179771483799599
GN,CCGT,3sess,22,0.42148688945147106
GN,CCGT,3sess,23,0.17538790536738344
GN,CCGT,DA15_ID15,0,0.07869274148459864
GN,CCGT,DA15_ID15,1,0.07879082078025147
GN,CCGT,DA15_ID15,2,0.07890315457534831
GN,CCGT,DA15_ID15,3,0.07926622928060079
GN,CCGT,DA15_ID15,4,0.07933230952635277
GN,CCGT,DA15_ID15,5,0.07965714791511694
GN,CCGT,DA15_ID15,6,0.08275343605562055
GN,CCGT,DA15_ID15,7,0.08838172956616311
GN,CCGT,DA15_ID15,8,0.07059727396736716
GN,CCGT,DA15_ID15,9,0.05578838525597284
GN,CCGT,DA15_ID15,10,0.020689767585856354
GN,CCGT,DA15_ID15,11,0.014930695551899366
GN,CCGT,DA15_ID15,12,0.01442825365914704
GN,CCGT,DA15_ID15,13,0.01577035747704498
GN,CCGT,DA15_ID15,14,0.021062061065695373
GN,CCGT,DA15_ID15,15,0.03144796196919508
GN,CCGT,DA15_ID15,16,0.05829365200179268
GN,CCGT,DA15_ID15,17,0.2088176984519603
GN,CCGT,DA15_ID15,18,0.3834009426300989
GN,CCGT,DA15_ID15,19,0.47400416668546674
GN,CCGT,DA15_ID15,20,0.48260992787033546
GN,CCGT,DA15_ID15,21,0.46729939718885755
GN,CCGT,DA15_ID15,22,0.38424212529614443
GN,CCGT,DA15_ID15,23,0.20384909821660294
GN,CCGT,ISP15win,0,0.023148756416299616
GN,CCGT,ISP15win,1,0.018946972600141294
GN,CCGT,ISP15win,2,0.01638546656837897
GN,CCGT,ISP15win,3,0.016391390930082184
GN,CCGT,ISP15win,4,0.016398501439627563
GN,CCGT,ISP15win,5,0.016408006061115473
GN,CCGT,ISP15win,6,0.0214878499359539
GN,CCGT,ISP15win,7,0.03633670826925356
GN,CCGT,ISP15win,8,0.026994756600561897
GN,CCGT,ISP15win,9,0.03681334206977669
GN,CCGT,ISP15win,10,0.031974237224225044
GN,CCGT,ISP15win,11,0.030993788845860935
GN,CCGT,ISP15win,12,0.03150077979119421
GN,CCGT,ISP15win,13,0.033654035168871645
GN,CCGT,ISP15win,14,0.03657753348087721
GN,CCGT,ISP15win,15,0.04196891172260732
GN,CCGT,ISP15win,16,0.06151234177365814
GN,CCGT,ISP15win,17,0.14272179900460694
GN,CCGT,ISP15win,18,0.22418594542840792
GN,CCGT,ISP15win,19,0.31365918731099507
GN,CCGT,ISP15win,20,0.4120704550897157
GN,CCGT,ISP15win,21,0.48080029422152
GN,CCGT,ISP15win,22,0.3553099100660599
GN,CCGT,ISP15win,23,0.106884666209329
GN,CCGT,MTU15IDA_post,0,0.06703272133976358
GN,CCGT,MTU15IDA_post,1,0.06600553177207003
GN,CCGT,MTU15IDA_post,2,0.0656464963285947
GN,CCGT,MTU15IDA_post,3,0.06469305028741154
GN,CCGT,MTU15IDA_post,4,0.06417129815990531
GN,CCGT,MTU15IDA_post,5,0.06429398651200773
GN,CCGT,MTU15IDA_post,6,0.0632703755869437
GN,CCGT,MTU15IDA_post,7,0.057784178853833024
GN,CCGT,MTU15IDA_post,8,0.03419715377791757
GN,CCGT,MTU15IDA_post,9,0.004455775779697502
GN,CCGT,MTU15IDA_post,10,0.0005187576844369314
GN,CCGT,MTU15IDA_post,11,5.567854327113669e-05
GN,CCGT,MTU15IDA_post,12,0.0
GN,CCGT,MTU15IDA_post,13,0.0
GN,CCGT,MTU15IDA_post,14,0.00011832376439744287
GN,CCGT,MTU15IDA_post,15,0.002015202532387643
GN,CCGT,MTU15IDA_post,16,0.00823172115573565
GN,CCGT,MTU15IDA_post,17,0.020177269280500707
GN,CCGT,MTU15IDA_post,18,0.026491012677205654
GN,CCGT,MTU15IDA_post,19,0.06431808177860188
GN,CCGT,MTU15IDA_post,20,0.20579745198693913
GN,CCGT,MTU15IDA_post,21,0.3536172049637438
GN,CCGT,MTU15IDA_post,22,0.4058569882734716
GN,CCGT,MTU15IDA_post,23,0.3264583352396006
GN,CCGT,MTU15IDA_pre,0,0.0007278337575398345
GN,CCGT,MTU15IDA_pre,1,0.0007278337575398345
GN,CCGT,MTU15IDA_pre,2,0.0007278337575398345
GN,CCGT,MTU15IDA_pre,3,0.0007278337575398345
GN,CCGT,MTU15IDA_pre,4,0.0007278337575398345
GN,CCGT,MTU15IDA_pre,5,0.001220602269668342
GN,CCGT,MTU15IDA_pre,6,0.008543507551309535
GN,CCGT,MTU15IDA_pre,7,0.012130249088905719
GN,CCGT,MTU15IDA_pre,8,0.011927029377852868
GN,CCGT,MTU15IDA_pre,9,0.0025807956215324
GN,CCGT,MTU15IDA_pre,10,0.0
GN,CCGT,MTU15IDA_pre,11,0.0
GN,CCGT,MTU15IDA_pre,12,0.0
GN,CCGT,MTU15IDA_pre,13,0.0
GN,CCGT,MTU15IDA_pre,14,0.0033495163900493017
GN,CCGT,MTU15IDA_pre,15,0.010455590534722245
GN,CCGT,MTU15IDA_pre,16,0.013974196326608374
GN,CCGT,MTU15IDA_pre,17,0.024758539470929163
GN,CCGT,MTU15IDA_pre,18,0.06962665790985363
GN,CCGT,MTU15IDA_pre,19,0.19934113715031163
GN,CCGT,MTU15IDA_pre,20,0.3940738945510674
GN,CCGT,MTU15IDA_pre,21,0.47577930521075823
GN,CCGT,MTU15IDA_pre,22,0.47465575003734145
GN,CCGT,MTU15IDA_pre,23,0.06044227328846111
GN,Hydro,3sess,0,0.4917252818844633
GN,Hydro,3sess,1,0.42886266427305453
GN,Hydro,3sess,2,0.3753309325070705
GN,Hydro,3sess,3,0.36602820458426016
GN,Hydro,3sess,4,0.33984757131846055
GN,Hydro,3sess,5,0.36156763901627914
GN,Hydro,3sess,6,0.4498264592241096
GN,Hydro,3sess,7,0.5896409246610093
GN,Hydro,3sess,8,0.5443313523527153
GN,Hydro,3sess,9,0.3935434942586425
GN,Hydro,3sess,10,0.22583360854405113
GN,Hydro,3sess,11,0.1367379997397005
GN,Hydro,3sess,12,0.11092063025341924
GN,Hydro,3sess,13,0.10546444634314743
GN,Hydro,3sess,14,0.10201044942655033
GN,Hydro,3sess,15,0.11297881508906389
GN,Hydro,3sess,16,0.15707480137378776
GN,Hydro,3sess,17,0.22383124629759546
GN,Hydro,3sess,18,0.3366352983375092
GN,Hydro,3sess,19,0.5249531587684289
GN,Hydro,3sess,20,0.6568769117521789
GN,Hydro,3sess,21,0.7315555556743679
GN,Hydro,3sess,22,0.7007153834302794
GN,Hydro,3sess,23,0.5563276567693726
GN,Hydro,DA15_ID15,0,0.3035875854873373
GN,Hydro,DA15_ID15,1,0.24766186285862798
GN,Hydro,DA15_ID15,2,0.20681495413871448
GN,Hydro,DA15_ID15,3,0.18751214292844773
GN,Hydro,DA15_ID15,4,0.18107231354416145
GN,Hydro,DA15_ID15,5,0.20740181074423505
GN,Hydro,DA15_ID15,6,0.2653374603448224
GN,Hydro,DA15_ID15,7,0.39570515175640913
GN,Hydro,DA15_ID15,8,0.4454294725790155
GN,Hydro,DA15_ID15,9,0.2979874290684167
