regime,hour,tech,share_pct_q_at,n_obs
ISP15-win (Dec24-Mar25),17,_unmapped_,1.5154618062666394,6
ISP15-win (Dec24-Mar25),18,Direct_consumer,0.0467672161814568,1
ISP15-win (Dec24-Mar25),18,Pump_load,36.24459254062902,4
ISP15-win (Dec24-Mar25),18,Retailer,60.65123348532679,45
ISP15-win (Dec24-Mar25),18,_unmapped_,3.057406757862738,6
ISP15-win (Dec24-Mar25),19,Pump_load,42.46855176862703,2
ISP15-win (Dec24-Mar25),19,Retailer,56.32727663692075,29
ISP15-win (Dec24-Mar25),19,_unmapped_,1.2041715944522093,2
ISP15-win (Dec24-Mar25),20,Direct_consumer,11.643733173795992,20
ISP15-win (Dec24-Mar25),20,Other,0.4486987735566857,2
ISP15-win (Dec24-Mar25),20,Pump_load,35.44720311097817,3
ISP15-win (Dec24-Mar25),20,Retailer,49.18486389470536,76
ISP15-win (Dec24-Mar25),20,_unmapped_,3.275501046963806,6
ISP15-win (Dec24-Mar25),21,Pump_load,21.66745171926519,1
ISP15-win (Dec24-Mar25),21,Retailer,74.59569791176007,17
ISP15-win (Dec24-Mar25),21,_unmapped_,3.7368503689747214,4
ISP15-win (Dec24-Mar25),22,Retailer,98.99517058731891,28
ISP15-win (Dec24-Mar25),22,_unmapped_,1.004829412681103,3
ISP15-win (Dec24-Mar25),23,Pump_load,65.2445109780439,4
ISP15-win (Dec24-Mar25),23,Retailer,31.823852295409182,19
ISP15-win (Dec24-Mar25),23,_unmapped_,2.931636726546906,2
DA60/ID15 pre-blk (Mar19-Apr27),0,Pump_load,48.79416713404374,3
DA60/ID15 pre-blk (Mar19-Apr27),0,Retailer,51.20583286595626,9
DA60/ID15 pre-blk (Mar19-Apr27),1,Pump_load,21.157531621310845,2
DA60/ID15 pre-blk (Mar19-Apr27),1,Retailer,78.84246837868916,6
DA60/ID15 pre-blk (Mar19-Apr27),2,Pump_load,87.9050368944498,4
DA60/ID15 pre-blk (Mar19-Apr27),2,Retailer,12.09496310555021,6
DA60/ID15 pre-blk (Mar19-Apr27),3,Pump_load,93.7759336099585,6
DA60/ID15 pre-blk (Mar19-Apr27),3,Retailer,6.224066390041494,2
DA60/ID15 pre-blk (Mar19-Apr27),4,Pump_load,86.0108046630651,4
DA60/ID15 pre-blk (Mar19-Apr27),4,Retailer,13.562695479101505,25
DA60/ID15 pre-blk (Mar19-Apr27),4,_unmapped_,0.4264998578333807,3
DA60/ID15 pre-blk (Mar19-Apr27),5,Pump_load,57.31441048034935,2
DA60/ID15 pre-blk (Mar19-Apr27),5,Retailer,41.812227074235814,22
DA60/ID15 pre-blk (Mar19-Apr27),5,_unmapped_,0.8733624454148473,3
DA60/ID15 pre-blk (Mar19-Apr27),6,Pump_load,41.28212761734643,4
DA60/ID15 pre-blk (Mar19-Apr27),6,Retailer,58.71787238265357,12
DA60/ID15 pre-blk (Mar19-Apr27),7,Pump_load,82.43727598566308,1
DA60/ID15 pre-blk (Mar19-Apr27),7,Retailer,17.562724014336915,2
DA60/ID15 pre-blk (Mar19-Apr27),8,Pump_load,95.23809523809524,5
DA60/ID15 pre-blk (Mar19-Apr27),8,Retailer,4.761904761904762,4
DA60/ID15 pre-blk (Mar19-Apr27),9,Pump_load,42.206137220919565,3
DA60/ID15 pre-blk (Mar19-Apr27),9,Retailer,57.79386277908044,6
DA60/ID15 pre-blk (Mar19-Apr27),10,Pump_load,67.70966914593485,3
DA60/ID15 pre-blk (Mar19-Apr27),10,Retailer,32.29033085406514,13
DA60/ID15 pre-blk (Mar19-Apr27),11,Pump_load,83.6508486317977,3
DA60/ID15 pre-blk (Mar19-Apr27),11,Retailer,16.349151368202282,5
DA60/ID15 pre-blk (Mar19-Apr27),12,Pump_load,51.503006012024045,3
DA60/ID15 pre-blk (Mar19-Apr27),12,Retailer,48.49699398797595,4
DA60/ID15 pre-blk (Mar19-Apr27),13,Pump_load,99.28057553956835,1
DA60/ID15 pre-blk (Mar19-Apr27),13,Retailer,0.7194244604316548,1
DA60/ID15 pre-blk (Mar19-Apr27),14,Pump_load,70.18927444794953,1
DA60/ID15 pre-blk (Mar19-Apr27),14,Retailer,29.81072555205047,3
DA60/ID15 pre-blk (Mar19-Apr27),16,Pump_load,100.0,10
DA60/ID15 pre-blk (Mar19-Apr27),17,Pump_load,100.0,2
DA60/ID15 pre-blk (Mar19-Apr27),18,Pump_load,92.90780141843972,2
DA60/ID15 pre-blk (Mar19-Apr27),18,Retailer,7.092198581560284,1
DA60/ID15 pre-blk (Mar19-Apr27),19,Pump_load,42.09067889732932,6
DA60/ID15 pre-blk (Mar19-Apr27),19,Retailer,57.909321102670674,9
DA60/ID15 pre-blk (Mar19-Apr27),20,Retailer,99.33333333333333,27
DA60/ID15 pre-blk (Mar19-Apr27),20,_unmapped_,0.6666666666666666,3
DA60/ID15 pre-blk (Mar19-Apr27),21,Pump_load,23.583360628889615,1
DA60/ID15 pre-blk (Mar19-Apr27),21,Retailer,75.13920733704553,49
DA60/ID15 pre-blk (Mar19-Apr27),21,_unmapped_,1.2774320340648542,6
DA60/ID15 pre-blk (Mar19-Apr27),22,Pump_load,25.09090909090909,1
DA60/ID15 pre-blk (Mar19-Apr27),22,Retailer,74.56363636363635,36
DA60/ID15 pre-blk (Mar19-Apr27),22,_unmapped_,0.34545454545454546,3
DA60/ID15 pre-blk (Mar19-Apr27),23,Pump_load,26.14742698191933,3
DA60/ID15 pre-blk (Mar19-Apr27),23,Retailer,73.85257301808066,10
DA60/ID15 post-blk (Apr28-Sep),0,Pump_load,15.190554935968926,3
DA60/ID15 post-blk (Apr28-Sep),0,Retailer,83.69034342191286,111
DA60/ID15 post-blk (Apr28-Sep),0,_unmapped_,1.119101642118217,11
DA60/ID15 post-blk (Apr28-Sep),1,Pump_load,45.149941363712514,5
DA60/ID15 post-blk (Apr28-Sep),1,Retailer,52.797788574300554,92
DA60/ID15 post-blk (Apr28-Sep),1,_unmapped_,2.0522700619869325,9
DA60/ID15 post-blk (Apr28-Sep),2,Pump_load,41.38387684158252,6
DA60/ID15 post-blk (Apr28-Sep),2,Retailer,56.47657672570766,159
DA60/ID15 post-blk (Apr28-Sep),2,_unmapped_,2.1395464327098166,18
DA60/ID15 post-blk (Apr28-Sep),3,Pump_load,52.16876252961546,9
DA60/ID15 post-blk (Apr28-Sep),3,Retailer,45.22507745580462,123
DA60/ID15 post-blk (Apr28-Sep),3,_unmapped_,2.6061600145799155,21
DA60/ID15 post-blk (Apr28-Sep),4,Pump_load,42.92516523345889,11
