regime,hour_class,tech,share_pct_q_at,share_pct_q_marg,share_pct_cells,n_obs
DA60/ID15 post-blk (Apr28-Sep),Flat,Hydro_RES,0.7833359564181365,0.38800607986734836,5.172413793103448,15
DA60/ID15 post-blk (Apr28-Sep),Flat,Hydro_pump,19.295411810508355,18.960895398645842,22.06896551724138,64
DA60/ID15 post-blk (Apr28-Sep),Flat,Import,0.05522283795686545,0.07461655382064392,0.3448275862068966,1
DA60/ID15 post-blk (Apr28-Sep),Flat,Nuclear,5.530567221380075,7.610335774492194,0.6896551724137931,2
DA60/ID15 post-blk (Apr28-Sep),Flat,Solar PV,0.02264136356231483,0.01823960204504629,0.6896551724137931,2
DA60/ID15 post-blk (Apr28-Sep),Flat,Solar Thermal,0.12425138540294725,0.08124913638247892,0.3448275862068966,1
DA60/ID15 post-blk (Apr28-Sep),Flat,Wind,17.301315131885943,16.397954953710105,22.06896551724138,64
DA60/ID15 post-blk (Apr28-Sep),Flat,_unmapped_,1.8491367289856393,1.938372253696283,13.10344827586207,38
DA60/ID15 post-blk (Apr28-Sep),Midday,Biomass,0.8019718785909593,0.8459652776536831,2.2149725274725274,258
DA60/ID15 post-blk (Apr28-Sep),Midday,Cogen,2.752065891062138,2.8486652186838524,7.924107142857142,923
DA60/ID15 post-blk (Apr28-Sep),Midday,Hybrid_RES,1.7463904765543967,1.7804665277166325,1.0473901098901097,122
DA60/ID15 post-blk (Apr28-Sep),Midday,Hydro,1.5245659531068236,2.4176818520750722,0.935782967032967,109
DA60/ID15 post-blk (Apr28-Sep),Midday,Hydro_RES,1.0782381515332127,1.1745230835211002,6.850961538461539,798
DA60/ID15 post-blk (Apr28-Sep),Midday,Nuclear,0.8209595220471358,1.5978712378303652,0.017170329670329672,2
DA60/ID15 post-blk (Apr28-Sep),Midday,Solar PV,64.7184372775501,63.94011069433322,53.33962912087912,6213
DA60/ID15 post-blk (Apr28-Sep),Midday,Solar Thermal,0.4578700827617015,0.36510935410977485,0.3004807692307693,35
DA60/ID15 post-blk (Apr28-Sep),Midday,Wind,22.04091167476136,20.665351893938784,19.805975274725274,2307
DA60/ID15 post-blk (Apr28-Sep),Midday,_unmapped_,4.058589092032163,4.364254860137532,7.563530219780219,881
DA60/ID15 post-blk (Apr28-Sep),Dropped,Biomass,0.8090106516341001,0.7878979252917924,2.6678265912715675,184
DA60/ID15 post-blk (Apr28-Sep),Dropped,CCGT,4.479710541210658,4.634177718522677,0.6379585326953748,44
DA60/ID15 post-blk (Apr28-Sep),Dropped,Cogen,2.8411352937146286,2.889270928355905,8.699434536755112,600
DA60/ID15 post-blk (Apr28-Sep),Dropped,Hybrid_RES,1.5532115692164874,1.6274881294879888,1.1309264897781643,78
DA60/ID15 post-blk (Apr28-Sep),Dropped,Hydro,7.392877225057049,6.62666947348724,2.189357691750036,151
DA60/ID15 post-blk (Apr28-Sep),Dropped,Hydro_RES,1.3802621646327726,1.3186209154913107,8.075975061620994,557
DA60/ID15 post-blk (Apr28-Sep),Dropped,Hydro_pump,6.118347512262928,6.395457628704418,1.087429317094389,75
DA60/ID15 post-blk (Apr28-Sep),Dropped,Import,0.0493788449917815,0.056136411479896155,0.01449905756125852,1
DA60/ID15 post-blk (Apr28-Sep),Dropped,Nuclear,4.947143032614109,4.910415643346665,0.11599246049006816,8
DA60/ID15 post-blk (Apr28-Sep),Dropped,Solar PV,42.23644195794527,44.24133978902066,45.3675511091779,3129
DA60/ID15 post-blk (Apr28-Sep),Dropped,Solar Thermal,0.09770838952748764,0.10268285266531,0.1449905756125852,10
DA60/ID15 post-blk (Apr28-Sep),Dropped,Wind,24.57930767155908,22.66250321614858,22.328548644338117,1540
DA60/ID15 post-blk (Apr28-Sep),Dropped,_unmapped_,3.515465145633644,3.7473393679975673,7.53950993185443,520
DA15/ID15 (Oct-Dec 2025),Critical,Biomass,0.14516306987075048,0.1757245533150158,1.6249677585762186,63
DA15/ID15 (Oct-Dec 2025),Critical,CCGT,2.6502226370633335,2.6133594125956625,1.4702089244261025,57
DA15/ID15 (Oct-Dec 2025),Critical,Cogen,0.5073660694511668,0.5951660224467936,5.210214083053907,202
DA15/ID15 (Oct-Dec 2025),Critical,Hybrid_RES,0.6252682798760095,0.7184992005464226,1.2896569512509672,50
DA15/ID15 (Oct-Dec 2025),Critical,Hydro,23.713122338844833,22.795448547788695,12.793396956409595,496
DA15/ID15 (Oct-Dec 2025),Critical,Hydro_RES,0.47297792474392114,0.5675344230739378,5.442352334279081,211
DA15/ID15 (Oct-Dec 2025),Critical,Hydro_pump,28.409318784544187,27.8077120104317,16.04333247356203,622
DA15/ID15 (Oct-Dec 2025),Critical,Import,0.547633217820307,0.6516710908272404,0.15475883415011607,6
DA15/ID15 (Oct-Dec 2025),Critical,Nuclear,4.391132529654741,4.33187413651252,0.30951766830023214,12
DA15/ID15 (Oct-Dec 2025),Critical,Solar PV,7.698555295250813,8.094273428646828,26.15424297136962,1014
DA15/ID15 (Oct-Dec 2025),Critical,Solar Thermal,0.09156749539142486,0.1208494388301588,0.20634511220015478,8
DA15/ID15 (Oct-Dec 2025),Critical,Wind,29.374522330952473,30.158260761576557,21.66623678101625,840
DA15/ID15 (Oct-Dec 2025),Critical,_unmapped_,1.373150026536051,1.3696269734084665,7.6347691514057265,296
DA15/ID15 (Oct-Dec 2025),Flat,Biomass,0.2833230879125785,0.2665484516753868,3.6764705882352944,30
DA15/ID15 (Oct-Dec 2025),Flat,CCGT,2.0359768808360266,1.3290715699534388,2.696078431372549,22
DA15/ID15 (Oct-Dec 2025),Flat,Cogen,0.9183102267614969,0.9083542044912284,11.029411764705882,90
DA15/ID15 (Oct-Dec 2025),Flat,Hybrid_RES,0.8611304762918675,0.8710825989603479,1.3480392156862746,11
DA15/ID15 (Oct-Dec 2025),Flat,Hydro,20.024760720773937,17.131667593750795,11.029411764705882,90
