firm,tech_group,pdbf_mwh,phf_mwh,month,intervention_mwh
GE,Hydro_pump,152291.60000000003,164349.1000000002,2024-04-01,12057.500000000175
GE,Nuclear,662132.3999999999,1895641.7999999989,2024-04-01,1233509.399999999
GE,Solar PV,57.599999999999916,57.59999999999992,2024-04-01,7.105427357601002e-15
GN,CCGT,0.0,275053.69999999995,2024-04-01,275053.69999999995
GN,Hydro,484697.6000000006,496484.8000000006,2024-04-01,11787.200000000012
GN,Hydro_pump,0.0,4811.3,2024-04-01,4811.3
GN,Solar PV,65107.100000000006,62762.70000000004,2024-04-01,-2344.399999999965
GN,Wind,317935.10000000003,310203.2999999999,2024-04-01,-7731.800000000163
HC,CCGT,0.0,441.0,2024-04-01,441.0
HC,Hydro,95472.50000000007,79210.90000000001,2024-04-01,-16261.600000000064
HC,Solar PV,611.3000000000001,685.0999999999999,2024-04-01,73.79999999999984
HC,Wind,327819.2,322045.29999999993,2024-04-01,-5773.9000000000815
IB,CCGT,22039.7,166791.40000000002,2024-04-01,144751.7
IB,Hydro,2040083.5999999985,2252030.4,2024-04-01,211946.80000000144
IB,Hydro_pump,206262.60000000003,190785.7,2024-04-01,-15476.900000000023
IB,Nuclear,1470587.7999999986,1625899.4000000008,2024-04-01,155311.6000000022
IB,Solar PV,85725.59999999998,140678.90000000002,2024-04-01,54953.30000000005
IB,Wind,381956.5,464694.10000000003,2024-04-01,82737.60000000003
GE,CCGT,0.0,208108.1,2024-05-01,208108.1
GE,Hydro,942054.9000000082,857049.0000000001,2024-05-01,-85005.90000000806
GE,Hydro_pump,148425.00000000012,153176.50000000017,2024-05-01,4751.500000000058
GE,Nuclear,552849.0,1356556.4000000008,2024-05-01,803707.4000000008
GE,Solar PV,71.19999999999989,71.19999999999989,2024-05-01,0.0
GN,CCGT,218.3,382502.7000000003,2024-05-01,382284.4000000003
GN,Hydro,409266.49999999994,423674.3000000006,2024-05-01,14407.800000000687
GN,Hydro_pump,45.0,3243.4,2024-05-01,3198.4
GN,Solar PV,96321.99999999999,85847.90000000001,2024-05-01,-10474.099999999977
GN,Wind,275832.4,259942.59999999992,2024-05-01,-15889.800000000105
HC,CCGT,0.0,1690.0,2024-05-01,1690.0
HC,Hydro,64408.99999999999,54961.4,2024-05-01,-9447.599999999991
HC,Solar PV,1722.1,1745.8,2024-05-01,23.700000000000045
HC,Wind,319561.4999999998,304677.8999999998,2024-05-01,-14883.600000000035
IB,CCGT,5945.5,146432.69999999998,2024-05-01,140487.19999999998
IB,Hydro,1150260.1,1197222.8999999997,2024-05-01,46962.79999999958
IB,Hydro_pump,194171.30000000002,251492.3,2024-05-01,57320.99999999997
IB,Nuclear,2139567.2,2187005.4000000022,2024-05-01,47438.20000000205
IB,Solar PV,290191.29999999993,309243.7,2024-05-01,19052.40000000008
IB,Wind,614178.4000000001,683727.2,2024-05-01,69548.79999999981
GE,CCGT,19182.0,203034.3,2024-06-01,183852.3
GE,Hydro,796085.3000000024,714589.9999999995,2024-06-01,-81495.30000000284
GE,Hydro_pump,110807.50000000003,122385.00000000006,2024-06-01,11577.50000000003
GE,Nuclear,1228426.0999999999,1702268.3,2024-06-01,473842.2000000002
GE,Solar PV,65.1999999999999,62.9999999999999,2024-06-01,-2.200000000000003
GN,CCGT,5636.0,330695.80000000005,2024-06-01,325059.80000000005
GN,Hydro,154786.0,146104.89999999994,2024-06-01,-8681.100000000064
GN,Hydro_pump,540.0,2339.1,2024-06-01,1799.1
GN,Solar PV,92908.79999999996,81613.1,2024-06-01,-11295.699999999953
GN,Wind,289843.3999999999,258566.3999999999,2024-06-01,-31277.0
HC,CCGT,450.0,16808.0,2024-06-01,16358.0
HC,Hydro,52017.200000000055,38649.09999999999,2024-06-01,-13368.100000000064
HC,Solar PV,1135.8,1129.0000000000002,2024-06-01,-6.799999999999727
HC,Wind,320343.2999999998,306217.59999999986,2024-06-01,-14125.699999999953
IB,CCGT,27780.5,148259.9,2024-06-01,120479.4
IB,Hydro,1167659.599999999,1144228.2999999993,2024-06-01,-23431.29999999958
IB,Hydro_pump,185387.7,201003.3,2024-06-01,15615.599999999977
IB,Nuclear,2584519.6999999974,2490646.4999999995,2024-06-01,-93873.19999999786
IB,Solar PV,358389.6,335499.00000000006,2024-06-01,-22890.59999999992
IB,Wind,576884.0,584591.1,2024-06-01,7707.099999999977
GE,CCGT,248477.0,441722.1,2024-07-01,193245.09999999998
GE,Hydro,583322.400000003,563191.0000000003,2024-07-01,-20131.4000000027
GE,Hydro_pump,107361.40000000014,117045.20000000007,2024-07-01,9683.79999999993
GE,Nuclear,2120974.0,2183828.4000000004,2024-07-01,62854.40000000037
GE,Solar PV,300.60000000000014,300.60000000000036,2024-07-01,2.2737367544323206e-13
GN,CCGT,78207.00000000001,523187.60000000003,2024-07-01,444980.60000000003
GN,Hydro,121256.99999999993,122540.70000000007,2024-07-01,1283.7000000001426
GN,Hydro_pump,0.0,1564.5,2024-07-01,1564.5
GN,Solar PV,107163.69999999998,100867.5,2024-07-01,-6296.1999999999825
GN,Wind,256196.3,250060.20000000007,2024-07-01,-6136.0999999999185
HC,CCGT,15050.4,65217.8,2024-07-01,50167.4
HC,Hydro,28223.39999999994,33179.09999999997,2024-07-01,4955.70000000003
HC,Solar PV,1867.8999999999999,1903.8000000000002,2024-07-01,35.90000000000032
HC,Wind,309122.2,292013.3999999999,2024-07-01,-17108.800000000105
IB,CCGT,148424.0,319091.49999999994,2024-07-01,170667.49999999994
IB,Hydro,1111822.2999999984,1180847.3000000012,2024-07-01,69025.0000000028
IB,Hydro_pump,157942.40000000002,183242.6,2024-07-01,25300.199999999983
IB,Nuclear,2907040.9000000022,2894230.8000000017,2024-07-01,-12810.100000000559
IB,Solar PV,465059.5000000001,465436.30000000005,2024-07-01,376.79999999993015
IB,Wind,588501.7000000002,596703.2,2024-07-01,8201.499999999767
GE,CCGT,347398.2,480057.1000000003,2024-08-01,132658.9000000003
GE,Hydro,472960.6000000024,466218.80000000034,2024-08-01,-6741.800000002084
GE,Hydro_pump,100726.40000000001,101362.60000000005,2024-08-01,636.2000000000407
GE,Nuclear,2153440.0,2158434.9,2024-08-01,4994.899999999907
GE,Solar PV,338.9000000000002,338.9000000000003,2024-08-01,1.1368683772161603e-13
GN,CCGT,131114.9,522181.29999999993,2024-08-01,391066.3999999999
GN,Hydro,135868.3,137164.00000000006,2024-08-01,1295.7000000000698
GN,Hydro_pump,0.0,1634.5,2024-08-01,1634.5
GN,Solar PV,110675.80000000003,108789.3,2024-08-01,-1886.500000000029
GN,Wind,223179.49999999983,219643.89999999994,2024-08-01,-3535.5999999998894
HC,CCGT,10482.2,73409.7,2024-08-01,62927.5
HC,Hydro,28058.499999999927,35748.99999999998,2024-08-01,7690.500000000051
HC,Solar PV,8096.1,8058.7,2024-08-01,-37.400000000000546
HC,Wind,287335.2,267735.5999999999,2024-08-01,-19599.600000000093
IB,CCGT,141222.5,353106.30000000005,2024-08-01,211883.80000000005
IB,Hydro,1021450.6999999997,1069032.099999999,2024-08-01,47581.39999999921
IB,Hydro_pump,143611.09999999998,168797.89999999997,2024-08-01,25186.79999999999
IB,Nuclear,2930514.6000000015,2934686.4999999967,2024-08-01,4171.89999999525
IB,Solar PV,451625.1000000002,447763.80000000005,2024-08-01,-3861.300000000163
IB,Wind,525386.3999999999,532226.2999999999,2024-08-01,6839.900000000023
GE,CCGT,234499.50000000003,395187.00000000006,2024-09-01,160687.50000000003
GE,Hydro,420689.8999999995,419397.29999999923,2024-09-01,-1292.6000000002678
GE,Hydro_pump,73205.60000000008,82913.9,2024-09-01,9708.299999999916
GE,Nuclear,2109105.0,2110343.8,2024-09-01,1238.7999999998137
GE,Solar PV,306.2000000000001,306.2000000000003,2024-09-01,1.7053025658242404e-13
GN,CCGT,81080.39999999998,449374.1000000001,2024-09-01,368293.7000000001
GN,Hydro,146488.39999999994,140304.89999999985,2024-09-01,-6183.500000000087
GN,Hydro_pump,810.0,4801.799999999999,2024-09-01,3991.7999999999993
GN,Solar PV,88339.4,85896.9,2024-09-01,-2442.5
GN,Wind,282681.8,275150.29999999993,2024-09-01,-7531.500000000058
HC,CCGT,1200.0,35038.9,2024-09-01,33838.9
HC,Hydro,33310.29999999998,35272.09999999996,2024-09-01,1961.799999999981
HC,Solar PV,6767.3,6777.900000000001,2024-09-01,10.600000000000364
HC,Wind,334363.0,329713.0000000001,2024-09-01,-4649.999999999884
IB,CCGT,88585.89999999998,234569.89999999997,2024-09-01,145984.0
IB,Hydro,982181.2,1002692.4999999998,2024-09-01,20511.299999999814
IB,Hydro_pump,123725.90000000002,165339.6,2024-09-01,41613.69999999998
IB,Nuclear,2871949.199999977,2871942.1000000024,2024-09-01,-7.0999999744817615
IB,Solar PV,294786.8000000001,303191.60000000003,2024-09-01,8404.79999999993
IB,Wind,658467.6999999998,682071.7,2024-09-01,23604.000000000116
GE,CCGT,52595.0,400119.4,2024-10-01,347524.4
GE,Hydro,715682.6999999963,707979.399999999,2024-10-01,-7703.299999997369
GE,Hydro_pump,72729.99999999997,73426.79999999999,2024-10-01,696.8000000000175
GE,Nuclear,2226755.1000000006,2227521.1,2024-10-01,765.9999999995343
GE,Solar PV,508.1,508.09999999999974,2024-10-01,-2.8421709430404007e-13
GN,CCGT,43712.6,410940.6000000001,2024-10-01,367228.0000000001
GN,Hydro,307817.30000000034,316426.5000000003,2024-10-01,8609.199999999953
GN,Hydro_pump,1530.0,7994.4,2024-10-01,6464.4
GN,Solar PV,67793.70000000004,65626.80000000003,2024-10-01,-2166.9000000000087
GN,Wind,346932.3000000002,351888.8999999999,2024-10-01,4956.599999999686
HC,CCGT,3846.0,37772.200000000004,2024-10-01,33926.200000000004
HC,Hydro,68496.60000000012,80310.09999999998,2024-10-01,11813.499999999854
HC,Solar PV,4546.5,4708.599999999999,2024-10-01,162.09999999999945
HC,Wind,401982.89999999997,398795.6,2024-10-01,-3187.2999999999884
IB,CCGT,36328.3,196637.19999999995,2024-10-01,160308.89999999997
IB,Hydro,1488685.499999998,1496981.8000000003,2024-10-01,8296.300000002375
IB,Hydro_pump,119718.50000000003,141795.6,2024-10-01,22077.099999999977
IB,Nuclear,2385659.6000000047,2385416.299999998,2024-10-01,-243.30000000679865
IB,Solar PV,253594.6000000001,252376.1000000001,2024-10-01,-1218.5
IB,Wind,994414.4999999998,1020850.1999999995,2024-10-01,26435.69999999972
GE,CCGT,265290.0,663395.1999999998,2024-11-01,398105.19999999984
GE,Hydro,771344.3000000024,743704.9999999997,2024-11-01,-27639.300000002724
GE,Hydro_pump,82494.20000000004,70001.29999999999,2024-11-01,-12492.900000000052
GE,Nuclear,1001824.2,1011991.7000000007,2024-11-01,10167.500000000698
GE,Solar PV,562.1999999999996,562.1999999999996,2024-11-01,0.0
GN,CCGT,207494.99999999985,756768.0000000002,2024-11-01,549273.0000000003
GN,Hydro,220333.49999999997,249657.39999999973,2024-11-01,29323.89999999976
GN,Hydro_pump,135.0,231.0,2024-11-01,96.0
GN,Solar PV,60547.400000000045,59904.90000000002,2024-11-01,-642.5000000000218
GN,Wind,290200.29999999964,289678.6000000001,2024-11-01,-521.699999999546
HC,CCGT,72264.4,132956.7,2024-11-01,60692.30000000002
HC,Hydro,55343.40000000013,64811.30000000001,2024-11-01,9467.899999999878
HC,Solar PV,3784.4999999999995,3759.4,2024-11-01,-25.099999999999454
HC,Wind,374488.8999999999,364485.5000000001,2024-11-01,-10003.39999999979
IB,CCGT,184146.99999999983,409999.79999999993,2024-11-01,225852.8000000001
IB,Hydro,1286465.200000002,1306995.3000000012,2024-11-01,20530.09999999916
IB,Hydro_pump,99615.00000000001,123049.30000000002,2024-11-01,23434.300000000003
IB,Nuclear,2666822.4000000022,2636865.3,2024-11-01,-29957.10000000242
IB,Solar PV,222022.19999999992,218985.80000000002,2024-11-01,-3036.399999999907
IB,Wind,849680.5000000006,790017.1000000002,2024-11-01,-59663.40000000037
GE,CCGT,482762.69999999995,811488.4000000004,2024-12-01,328725.7000000004
GE,Hydro,696340.7000000002,685655.8000000007,2024-12-01,-10684.899999999441
GE,Hydro_pump,63256.09999999989,70312.39999999994,2024-12-01,7056.300000000047
GE,Nuclear,1246358.8000000003,1227555.4000000006,2024-12-01,-18803.399999999674
GE,Solar PV,523.0999999999997,523.0999999999996,2024-12-01,-1.1368683772161603e-13
GN,CCGT,517214.4000000002,1088324.3000000005,2024-12-01,571109.9000000004
GN,Hydro,208836.90000000095,229058.50000000052,2024-12-01,20221.59999999957
GN,Hydro_pump,630.0,3733.4,2024-12-01,3103.4
GN,Solar PV,60395.00000000005,60123.70000000004,2024-12-01,-271.3000000000102
GN,Wind,248715.2999999998,251561.00000000012,2024-12-01,2845.7000000003027
HC,CCGT,146256.3,218325.4,2024-12-01,72069.1
HC,Hydro,81079.4000000002,91057.30000000006,2024-12-01,9977.899999999863
HC,Solar PV,3531.199999999999,3712.6,2024-12-01,181.400000000001
HC,Wind,382374.70000000007,370105.7000000003,2024-12-01,-12268.999999999767
IB,CCGT,411967.19999999984,521202.59999999974,2024-12-01,109235.3999999999
IB,Hydro,1192079.000000001,1129756.5999999996,2024-12-01,-62322.400000001304
IB,Hydro_pump,135320.79999999996,147783.09999999998,2024-12-01,12462.300000000017
IB,Nuclear,3014057.40000001,3014057.7999999956,2024-12-01,0.39999998547136784
IB,Solar PV,221810.00000000003,216489.7,2024-12-01,-5320.3000000000175
IB,Wind,844221.4000000001,797895.5999999997,2024-12-01,-46325.800000000396
GE,CCGT,227617.40000000002,483062.70000000007,2025-01-01,255445.30000000005
GE,Hydro,616976.5000000048,621111.8999999997,2025-01-01,4135.399999994901
GE,Hydro_pump,62819.20000000001,71064.8,2025-01-01,8245.599999999991
GE,Nuclear,2254018.100000003,2254534.100000003,2025-01-01,516.0
GE,Solar PV,449.39999999999964,449.3999999999997,2025-01-01,5.684341886080802e-14
GN,CCGT,84067.79999999997,542743.0,2025-01-01,458675.2
GN,Hydro,385117.70000000024,403511.4999999995,2025-01-01,18393.79999999923
GN,Hydro_pump,2632.3,7613.9,2025-01-01,4981.599999999999
GN,Solar PV,53213.39999999999,52233.30000000003,2025-01-01,-980.0999999999549
GN,Wind,444309.9999999999,444837.0,2025-01-01,527.0000000001164
HC,CCGT,40030.0,101473.20000000001,2025-01-01,61443.20000000001
HC,Hydro,97898.80000000015,96312.70000000006,2025-01-01,-1586.1000000000931
HC,Solar PV,3657.9999999999995,3657.8000000000006,2025-01-01,-0.1999999999989086
HC,Wind,511637.80000000005,499327.69999999995,2025-01-01,-12310.100000000093
IB,CCGT,147764.19999999998,267658.79999999993,2025-01-01,119894.59999999995
IB,Hydro,1548298.100000002,1571731.7000000014,2025-01-01,23433.599999999395
IB,Hydro_pump,179050.49999999997,214221.99999999997,2025-01-01,35171.5
IB,Nuclear,3011660.1999999946,2962624.6000000015,2025-01-01,-49035.59999999311
IB,Solar PV,211503.79999999993,208931.79999999996,2025-01-01,-2571.999999999971
IB,Wind,1392168.4000000001,1335366.1,2025-01-01,-56802.30000000005
GE,CCGT,138314.7,284687.3,2025-02-01,146372.59999999998
GE,Hydro,789033.0000000069,705058.7000000009,2025-02-01,-83974.30000000598
GE,Hydro_pump,76200.0,70977.09999999999,2025-02-01,-5222.900000000009
GE,Nuclear,2015995.1000000034,2012394.300000004,2025-02-01,-3600.799999999348
GE,Solar PV,444.5000000000001,444.4999999999999,2025-02-01,-2.2737367544323206e-13
GN,CCGT,102198.9,473066.6999999998,2025-02-01,370867.7999999998
GN,Hydro,516167.09999999957,521406.5,2025-02-01,5239.400000000431
GN,Hydro_pump,5906.799999999999,12896.0,2025-02-01,6989.200000000001
GN,Solar PV,51106.50000000005,50103.20000000003,2025-02-01,-1003.3000000000175
GN,Wind,215798.5000000002,214403.49999999997,2025-02-01,-1395.0000000002328
HC,CCGT,3060.0,90796.5,2025-02-01,87736.5
HC,Hydro,136823.4000000001,137618.70000000007,2025-02-01,795.2999999999593
HC,Solar PV,4296.1,4354.400000000001,2025-02-01,58.30000000000018
HC,Wind,292941.8,277668.1999999998,2025-02-01,-15273.60000000021
IB,CCGT,55597.7,178136.99999999994,2025-02-01,122539.29999999994
IB,Hydro,2346527.4000000027,2356027.3999999994,2025-02-01,9499.99999999674
IB,Hydro_pump,174524.4,189310.59999999998,2025-02-01,14786.199999999983
IB,Nuclear,2724886.799999986,2724886.8000000003,2025-02-01,1.4435499906539917e-08
IB,Solar PV,290315.1000000001,293785.3000000001,2025-02-01,3470.2000000000116
IB,Wind,655572.8000000004,648440.6000000002,2025-02-01,-7132.200000000186
GE,CCGT,19723.199999999997,164526.125,2025-03-01,144802.925
GE,Hydro,997085.1999999828,760870.4749999961,2025-03-01,-236214.7249999867
GE,Hydro_pump,53906.299999999996,55145.90000000001,2025-03-01,1239.600000000013
GE,Nuclear,1919575.5999999875,2257666.2249999987,2025-03-01,338090.6250000112
GE,Solar PV,306.9999999999995,306.9999999999997,2025-03-01,2.2737367544323206e-13
GN,CCGT,1304.2,399642.9249999998,2025-03-01,398338.7249999998
GN,Hydro,470082.4000000002,458833.04999999976,2025-03-01,-11249.350000000442
GN,Hydro_pump,3439.2,10255.15,2025-03-01,6815.95
GN,Solar PV,57377.79999999995,53422.600000000006,2025-03-01,-3955.199999999946
GN,Wind,386375.4000000011,383601.8999999999,2025-03-01,-2773.500000001164
HC,CCGT,1820.0,62544.00000000001,2025-03-01,60724.00000000001
HC,Hydro,94149.29999999986,81900.27499999997,2025-03-01,-12249.024999999892
HC,Solar PV,23306.0,24274.57499999999,2025-03-01,968.5749999999898
HC,Wind,477988.1000000006,459231.2500000006,2025-03-01,-18756.850000000035
IB,CCGT,4750.799999999999,99254.47499999999,2025-03-01,94503.67499999999
IB,Hydro,2520515.6000000085,2548693.525000008,2025-03-01,28177.924999999348
IB,Hydro_pump,155925.00000000026,176635.77500000002,2025-03-01,20710.77499999976
IB,Nuclear,2591080.799999971,2601574.9749999987,2025-03-01,10494.175000027753
IB,Solar PV,282253.69999999995,281030.1000000001,2025-03-01,-1223.5999999998603
IB,Wind,1066725.699999999,1090774.9,2025-03-01,24049.200000000885
GE,CCGT,2010.1000000000004,218960.54999999996,2025-04-01,216950.44999999995
GE,Hydro,1215339.7999999989,1012597.1749999976,2025-04-01,-202742.62500000128
GE,Hydro_pump,82358.39999999994,82809.87499999996,2025-04-01,451.4750000000204
GE,Nuclear,1366281.8999999822,1891450.7749999836,2025-04-01,525168.8750000014
GE,Solar PV,916.6000000000055,916.6000000000048,2025-04-01,-6.821210263296962e-13
GN,CCGT,8441.8,587277.4999999998,2025-04-01,578835.6999999997
GN,Hydro,494078.29999999667,477937.1249999985,2025-04-01,-16141.174999998184
GN,Hydro_pump,3504.4,8203.875,2025-04-01,4699.475
GN,Solar PV,76172.19999999994,77278.32500000003,2025-04-01,1106.1250000000873
GN,Wind,254991.6999999992,257153.44999999978,2025-04-01,2161.750000000582
HC,CCGT,0.0,57627.674999999996,2025-04-01,57627.674999999996
HC,Hydro,92483.59999999989,79846.27499999988,2025-04-01,-12637.325000000012
HC,Solar PV,31077.899999999994,31259.675000000007,2025-04-01,181.77500000001237
HC,Wind,311235.4999999992,299316.925,2025-04-01,-11918.574999999197
IB,CCGT,7117.1,191677.825,2025-04-01,184560.725
IB,Hydro,2164690.6000000285,2164657.5500000156,2025-04-01,-33.05000001285225
IB,Hydro_pump,241540.29999999944,237824.97499999977,2025-04-01,-3715.3249999996624
IB,Nuclear,1148406.700000004,1154419.3250000018,2025-04-01,6012.6249999979045
IB,Solar PV,363269.9000000013,362075.9499999999,2025-04-01,-1193.9500000014086
