Código de UP;Descripción corta;Descripción larga;Potencia máxima MW;Código EIC;Tipo de producción;Negocio;Zona de Regulación;Sujeto del Mercado;Tipo de UP
FBRDENS;BRDNS;BRDNASS;2,0;18W000000000NDV0;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FBRERAS;BRERAS;LUMBRERAS;43,4;18W000000000NKK1;Solar fotovoltaica;Venta;GST1 ;GESTE;Generación
FBRGAS;FBRGAS;UP SOLAR BARGAS;5,0;18W000000000R56L;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FBRISAS;FBRISAS;UP SOLAR LAS BRISAS;2,4;18W000000000RT0Z;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FBRVLS1;FBRVLS1;UP SOLAR BROVALES 1;40,0;18W000000000RQSP;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FBRVLS2;FBRVLS2;UP SOLAR BROVALES 2;40,0;18W000000000RM0J;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FBRVLS3;FBRVLS3;UP SOLAR BROVALES3;14,0;18W000000000RKLK;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FBUIXEU;FBUIXEU;UP SOLAR BUIXALLEU;2,2;18W000000000QHJ0;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FBURGLL;FBURGLL;UP SOLAR BURGUILLOS;21,2;18W000000000PVQM;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FBURGO1;FBURGO1;UP FBURGO 1;2,1;18W000000000RILQ;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FBURGO2;FBURGO2;UP FBURGO2;2,1;18W000000000RIMO;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCABEZA;CABEZA;CABEZASS;1,6;18W000000000NDS6;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FCABLDO;FCABLDO;UP SOLAR CABILDO;2,0;18W000000000SUW1;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCABZLA;FCABZLA;UP SOLAR CABEZUELAS;2,4;18W000000000RQUL;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCACRE1;FCACRE1;UP SOLAR CACERES 1;4,3;18W000000000UGHS;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCACRE2;FCACRE2;UP SOLAR CACERES 2;4,3;18W000000000UIES;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCADIMA;FCADIMA;UP FV CADIMA;33,1;18W000000000G2AT;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FCALCAL;FCALCAL;UP FV CALCAL;10,0;18W000000000L28D;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCALERA;CALERA;CALERACHOZAS;13,4;18W000000000N0C3;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FCALIG;FCALIG;UP SOLAR CALIG;3,2;18W000000000ONV3;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCAMPAN;FCP;FCPAM;31,5;18W000000000H0GJ;Solar fotovoltaica;Venta;GST1 ;GESTE;Generación
FCAMPOS;FCAMPOS;UP SOLAR CAMPOS DEL RIO;8,5;18W000000000RPYG;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCANAME;UP CANAME;UP  MAYOR 5MW CANAME;5,5;18W000000000FNMK;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCANAVE;CAÑAVEROSA;CAÑAVEROSA;6,0;18WFCANAVE-123-Q;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FCANES;FCANES;UP SOLAR CANES;38,2;18W000000000T1AH;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FCANILS;FCANILS;UP SOLAR CANILES;2,8;18W000000000S7WX;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCAPRI;FCAPRI;FCAPRI;21,5;18W000000000KNDI;Solar fotovoltaica;Venta;ALP ;HISPE;Generación
FCARAVA;FCARAVA;FCARAVA;1,5;18W000000000QRDJ;Solar fotovoltaica;Venta;SZR;CEG;Generación
FCARMON;FCARMON;UP SOLAR CARMONA;5,0;18W000000000SEWC;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCAROL4;CAROLINAS4;FV CAROLINAS 4;3,0;18W000000000TG8D;Solar fotovoltaica;Venta;SZR;TOTGA;Generación
FCAROLI;CAROLINAS3;FV CAROLINAS 3;3,0;18W000000000TG7F;Solar fotovoltaica;Venta;SZR;TOTGA;Generación
FCARRIL;FCARRIL;UP FV CARRIL;42,2;18W000000000HG5U;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FCARTU;FCATUR;UP PSFV-CARTUJA;43,0;18W000000000LZED;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FCARVAC;CAR;CARAVACA;2,0;18W000000000R29O;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FCASAQ1;FCASAQ1;CASAQUEMADA I;29,0;18W000000000Q1TS;Solar fotovoltaica;Venta;EN1 ;EBLCO;Generación
FCASAQ2;FCASAQ2;CASAQUEMADA II;29,0;18W000000000Q1UQ;Solar fotovoltaica;Venta;EN1 ;EBLCO;Generación
FCASTJA;FCASTJA;UP FV CASTJA;9,8;18WFCASTJA-123-3;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCASTOR;CASTOR;CASTOR;42,5;18W000000000MEKN;Solar fotovoltaica;Venta;ALP ;HISPE;Generación
FCASTU;FCASTU;UP SOLAR CASTUERA;88,0;18W000000000TPWC;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FCASTUR;FCASTUR;UP SOLAR CASTUR;1,2;18W000000000QB3D;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCAT;FCAT;FCAT;74,2;18W000000000TX63;Solar fotovoltaica;Venta;SZR;REPSB;Generación
FCBANAL;FCBANAL;UP SOLAR CIBANAL 1;1,9;18W000000000U17J;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCBROVA;FCBROVA;UP SOLAR CABROVALES;41,0;18W000000000T83A;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FCELEO;FCELEO;UP SOLAR CELEO;2,0;18W000000000SIU4;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCEN121;CENTAURUS;CENTUARUS SOLAR FV121;45,6;18W000000000T63G;Solar fotovoltaica;Venta;SZR;SOLRC;Generación
FCEP116;FCEP116;FCEP116;30,4;18W000000000TZVL;Solar fotovoltaica;Venta;SZR;SOLRC;Generación
FCERRAT;FCERRAT;FCERRAT;82,0;18W000000000SEDD;Solar fotovoltaica;Venta;SZR;REPSB;Generación
FCLASA;FCLASA;UP SOLAR CLASA;1,1;18W000000000T32R;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCLMNTE;FCLMNTE;UP SOLAR SAN CLEMENTE;2,0;18W000000000SQFA;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCLUGAR;FCLUGAR;UP SOLAR CAMPO LUGAR;1,9;18W000000000T35L;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCLVRON;FCLVRON;UP SOLAR CALAVERON;20,0;18W000000000LZZ8;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCMONA1;FCMONA1;UP SOLAR CARMONA 1;5,0;18W000000000SEY8;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCNTRAS;FCNTRAS;UP SOLAR CONTRERAS;3,0;18W000000000QMOC;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCNVIA1;FCNVIA1;UP SOLAR CENTROVIA 1;9,2;18W000000000SGKU;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCNVIA2;FCNVIA2;UP SOLAR CENTROVIA 2;9,2;18W000000000SGLS;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCNVIA3;FCNVIA3;UP SOLAR CENTROVIA 3;9,1;18W000000000SGMQ;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCOLLAR;FCOLLAR;UP SOLAR AZNALCOLLAR;41,6;18W000000000UEW4;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCOLON;FCOLON;FCOLON;15,9;18W000000000SRPO;Solar fotovoltaica;Venta;EVM ;CEG;Generación
FCONSTA;PS CONSTAN;PS CONSTANTI 42;14,2;18W000000000SQUH;Solar fotovoltaica;Venta;WM1 ;WMARK;Generación
FCONTR1;FCONTR1;UP SOLAR DE LA CONTRAVIESA 1;5,0;18W000000000RTD9;Solar fotovoltaica;Venta;SZR;EFG;Generación
FCONTR2;FCONTR2;UP COLAR DE LA CONTRAVIESA 2 SL;3,6;18W000000000RTG3;Solar fotovoltaica;Venta;SZR;EFG;Generación
FCONTR8;FCONTR8;UP SOLAR DE LA CONTRAVIESA 8;4,0;18W000000000U4NF;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FCONV61;FCONV61;UP FV CONVERTIDOR SOLAR 66;7,2;18WFCONV61-123-B;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCORELA;FCORELA;FCORELA;7,3;18W000000000INEO;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FCORESE;FCORESE;UP SOLAR CORESES;2,9;18W000000000MZUE;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCORIA;FCORIA;UP SOLAR AURA DE GUIJO DE CORIA;1,5;18W000000000OA0U;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCORONA;FCORONA;FCORONA;40,0;18W000000000TJMD;Solar fotovoltaica;Venta;SZR;CEG;Generación
FCORVER;FCORVER;UP SOLAR CORVERA;3,0;18W000000000R9Q6;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCOSENT;COSENT;COSENT;19,8;18W000000000NX8N;Solar fotovoltaica;Venta;SZR;HISPE;Generación
FCOTILL;FCOTILL;UP FV TORRES COTILLAS;42,2;18W000000000G244;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FCPILLA;FCPILLA;UP SOLAR CAPILLA;42,0;18W000000000RIU8;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FCRASCA;FCRASCA;UP SOLAR CARRASCA 1;1,1;18W000000000U19F;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FCRJOS1;FCRJOS1;UP SOLAR CARTUJOS 1;20,0;18W000000000QAIN;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FCRJOS2;FCRJOS2;UP SOLAR CARTUJOS 2;10,0;18W000000000QAJL;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FCRMON1;FCRMON1;UP SOLAR CARMONA 1;36,6;18W000000000UFS9;Solar fotovoltaica;Venta;SZR;NEXU;Generación
