Código de UP;Descripción corta;Descripción larga;Potencia máxima MW;Código EIC;Tipo de producción;Negocio;Zona de Regulación;Sujeto del Mercado;Tipo de UP
FSLREY4;FSLREY4;UP SOLAR REY4;81,7;18W000000000U50L;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FSMURC;FSMURC;UP SOLAR VERGELES SOLARES;3,3;18W000000000PVG5;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FSNBRIA;SANABRIA;UP SOLAR SANABRIA;37,0;18W000000000T6XU;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FSOCO2;FSOCO2;FSOCO2;25,6;18W000000000TIWX;Solar fotovoltaica;Venta;SZR;CEG;Generación
FSOL14;FSOL14;UP SOL20120014;6,0;18W000000000TFBA;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FSOL16;FSOL16;UP SOL20120016;6,0;18W000000000TFD6;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FSOLANG;FSOLANG;FSOLANG;9,1;18W000000000Q4J2;Solar fotovoltaica;Venta;SZR;CEG;Generación
FSOLARG;FSOLARG;FSOLARG;7,0;18W000000000Q56P;Solar fotovoltaica;Venta;SZR;CEG;Generación
FSOLLAN;FSOLLAN;UP SOLAR LA SOLLANA;1,2;18W000000000QMR6;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FSOLMA;SOLMATCH;SOLMATCH;0,1;18W000000000PK1V;Solar fotovoltaica;Venta;SZR;VIEE;Generación
FSOLPQ1;FSOLPQ1;UP SOLAR PQ1;12,0;18W000000000U2U7;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FSOLRC;FSOLRC;FSOLRC;10,0;18W000000000SOOZ;Solar fotovoltaica;Venta;SZR;SOLRC;Generación
FSONAV;FSONAV;UP SOLEN ENERGA LA NAVA;45,0;18W000000000SXNA;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FSONDAA;FSONDAA;UF SOLAR CUBIERTA ONDA A;1,1;18W000000000SUOH;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FSOVAL;FSOVAL;UP SOLEN ENERGA VALDELAFUENTE;45,0;18W000000000SSNP;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FSPARRA;FSPARRA;UP FV CALASPARRA;12,0;18WFSPARRA-123-2;Solar fotovoltaica;Venta;SZR;GNRA;Generación
FSPELYO;FSPELYO;UP SOLAR SAN PELAYO;2,8;18W000000000QRAP;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FSPV10;FSPV10;UP WATT DEVELOPMENT SPV 10 SL;30,8;18W000000000RNVS;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FSPV3;FSPV3;UP WATT DEVELOPMENT SPV 3 SL;17,0;18W000000000RNXO;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FSRRANA;FSRRANA;UP LA SERRANA;5,5;18W000000000M05L;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FSTATON;FSTATON;UP SOLAR STATION;3,0;18W000000000SSJX;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FSTOMAS;FSTOMAS;UP SOLAR ST TOMAS;17,2;18W000000000QKB7;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FSUNO1;FSUNO1;FV SUNO 1;15,9;18W000000000U1RG;Solar fotovoltaica;Venta;SZR;CEG;Generación
FSUNO2;FSUNO2;FV SUNO 2;10,0;18W000000000U1TC;Solar fotovoltaica;Venta;SZR;CEG;Generación
FT10150;FT10150;FT10150;29,6;18W000000000UHWW;Solar fotovoltaica;Venta;SZR;SOLRC;Generación
FTABRNS;TABRNAS;TABERNASII;41,6;18W000000000NKNW;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FTALAR1;FTALAR1;UP FV TALARRUBIAS I;34,3;18W000000000G252;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FTALAR2;FTALAR2;UP FV TALARRUBIASII;34,3;18W000000000G260;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FTALARR;FTALARR;F TALARRUBIAS;1,9;18WFTALARR-123-5;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FTALAYA;FTALAYA;FTALAYA;1,2;18W000000000UJN7;Solar fotovoltaica;Venta;SZR;CEG;Generación
FTALEGA;FTALEGA;FTALEGA;1,6;18W000000000ROBS;Solar fotovoltaica;Venta;SZR;CEG;Generación
FTALIA1;FTALIA1;FTALIA1;5,1;18W000000000TH2M;Solar fotovoltaica;Venta;SZR;ATENC;Generación
FTALIA2;FTALIA2;FTALIA2;7,8;18W000000000TH3K;Solar fotovoltaica;Venta;SZR;ATENC;Generación
FTALTOS;FTALTOS;FTALTOS;1,8;18W000000000SD13;Solar fotovoltaica;Venta;SZR;DETIC;Generación
FTALYEL;TALYELA;TALAYUELAS2;44,0;18W000000000PWRH;Solar fotovoltaica;Venta;GST1 ;GESTE;Generación
FTARACN;TARC;TARANA;6,6;18W000000000QIH1;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FTARACS;TARACS;TARACNS;5,1;18W000000000QIKW;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FTASOL;FTASOL;UP TALASOL SOLAR SL;243,9;18W000000000MOY2;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FTAUSTE;FTAUSTE;UP SOLAR TAUSTE;1,9;18W000000000SZAU;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTE4148;FTE4148;FTE4148;40,0;18W000000000UHZQ;Solar fotovoltaica;Venta;SZR;SOLRC;Generación
FTE9156;FTE9156;FTE9156;29,6;18W000000000UI1H;Solar fotovoltaica;Venta;SZR;SOLRC;Generación
FTEBAR;FTEBAR;UP SOLAR TEBAR;1,0;18W000000000SZBS;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTERC01;FORESTA;FORESTA TERRENOS SL;0,8;18WFTERC01-123-M;Consumos directos en mercado;Compra;SZR;FORTE;Consum. directos a mercado
FTERRER;FTERRER;UP SOLAR TERRER;107,5;18W000000000TGB7;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTFAPRO;TFAPRO;TARIFA>10 FV VALDECABALLEROS;10,0;18WFTFAPRO-123-K;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTINJR1;FTINJR1;UP SOLAR TINAJEROS 1;5,0;18W000000000R58H;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTINJR2;FTINJR2;UP SOLAR TINAJEROS 2;5,0;18W000000000R59F;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTLAYL1;FTLAYL1;UP SOLAR TALAYUELA 1;5,0;18W000000000R9IM;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTLAYL2;FTLAYL2;UP SOLAR TALAYUELA 2;5,0;18W000000000R9JK;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTO1PSP;FTO1PSP;FTO1PSP;24,9;18W000000000UI4B;Solar fotovoltaica;Venta;SZR;SOLRC;Generación
FTOLLO1;FTOLLO1;UP SOLAR TOLLO 1;4,0;18W000000000SG7J;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTOLLO2;FTOLLO2;UP SOLAR TOLLO 2;2,9;18W000000000SG8H;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTOLLO3;FTOLLO3;UP SOLAR TOLLO 3;3,0;18W000000000SG9F;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTOMI;FTOMI;EL TOMILLAR;13,0;18W000000000RM3D;Solar fotovoltaica;Venta;REPSOL ;REPSB;Generación
FTOR3LE;FTOR3LE;FTOR3LE;11,5;18W000000000UA4Z;Solar fotovoltaica;Venta;SZR;SOLRC;Generación
FTORDE1;TORDE;TORDESILLS;34,3;18W000000000LCRJ;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FTORIJ2;TORIJ;TORIJA2;4,7;18W000000000G7PL;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FTORIJ3;TJ3;TRJA3;4,7;18W000000000IRUH;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FTORIJ4;TRJ4;TORIJA4;4,7;18W000000000KSPG;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FTORRIJ;TOR;TORRIJOS EW;42,5;18W000000000PKPK;Solar fotovoltaica;Venta;IGR ;IGNIS;Generación
FTORRJ;TORRIJOS;UP SF ELAWAN TORRIJOS;30,0;18W000000000MBAF;Solar fotovoltaica;Venta;IGR ;IGNIS;Generación
FTOTANA;FTOTANA;UP SOLAR TOTANA;4,5;18W000000000RN56;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTRDESI;FTRDESI;UP FTRDESI;9,9;18W000000000L9OY;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTREVAG;FTREVAG;FTREVAGO Y FTREVEU PPA;59,9;18W000000000SH0U;Solar fotovoltaica;Venta;END ;ECYR;Generación
FTRI;FTRI;FTRILLO;170,0;18W000000000S76B;Solar fotovoltaica;Venta;SZR;REPSB;Generación
FTRUCHA;FTRUCHA;UP SOLAR TRUCHA;33,0;18W000000000RISC;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FTUC132;FTUC132;FTUC132;30,0;18W000000000TKMA;Solar fotovoltaica;Venta;SZR;SOLRC;Generación
FTULC01;FORTU PEN;FORTULUZ PENINSULAR;1,0;18WFTULC01-123-H;Comercializadores mercado libre;Compra;SZR;FORTU;Comercializadores
FTURBIN;FTURBIN;UP SOLAR TURBINTO;2,0;18W000000000QMT2;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTURRON;FTURRON;UP SOLAR TURRONEROS;42,2;18W000000000LPY3;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FTZNETA;FTZNETA;UP SOLAR ATZENETA;1,5;18W000000000T33P;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FUEPA;FUEPA;FUEPA;6,1;18W000000000F9RF;Solar fotovoltaica;Venta;SZR;GNRA;Generación
FULCONA;FULCONA;UP SOLAR ULLDECONA;2,0;18W000000000SU9A;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FURSAMA;URSA;URSAMAIOR;42,5;18W000000000NDQA;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FUSEC01;COM-PEN;COMERCIALIZADORA PENINSULA;0,5;18W000000000T2UB;Comercializadores mercado libre;Compra;SZR;FUSEE;Comercializadores
FUTETEM;FUTETEM;FOTOVOLTAICA UTETEM;0,2;18WFUTETEM-123-7;Solar fotovoltaica;Venta;SZR;EGED;Generación
FV_RETA;FV_RETAMAR;DESARROLLO PROYECTO FOTOVOLTAICO I;3,0;18W000000000SJHR;Solar fotovoltaica;Venta;SZR;ELEIA;Generación
FVAFROD;FVAFROD;PSF AFRODITA;40,8;18W000000000SN52;Solar fotovoltaica;Venta;SZR;WMARK;Generación
FVAL102;FVAL102;FVAL102;24,9;18W000000000U9RT;Solar fotovoltaica;Venta;SZR;SOLRC;Generación
FVALAMO;FVALAMO;FV ALAMO;15,0;18W000000000PA4I;Solar fotovoltaica;Venta;EVM ;CEG;Generación
FVALCAI;FVALCAII;FV LOS ALCAZARES II;2,0;18W000000000TE4R;Solar fotovoltaica;Venta;WM1 ;WMARK;Generación
FVALCAR;FVALCAR;FVALCAR;30,0;18W000000000U88X;Solar fotovoltaica;Venta;SZR;CEG;Generación
FVALCAZ;FVALCAZI;FV LOS ALCAZARES I;4,7;18W000000000TE5P;Solar fotovoltaica;Venta;WM1 ;WMARK;Generación
FVALD1;FVALD1;FVALD1;3,8;18W000000000SDQR;Solar fotovoltaica;Venta;EVM ;CEG;Generación
FVALD2;FVALD2;FVALD2;5,0;18W000000000SDSN;Solar fotovoltaica;Venta;EVM ;CEG;Generación
FVALDES;VALDESOLAR;VALDESOLAR;206,2;18W000000000L44F;Solar fotovoltaica;Venta;REPSOL ;REPSB;Generación
FVALENT;FVALENT;UP SOLAR ELS VALENTINS;9,0;18W000000000TNSQ;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FVALFW;VALFW;VALFW;10,0;18WFVALFW-1234-V;Solar fotovoltaica;Venta;SZR;GNRA;Generación
FVALLKA;FVALLKA;FVALLKA;1,2;18W000000000QRCL;Solar fotovoltaica;Venta;SZR;CEG;Generación
FVALLOB;FVALLOB;UP SOLAR VALLOBAR;40,0;18W000000000RT1X;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FVALMK;FV ALAMAK;UP SOLAR ALAMAK;19,1;18W000000000RGF7;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FVALYA;FV ALYA;UP SOLAR ALYA;41,0;18W000000000RGDB;Solar fotovoltaica;Venta;NEXUS ;NEXU;Generación
FVANUBI;FVANUBI;PSF ANUBIS;40,8;18W000000000SN36;Solar fotovoltaica;Venta;SZR;WMARK;Generación
FVARBO;ARBOTANTE ;ARBOTANTE SOLAR;45,0;18W000000000SBRV;Solar fotovoltaica;Venta;SZR;TOTGA;Generación
FVASIE5;FVASIE5MW;FV MAYOR - IGUAL 5MW;41,2;18W000000000P38V;Solar fotovoltaica;Venta;SZR;ASIE;Generación
FVBOTOA;FVBOTOA;VEGA DE BOTOA;2,5;18WFVBOTOA-123-N;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FVCAR;CARRASCOSA;LA CARRASCOSA;42,6;18W000000000SDFC;Solar fotovoltaica;Venta;SZR;TOTGA;Generación
FVCARR;FVCARR;FVCARR;17,5;18W000000000R7MK;Solar fotovoltaica;Venta;GN3 ;GNRA;Generación
FVCOTI2;TORRECOT2;TORRES COTILLAS II;5,3;18W000000000TEKW;Solar fotovoltaica;Venta;WM1 ;WMARK;Generación
FVCOTIL;FVCOTILL;FVCOTILLAS;3,3;18W000000000TE6N;Solar fotovoltaica;Venta;WM1 ;WMARK;Generación
FVDEMET;FVDEMET;PSF DEMETER;40,8;18W000000000SN44;Solar fotovoltaica;Venta;SZR;WMARK;Generación
FVDNR;PFV DNR;PFV DEHESA NUEVA DEL REY;46,2;18W000000000SPAN;Solar fotovoltaica;Venta;SZR;TOTGA;Generación
FVECOIB;FVECOIB;FVECOIB;10,0;18W000000000Q49M;Solar fotovoltaica;Venta;SZR;CEG;Generación
FVECOSO;FV ECOSOLA;FV ECOSOLAR;4,0;18W000000000SRY6;Solar fotovoltaica;Venta;SZR;WMARK;Generación
FVEIBC1;FVEIBC1;VENTA EXCEDENTES FV;1,8;18W000000000QIRI;Solar fotovoltaica;Venta;SZR;IBGES;Generación
FVEMINN;FVEMINN;FVEMINN;124,0;18W000000000RAR1;Solar fotovoltaica;Venta;END ;ECYR;Generación
FVENTUS;FVENTUS;UP VENTUS IBERIA;2,7;18W000000000UBWD;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FVENZA;VNZA;LIVENZA;4,7;18W000000000JVXW;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FVERDLS;FVERDLS;UP SOLAR VERDINALES;15,0;18W000000000S6U3;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FVESCAN;FVESCANOR;ESCALONILLA NORTE;4,7;18W000000000TE9H;Solar fotovoltaica;Venta;WM1 ;WMARK;Generación
FVESCAS;FVESCASUR;ESCALONILLA SUR;4,7;18W000000000TEAF;Solar fotovoltaica;Venta;WM1 ;WMARK;Generación
FVFRA;FVFRA;FVFRA;40,2;18W000000000P4OX;Solar fotovoltaica;Venta;SZR;GNRA;Generación
FVFUENT;FUENTEE;FUENTE DEL ANO;2,5;18W0000000000YAY;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FVGALAZ;FVGALAZ;GALAZOCAN SOLAR;4,8;18W000000000RWR9;Solar fotovoltaica;Venta;SZR;WMARK;Generación
FVGNRA;SOLARES 1;SOLARES MAYOR 1;593,3;18W000000000A0UJ;Solar fotovoltaica;Venta;SZR;GNRA;Generación
FVGREEN;FVGREEN;FV EGREEN ZR;208,0;18W000000000PVZ4;Solar fotovoltaica;Venta;ACC ;EGED;Generación
FVHIBRC;FVHIBRC;UFI COMPRA BATERIA EXTREM3;2,2;18W000000000SNAT;Almacenamiento;Compra;SZR;EGED;Unidades de almacenamiento
FVHIBRV;FVHIBRV;UP HIBRIDA VENTA EXTREMADURA 3;21,8;18W000000000TNUM;Híbrida renovable-almacenamiento;Venta;ACC ;EGED;Unidades hibridas
FVHITA;FVHITA;FVHITA;1,7;18W000000000RTVA;Solar fotovoltaica;Venta;SZR;CEG;Generación
FVIDRES;FVIDRES;UP SOLAR VIDRERES;2,8;18W000000000UEE3;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FVIENTO;FVIENTO;UP SOLAR VIENTO;1,8;18W000000000SZQZ;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FVILLAV;VILLA;VILLAVALIENTE;4,0;18W000000000R213;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FVIMAN;FVIMAN;FVIMAN;16,0;18W000000000U2KR;Solar fotovoltaica;Venta;SZR;CEG;Generación
FVINASG;VIÑAS;VIÑASGOMEZ;2,8;18W000000000RP6Z;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FVITEC;FVITEC;FVITEC;3,4;18W000000000MZRK;Solar fotovoltaica;Venta;SZR;VITEC;Generación
FVITEC2;FVITEC2;FV MAYOR 1;1,9;18W000000000TH0Q;Solar fotovoltaica;Venta;SZR;VITEC;Generación
FVITIGU;VITIGUDINA;PARQUE FV VITIGUDINA;3,0;18W000000000P1EP;Solar fotovoltaica;Venta;SZR;EBLCO;Generación
FVIVAL;VVL;VIVLS;1,2;18W000000000JX90;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FVJADRA;FVJADRA;PSF JADRAQUE;2,0;18W000000000S8GP;Solar fotovoltaica;Venta;SZR;WMARK;Generación
FVLAUEI;FVLAUEI;FV MAS DE 1MW;3,2;18W000000000OWSJ;Solar fotovoltaica;Venta;SZR;LAUEI;Generación
FVLNEVA;VLLNA;VILLANUEVA;42,2;18W000000000PWNP;Solar fotovoltaica;Venta;GST1 ;GESTE;Generación
FVLOREN;FVLOREN;FV LORENZO SOLAR;3,6;18W000000000RQ31;Solar fotovoltaica;Venta;SZR;GNRA;Generación
FVLSILA;FVLSILA;UP SOLAR VALSEQUILLA;20,0;18W000000000UNXC;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FVLVERD;FVLVERD;UP SOLAR VALVERDE;2,4;18W000000000QMJM;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FVMAYOR;FVMAYOR;UP SOLAR VILLAMAYOR;8,6;18W000000000SR6P;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FVMAZO;FVMAZO;FVMAZO;12,5;18W000000000R7KO;Solar fotovoltaica;Venta;GN3 ;GNRA;Generación
FVNORI;LA NORIA;FV LA NORIA;42,6;18W000000000SDGA;Solar fotovoltaica;Venta;SZR;TOTGA;Generación
FVNSER;FVNSER;FVNSER;40,0;18W000000000MSEU;Solar fotovoltaica;Venta;SZR;GNRA;Generación
FVPEDRA;FVPEDRAJ;LA PEDRAJA I;3,2;18W000000000TE8J;Solar fotovoltaica;Venta;WM1 ;WMARK;Generación
FVPILA;PILASTRA S;PILASTRA SOLAR;40,0;18W000000000S9ZL;Solar fotovoltaica;Venta;SZR;TOTGA;Generación
FVPON;FVPON;FVPON;12,5;18W000000000P3FH;Solar fotovoltaica;Venta;GN3 ;GNRA;Generación
FVPOSA;FVPOSA;FVPOSA;10,0;18W000000000R7JQ;Solar fotovoltaica;Venta;GN3 ;GNRA;Generación
FVPOST;POSTIGO SO;POSTIGO SOLAR;40,0;18W000000000SA1C;Solar fotovoltaica;Venta;TOTENERG ;TOTGA;Generación
FVRIOJA;FV RIOJA;FV RIOJA;1,7;18W000000000ODYR;Solar fotovoltaica;Venta;SZR;LMER;Generación
FVSANMI;FV SAN MIG;FV SAN MIGUEL D;33,2;18W000000000T41Q;Solar fotovoltaica;Venta;WM1 ;WMARK;Generación
FVSESAN;FVSESAN;FVSESAN;39,6;18W000000000MSIM;Solar fotovoltaica;Venta;SZR;GNRA;Generación
FVSSVAN;FVSSVAN;FVSSVAN;40,0;18W000000000MSGQ;Solar fotovoltaica;Venta;SZR;GNRA;Generación
FVTABA;FVTABA;FVTABA;12,5;18W000000000R7LM;Solar fotovoltaica;Venta;GN3 ;GNRA;Generación
FVTEJES;FVTEJES;FVTEJES;7,0;18W000000000N2XT;Solar fotovoltaica;Venta;SZR;GNRA;Generación
FVTORRN;FVTORRNOR;TORRIJOS NORTE;4,7;18W000000000TEBD;Solar fotovoltaica;Venta;WM1 ;WMARK;Generación
FVTORRS;FVTORRSUR;TORRIJOS SUR;4,7;18W000000000TECB;Solar fotovoltaica;Venta;WM1 ;WMARK;Generación
FVVAL1;VALIENTES ;VALIENTES 1;9,0;18W000000000SBIC;Solar fotovoltaica;Venta;SZR;TOTGA;Generación
FVVAL2;VALIENTES2;FV VALIENTES 2;3,6;18W000000000SBN2;Solar fotovoltaica;Venta;SZR;TOTGA;Generación
FWERSOL;FWERSOL;UP SOLAR POWERSOL;2,0;18W000000000U1D7;Solar fotovoltaica;Venta;SZR;NEXU;Generación
FXRSPRE;FXRSPRE;FXRSPRE;0,6;18W00000000079YX;Solar fotovoltaica;Venta;SZR;RSPRE;Generación
FYAGENT;FYAGENT;AGENT ( FOTOVOLTAICA,TARIFA,NO EXENTO );2,1;18WFYAGENT-123-E;Solar fotovoltaica;Venta;SZR;AGENT;Generación
FYAGREN;FYAGREN;FYAGREN;0,2;18W000000000ROL8;Solar fotovoltaica;Venta;SZR;AGREN;Generación
FYALBA1;FYALBA1;FYALBA1;5,2;18W000000000Q2RT;Solar fotovoltaica;Venta;SZR;CEG;Generación
FYALBA2;FYALBA2;FYALBA2;4,7;18W000000000Q2TP;Solar fotovoltaica;Venta;SZR;CEG;Generación
FYAME;FYAME;FOTOVOLTAICA MENOS 1 MW;1,1;18WFYAME-12345-4;Solar fotovoltaica;Venta;SZR;AME;Generación
FYASIE;FOTVREGESP;FOTOVOLTAICA RETRIBUCION ESPECIFICA;0,0;18WFYASIE-1234-5;Solar fotovoltaica;Venta;SZR;ASIE;Generación
FYATENC;FYATENC;FYATENC;3,9;18W000000000TH1O;Solar fotovoltaica;Venta;SZR;ATENC;Generación
FYATLAS;FYATLAS;FYATLAS;2,2;18W000000000JMYK;Solar fotovoltaica;Venta;SZR;ATLAS;Generación
FYBSG;FYBSG;FYBSG;15,3;18W000000000BCMW;Solar fotovoltaica;Venta;SZR;BSGEA;Generación
FYCEDSL;FYCEDSL;FYCEDSL;1,4;18W000000000U5HO;Solar fotovoltaica;Venta;SZR;CEDSL;Generación
FYCEG;FYCEG;CEG ( FOTOVOLTAICA,TARIFA,NO EXENTO );44,6;18WFYCEG-12345-7;Solar fotovoltaica;Venta;SZR;CEG;Generación
FYCESOS;FYCESOS;UP FOTOVOLTAICA CESOS;0,5;18W000000000R0N2;Solar fotovoltaica;Venta;SZR;CESOS;Generación
FYCEXXI;FYCEXXI;ENDESA CUR FOTOVOL MAYOR 100;0,0;18W000000000FDMD;Solar fotovoltaica;Venta;SZR;EEXXI;Generación
FYCLIDM;RET SUP 15;REGIMEN ESPECIAL TARIFA >15;6,5;18WFYCLIDM-123-Z;Solar fotovoltaica;Venta;SZR;CLIDM;Generación
FYCYE;UPRREFVCD;UP REPRESENTACION RE FV CON DESVIOS;11,9;18WFYCYE-12345-A;Solar fotovoltaica;Venta;SZR;CYE;Generación
FYDETIC;FYDETIC;DETIC ( FOTOVOLTAICA,TARIFA,NO EXENTO );4,2;18WFYDETIC-123-P;Solar fotovoltaica;Venta;SZR;DETIC;Generación
FYEBLCO;FYEBLCO;EBLCO ( FOTOVOLTAICA,TARIFA,NO EXENTO );5,5;18WFYEBLCO-123-6;Solar fotovoltaica;Venta;SZR;EBLCO;Generación
FYEEXXI;FYEEXXI;ENDESA CUR  ( TARIFA, FOTOVOLTAICA, NO EXENTA);421,9;18WFYEEXXI-123-1;Solar fotovoltaica;Venta;SZR;EEXXI;Generación
FYEFG;FYEFG;EFG ( FOTOVOLTAICA,TARIFA,NO EXENTO );68,0;18WFYEFG-12345-C;Solar fotovoltaica;Venta;SZR;EFG;Generación
FYEGED;FYEGED;FYEGED;0,8;18W000000000Q00F;Solar fotovoltaica;Venta;SZR;EGED;Generación
FYEGLE;FYEGLE;EGLE ( FOTOVOLTAICA,TARIFA,NO EXENTO );9,0;18WFYEGLE-1234-H;Solar fotovoltaica;Venta;SZR;EGLE;Generación
FYEGUAS;FYEGUAS;FYEGUAS;3,0;18W000000000SKNC;Solar fotovoltaica;Venta;EVM ;CEG;Generación
FYENDG;FYENDG;FYENDG;0,3;18WFYENDG-1234-3;Solar fotovoltaica;Venta;SZR;ENDG;Generación
FYEONUR;FYEONUR;E.ON CUR ( TARIFA, FOTOVOLTAICA, NO EXENTA);73,1;18WFYEONUR-123-Q;Solar fotovoltaica;Venta;SZR;EONUR;Generación
FYEPES;YPS;FOTYEPES;2,8;18W000000000IWWZ;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FYFEN;FYFEN;FOTOVOLTAICA MAYOR 15 KW;214,4;18WFYFEN-12345-M;Solar fotovoltaica;Venta;SZR;FEN;Generación
FYFUTGR;UP FYFUTGR;UP FOTOVOLTAICA FUTURA GREEN;0,6;18WFYFUTGR-123-D;Solar fotovoltaica;Venta;SZR;FUTGR;Generación
FYGAC;FYGAC;GAC ( FOTOVOLTAICA,TARIFA,NO EXENTO );30,0;18WFYGAC-12345-2;Solar fotovoltaica;Venta;SZR;GAC;Generación
FYGEMSL;GEM FV;GEM FV;0,1;18W000000000F5CK;Solar fotovoltaica;Venta;SZR;GEMSL;Generación
FYGENER;FYGENER;GENER ( FOTOVOLTAICA,TARIFA,NO EXENTO );1,3;18WFYGENER-123-A;Solar fotovoltaica;Venta;SZR;ADXRE;Generación
FYGESTE;FYGESTE;GESTE ( FOTOVOLTAICA,TARIFA,NO EXENTO );316,2;18WFYGESTE-123-A;Solar fotovoltaica;Venta;SZR;GESTE;Generación
FYGNRA;FYGNRA;GNRA ( FOTOVOLTAICA,TARIFA,NO EXENTO );197,8;18WFYGNRA-1234-E;Solar fotovoltaica;Venta;SZR;GNRA;Generación
FYGNSUR;FYGNSUR;GAS NATURAL SUR SDG ( TARIFA, FOTOVOLTAICA, NO EXENTA);39,0;18WFYGNSUR-123-6;Solar fotovoltaica;Venta;SZR;GNSUR;Generación
FYGSETT;GSE S.A.;GLOBAL SOLAR ENERGY S.A.;12,3;18WFYGSETT-123-2;Solar fotovoltaica;Venta;SZR;GSETT;Generación
FYHCCUR;FYHCCUR;HIDROCANTABRICO CUR ( TARIFA, FOTOVOLTAICA, NO EXENTA);1,9;18WFYHCCUR-123-R;Solar fotovoltaica;Venta;SZR;HCCUR;Generación
FYHCG;FYHCG;UP FOTOVOLTAICA HCG;0,0;18W000000000CRRA;Solar fotovoltaica;Venta;SZR;HC G;Generación
FYHELIO;FYHELIO;HELIO ( FOTOVOLTAICA,TARIFA,NO EXENTO );2,9;18WFYHELIO-123-6;Solar fotovoltaica;Venta;SZR;HELIO;Generación
FYIBCUR;FYIBCUR;IBERDROLA CUR  ( TARIFA, FOTOVOLTAICA, NO EXENTA);749,1;18WFYIBCUR-123-Q;Solar fotovoltaica;Venta;SZR;IBCUR;Generación
FYIBGES;FYIBGES;FYIBGES;0,0;18WFYIBGES-123-0;Solar fotovoltaica;Venta;SZR;IBGES;Generación
FYIGNI;IGNI FY;IGNIS AGRUPACION SOLAR FOTOVOLTAICA;1,8;18W000000000PZQA;Solar fotovoltaica;Venta;SZR;IGNIS;Generación
FYLAUEI;FYLAUEI;REPRESENTANTE >15 KW;14,9;18WFYLAUEI-123-W;Solar fotovoltaica;Venta;SZR;LAUEI;Generación
