firm,pdbf_mwh,month,phf_mwh,intervention_mwh,intervention_share
GN,0.0,2024-04-01,275053.7,275053.7,
GN,218.3,2024-05-01,382502.7000000002,382284.4000000002,1751.1882730187824
GN,5636.0,2024-06-01,330695.80000000005,325059.80000000005,57.67562100780697
GN,78207.00000000001,2024-07-01,523187.6000000002,444980.6000000002,5.689779687240274
GN,131114.9,2024-08-01,522181.3,391066.4,2.9826236377406383
GN,81080.39999999998,2024-09-01,449374.1,368293.7,4.542327122214495
GN,43712.59999999999,2024-10-01,410940.60000000003,367228.00000000006,8.400964481636876
GN,207494.99999999988,2024-11-01,756768.0,549273.0000000001,2.6471625822308993
GN,517214.4000000002,2024-12-01,1088324.3000000005,571109.9000000004,1.1042034019161109
GN,84067.79999999999,2025-01-01,542743.0,458675.2,5.456015263870353
GN,102198.9,2025-02-01,473066.6999999997,370867.7999999997,3.628882502649243
GN,1304.2,2025-03-01,399642.9249999998,398338.7249999998,305.4276376322648
GN,8441.8,2025-04-01,587277.4999999994,578835.6999999994,68.56780544433644
GN,0.0,2025-05-01,1064022.224999995,1064022.224999995,
GN,132975.30000000008,2025-06-01,1172391.0749999972,1039415.7749999971,7.81660785875269
GN,243144.29999999984,2025-07-01,1055569.399999993,812425.0999999931,3.3413289968138
GN,123970.19999999995,2025-08-01,978268.9749999944,854298.7749999944,6.891162351920016
GN,115944.39999999995,2025-09-01,890200.2249999973,774255.8249999974,6.677819929207428
GN,563387.1000000001,2025-10-01,1640868.3249999904,1077481.2249999903,1.9125060282707753
GN,33768.52499999999,2025-11-01,1250763.399999992,1216994.874999992,36.0393258219005
GN,76061.87499999997,2025-12-01,1119364.0249999966,1043302.1499999966,13.716492658115476
GN,41851.62499999999,2026-01-01,546231.3750000007,504379.7500000007,12.051616872702095
GN,0.0,2026-02-01,245768.02500000014,245768.02500000014,
HC,41071.2,2024-01-01,83706.9,42635.7,1.038092385905452
HC,450.0,2024-02-01,21286.7,20836.7,46.30377777777778
HC,150.0,2024-03-01,21890.0,21740.0,144.93333333333334
HC,0.0,2024-04-01,441.0,441.0,
HC,0.0,2024-05-01,1690.0,1690.0,
HC,450.0,2024-06-01,16808.0,16358.0,36.35111111111111
HC,15050.4,2024-07-01,65217.8,50167.4,3.3332934672832617
HC,10482.2,2024-08-01,73409.7,62927.5,6.003272213848238
HC,1200.0,2024-09-01,35038.9,33838.9,28.199083333333334
HC,3846.0,2024-10-01,37772.200000000004,33926.200000000004,8.821164846593865
HC,72264.4,2024-11-01,132956.7,60692.30000000002,0.8398644422426537
