d,tech,da_mwh,pdbf_mwh,ida_mwh,ci_mwh,ci_price_wavg,da_price,regime,bilat_mwh,omie_total_mwh,ci_share_omie,bilat_share_pdbf,ci_price_vs_da
2023-11-30,CCGT,6018.6,6018.6,24394.600000000002,1322.2000000000023,75.49437301467238,98.1225,preIDA,0.0,31735.400000000005,0.04166325302343762,0.0,-22.628126985327626
2023-11-30,Hydro,13478.300000000047,193670.2000000004,13189.199999999986,1565.7999999999986,96.05608123642878,98.1225,preIDA,180191.90000000034,28233.300000000032,0.055459333482093726,0.9304059168627904,-2.066418763571221
2023-11-30,Hydro_pump,8612.8,8612.8,3748.6000000000004,6.3,102.0226984126984,98.1225,preIDA,0.0,12367.699999999999,0.0005093913985623843,0.0,3.9001984126984013
2023-11-30,Nuclear,8422.599999999993,337846.7999999996,0.0,0.0,,98.1225,preIDA,329424.1999999996,8422.599999999993,0.0,0.9750697653492648,
2023-11-30,Other,71011.69999999974,270665.9000000019,60680.89999999787,13846.700000000215,111.27537666014095,98.1225,preIDA,199654.20000000217,145539.2999999978,0.09514062524692934,0.7376407593272768,13.152876660140947
2023-11-30,Solar_PV,26963.699999999746,29894.29999999975,10845.600000000424,5973.600000000012,97.05252243203408,98.1225,preIDA,2930.600000000002,43782.90000000018,0.1364368280767146,0.09803206631364597,-1.0699775679659211
2023-11-30,Wind,217077.80000000066,255590.9000000009,44178.29999999759,1734.5999999999972,90.26763749567652,98.1225,preIDA,38513.10000000024,262990.6999999982,0.006595670493291242,0.15068259472461698,-7.854862504323478
2023-12-01,CCGT,3038.0,3038.0,24372.600000000006,1611.8000000000004,77.42761074575007,97.96750000000002,preIDA,0.0,29022.400000000005,0.05553641325321132,0.0,-20.539889254249942
2023-12-01,Hydro,13530.000000000035,195403.70000000016,25301.9,2686.2000000000007,35.616512545603314,97.96750000000002,preIDA,181873.70000000013,41518.100000000035,0.06469949251049538,0.9307587317947408,-62.3509874543967
2023-12-01,Hydro_pump,7517.400000000001,7517.400000000001,6764.800000000004,919.4000000000007,44.857569066782666,97.96750000000002,preIDA,0.0,15201.600000000006,0.06048047573939588,0.0,-53.10993093321735
2023-12-01,Nuclear,8242.799999999988,337543.60000000056,0.0,0.0,,97.96750000000002,preIDA,329300.80000000057,8242.799999999988,0.0,0.9755800435854806,
2023-12-01,Other,70961.99999999964,247495.60000000175,72979.70000000094,11574.700000000119,83.55791528074054,97.96750000000002,preIDA,176533.60000000213,155516.40000000072,0.07442752018436682,0.7132797512359851,-14.40958471925947
2023-12-01,Solar_PV,36709.59999999958,42612.0999999995,12683.600000000613,3481.0999999999954,63.905976271868255,97.96750000000002,preIDA,5902.49999999992,52874.300000000185,0.065837278224014,0.13851699399935674,-34.06152372813176
2023-12-01,Wind,200324.3000000005,228059.00000000096,56521.79999999481,2271.599999999999,64.15168515583733,97.96750000000002,preIDA,27734.70000000045,259117.69999999533,0.008766672442677748,0.12161195129330714,-33.81581484416269
2023-12-02,CCGT,5270.0,5270.0,20627.500000000004,2635.6,119.60393155258762,81.02583333333334,preIDA,0.0,28533.100000000002,0.09236991423995289,0.0,38.57809821925429
2023-12-02,Hydro,18667.400000000016,177458.4000000002,10929.000000000024,1713.6000000000022,97.22012021475257,81.02583333333334,preIDA,158791.00000000017,31310.00000000004,0.054730118173107634,0.8948068955879237,16.19428688141923
2023-12-02,Hydro_pump,11727.999999999998,11727.999999999998,8495.800000000001,327.29999999999995,91.91808738160708,81.02583333333334,preIDA,0.0,20551.1,0.0159261548043657,0.0,10.892254048273742
2023-12-02,Nuclear,11296.999999999993,337459.40000000043,0.0,0.0,,81.02583333333334,preIDA,326162.40000000043,11296.999999999993,0.0,0.9665233802940443,
2023-12-02,Other,75131.99999999999,206293.30000000057,55183.1999999993,3076.099999999995,100.74913461851068,81.02583333333334,preIDA,131161.30000000057,133391.2999999993,0.023060724350088883,0.6358000962706991,19.723301285177342
2023-12-02,Solar_PV,50398.99999999979,64377.79999999971,8104.700000000363,1529.1999999999994,61.787942061208526,81.02583333333334,preIDA,13978.799999999923,60032.90000000015,0.025472699136640003,0.2171369633631467,-19.237891272124813
2023-12-02,Wind,171581.500000001,206767.10000000143,40420.69999999421,763.1000000000024,97.55593369152123,81.02583333333334,preIDA,35185.60000000044,212765.29999999522,0.003586581082535637,0.1701702059950553,16.530100358187894
2023-12-03,CCGT,730.0,730.0,17341.500000000004,595.4000000000002,73.95613705072218,79.92291666666667,preIDA,0.0,18666.900000000005,0.031896029871055186,0.0,-5.966779615944489
2023-12-03,Hydro,32124.799999999977,180375.0000000004,9162.700000000019,1832.1999999999994,61.85036786377043,79.92291666666667,preIDA,148250.20000000042,43119.7,0.04249101918612605,0.8218999306999312,-18.072548802896236
2023-12-03,Hydro_pump,5183.3,5183.3,5122.900000000001,416.4000000000002,74.66493756003831,79.92291666666667,preIDA,0.0,10722.6,0.03883386492082146,0.0,-5.257979106628355
2023-12-03,Nuclear,24142.100000000115,338011.00000000023,0.0,0.0,,79.92291666666667,preIDA,313868.90000000014,24142.100000000115,0.0,0.9285759930889821,
2023-12-03,Other,68418.59999999998,228288.90000000078,43676.29999999949,11821.70000000017,77.2394427197432,79.92291666666667,preIDA,159870.3000000008,123916.59999999964,0.09540045482203517,0.7002981748127055,-2.6834739469234705
2023-12-03,Solar_PV,44769.899999999594,54488.59999999951,10663.2000000002,3110.999999999987,65.16580810028955,79.92291666666667,preIDA,9718.699999999917,58544.09999999978,0.053139428225901474,0.17836207940743576,-14.757108566377113
2023-12-03,Wind,147964.20000000024,175732.90000000026,30558.100000000275,1785.1999999999978,67.10018653372174,79.92291666666667,preIDA,27768.70000000001,180307.50000000052,0.009900863802115788,0.15801651255968557,-12.822730132944926
2023-12-04,CCGT,4975.1,4975.1,16669.6,847.1000000000003,80.85036005194183,77.24083333333333,preIDA,0.0,22491.799999999996,0.03766261481962317,0.0,3.6095267186085067
2023-12-04,Hydro,17649.300000000036,199127.80000000072,10140.700000000008,1622.1999999999985,77.90825853778836,77.24083333333333,preIDA,181478.50000000067,29412.20000000004,0.0551539837210408,0.9113669713621102,0.6674252044550286
2023-12-04,Hydro_pump,7605.899999999999,7605.899999999999,6944.200000000001,113.9,104.3,77.24083333333333,preIDA,0.0,14663.999999999998,0.007767321331151119,0.0,27.05916666666667
2023-12-04,Nuclear,9142.000000000013,338365.59999999957,0.0,0.0,,77.24083333333333,preIDA,329223.59999999957,9142.000000000013,0.0,0.9729818870476195,
2023-12-04,Other,71914.79999999997,260371.20000000086,60208.29999999711,14287.700000000172,94.71125842507739,77.24083333333333,preIDA,188456.4000000009,146410.79999999725,0.0975863802397121,0.7237989455054947,17.47042509174406
2023-12-04,Solar_PV,32320.199999999804,36662.69999999958,10976.600000000584,3468.9999999999914,83.41549380224859,77.24083333333333,preIDA,4342.499999999778,46765.80000000038,0.07417813872530703,0.11844463173742871,6.174660468915263
2023-12-04,Wind,243279.4000000008,279067.09999999974,41003.499999996304,1375.799999999997,89.02746184038394,77.24083333333333,preIDA,35787.699999998935,285658.6999999971,0.004816236998908176,0.1282404840986235,11.786628507050608
2023-12-05,CCGT,53051.80000000001,71677.6,25545.899999999987,2185.7999999999997,113.84582715710482,113.13583333333334,preIDA,18625.799999999996,80783.5,0.027057505554971,0.2598552406888623,0.7099938237714838
2023-12-05,Hydro,20744.90000000002,255088.30000000042,9005.600000000024,1706.5999999999997,103.92896167819045,113.13583333333334,preIDA,234343.4000000004,31457.100000000042,0.05425166337647137,0.9186756115431403,-9.20687165514289
2023-12-05,Hydro_pump,24510.100000000002,24510.100000000002,3871.9,400.6999999999999,105.89218866982783,113.13583333333334,preIDA,0.0,28782.700000000004,0.013921557046420239,0.0,-7.243644663505506
2023-12-05,Nuclear,8665.200000000012,338370.3999999999,97.0,0.0,,113.13583333333334,preIDA,329705.1999999999,8762.200000000012,0.0,0.9743913770235221,
2023-12-05,Other,71649.89999999976,241992.500000001,68241.59999999903,13429.200000000183,110.45566988353556,113.13583333333334,preIDA,170342.60000000123,153320.69999999896,0.08758895569874305,0.7039168569273863,-2.6801634497977744
2023-12-05,Solar_PV,34904.29999999981,40584.39999999966,13439.10000000025,1164.400000000001,117.8856870491239,113.13583333333334,preIDA,5680.099999999853,49507.800000000054,0.023519526216070997,0.13995771774376117,4.7498537157905645
2023-12-05,Wind,102243.0,118305.70000000038,33824.100000001104,1426.7000000000005,117.21004626060109,113.13583333333334,preIDA,16062.700000000375,137493.80000000112,0.010376467884369977,0.13577283258541495,4.074212927267752
2023-12-06,CCGT,43678.8,54478.99999999999,35029.59999999997,1337.7999999999995,100.1918268799521,105.96499999999997,preIDA,10800.19999999999,80046.19999999997,0.016712848330089375,0.1982451953963911,-5.773173120047872
2023-12-06,Hydro,40804.499999999876,227882.7000000006,10917.900000000032,522.2999999999998,121.57252153934533,105.96499999999997,preIDA,187078.2000000007,52244.69999999991,0.009997186317463795,0.8209407734768819,15.607521539345356
2023-12-06,Hydro_pump,15438.499999999996,15438.499999999996,6301.4,265.3,108.25375424048241,105.96499999999997,preIDA,0.0,22005.199999999993,0.012056241252067697,0.0,2.288754240482433
2023-12-06,Nuclear,8293.19999999998,338602.6000000005,0.0,0.0,,105.96499999999997,preIDA,330309.40000000055,8293.19999999998,0.0,0.9755075714126237,
2023-12-06,Other,71800.59999999982,218400.20000000077,57978.699999998425,9206.700000000077,105.37958074011217,105.96499999999997,preIDA,146599.60000000097,138985.9999999983,0.06624192364698739,0.6712429750522227,-0.5854192598878001
2023-12-06,Solar_PV,40763.49999999984,47372.09999999991,15776.300000000765,1552.2000000000003,111.57985762144065,105.96499999999997,preIDA,6608.600000000071,58092.000000000604,0.026719686015285824,0.13950405407402425,5.614857621440677
2023-12-06,Wind,79623.6999999998,89004.20000000004,27196.799999998202,1373.500000000002,110.92101128503803,105.96499999999997,preIDA,9380.500000000247,108193.99999999799,0.012694788990147582,0.10539390275964779,4.956011285038059
2023-12-07,CCGT,280.0,280.0,20210.09999999999,1372.199999999999,69.20448258271395,85.07333333333334,preIDA,0.0,21862.29999999999,0.06276558276119162,0.0,-15.868850750619387
2023-12-07,Hydro,19530.800000000014,191707.3000000007,6355.899999999986,700.3000000000006,95.3080322718834,85.07333333333334,preIDA,172176.50000000067,26587.0,0.02633994057246025,0.8981217720973591,10.234698938550068
2023-12-07,Hydro_pump,14613.700000000003,14613.700000000003,5756.3,463.19999999999993,93.8576316925734,85.07333333333334,preIDA,0.0,20833.200000000004,0.022233742295950685,0.0,8.784298359240069
2023-12-07,Nuclear,8300.69999999999,338607.8000000004,0.0,0.0,,85.07333333333334,preIDA,330307.1000000004,8300.69999999999,0.0,0.9754857980235541,
2023-12-07,Other,71558.29999999974,274640.2000000011,57929.59999999846,10332.200000000112,84.97889694353434,85.07333333333334,preIDA,203081.90000000136,139820.09999999832,0.07389638542670357,0.739447102062992,-0.09443638979900015
2023-12-07,Solar_PV,26137.199999999793,29969.699999999764,9630.400000000405,1840.199999999998,87.25680849907637,85.07333333333334,preIDA,3832.499999999971,37607.80000000019,0.04893133871164994,0.12787915794952906,2.183475165743033
2023-12-07,Wind,190891.10000000047,224794.40000000066,41767.6999999973,1522.4999999999989,92.36841773399006,85.07333333333334,preIDA,33903.30000000019,234181.29999999778,0.0065013730814544686,0.15081914851971442,7.2950844006567195
2023-12-08,CCGT,330.0,330.0,5431.900000000001,636.5000000000002,62.536900235663744,21.780416666666667,preIDA,0.0,6398.400000000001,0.09947799449862468,0.0,40.756483568997076
2023-12-08,Hydro,11809.600000000019,135499.40000000005,11659.800000000081,1637.3000000000022,39.19592011238006,21.780416666666667,preIDA,123689.80000000003,25106.700000000103,0.06521366806469968,0.9128438945117099,17.41550344571339
2023-12-08,Hydro_pump,5880.599999999999,5880.599999999999,6193.299999999998,286.29999999999995,41.20607055536152,21.780416666666667,preIDA,0.0,12360.199999999997,0.023163055613986832,0.0,19.425653888694853
2023-12-08,Nuclear,9496.400000000014,338567.1999999983,10532.700000000003,0.0,,21.780416666666667,preIDA,329070.7999999983,20029.100000000017,0.0,0.9719512108674435,
2023-12-08,Other,63250.49999999972,234544.70000000164,57086.39999999806,2376.4000000000024,37.28432376704258,21.780416666666667,preIDA,171294.20000000193,122713.29999999779,0.019365464053204055,0.7303264580269805,15.503907100375912
2023-12-08,Solar_PV,38820.2999999996,41495.29999999964,12670.40000000078,1058.8999999999987,9.267161205024104,21.780416666666667,preIDA,2675.0000000000364,52549.600000000384,0.02015048639761275,0.06446513219569588,-12.513255461642563
2023-12-08,Wind,276816.8,308581.49999999977,56437.69999999349,2016.499999999997,20.55611009174311,21.780416666666667,preIDA,31764.69999999978,335270.9999999935,0.006014537493550102,0.10293779763206738,-1.2243065749235562
2023-12-09,CCGT,200.0,200.0,7872.699999999998,637.8000000000001,43.54137190341797,35.392500000000005,preIDA,0.0,8710.499999999998,0.07322197348028243,0.0,8.148871903417962
2023-12-09,Hydro,13963.700000000017,135364.10000000012,8296.100000000064,2473.399999999999,46.94756812484835,35.392500000000005,preIDA,121400.40000000011,24733.20000000008,0.10000323451878411,0.8968434023496629,11.555068124848347
2023-12-09,Hydro_pump,7168.3,7168.3,6032.299999999998,1158.5000000000018,36.09383513163564,35.392500000000005,preIDA,0.0,14359.1,0.08068054404523974,0.0,0.7013351316356378
2023-12-09,Nuclear,11084.199999999943,338766.19999999885,0.0,0.0,,35.392500000000005,preIDA,327681.9999999989,11084.199999999943,0.0,0.967280679123242,
2023-12-09,Other,59400.39999999982,239341.20000000228,45605.29999999842,8039.099999999999,56.20876416514276,35.392500000000005,preIDA,179940.80000000246,113044.79999999824,0.07111428389452787,0.7518170711937633,20.816264165142755
