month,abs_imb_mwh,net_transfer_eur,eur_per_mwh_imb,regime
2021-09-01,19691.8,79748.2100000009,4.049818198437974,pre-IDA
2021-10-01,22227.3,-14765915.110000007,-664.3143841132304,pre-IDA
2021-11-01,19525.2,-24674697.689999998,-1263.7359765841065,pre-IDA
2021-12-01,18652.7,1751979.25,93.92630825564127,pre-IDA
2022-01-01,20952.9,-13219430.660000011,-630.9117430045488,pre-IDA
2022-02-01,17999.3,-31178870.199999996,-1732.226819931886,pre-IDA
2022-03-01,19699.1,-27188367.189999983,-1380.1832159844857,pre-IDA
2022-04-01,22181.3,-32127263.64,-1448.3940815010844,pre-IDA
2022-05-01,62538.700000000004,-59820973.91,-956.543290954241,pre-IDA
2022-06-01,118148.3,-63777084.03999999,-539.805346670244,pre-IDA
2022-07-01,95768.7,-8454121.579999998,-88.27645754823861,pre-IDA
2022-08-01,94138.2,-15660168.989999995,-166.35296818932162,pre-IDA
2022-09-01,81249.2,-11404696.950000003,-140.36688299700185,pre-IDA
2022-10-01,79110.8,-18927991.629999995,-239.25926207294066,pre-IDA
2022-11-01,68867.3,-14877589.920000002,-216.0327168336787,pre-IDA
2022-12-01,71693.3,-2736201.0099999905,-38.16536566178416,pre-IDA
2023-01-01,80538.8,-1528290.2900000066,-18.97582643396731,pre-IDA
2023-02-01,78089.0,21770546.67,278.7914644828337,pre-IDA
2023-03-01,90619.20000000001,-25884199.590000004,-285.6370348667832,pre-IDA
2023-04-01,86818.79999999999,-37284262.879999995,-429.4491847387893,pre-IDA
2023-05-01,99905.40000000001,-44173755.13,-442.1558307158572,pre-IDA
2023-06-01,92618.90000000001,-11194786.150000006,-120.86934902055633,pre-IDA
2023-07-01,90629.09999999999,-41154536.330000006,-454.09847753094766,pre-IDA
2023-08-01,93191.5,-31127216.950000003,-334.0134770875026,pre-IDA
2023-09-01,98721.09999999999,1865155.25,18.89317734506605,pre-IDA
2023-10-01,97413.4,-21934317.269999996,-225.16735141161274,pre-IDA
2023-11-01,86152.9,3535663.7700000033,41.03940517382472,pre-IDA
2023-12-01,85753.0,6870174.180000007,80.11584644269014,pre-IDA
2024-01-01,95384.8,-1176197.1399999931,-12.331075181789899,pre-IDA
2024-02-01,79063.99999999999,-17091484.98,-216.17278382070225,pre-IDA
2024-03-01,92965.29999999999,-17427360.78,-187.46092122544653,pre-IDA
2024-04-01,103975.9,-24301686.35000001,-233.72422215147944,pre-IDA
2024-05-01,110938.09999999999,-27273665.61,-245.84579698047833,pre-IDA
2024-06-01,92779.29999999999,-36531148.45999999,-393.7424453514954,pre-IDA
2024-07-01,98742.5,-7637155.939999998,-77.34416224017012,3-sess
2024-08-01,90478.5,23596.189999997616,0.26079333764372326,3-sess
2024-09-01,93400.7,-10080951.170000002,-107.93228712418646,3-sess
2024-10-01,121359.79999999999,-17009055.259999998,-140.15394933083277,3-sess
2024-11-01,161142.5,17421266.000000007,108.11093286997537,3-sess
2024-12-01,102288.2,127758321.95,1249.0035209339885,ISP15-win
2025-01-01,143469.4,129419489.88,902.0703361134848,ISP15-win
2025-02-01,534324.8,134818500.31,252.31563331891013,ISP15-win
2025-03-01,251216.30000000002,121261973.28,482.699463689259,ISP15-win
2025-04-01,241129.0,56769057.650000006,235.4302371344799,DA60/ID15
2025-05-01,175973.3,47503658.54000001,269.94810314973927,DA60/ID15
2025-06-01,139292.0,121105115.42000002,869.4333875599461,DA60/ID15
2025-07-01,146934.7,59238129.83,403.1595656437859,DA60/ID15
2025-08-01,150841.1,72561262.93,481.04437669839325,DA60/ID15
2025-09-01,144644.8,90069182.5,622.692156925102,DA60/ID15
2025-10-01,146725.9,9155008.879999995,62.395315891740964,DA15/ID15
2025-11-01,175609.49999999997,8304078.830000006,47.28718452019969,DA15/ID15
2025-12-01,174077.9,2288854.730000004,13.148450952131226,DA15/ID15
