month,firm,bilateral_abs_mwh,auction_sell_mwh,bilateral_TWh,auction_TWh,total_TWh,bilat_share
2018-07-01,GE,1591233.7999999989,2513448.9999999963,1.5912337999999988,2.5134489999999965,4.1046827999999955,0.387663036958666
2018-07-01,GN,621048.0,691268.3999999965,0.621048,0.6912683999999966,1.3123163999999967,0.4732456288742575
2018-07-01,HC,0.0,422162.2000000011,0.0,0.4221622000000011,0.4221622000000011,0.0
2018-07-01,IB,3063200.500000002,1388151.9999999986,3.063200500000002,1.3881519999999985,4.4513525000000005,0.6881505115580043
2018-08-01,GE,1394555.9999999972,2337508.6000000024,1.3945559999999972,2.3375086000000023,3.7320645999999993,0.3736687730432098
2018-08-01,GN,615480.0,558053.1999999994,0.61548,0.5580531999999994,1.1735331999999994,0.5244674799145013
2018-08-01,HC,0.0,617590.4999999993,0.0,0.6175904999999993,0.6175904999999993,0.0
2018-08-01,IB,3445817.199999992,1477661.9999999974,3.4458171999999916,1.4776619999999974,4.9234791999999885,0.6998744302606172
2018-09-01,GE,1304877.2999999952,2655580.299999998,1.3048772999999951,2.655580299999998,3.9604575999999927,0.32947639686888647
2018-09-01,GN,596040.0,661478.9999999994,0.59604,0.6614789999999994,1.2575189999999994,0.4739809100299879
2018-09-01,HC,0.0,642512.8999999989,0.0,0.6425128999999988,0.6425128999999988,0.0
2018-09-01,IB,3409258.599999997,1662378.3000000021,3.4092585999999967,1.662378300000002,5.071636899999999,0.6722205605846896
2018-10-01,GE,1306430.0999999985,2051338.099999998,1.3064300999999985,2.051338099999998,3.357768199999996,0.3890769172213853
2018-10-01,GN,622005.0,938417.8000000028,0.622005,0.9384178000000029,1.5604228000000029,0.39861311946992756
2018-10-01,HC,0.0,495925.2000000007,0.0,0.49592520000000073,0.49592520000000073,0.0
2018-10-01,IB,3389025.500000026,1409281.9000000039,3.389025500000026,1.4092819000000039,4.79830740000003,0.7062960368066467
2018-11-01,GE,864147.4000000026,2180997.3999999985,0.8641474000000026,2.1809973999999985,3.045144800000001,0.28377875495444493
2018-11-01,GN,609912.0,1509691.1999999974,0.609912,1.5096911999999973,2.1196031999999976,0.2877481973984568
2018-11-01,HC,0.0,666817.7999999985,0.0,0.6668177999999986,0.6668177999999986,0.0
2018-11-01,IB,2828157.599999993,1207300.8000000035,2.8281575999999933,1.2073008000000036,4.035458399999997,0.7008268503028047
2018-12-01,GE,684879.3999999979,1954296.4000000008,0.6848793999999979,1.954296400000001,2.639175799999999,0.2595050318360748
2018-12-01,GN,630960.0,1210084.5,0.63096,1.2100845,1.8410445,0.3427184948544155
2018-12-01,HC,0.0,600441.4999999981,0.0,0.6004414999999982,0.6004414999999982,0.0
2018-12-01,IB,3325970.100000027,1169860.100000005,3.3259701000000272,1.169860100000005,4.495830200000032,0.7397899724949584
2019-01-01,GE,1315585.8000000007,1664567.6999999925,1.3155858000000007,1.6645676999999925,2.980153499999993,0.44144900589852293
2019-01-01,GN,631200.0,1211794.3999999992,0.6312,1.2117943999999992,1.8429943999999991,0.34248611932841483
2019-01-01,HC,0.0,602335.3999999987,0.0,0.6023353999999987,0.6023353999999987,0.0
2019-01-01,IB,3290560.6999999993,1624915.1000000052,3.2905606999999994,1.6249151000000053,4.915475800000005,0.6694287254959116
