reform,market,session,hour_class,price_eur,resid_real,resid_placebo,placebo_net
DA15,DA,,flat,17,-11.782770642363891,229.80432927488118,-241.58709991724507
DA15,DA,,flat,18,7.4790262399934475,295.2255304829097,-287.7465042429162
DA15,DA,,flat,19,19.052379064341004,298.32596546186113,-279.27358639752015
DA15,DA,,flat,20,33.71030049305561,289.0192947882267,-255.3089942951711
DA15,DA,,flat,21,92.39572865568509,287.7310421701841,-195.33531351449898
DA15,DA,,flat,22,116.39071005707956,299.9244803385324,-183.53377028145286
DA15,DA,,flat,23,157.1497348190182,285.1563297223896,-128.00659490337142
DA15,DA,,flat,24,210.16037311739683,289.29139346800366,-79.13102035060683
DA15,DA,,flat,25,201.95624432035507,337.1343327830843,-135.17808846272922
DA15,DA,,flat,26,234.92871895438878,360.80653287380704,-125.87781391941826
DA15,DA,,flat,27,234.58273595001455,367.34053229100135,-132.7577963409868
DA15,DA,,flat,28,248.68075880821138,386.86094080315246,-138.18018199494108
DA15,DA,,flat,29,238.72129072419312,410.27041544504056,-171.54912472084743
DA15,DA,,flat,30,180.0036420913293,441.15434132178143,-261.1506992304521
DA15,DA,,flat,31,227.18321297071802,461.7118296545717,-234.5286166838537
DA15,DA,,flat,32,209.02822500267553,449.0652764066978,-240.0370514040223
DA15,DA,,flat,33,238.06036598320642,456.8408248313367,-218.78045884813028
DA15,DA,,flat,34,206.70180218502082,487.9989662587952,-281.29716407377435
DA15,DA,,flat,35,21.157036104380666,348.1806835787776,-327.0236474743969
DA15,DA,,flat,36,304.9666132764345,3.4850611035370322,301.48155217289747
DA15,DA,,flat,37,302.6632240532184,13.82902896849156,288.83419508472684
DA15,DA,,flat,38,307.31632390066267,91.74519466212585,215.5711292385368
DA15,DA,,flat,39,306.4528228811499,192.9694492222819,113.48337365886803
DA15,DA,,flat,40,272.5407515012762,275.05163547005657,-2.5108839687803766
DA15,DA,,flat,41,161.31999296043006,338.28597302096966,-176.9659800605396
DA15,DA,,flat,42,146.88946723976215,393.12023874395675,-246.2307715041946
DA15,DA,,flat,43,122.4394071963965,427.2640155125505,-304.824608316154
DA15,DA,,flat,44,102.35117187343886,492.68237167965316,-390.3311998062143
DA15,DA,,flat,45,41.91253514244153,511.45087167434974,-469.5383365319082
DA15,DA,,flat,46,71.14150008337668,527.4940201453946,-456.35252006201796
DA15,DA,,flat,47,138.28690947441788,594.0377103396788,-455.75080086526094
DA15,DA,,flat,48,98.02770305056167,623.3611447417786,-525.333441691217
DA15,DA,,flat,49,64.78299354751056,671.3921048527865,-606.609111305276
DA15,DA,,flat,50,4.7587494713778025,666.7176121216082,-661.9588626502305
DA15,DA,,flat,51,46.311660535098405,737.7637522507382,-691.4520917156398
DA15,DA,,flat,52,93.94564004927685,781.4427290111819,-687.4970889619051
DA15,DA,,flat,53,131.81533423239384,837.678196982048,-705.8628627496541
DA15,DA,,flat,54,97.54858008782197,875.6114987936669,-778.0629187058449
DA15,DA,,flat,55,62.84608726588938,917.3418428560315,-854.495755590142
DA15,DA,,flat,56,77.88822667060394,976.5200151211254,-898.6317884505215
DA15,DA,,flat,57,103.97406742064743,1012.2395332842214,-908.2654658635739
DA15,DA,,flat,58,130.30354675173962,1058.948306977854,-928.6447602261143
DA15,DA,,flat,59,114.57492234346265,1092.597168125665,-978.0222457822023
DA15,DA,,flat,60,116.14478001218376,1147.4315278424197,-1031.286747830236
DA15,DA,,flat,61,118.23836876438831,1198.3361870525177,-1080.0978182881295
DA15,DA,,flat,62,127.6980551383397,1237.7493236922985,-1110.0512685539588
DA15,DA,,flat,63,130.15714369257768,1279.6074973280665,-1149.450353635489
DA15,DA,,flat,64,111.63764938597649,1328.6980460513118,-1217.0603966653352
DA15,DA,,flat,65,173.9848165962319,1396.405908280706,-1222.421091684474
DA15,DA,,flat,66,183.94154390409972,1454.2105085828407,-1270.268964678741
DA15,DA,,flat,67,129.75130622751598,1472.4176817309026,-1342.6663755033867
DA15,DA,,flat,68,140.90543545885896,1572.3202289106018,-1431.4147934517428
DA15,DA,,flat,69,116.25038811491193,1607.5680946012887,-1491.317706486377
DA15,DA,,flat,70,174.64906426950864,1588.7780987498804,-1414.1290344803717
DA15,DA,,flat,71,249.11357559435564,1587.680159244494,-1338.5665836501385
DA15,DA,,flat,72,275.3861624048198,1634.1162779325616,-1358.7301155277419
DA15,DA,,flat,73,267.1947290780574,1681.7833727145983,-1414.5886436365408
DA15,DA,,flat,74,166.1986304334818,1641.7077207289105,-1475.5090902954287
DA15,DA,,flat,75,128.7619039564576,1721.946574401853,-1593.1846704453953
DA15,DA,,flat,76,117.8387952233714,1775.6550294053334,-1657.816234181962
DA15,DA,,flat,77,111.63439430327108,1867.619401377097,-1755.9850070738257
DA15,DA,,flat,78,141.8695474942553,1912.376775964192,-1770.5072284699365
DA15,DA,,flat,79,97.57001829774606,1905.8129226443762,-1808.24290434663
DA15,DA,,flat,80,202.8123671329475,1872.3819588459687,-1669.5695917130213
DA15,DA,,flat,81,228.73508970323172,1797.6128752518744,-1568.8777855486426
DA15,DA,,flat,82,276.05176474609544,1800.5186489793555,-1524.46688423326
DA15,DA,,flat,83,324.9830987306311,1837.9861939239283,-1513.0030951932972
DA15,DA,,flat,84,331.8744482713263,1851.0117875719352,-1519.1373393006088
DA15,DA,,flat,85,374.81765374892746,1826.673358075385,-1451.8557043264577
DA15,DA,,flat,86,435.8252686403324,1862.7219579913449,-1426.8966893510124
DA15,DA,,flat,87,445.73531835375763,1854.1875176744293,-1408.4521993206718
DA15,DA,,flat,88,480.4522497890754,1846.191537956155,-1365.7392881670794
DA15,DA,,flat,89,441.5107394408218,1789.8903794047274,-1348.3796399639054
