year_month,hour_class,da_p,ida_p,wedge,n
2025-07-01,flat_h3_5,84.06233333333333,82.7325,1.3298333333333334,90
2025-07-01,other,59.97075975359343,66.84973648186174,-6.878976728268309,487
2025-08-01,critical_h18_22,94.79477419354839,77.1316129032258,17.66316129032258,155
2025-08-01,flat_h3_5,87.06086021505376,85.99387096774194,1.066989247311828,93
2025-08-01,other,56.71975806451613,60.49180107526882,-3.7720430107526877,496
2025-09-01,critical_h18_22,94.20886666666667,77.88862222222222,16.320244444444445,150
2025-09-01,flat_h3_5,72.387,69.81066666666666,2.576333333333334,90
2025-09-01,other,48.550666666666665,52.28511458333333,-3.734447916666667,480
2025-10-01,critical_h18_22,110.18922580645163,106.6169301075269,3.572295698924731,620
2025-10-01,flat_h3_5,76.62301075268817,74.6168817204301,2.0061290322580643,372
2025-10-01,other,63.54114754098361,61.57041424290499,1.970733298078618,1891
2025-11-01,critical_h18_22,95.67428333333334,91.37845277777777,4.295830555555555,600
2025-11-01,flat_h3_5,48.23019444444444,49.91520833333333,-1.685013888888889,360
2025-11-01,other,47.93871584699454,48.45262112932605,-0.5139052823315119,1830
2025-12-01,critical_h18_22,100.37351612903227,97.07307258064516,3.300443548387096,620
2025-12-01,flat_h3_5,61.10486559139785,60.76872311827957,0.3361424731182792,372
2025-12-01,other,73.61294553146483,72.81154239379518,0.801403137669663,1891
