parent,year_month,hour_class,n_obs,da_mwh_mean,strategic_ida_mwh_mean,rt2_mwh_mean,phf_mwh_mean
Engie,2024-07-01,flat_h3_5,372,12.049462365591397,2.957258064516129,0.0,15.006720430107526
Engie,2024-07-01,other,1984,4.364616935483871,0.5939012096774193,0.0,4.95851814516129
Engie,2024-08-01,critical_h18_22,620,2.5935483870967744,1.8885483870967743,0.0,4.482096774193549
Engie,2024-08-01,flat_h3_5,372,2.1677419354838707,-0.7935483870967741,0.0,1.3741935483870966
Engie,2024-08-01,other,1984,1.2212701612903225,-0.016784274193548384,0.0,1.204485887096774
Engie,2024-09-01,critical_h18_22,600,0.0,1.825,0.0,1.825
Engie,2024-09-01,flat_h3_5,360,0.0,0.044444444444444446,0.0,0.044444444444444446
Engie,2024-09-01,other,1920,0.0,0.15182291666666667,0.0,0.15182291666666667
Engie,2024-10-01,critical_h18_22,620,0.0,1.5640322580645163,0.0,1.5640322580645163
Engie,2024-10-01,flat_h3_5,372,0.0,0.0,0.0,0.0
Engie,2024-10-01,other,1984,0.0,0.8598286290322581,0.0,0.8598286290322581
Engie,2024-11-01,critical_h18_22,600,0.0,19.170333333333335,0.0,19.170333333333335
Engie,2024-11-01,flat_h3_5,360,0.0,0.43333333333333335,0.0,0.43333333333333335
Engie,2024-11-01,other,1920,0.0,4.007552083333334,0.0,4.007552083333334
Engie,2024-12-01,critical_h18_22,620,2.676451612903226,20.063548387096773,0.0,22.74
Engie,2024-12-01,flat_h3_5,372,0.0,1.838978494623656,0.0,1.838978494623656
Engie,2024-12-01,other,1984,1.4606854838709677,5.038810483870968,0.0,6.499495967741936
Engie,2025-01-01,critical_h18_22,620,3.1274193548387097,1.1419354838709677,0.0,4.269354838709678
Engie,2025-01-01,flat_h3_5,372,0.15591397849462366,1.0053763440860215,0.0,1.1612903225806452
Engie,2025-01-01,other,1984,1.9650201612903226,1.307258064516129,0.0,3.272278225806452
Engie,2025-02-01,critical_h18_22,560,0.0,5.839285714285714,0.0,5.839285714285714
Engie,2025-02-01,flat_h3_5,336,0.0,1.3363095238095237,0.0,1.3363095238095237
Engie,2025-02-01,other,1792,0.0,3.055078125,0.0,3.055078125
Engie,2025-03-01,critical_h18_22,1400,0.0,0.5928571428571429,0.0,0.5928571428571429
Engie,2025-03-01,flat_h3_5,840,0.0,0.15714285714285714,0.0,0.15714285714285714
Engie,2025-03-01,other,4320,0.0,0.33370370370370367,0.0,0.33370370370370367
Engie,2025-04-01,critical_h18_22,2400,0.0,0.21435416666666668,0.0,0.21435416666666668
Engie,2025-04-01,flat_h3_5,1440,0.0,0.0,0.0,0.0
Engie,2025-04-01,other,7320,0.0,0.07494535519125683,0.0,0.07494535519125683
Engie,2025-05-01,critical_h18_22,2480,1.0584677419354838,0.08875,0.0,1.1472177419354836
Engie,2025-05-01,flat_h3_5,1488,0.0,0.0,0.0,0.0
Engie,2025-05-01,other,7564,0.13114754098360656,0.012268640930724484,0.0,0.14341618191433106
Engie,2025-06-01,critical_h18_22,2400,0.12191666666666667,0.4915520833333333,0.0,0.61346875
Engie,2025-06-01,flat_h3_5,1440,0.0,0.11814236111111111,0.0,0.11814236111111111
Engie,2025-06-01,other,7320,0.0,0.10437841530054644,0.0,0.10437841530054644
Engie,2025-07-01,critical_h18_22,2411,0.631273330568229,1.3813770219825798,0.0,2.012650352550809
Engie,2025-07-01,flat_h3_5,1448,0.0,0.6394682320441989,0.0,0.6394682320441989
Engie,2025-07-01,other,7335,0.051806407634628494,0.06587252897068849,0.0,0.11767893660531697
Engie,2025-08-01,critical_h18_22,2480,0.7887096774193548,2.352318548387097,0.0,3.1410282258064517
Engie,2025-08-01,flat_h3_5,1488,0.0,0.8291666666666666,0.0,0.8291666666666666
Engie,2025-08-01,other,7564,0.042966684294024324,0.4706339238498149,0.0,0.5136006081438392
Engie,2025-09-01,critical_h18_22,2400,0.0,0.752625,0.0,0.752625
Engie,2025-09-01,flat_h3_5,1440,0.0,0.43072916666666666,0.0,0.43072916666666666
Engie,2025-09-01,other,7320,0.0,0.24121926229508195,0.0,0.24121926229508195
Engie,2025-10-01,critical_h18_22,2480,0.6451612903225806,1.7372479838709678,0.0,2.3824092741935483
Engie,2025-10-01,flat_h3_5,1488,0.0,0.3569052419354839,0.0,0.3569052419354839
Engie,2025-10-01,other,7564,0.08712321523003702,0.5611085404547859,0.0,0.6482317556848229
Engie,2025-11-01,critical_h18_22,2400,0.0,0.02625,0.0,0.02625
Engie,2025-11-01,flat_h3_5,1440,0.0,0.05284722222222222,0.0,0.05284722222222222
Engie,2025-11-01,other,7320,0.0,0.1975580601092896,0.0,0.1975580601092896
Engie,2025-12-01,critical_h18_22,2480,0.6786290322580645,3.621784274193548,0.0,4.300413306451612
Engie,2025-12-01,flat_h3_5,1488,0.0,0.25201612903225806,0.0,0.25201612903225806
Engie,2025-12-01,other,7564,0.1528225806451613,0.40662678476996295,0.0,0.5594493654151242
GE,2024-01-01,critical_h18_22,1085,81.16442396313363,3.3374193548387097,0.041474654377880185,84.54331797235022
GE,2024-01-01,flat_h3_5,651,19.932411674347158,16.49831029185868,0.0,36.43072196620584
GE,2024-01-01,other,3472,44.58804723502305,14.245766129032258,0.01728110599078341,58.851094470046085
GE,2024-02-01,critical_h18_22,1015,11.871625615763547,4.920295566502463,0.008078817733990147,16.8
GE,2024-02-01,flat_h3_5,609,3.345320197044335,13.443349753694582,0.0,16.788669950738917
GE,2024-02-01,other,3248,4.823676108374385,10.389532019704433,0.02586206896551724,15.239070197044336
GE,2024-03-01,critical_h18_22,1085,11.69483870967742,5.361198156682027,0.0,17.05603686635945
GE,2024-03-01,flat_h3_5,651,0.09216589861751152,4.647004608294931,0.0,4.739170506912442
GE,2024-03-01,other,3465,4.123463203463203,5.4775757575757575,0.0,9.60103896103896
GE,2024-04-01,critical_h18_22,1050,0.5900952380952381,2.504380952380952,0.21142857142857144,3.3059047619047615
GE,2024-04-01,flat_h3_5,630,0.0,4.304920634920634,0.0,4.304920634920634
GE,2024-04-01,other,3360,0.35,3.8165476190476193,0.06011904761904762,4.226666666666667
GE,2024-05-01,critical_h18_22,1085,0.0,2.448294930875576,0.12903225806451613,2.577327188940092
GE,2024-05-01,flat_h3_5,651,0.0,2.9078341013824884,0.0,2.9078341013824884
GE,2024-05-01,other,3472,0.0,1.6663306451612903,0.06624423963133641,1.7325748847926268
GE,2024-06-01,critical_h18_22,1020,4.063725490196078,5.99578431372549,0.0,10.059509803921568
GE,2024-06-01,flat_h3_5,612,5.728758169934641,13.010294117647058,0.0,18.7390522875817
GE,2024-06-01,other,3259,3.5382019024240563,7.439183798711261,0.0,10.977385701135317
GE,2024-07-01,critical_h18_22,1085,57.68110599078341,6.672258064516129,0.0,64.35336405529954
GE,2024-07-01,flat_h3_5,651,68.13978494623656,16.09846390168971,0.0,84.23824884792627
