firm,tech,hour_class,regime,gap_gwh
REP,Hydro,Flat,ISP15win,-0.2221027777777778
REP,Hydro,Flat,MTU15IDA_post,-0.3253410256410256
REP,Hydro,Flat,MTU15IDA_pre,-0.39941
REP,Hydro,Midday,3sess,-0.0452464705882353
REP,Hydro,Midday,DA15_ID15,-0.028501199999999997
REP,Hydro,Midday,ISP15win,-0.14122777777777779
REP,Hydro,Midday,MTU15IDA_post,0.07089983974358974
REP,Hydro,Midday,MTU15IDA_pre,-0.19322875
REP,Hydro_pump,Critical,3sess,-0.8896035294117647
REP,Hydro_pump,Critical,DA15_ID15,-1.4422626
REP,Hydro_pump,Critical,ISP15win,-1.208000925925926
REP,Hydro_pump,Critical,MTU15IDA_post,-0.6826793269230769
REP,Hydro_pump,Critical,MTU15IDA_pre,-0.995285625
REP,Hydro_pump,Flat,3sess,-0.2516905882352941
REP,Hydro_pump,Flat,DA15_ID15,-0.5697914
REP,Hydro_pump,Flat,ISP15win,-0.4084333333333333
REP,Hydro_pump,Flat,MTU15IDA_post,-0.24692852564102566
REP,Hydro_pump,Flat,MTU15IDA_pre,-0.315418125
REP,Hydro_pump,Midday,3sess,-0.27643313609467457
REP,Hydro_pump,Midday,DA15_ID15,-0.735465
REP,Hydro_pump,Midday,ISP15win,-0.38303703703703706
REP,Hydro_pump,Midday,MTU15IDA_post,-0.41721971153846155
REP,Hydro_pump,Midday,MTU15IDA_pre,-0.819615625
