regime,tech,sells_gwh_day,buys_gwh_day,gross_gwh_day,net_gwh_day,n_active_days
ISP15-win (MTU60),Hydro pump,1.0768222222222221,0.9769027777777778,2.053725,0.09991944444444417,108
ISP15-win (MTU60),Nuclear,0.9070666666666664,2.6425238095238104,3.5495904761904766,-1.7354571428571446,21
ISP15-win (MTU60),Other,1.110166666666667,0.3740740740740741,1.4842407407407407,0.7360925925925927,108
ISP15-win (MTU60),Solar PV,0.9690555555555557,1.1121842592592595,2.081239814814815,-0.14312870370370379,108
ISP15-win (MTU60),Solar Thermal,0.19983457943925234,0.31726168224299073,0.517096261682243,-0.11742710280373832,107
ISP15-win (MTU60),Thermal non-RE,0.14211944444444446,0.2492703703703704,0.3913898148148149,-0.10715092592592593,108
ISP15-win (MTU60),Wind,2.3429074074074085,2.7521296296296316,5.09503703703704,-0.40922222222222293,108
MTU15-IDA pre-blk,Biomass / RE thermal,0.140163125,0.33850625,0.47866937500000006,-0.19834312500000004,40
MTU15-IDA pre-blk,CCGT,1.5880881249999976,0.26582625,1.8539143749999973,1.322261874999998,40
MTU15-IDA pre-blk,Demand side,3.237500624999992,4.850541249999992,8.088041874999982,-1.6130406249999996,40
MTU15-IDA pre-blk,Hydro,1.4228737500000024,1.2242306249999995,2.647104375000002,0.19864312500000297,40
MTU15-IDA pre-blk,Hydro pump,0.7600118750000003,0.7708587499999997,1.5308706250000002,-0.010846874999999454,40
MTU15-IDA pre-blk,Nuclear,0.8038732142857159,0.5433553571428569,1.3472285714285728,0.260517857142859,14
MTU15-IDA pre-blk,Other,1.4858374999999806,0.1664625,1.6522999999999803,1.3193749999999806,40
MTU15-IDA pre-blk,Solar PV,0.9229006249999997,1.255887500000001,2.1787881250000005,-0.3329868750000011,40
MTU15-IDA pre-blk,Solar Thermal,0.34034125000000004,0.24637875000000004,0.58672,0.09396250000000003,40
MTU15-IDA pre-blk,Thermal non-RE,0.218034375,0.21427375,0.43230812500000004,0.003760625000000033,40
MTU15-IDA pre-blk,Wind,2.0033631250000004,1.4803787499999987,3.4837418749999998,0.5229843750000016,40
MTU15-IDA post-blk,Battery / storage,0.04404083333333334,0.02297583333333333,0.06701666666666667,0.021065000000000004,90
MTU15-IDA post-blk,Biomass / RE thermal,0.11300790322580646,0.30449435483870974,0.4175022580645162,-0.19148645161290326,155
MTU15-IDA post-blk,CCGT,2.0429175806451596,0.40506629032258057,2.4479838709677395,1.637851290322579,155
MTU15-IDA post-blk,Demand side,4.424685806451609,5.263060000000004,9.687745806451614,-0.8383741935483959,155
MTU15-IDA post-blk,Hydro,1.2880232258064512,1.104601774193547,2.392624999999998,0.18342145161290377,155
MTU15-IDA post-blk,Hydro pump,0.6095636363636363,0.460865909090909,1.0704295454545452,0.14869772727272718,154
MTU15-IDA post-blk,Nuclear,0.4769604651162793,3.3678802325581367,3.844840697674416,-2.8909197674418574,43
MTU15-IDA post-blk,Other,0.5334203225806455,0.16695258064516183,0.7003729032258074,0.36646774193548365,155
MTU15-IDA post-blk,Solar PV,1.363055483870966,1.683093064516126,3.0461485483870914,-0.3200375806451597,155
MTU15-IDA post-blk,Solar Thermal,0.2306533870967742,0.4013187096774194,0.6319720967741936,-0.1706653225806452,155
MTU15-IDA post-blk,Thermal non-RE,0.11451822580645164,0.1812585483870968,0.2957767741935484,-0.06674032258064516,155
MTU15-IDA post-blk,Wind,1.890100483870959,1.731036774193539,3.6211372580644987,0.15906370967741956,155
MTU15-DA (DA15/ID15),Battery / storage,0.06374406779661015,0.053331779661016945,0.1170758474576271,0.010412288135593218,118
MTU15-DA (DA15/ID15),Biomass / RE thermal,0.10496916666666667,0.30251270833333344,0.40748187500000005,-0.19754354166666674,120
MTU15-DA (DA15/ID15),CCGT,2.9409655462184863,0.7248798319327729,3.665845378151259,2.2160857142857124,119
MTU15-DA (DA15/ID15),Demand side,5.003067083333336,5.957138958333356,10.960206041666696,-0.9540718750000221,120
MTU15-DA (DA15/ID15),Hydro,1.898776874999999,1.3052533333333327,3.2040302083333314,0.593523541666666,120
MTU15-DA (DA15/ID15),Hydro pump,0.48227607758620655,0.5388092672413793,1.021085344827586,-0.05653318965517275,116
MTU15-DA (DA15/ID15),Nuclear,1.962283653846154,2.1673923076923116,4.129675961538466,-0.20510865384615723,26
MTU15-DA (DA15/ID15),Other,0.8953334033613441,0.1959899159663866,1.0913233193277307,0.6993434873949574,119
MTU15-DA (DA15/ID15),Solar PV,1.7916533333333289,1.723316874999996,3.514970208333325,0.06833645833333293,120
MTU15-DA (DA15/ID15),Solar Thermal,0.12729682203389828,0.19285275423728818,0.32014957627118645,-0.06555593220338984,118
MTU15-DA (DA15/ID15),Thermal non-RE,0.13307083333333336,0.2041116666666667,0.3371825,-0.07104083333333333,120
MTU15-DA (DA15/ID15),Wind,3.163830833333328,4.3447475000000075,7.508578333333336,-1.1809166666666793,120
