d,obs_log_cost,obs_cost_M,yhat_A_Fourier_only,yhat_B_full,yhat_B_seasonal_only_preIDA_means,resid_A,resid_B,resid_B_seasonal
2025-10-14,15.649519728454115,6.258929540000002,14.529273858714314,15.440061920097559,14.768935818519378,1.1202458697398008,0.20945780835655547,0.880583909934737
2025-10-15,15.600536410528917,5.959734020000004,14.536524164871444,15.449008899135606,14.776897802202132,1.064012245657473,0.15152751139331144,0.8236386083267853
2025-10-16,15.517505108137454,5.484876349999998,14.543790863637097,15.457771147237025,14.784675054948265,0.973714244500357,0.05973396090042904,0.7328300531891898
2025-10-17,15.731766303722694,6.7954668200000015,14.551058843515765,15.466331266755368,14.79225017911132,1.1807074602069285,0.2654350369673253,0.939516124611373
2025-10-18,16.22183738780042,11.093139230000004,14.558312972217488,15.474672402885965,14.799606319886625,1.6635244155829323,0.7471649849144555,1.4222310679137955
2025-10-19,16.333450146181562,12.403015000000005,14.565538151097293,15.45205911893534,14.806727228322043,1.767911995084269,0.881391027246222,1.5267229178595194
2025-10-20,16.37354297615416,12.910390059999994,14.57271936935466,15.459914207704223,14.813597321735635,1.800823606799499,0.9136287684499358,1.5599456544185237
2025-10-21,16.339076719390928,12.47299817000001,14.579841757757194,15.46750362259827,14.820201741274396,1.7592349616337337,0.8715730967926572,1.518874978116532
2025-10-22,16.520118121316848,14.94844922000001,14.586890641655867,15.474813283041243,14.82652640636208,1.9332274796609816,1.0453048382756052,1.6935917149547688
2025-10-23,16.499042824602334,14.636702830000006,14.593851593063771,15.481829937833776,14.832558065799322,1.9051912315385628,1.017212886768558,1.666484758803012
2025-10-24,16.311356807368526,12.131995869999992,14.600710481575687,15.488541212684966,14.838284345295225,1.7106463257928386,0.8228155946835596,1.4730724620733007
2025-10-25,16.430964902950368,13.673427420000017,14.60745352391222,15.494935653971877,14.843693791226846,1.8235113790381483,0.9360292489784907,1.5872711117235223
2025-10-26,16.549841588796443,15.39943823999999,14.614067331879754,15.48283493563281,14.848775910441052,1.9357742569166891,1.0670066531636326,1.7010656783553912
2025-10-27,16.540004255369283,15.248691520000007,14.620538958545843,15.48856522647911,14.853521205932061,1.9194652968234394,1.0514390288901723,1.6864830494372214
2025-10-28,16.277305868851926,11.725844190000013,14.626855942438874,15.493950224150105,14.857921208247765,1.6504499264130512,0.7833556447018211,1.4193846606041607
2025-10-29,16.3053517462003,12.059360800000004,14.633006349591058,15.498982513755712,14.861968502498085,1.6723453966092432,0.8063692324445899,1.4433832437022165
2025-10-30,16.224755527680813,11.12555784000001,14.638978813254623,15.503655757472464,14.865656750859547,1.5857767144261903,0.7210997702083493,1.3590987768212663
2025-10-31,16.228631225768535,11.168760810000007,14.644762571132828,15.507964712459817,14.868980710491613,1.5838686546357064,0.7206665133087178,1.3596505152769218
2025-11-01,16.359369035935142,12.728689710000012,14.65034749997969,15.519776708762079,14.871936246801823,1.7090215359554524,0.8395923271730634,1.4874327891333188
2025-11-02,16.485048511692046,14.433298799999994,14.65572414743534,15.516425876661105,14.874520342018876,1.8293243642567063,0.9686226350309415,1.6105281696731701
2025-11-03,16.44494499571237,13.86592564000001,14.660883760977365,15.519621629052185,14.87673109905467,1.7840612347350042,0.9253233666601837,1.5682138966576993
2025-11-04,16.291924747846977,11.898521989999995,14.665818313882617,15.522443266011319,14.878567740658513,1.6261064339643596,0.7694814818356583,1.4133570071884645
2025-11-05,16.309159077687493,12.105362300000023,14.670520528108282,15.524891124596806,14.880030603888711,1.6386385495792108,0.7842679530906871,1.429128473798782
2025-11-06,16.410859360494012,13.40126093999999,14.674983894015863,15.52696664601187,14.881121129948486,1.7358754664781486,0.8838927144821422,1.5297382305455258
